㛋	U+36CB (U+36CB)	e39b8b
㜬	U+372C (U+372C)	e39cac
㜭	U+372D (U+372D)	e39cad
㜮	to go beyond normal limit; excessive; out of control, to covet; greedy, to be impolite, used in girl's name (U+372E)	e39cae
㜯	a word to designate woman, a word of revile used to call a woman (U+372F)	e39caf
㜰	exquisite; fine (U+3730)	e39cb0
㜱	used in girl's name, soft and tender (U+3731)	e39cb1
㜲	(non-classical form of 嬴) to have surplus; full; an overplus, to open out; to produce, a family name (U+3732)	e39cb2
㜳	peaceful; joyful (U+3733)	e39cb3
㜴	(non-classical from of 瞢) dark and obscure, obscure; not bright, used in girl's name, good; fine (U+3734)	e39cb4
㜵	(said of a woman) with a charming sprightly carriage; slim; delicate and beautiful (U+3735)	e39cb5
㜶	a (married) couple (U+3736)	e39cb6
㜷	milk, the breasts of a woman, to suckle, word of respect for women, (for Qi's people) mother, used in girl's name (U+3737)	e39cb7
㜸	(non-classical form of 孽) sin; evil; retribution, the son of a concubine (U+3738)	e39cb8
㜹	name of a folk song in ancient times, used in girl's name (U+3739)	e39cb9
㜺	white color; no respect; imprudent; (Cant.) interesting, good (U+373A)	e39cba
㜻	(non-classical form of 孌) (interchangeable 戀) to admire; to remember (old days, etc.), exquisite; fine, to obey; obedient; to comply, (same as 奱) to bind; binding, used in girl's name (U+373B)	e39cbb
㜼	(same as 姪) children of one's brother -- nephews or nieces, I; me (when speaking to a family friend of father's generation) (U+373C)	e39cbc
㜽	(ancient form of 子) child, seed, 1st terrestrial branch (U+373D)	e39cbd
㜾	(same as 孩) a child; an infant, young; small (U+373E)	e39cbe
㜿	name of a fish in legend, spawn, or roe (U+373F)	e39cbf
㝀	(same as 好) to like; to love; to be fond of (U+3740)	e39d80
㝁	(same as 嬛) lonely; solitary, exquisite; fine, to worship with reverence (U+3741)	e39d81
㝂	locust, larva of Chilo simplex; a kind of moth (U+3742)	e39d82
㝃	(same as U+5A29 娩) to bear a son; to give birth (U+3743)	e39d83
㝄	(ancient form of 純) pure, sincere; honest; faithoful (U+3744)	e39d84
㝅	to give suck to, infant; baby, igorant; stupid, prudent; cautious (U+3745)	e39d85
㝆	U+3746 (U+3746)	e39d86
㝇	(same as 鶉) quail (U+3747)	e39d87
㝈	(same as 孿) twin (U+3748)	e39d88
㝉	(same as 宁) space between the throne and the retiring room behind it, to store up; to save up, peaceful, used as a term of comparison (U+3749)	e39d89
㝊	(same as 守) to guide; to watch, to wait, to keep (U+374A)	e39d8a
㝋	U+374B (U+374B)	e39d8b
㝌	(same as 疚) prolonged illness, mental discomfort, to stay in one place for a long period (U+374C)	e39d8c
㝍	(simplified form of 寫) to write; to draw (U+374D)	e39d8d
㝎	(same as 定) to decide; to fix; to settle (U+374E)	e39d8e
㝏	(same as 介) alone; solitary, to live alone (U+374F)	e39d8f
㝐	(ancient form of 容) face; expression, to contain; to hold; to pardon (U+3750)	e39d90
㝑	(ancient form of 旁) side, by the side of; nearby (U+3751)	e39d91
㝒	(ancient form of 居) to dwell; to occupy to inhabit, a Chinese family name (U+3752)	e39d92
㝓	corresponding; equivalent, cosiderable; to a great extent, appropriate, (same as 凹) a hollow, concave (U+3753)	e39d93
㝔	deep bottom; the southeast corner of a house (U+3754)	e39d94
㝕	(same as 寍 寧) peace; serenity, used as a term of comparison: -- rather; it is better, would that (U+3755)	e39d95
㝖	(corrupted form) right; fitting; proper; good, should; ought to; had better (U+3756)	e39d96
