㛋	U+36CB (U+36CB)	e39b8b
㡏	to cut a strip of cloth; a breadth of material, (same as 繻) fine gauze, frayed edges of silk, silk torn into two pieces, one ofwhich was given as a credential and the other retained, a loose garment or cloak; fine clothes, the left over material after cutting; ragged fabric (U+384F)	e3a18f
㡐	(non-classical form) flags, pennants, streamers, etc. (U+3850)	e3a190
㡑	ancient mourning turban worn by women, to hem, turban worn by men (U+3851)	e3a191
㡒	a calico sack for grain, etc. (U+3852)	e3a192
㡓	drawers; trousers or pants (U+3853)	e3a193
㡔	oiled calico, varnish-cloth used to cover the cross-bean in front of the shafts of a carriage (U+3854)	e3a194
㡕	(same as 央) sharp; distinct, bright-colored (U+3855)	e3a195
㡖	(same as 幢) to cover; a covering; a screen, a curtain for a carriage (U+3856)	e3a196
㡗	red paper, a small piece of thin paper, ropes; cords; cables (U+3857)	e3a197
㡘	screens; cloth partition; door curtain; door flap, (same as 縑) a kind of fine silk, beathery; featheriness (U+3858)	e3a198
㡙	curtain for carriage (U+3859)	e3a199
㡚	armour, unlined garments (U+385A)	e3a19a
㡛	name for a workman who applied color in painting (in ancient times) (U+385B)	e3a19b
㡜	ragged clothes, left over; remainder, the excess; the surplus, to cut out (of silk fabrics) as a design (U+385C)	e3a19c
㡝	a napkin, kerchief, a headgear; articles for dressing the hair, a calligrapher's or painter's signature, seal, dedicatory notes, etc. on a painting, etc. (U+385D)	e3a19d
㡞	a sack used to feed the horses, an old family name (U+385E)	e3a19e
㡟	bed-mats for baby (U+385F)	e3a19f
㡠	a picture; one of a pair, as of scrolls, etc. (U+3860)	e3a1a0
㡡	(a variant of 幮 U+5E6E, 𢅥 U+22165) a screen used to make a temporary kitchen (U+3861)	e3a1a1
㡢	(a variant of 幔) a curtain, a screen (U+3862)	e3a1a2
㡣	(same as 龍) dragon, or the emperor; imperial, a Chinese family name (U+3863)	e3a1a3
㡤	U+3864 (U+3864)	e3a1a4
㡥	to curl up; to roll up, to wrap up; to bind (U+3865)	e3a1a5
㡦	mess; out of order, chaos; confusion, (of clothes) tattered; in rags (U+3866)	e3a1a6
㡧	to stretch open painting, (same as 幀) a picture (one of a pair as of scrolls, etc.) (U+3867)	e3a1a7
㡨	a label; a tag, to record, to make a note, to wipe; to scrub; to dust; to clean (U+3868)	e3a1a8
㡩	a girdle; a sash or scarf; a belt; a band; a ribbon; a string; a tie (U+3869)	e3a1a9
㡪	the varnish on the floor, to erase; to obliterate, to scribble (U+386A)	e3a1aa
㡫	anxious, unsuccessful man (U+386B)	e3a1ab
㡬	U+386C (U+386C)	e3a1ac
㡭	(standard, ancient form of U+7E7C 繼) to continue; to carry on, to follow; to inherit; to succeed to (U+386D)	e3a1ad
㡮	danger; precarious, to fear, lofty; high, just; honest, to grind, to cultivate; to polish (U+386E)	e3a1ae
㡯	(ancient form of 宅) wall of a building, a house, to keep in the house, thriving; flourishing, blazing, (ancient form of 度) legal system; laws and institutions, to think; to consider; to ponder; to contemplate (U+386F)	e3a1af
㡰	(large seal type 宇) a house; a roof, appearance, space; the canopy of heaven, to cover (U+3870)	e3a1b0
㡱	(same as 灸) (in Chinese medicine) to cauterize by burning moxa; moxa cautery; moxibustion (U+3871)	e3a1b1
㡲	tiles (laid upside down) on a roof, ropes, to hold fast (U+3872)	e3a1b2
㡳	mountain, (corrupted form of 底) underside; bottom; basis; foundation (U+3873)	e3a1b3
㡴	sound (U+3874)	e3a1b4
㡵	roof of the house connected (U+3875)	e3a1b5
㡶	dwell, to live in a depraved (crude; vulgar; inferior) place (U+3876)	e3a1b6
㡷	a family name (U+3877)	e3a1b7
㡸	a house; an unfinished house, uneven; irregular; unsuitable; ill-matched, tenon (U+3878)	e3a1b8
㡹	to rely upon each other (U+3879)	e3a1b9
㡺	a cottage; a small house, a small cup (U+387A)	e3a1ba
㡻	(non-classical form of 廖) name of a small ancient State, a Chinese family name (U+387B)	e3a1bb
㡼	a granary, a cabin, as in the ship, a corridor; a hallway (U+387C)	e3a1bc
㡽	depraved talking (U+387D)	e3a1bd
㡾	a threshold; a door-sill (U+387E)	e3a1be
㡿	(standard form of 斥) to accuse; to blame, to expel; to drive off; to reject (U+387F)	e3a1bf
㢀	side room (U+3880)	e3a280
㢁	(same as U+388B 㢋) vast, to open up, enlarge or expand, the blot of a door; door latch, name of a person (U+3881)	e3a281
㢂	(terrains) of highly strategic; precipitious (hill, etc. a big mound; (same as U+3888 㢈) a collapsed house, to hit, to catch something (U+3882)	e3a282
㢃	high, magnanimity (U+3883)	e3a283
㢄	a kind of utensil; implement; tool, a place of worship; a place where to honor by a service or rite; a place to offer sacrifices; a kitchen (U+3884)	e3a284
㢅	a shield; a screen, a tall building; an edifice, (same as 弄) an alley; a lane (U+3885)	e3a285
㢆	(same as 廛) living space for one family in ancient times, a store; a shop, a hundred mu (equal to 733.50 square yards) cultivated land (U+3886)	e3a286
㢇	U+3887 (U+3887)	e3a287
㢈	a collapsed house; (same as U+5806 堆) to heap up; to pile (U+3888)	e3a288
㢉	a room with open space, an old county near today's Shandong Province Yunchengxian (U+3889)	e3a289
㢊	to set side by side, to hide; to conceal, to store (U+388A)	e3a28a
㢋	vast, to open up, enlarge or expand (U+388B)	e3a28b
㢌	U+388C (U+388C)	e3a28c
㢍	a long verabdah; a long porch (U+388D)	e3a28d
㢎	hide; conceal, a house not so high (U+388E)	e3a28e
㢏	a cesspool; a manger, a trough; a flume; a chute, (same as 庾) a stack of grain, an ancient measure of capacity, a storage for water, (ancient form 逾) to pass over; to exceed (U+388F)	e3a28f
㢐	U+3890 (U+3890)	e3a290
㢑	(corrupted form of U+3888 㢈) a collapsed house; (same as 堆) to heap up; to pile (U+3891)	e3a291
㢒	an almost collapsing house (U+3892)	e3a292
㢓	(same as 障) to separate; to screen, a screen, a veil, a dike, to defend; to guard (U+3893)	e3a293
㢔	many; numerous; a crowd; the masses, two houses connected each other (U+3894)	e3a294
㢕	(same as 廱) harmony; peace, peaceful; mild (U+3895)	e3a295
㢖	a store house, to store (U+3896)	e3a296
㢗	a high house; a high building (U+3897)	e3a297
㢘	(non-classical form) (a variant of 廉) pure, modest, incorrupt, not avaricious--thus: reasonable in price (U+3898)	e3a298
㢙	(same as 廑) a hut; cottage, careful; eager; concern (U+3899)	e3a299
㢚	a corridor; a hallway; rooms around the hall (the middle room of a Chinese house), a nunnery; a convent, a cottage; a hut, a mansion (U+389A)	e3a29a
㢛	small, a cabinet; a cupboard (U+389B)	e3a29b
㢜	vast (U+389C)	e3a29c
㢝	cottage; a coarse hourse, house with flat roof (U+389D)	e3a29d
㢞	rooms connected, moveable house ( a yurt, a portable, tentlike dwelling used by nomadic Mongols) (U+389E)	e3a29e
㢟	to walk slowly; to stroll; to ramble (U+389F)	e3a29f
㢠	(same as 迥) far; distant; separated (U+38A0)	e3a2a0
㢡	(same as 獎) to exhort; to encourage, to praise; to commend, to advise; to urge, to help (U+38A1)	e3a2a1
㢢	U+38A2 (U+38A2)	e3a2a2
㢣	(same as 擎) to lift; to lift up; to support (U+38A3)	e3a2a3
㢤	U+38A4 (U+38A4)	e3a2a4
㢥	a big piece of log to join the thick ropes; cable; used on a boat (U+38A5)	e3a2a5
㢦	(corrupted form) wooden post or pile for tethering animals, small and sharp pile (U+38A6)	e3a2a6
㢧	(same as 卷) a book or painting which can be easily folded or rolled up, a division of a book (U+38A7)	e3a2a7
㢨	to defend; to ward off; to refuse; to reject; to oppose, a frontier pass (in Wuxian) in ancient times, a county in ancient times (U+38A8)	e3a2a8
㢩	to shoot; to spurt, (same as 的) target for archery (U+38A9)	e3a2a9
㢪	to draw a full bow to aim at the target, to hold; to maintain; to uphold, to conduct (U+38AA)	e3a2aa
㢫	U+38AB (U+38AB)	e3a2ab
㢬	(same as U+5F4B 彋) a bow stretched to the full (U+38AC)	e3a2ac
㢭	(non-classical form of 弢) a bow-case; a scabbard, to sheathe, to conceal (U+38AD)	e3a2ad
㢮	(same as 弛) to unstring a bow; to relax; to neglect (U+38AE)	e3a2ae
㢯	(same as 弴) bows (with carved pattern) used by the son of heaven -- the emperor, flags; streamers; banners, a flag-staff made of bamboo (U+38AF)	e3a2af
㢰	to stretch a bow, the bow decorated with colorful silk and leather, bent; curved (U+38B0)	e3a2b0
㢱	U+38B1 (U+38B1)	e3a2b1
㢲	(same as 巽) the 5th of the Eight Diagrams 八卦, South-east, Mild, bland, insinuating, peaceful words (U+38B2)	e3a2b2
㢳	(same as 玈) black color, a black bow; bow in general (U+38B3)	e3a2b3
㢴	(ancient form of 西) the west; western, European (U+38B4)	e3a2b4
㢵	powerful and strong bow, (interchangeable 5F3D 韘) archer's thumbring of leather (U+38B5)	e3a2b5
㢶	(non-classical form of 弼) device for regulating bows; bow regulator, to correct, to assist; to aid (U+38B6)	e3a2b6
㢷	U+38B7 (U+38B7)	e3a2b7
㢸	(ancient form of 弼) device for regulating bows; bow regulator, to correct, to assist; to aid, to dust, to shake; to brush (U+38B8)	e3a2b8
㢹	U+38B9 (U+38B9)	e3a2b9
㢺	(non-classical form of 弦) string (of a bow, a musical instrument, etc.), chord of an arc, the first or last quarter ofa lunar month (U+38BA)	e3a2ba
㢻	to draw a bow, bent (U+38BB)	e3a2bb
㢼	(same as 彆) awkward, unfavourable, unsuitable, not smooth (U+38BC)	e3a2bc
㢽	(same as 餌) a bait, cakes, food, to eat (U+38BD)	e3a2bd
㢾	the curved end of a bow (U+38BE)	e3a2be
㢿	U+38BF (U+38BF)	e3a2bf
㣀	to rebound, to impeach, to play (U+38C0)	e3a380
㣁	to equipt a bow with silk and muscular fibre (U+38C1)	e3a381
㣂	to bind, to pack up the bows and the cover of the bows (U+38C2)	e3a382
㣃	(same as 鬻) to sell; to buy, to nourish (U+38C3)	e3a383
㣄	powerful; strong bows, the end of the bows (U+38C4)	e3a384
㣅	bow-string; a chord; a straight road, to draw a bow, strong (U+38C5)	e3a385
㣆	to loose the bow-string, a kind of jade, (same as 彌) full, great, boundless, to complete (U+38C6)	e3a386
㣇	a kind of beast with long hair, other name for pig, fox, wild cat, raccoon (U+38C7)	e3a387
㣈	a kind of animal, a kind of rat, (interchangeable 肆) extremely; excessively; reckless; without restraint, to exhaust (U+38C8)	e3a388
㣉	(ancient form of 工) labor, work, fine; delicate, to be skilled in (U+38C9)	e3a389
㣊	U+38CA (U+38CA)	e3a38a
㣋	(ancient form of 丹) cinnabar, red; scarlet, a pill, a sophisticated decoction (U+38CB)	e3a38b
㣌	to join two things; contiguous; things connected end to end, sharp (U+38CC)	e3a38c
㣍	(ancient form of 台) a raised platform, eminent; exalted, name of a star (U+38CD)	e3a38d
㣎	fine (material, etc.) and delicate (workmanship, etc.) decorative design or pattern (U+38CE)	e3a38e
㣏	(ancient form of 靜) still; quiet; calm; silent; peaceful (U+38CF)	e3a38f
㣐	(ancient form of 變) to change; to transform; to switch; to alter, rebellion (U+38D0)	e3a390
㣑	double image, (non-classical form of 容) face; expression; countenance, to contain; to hold; to accept (U+38D1)	e3a391
㣒	hair-raising, hairiness (U+38D2)	e3a392
㣓	literary in taste; elegant; ornamental, beautiful and gorgeous (U+38D3)	e3a393
㣔	to walk alone, to insist on one's ways in doing things (U+38D4)	e3a394
㣕	U+38D5 (U+38D5)	e3a395
㣖	U+38D6 (U+38D6)	e3a396
㣗	U+38D7 (U+38D7)	e3a397
㣘	(same as 跔) spasms, cramps in the feet and legs, in cold day the joints of the feet and legs unable to stretch (U+38D8)	e3a398
㣙	to walk in an easy and leisurely manner, (same as 宙) time--past, present and future, infinite time; time without beginning or end; eternity (U+38D9)	e3a399
㣚	to go straight forward, (same as 衕) a lane; an alley, (same as 侗) ignorant; rude; rustic; straight-forward; uninterrupted; no obstacle (U+38DA)	e3a39a
㣛	walking, (ancient form form of 會) to meet, to gather, to be able, to realize (U+38DB)	e3a39b
㣜	to walk; to go (U+38DC)	e3a39c
㣝	a Chinese family name (U+38DD)	e3a39d
㣞	to walki; to go (U+38DE)	e3a39e
㣟	to go; to walk (U+38DF)	e3a39f
㣠	a rope decorated with bronze ornament (for leading cattle), a family name (U+38E0)	e3a3a0
㣡	U+38E1 (U+38E1)	e3a3a1
㣢	to rest from work; to take a rest (U+38E2)	e3a3a2
㣣	to walk in an unsteady way; to swing to and from, to doubt, to suspect (U+38E3)	e3a3a3
㣤	(same as 踐) to tread upon; to trample, to carry out; to perform (U+38E4)	e3a3a4
㣥	(same as 偫) to store up, savings and/or reserves, complete with every; having nothing short; all; the whole (U+38E5)	e3a3a5
㣦	a winding path (U+38E6)	e3a3a6
㣧	(same as 胤) the succession in a family; posterity; heirs, to inherit; to follow after (U+38E7)	e3a3a7
㣨	U+38E8 (U+38E8)	e3a3a8
㣩	U+38E9 (U+38E9)	e3a3a9
㣪	to walk with slow steps; proceed slowly (U+38EA)	e3a3aa
㣫	(same as 踵) the heel, to follow, to call personally at; to go personally to, (ancient form 動) to move; to start; to shake, to excite; to rouse; to take action (U+38EB)	e3a3ab
㣬	to walk (U+38EC)	e3a3ac
㣭	number, several; a few, a kind of caldron or kettle, to walk (U+38ED)	e3a3ad
㣮	U+38EE (U+38EE)	e3a3ae
㣯	the dresses toss and flying about in the wind, to shake; to toss, to wave, to scull; to row, to agitate (U+38EF)	e3a3af
㣰	to shake; to rattle (U+38F0)	e3a3b0
㣱	common people; people in ordinary feature or countenance, to walk, to go in a hurry (U+38F1)	e3a3b1
㣲	(non-classical form of 微) small, low, weak; feeble (U+38F2)	e3a3b2
㣳	U+38F3 (U+38F3)	e3a3b3
㣴	U+38F4 (U+38F4)	e3a3b4
㣵	to run away; to flee; to escape; to evade, (interchangeable 達) to reach; to arrive at, to walk away without meeting each other (U+38F5)	e3a3b5
㣶	to walk, to go, to hide; to conceal, very difficult to proceed (U+38F6)	e3a3b6
㣷	walking (U+38F7)	e3a3b7
㣸	U+38F8 (U+38F8)	e3a3b8
㣹	U+38F9 (U+38F9)	e3a3b9
㣺	(variant of 心) the heart, the moral nature, the mind, the affections, intention, the radical on left side of the character (U+38FA)	e3a3ba
㣻	to remedy by punishment; to punish; to reprove; to warn, in great distress; suffering hardships; distress; trouble; worry (U+38FB)	e3a3bb
㣼	(same as 忍) to endure; to bear; to forbear; to repress (U+38FC)	e3a3bc
㣽	(ancient form of 恕) to forgive; to pardon, (ancient form 怒) anger; wrath; indignation; rage (U+38FD)	e3a3bd
㣾	do not care; unmindful of (U+38FE)	e3a3be
㣿	painfully sad, scared; afraid; fearful, anger, melancholoy; grievous; mournful; sad, to be concerned about (U+38FF)	e3a3bf
㤀	U+3900 (U+3900)	e3a480
㤁	(standard form of 忝) to disgrace; to insult, to condescend (U+3901)	e3a481
㤂	(a variant of 急) anxious; hurried; urgent; hasty (U+3902)	e3a482
㤃	jealous; to envy, (same as 妨) to hinder; to obstruct, to harm; to damage (U+3903)	e3a483
㤄	raging animosity or hatred; full of anger and spite, unhappy; displeased (U+3904)	e3a484
㤅	to love, to be found of, o like; love, affection, a breath, news, to stop; to end, (interchangeable 忌) jealous; to envy, (the small seal 愛) love (U+3905)	e3a485
㤆	nauseated; disgusted, (in medicine) an acute case, quick-tempered, to regret; to repent, small (piece of land); narrow (minded) (U+3906)	e3a486
㤇	terrified; scared; nervous, (same as 懊) regetful; remorseful; resentful (U+3907)	e3a487
㤈	sad; sorrowful (U+3908)	e3a488
㤉	fear; dread; fright; scare, crafty; low cunning (U+3909)	e3a489
㤊	(same as 恔) cheerful and exuberant; spiritually elevated (U+390A)	e3a48a
㤋	confusion; confused or disorderly; chaotic (U+390B)	e3a48b
㤌	(same as 甘) to have one's heart own; to submit, admire, etc. sincerely and willingly (U+390C)	e3a48c
㤍	never reveal one's feeling or emotion, (same as 巧) false, artificial, illegal, clever; artful, pretty cute (U+390D)	e3a48d
㤎	a model or typical example; technique of standard handwriting, knowledge, to know; to feel; to understand (U+390E)	e3a48e
㤏	grievous; mournful; melancholy (U+390F)	e3a48f
㤐	(said of music) disharmony; discord, quiet, to yield; to concede (U+3910)	e3a490
㤑	(non-classical 憂) palpitation or fluttering of the heart, to become interested in something (usually as a result of persuasion); to move the mind; to start thinking; agitated; nervous (U+3911)	e3a491
㤒	knowledge; to know; to be aware of, a bureau, state of affairs (U+3912)	e3a492
㤓	stupid; foolish; unwise; unintelligent (U+3913)	e3a493
㤔	to concede or submit willingly (U+3914)	e3a494
㤕	melancholoy; grievous; mournful; sad, anxious and fearful, extremely sad (U+3915)	e3a495
㤖	to have wisdom; intelligent (U+3916)	e3a496
㤗	U+3917 (U+3917)	e3a497
㤘	(simplified form of U+396E 㥮) obstinate; stubborn; opinionated; obstinacy; stubornness; intransigent, truculent; savage, ferocious; fierce (U+3918)	e3a498
㤙	(same as 恩) grace, favour, kindness, mercy (U+3919)	e3a499
㤚	joy; delight; gratification (U+391A)	e3a49a
㤛	to remember (old days, friends, etc.); to recall, (a pronoun, a dialect) this; these; such, here, without restricition; at will, to trust; to show good faith, weak, ( ancient form 飪) to cook, you, ( dialect) so; that, than, that case, that (indicating degree) (U+391B)	e3a49b
㤜	(corrupted form of 怴) crazy; mad, anger; angry, idiotic; silly; stupid, ill-will; enmity; animus (U+391C)	e3a49c
㤝	palpitation or fluttering of the heart, to become interested in something (usually as a result of persuasion) (U+391D)	e3a49d
㤞	disappointed; to fail in attaining one's purpose; to be disappointed in attaining the ambitions, to be surprised; to be amazed; to marvel, to think; to consider; to ponder; to contemplate, to expect or hope with eagerness, a credit, straightforward; faithful and upright, to reprimand; to discipline; to punish (U+391E)	e3a49e
㤟	(same as 恐) fear; dread; fright; scare, (with reference to an unpleasant fact) probably; perhaps; maybe; possible; to threaten; to blackmail (U+391F)	e3a49f
㤠	grieved; distressed (U+3920)	e3a4a0
㤡	to surprise; to amaze, afraid; scared; fearful; terrified, grieved; distressed; grieved; distressed (U+3921)	e3a4a1
㤢	to move the mind; agitated; nervous; to start thinking (U+3922)	e3a4a2
㤣	(same as 恲) noble; disinterested; generous; energetic; liberal, to divulge; to leak out, to feel dull and listless or depressed (U+3923)	e3a4a3
㤤	(non-classical form) mournful; melancholy; distressed; grieved; sad, to fear; fear; dread (U+3924)	e3a4a4
㤥	sorrowful, anxious (U+3925)	e3a4a5
㤦	mournful; melancholy; distressed; grieved; sad (U+3926)	e3a4a6
㤧	conciliation; to come to an amicable understanding; compromise (U+3927)	e3a4a7
㤨	scared; terrified, fear; dread; fright (U+3928)	e3a4a8
㤩	(same as 恪) to respect; to venerate, grave and stern; of ornament -- splendid, imposing (U+3929)	e3a4a9
㤪	(same as 怨) to find fault with; to repine; to murmur against; to harbour resentment, hatred (U+392A)	e3a4aa
㤫	(non-classical form) (U+392B)	e3a4ab
㤬	(same as 恚) full of anger and vexation, rage; hatred; to hate; to bear a grudge against; animosity (U+392C)	e3a4ac
㤭	(simplified form of 憍) (same as 驕) untamed; intractable; disobedient (U+392D)	e3a4ad
㤮	an error; a blunder, to cheat; to swindle; to defraud, confused; deceit; to deceive (U+392E)	e3a4ae
㤯	clever or smart in a small way, memory or recollection (U+392F)	e3a4af
㤰	(same as 怍) to be ashamed; mortified; chagrined, to change color; to blush (U+3930)	e3a4b0
㤱	anger; passion; rage, to wait, to cheat; to swindle (U+3931)	e3a4b1
㤲	to think; to contemplate; to consider, to pant because of fear (U+3932)	e3a4b2
㤳	to depend on (U+3933)	e3a4b3
㤴	to move the mind; agitated; nervous; to start thinking, to rest; to cease, intelligent, strange; uncanny, light aspirations or ambitions for ... (U+3934)	e3a4b4
㤵	(non-classical form of U+6148 慈) compassion; mercy; kind (U+3935)	e3a4b5
㤶	confuse, senile, stupid (U+3936)	e3a4b6
㤷	to debauch; to dissipate; to act uninhibitively or disrespectfully (U+3937)	e3a4b7
㤸	uneasy; distrubed; not feeling at peace (U+3938)	e3a4b8
㤹	hatred; grudge; enmity; animosity, (interchangeable 救) to save; to relieve; to rescue; to deliver; to aid (U+3939)	e3a4b9
㤺	(corrupted form of 慌) blurred; dim, obscure; confused in mind (U+393A)	e3a4ba
㤻	stupid; clumsy; (Cant.) to dirty, defile (U+393B)	e3a4bb
㤼	U+393C (U+393C)	e3a4bc
㤽	(simplified form of 懤) grieved, pained (U+393D)	e3a4bd
㤾	not doing well; disappointed; very discouraged; frustrate (same as 憛) worried; anxious; apprehensive, to lose head; to lose self-possession (U+393E)	e3a4be
㤿	to love; to be fond of, love; affection; kindness, willingly; willing, joyous; happy, to fail to remember; to forget (U+393F)	e3a4bf
㥀	exclusive; special (same as 德) morality; virtues, behavior; conduct (U+3940)	e3a580
㥁	(same as U+5FB7 德) morality; virtues, behavior; conduct (U+3941)	e3a581
㥂	quick; fast, sharp, to move the mind; agitated; nervous; to start thinking, to fear; to dread; to be scared of, to get; to obtain (U+3942)	e3a582
㥃	(a variant of 悶) mournful, sorrowful, melancholy; depressed, to stupefy (U+3943)	e3a583
㥄	to pity; to commiserate; to have sympathy or compassion for, scared; afraid; fearful (U+3944)	e3a584
㥅	used in a person's name, pensive (U+3945)	e3a585
㥆	indulgent and without restraint, to abandon oneself tocarnal desire; to be dissolute; to debauched, to forget, slow; to delay (U+3946)	e3a586
㥇	to be perverse; to act contrary to, jealous; to envy; jealousy, obstinate; stubborn, fierce; truculent (U+3947)	e3a587
㥈	(interchangeable 惵) afraid; fearful; terrified, peaceful; quiet; calm; safe; secure; stable (U+3948)	e3a588
㥉	a little angry (U+3949)	e3a589
㥊	angry, (same as 恲) generous; unselfish; liberal (U+394A)	e3a58a
㥋	sound of the anguish of sorrow; the pain of grief (U+394B)	e3a58b
㥌	prudent; cautious (U+394C)	e3a58c
㥍	(same as 惎) to bear jealous hatred for; to hate; to hold a grudge against, to injure atrociously; to murder (U+394D)	e3a58d
㥎	(abbreviated form) to resent; to hate, to neglect; negligent, joy; delight; gratification (U+394E)	e3a58e
㥏	bashful; shy; ashamed (U+394F)	e3a58f
㥐	(ancient form of 怨) hatred; enmity; resentment, to complain; to blame; to impute (U+3950)	e3a590
㥑	(corrupted form) (standard form of 憂) sad; mournful; grieved; to worry about; concerned over; anxious; apprehensive (U+3951)	e3a591
㥒	corrupt; wicked, to hate; to dislike, (same as 猜) to be jealous and suspicious, cunning; crafty (U+3952)	e3a592
㥓	happy; contented; pleased, fragile, nearly; almost, cunning; crafty (U+3953)	e3a593
㥔	to move the mind; agitated; nervous; to start thinking (U+3954)	e3a594
㥕	(ancient form of 憐) to pity; to commiserate; to feel tender regard for (U+3955)	e3a595
㥖	red color (U+3956)	e3a596
㥗	U+3957 (U+3957)	e3a597
㥘	U+3958 (U+3958)	e3a598
㥙	U+3959 (U+3959)	e3a599
㥚	melancholy; grievous; mournful; sad, to fear; to dread; to be scared of (U+395A)	e3a59a
㥛	with expedition; urgent; hasty, anxious; worried, respectrully serious; to take careful precautions; to do something in a serious manner, to love; to like; to be found of; to be kind to (U+395B)	e3a59b
㥜	unsuccessful in one's career; to have not one's ambition fulfilled, generous; unselfish; liberal, uneasy; distrubed; not feeling at peace (U+395C)	e3a59c
㥝	to arouse to action; to encourage, to temper and grind; to train or discipline oneself (toward a goal); to sharpen (a knife); to forge to harden, (same as 弭) to stop; to end; to eliminate (U+395D)	e3a59d
㥞	to think deeply, to think far ahead, profound and abstruse thinking, careful deliberations; to think and contemplate thoroughly (U+395E)	e3a59e
㥟	enmity; animus; ill-will (U+395F)	e3a59f
㥠	(same as 諝) intelligence; brilliance, shrewdness; cunning; quick-witted and full of tricks; tricky (U+3960)	e3a5a0
㥡	idle; shiftless (U+3961)	e3a5a1
㥢	bad; evil; wicked; vice, overbearing; haughty, melancholy; depressed; dejected; cheerless; despondent, considerations; contemplations; to think carefully; to turn over and over in the mind (U+3962)	e3a5a2
㥣	(ancient form of 惠) to benefit; to profit; to favor, kind; benevolent; gracious; gentle (U+3963)	e3a5a3
㥤	(non-classical form of 矜) to pity; to feel for, to have compassion on, sympathetic (U+3964)	e3a5a4
㥥	absent-minded; unconscious, happy; glad; joyous (U+3965)	e3a5a5
㥦	(a variant of 愜) satisfied; contented; cheerful, appropriatye; fitting; apposite, to have one's heart won; to summit; admire, etc. sincerely and willingly (U+3966)	e3a5a6
㥧	(ancient form of 順) to follow; to obedient; agreeable; favorable, convenient; smooth (U+3967)	e3a5a7
㥨	unhappy displeased, anger; rage; angry; furious (U+3968)	e3a5a8
㥩	idle; lazy; slothful; inactive (U+3969)	e3a5a9
㥪	(simplied form of 慺) diligent; industrious; sedulous, to encourage; to make efforts (U+396A)	e3a5aa
㥫	(a variant of 惇) honest; sincere; kind; generous (U+396B)	e3a5ab
㥬	fear; dread; fright; scare (U+396C)	e3a5ac
㥭	luxury; waste; wasteful; prodigal; extravagant (U+396D)	e3a5ad
㥮	obstinate; stubborn; opinionated; obstinacy; stubornness; intransigent, truculent; savage, ferocious; fierce (U+396E)	e3a5ae
㥯	careful; compassionate; to take an interest in; prudent; cautious, worried and grieved (U+396F)	e3a5af
㥰	mournful; melancholy; distressed; grieved; sad (U+3970)	e3a5b0
㥱	(same as 悱) to be desirous of speaking; inarticulate; unable to give vent to one's emotion, sorrowful (U+3971)	e3a5b1
㥲	(same as 謓) anger; rage; angry; furious, (ancient form 慎) cautious; careful; scrupulous; prudent (U+3972)	e3a5b2
㥳	to survey; to measure; mensuration (U+3973)	e3a5b3
㥴	do not care about something; disregard, to be ashamed (U+3974)	e3a5b4
㥵	(a variant of 慁) to dishonour; to disgrace; to distress, grief; shame; to disobey, to be anxious; to be apprehensive; to worry, to disturb or to agitate; to harass, confused and disorderly (U+3975)	e3a5b5
㥶	(same as 塞) (same as 愆) to fill up; full of; filled with; rich in contents; abundance, a fault; a mistake, to exceed; to be more than, to surpass (U+3976)	e3a5b6
㥷	(same as 瘱) quiet; calm; still peaceful, gracefully quiet, clear and evident; obvious, deep and far; profound and abstruse, to conceal; to hide (U+3977)	e3a5b7
㥸	(ancient form of 愍) to sympathize with; to pity; to grieve; to commiserate (U+3978)	e3a5b8
㥹	to move (U+3979)	e3a5b9
㥺	(same as 熆) to blow a fire (U+397A)	e3a5ba
㥻	U+397B (U+397B)	e3a5bb
㥼	to be near to, close to, to recollect; to recall; to look back upon (U+397C)	e3a5bc
㥽	feeling; emotion, fact, love; affection, nature; reason, (same as 責) one's duty, responsibility; obligation, etc., to demand; to punish, to upbraid (U+397D)	e3a5bd
㥾	mortified; ashamed (U+397E)	e3a5be
㥿	(same as 慠) proud; haughty; over bearing rude (U+397F)	e3a5bf
㦀	joy; delight; gratification (U+3980)	e3a680
㦁	to sob; to weep, to pay attention, to be careful; to take care; to exercise caution (U+3981)	e3a681
㦂	(ancient form of 常) constantly, frequently, usually habitually, regular, common, a rule, a principle (U+3982)	e3a682
㦃	perfect personal character, many; much; plenty; lots of (U+3983)	e3a683
㦄	hard to say or predict, difficult to speak out (for fear of embarrassing or paining others, etc.) not easy to express with words (U+3984)	e3a684
㦅	(same as 慸) uneasy; feeling uneasy or uncomfortable; not feeling at peace (U+3985)	e3a685
㦆	to exaggerate; exaggeration, arrogant; showing wild imagination; preposterously fantastic, without ambition; discourage (U+3986)	e3a686
㦇	a peaceful or easy mood; calm at mind, to move; to turn the mind, conversion (U+3987)	e3a687
㦈	U+3988 (U+3988)	e3a688
㦉	(ancient form of 懿) virtuous, expecially women, admirable; esteemed; excellent (U+3989)	e3a689
㦊	lavish; luxurious, wasteful (U+398A)	e3a68a
㦋	absurd; wild; nonsensical; showing wild imagination; preposterously fantastic (U+398B)	e3a68b
㦌	keen or sharp; clever; simple and honest, sound sleep or slumber; a deep sleep, to wake up from sleep (U+398C)	e3a68c
㦍	(same as 愕) to be startled, alarmed, to speak out; to speak up, frank statement, an obstacle or hindrance; to obstruct; to impede; unwilling; disagreeable (U+398D)	e3a68d
