ອ	LAO LETTER O (U+0EAD)	e0baad
ႉ	MYANMAR SIGN SHAN TONE-5 (U+1089)	e18289
ႊ	MYANMAR SIGN SHAN TONE-6 (U+108A)	e1828a
ႋ	MYANMAR SIGN SHAN COUNCIL TONE-2 (U+108B)	e1828b
ႌ	MYANMAR SIGN SHAN COUNCIL TONE-3 (U+108C)	e1828c
ႍ	MYANMAR SIGN SHAN COUNCIL EMPHATIC TONE (U+108D)	e1828d
ႎ	MYANMAR LETTER RUMAI PALAUNG FA (U+108E)	e1828e
ႏ	MYANMAR SIGN RUMAI PALAUNG TONE-5 (U+108F)	e1828f
႐	MYANMAR SHAN DIGIT ZERO (U+1090)	e18290
႑	MYANMAR SHAN DIGIT ONE (U+1091)	e18291
႒	MYANMAR SHAN DIGIT TWO (U+1092)	e18292
႓	MYANMAR SHAN DIGIT THREE (U+1093)	e18293
႔	MYANMAR SHAN DIGIT FOUR (U+1094)	e18294
႕	MYANMAR SHAN DIGIT FIVE (U+1095)	e18295
႖	MYANMAR SHAN DIGIT SIX (U+1096)	e18296
႗	MYANMAR SHAN DIGIT SEVEN (U+1097)	e18297
႘	MYANMAR SHAN DIGIT EIGHT (U+1098)	e18298
႙	MYANMAR SHAN DIGIT NINE (U+1099)	e18299
ႚ	MYANMAR SIGN KHAMTI TONE-1 (U+109A)	e1829a
ႛ	MYANMAR SIGN KHAMTI TONE-3 (U+109B)	e1829b
ႜ	MYANMAR VOWEL SIGN AITON A (U+109C)	e1829c
ႝ	MYANMAR VOWEL SIGN AITON AI (U+109D)	e1829d
႞	MYANMAR SYMBOL SHAN ONE (U+109E)	e1829e
႟	MYANMAR SYMBOL SHAN EXCLAMATION (U+109F)	e1829f
Ⴀ	GEORGIAN CAPITAL LETTER AN (U+10A0)	e182a0
Ⴁ	GEORGIAN CAPITAL LETTER BAN (U+10A1)	e182a1
Ⴂ	GEORGIAN CAPITAL LETTER GAN (U+10A2)	e182a2
Ⴃ	GEORGIAN CAPITAL LETTER DON (U+10A3)	e182a3
Ⴄ	GEORGIAN CAPITAL LETTER EN (U+10A4)	e182a4
Ⴅ	GEORGIAN CAPITAL LETTER VIN (U+10A5)	e182a5
Ⴆ	GEORGIAN CAPITAL LETTER ZEN (U+10A6)	e182a6
Ⴇ	GEORGIAN CAPITAL LETTER TAN (U+10A7)	e182a7
Ⴈ	GEORGIAN CAPITAL LETTER IN (U+10A8)	e182a8
Ⴉ	GEORGIAN CAPITAL LETTER KAN (U+10A9)	e182a9
Ⴊ	GEORGIAN CAPITAL LETTER LAS (U+10AA)	e182aa
Ⴋ	GEORGIAN CAPITAL LETTER MAN (U+10AB)	e182ab
Ⴌ	GEORGIAN CAPITAL LETTER NAR (U+10AC)	e182ac
Ⴍ	GEORGIAN CAPITAL LETTER ON (U+10AD)	e182ad
Ⴎ	GEORGIAN CAPITAL LETTER PAR (U+10AE)	e182ae
Ⴏ	GEORGIAN CAPITAL LETTER ZHAR (U+10AF)	e182af
Ⴐ	GEORGIAN CAPITAL LETTER RAE (U+10B0)	e182b0
Ⴑ	GEORGIAN CAPITAL LETTER SAN (U+10B1)	e182b1
Ⴒ	GEORGIAN CAPITAL LETTER TAR (U+10B2)	e182b2
Ⴓ	GEORGIAN CAPITAL LETTER UN (U+10B3)	e182b3
Ⴔ	GEORGIAN CAPITAL LETTER PHAR (U+10B4)	e182b4
Ⴕ	GEORGIAN CAPITAL LETTER KHAR (U+10B5)	e182b5
Ⴖ	GEORGIAN CAPITAL LETTER GHAN (U+10B6)	e182b6
Ⴗ	GEORGIAN CAPITAL LETTER QAR (U+10B7)	e182b7
Ⴘ	GEORGIAN CAPITAL LETTER SHIN (U+10B8)	e182b8
Ⴙ	GEORGIAN CAPITAL LETTER CHIN (U+10B9)	e182b9
Ⴚ	GEORGIAN CAPITAL LETTER CAN (U+10BA)	e182ba
Ⴛ	GEORGIAN CAPITAL LETTER JIL (U+10BB)	e182bb
Ⴜ	GEORGIAN CAPITAL LETTER CIL (U+10BC)	e182bc
Ⴝ	GEORGIAN CAPITAL LETTER CHAR (U+10BD)	e182bd
Ⴞ	GEORGIAN CAPITAL LETTER XAN (U+10BE)	e182be
Ⴟ	GEORGIAN CAPITAL LETTER JHAN (U+10BF)	e182bf
Ⴠ	GEORGIAN CAPITAL LETTER HAE (U+10C0)	e18380
Ⴡ	GEORGIAN CAPITAL LETTER HE (U+10C1)	e18381
Ⴢ	GEORGIAN CAPITAL LETTER HIE (U+10C2)	e18382
Ⴣ	GEORGIAN CAPITAL LETTER WE (U+10C3)	e18383
Ⴤ	GEORGIAN CAPITAL LETTER HAR (U+10C4)	e18384
Ⴥ	GEORGIAN CAPITAL LETTER HOE (U+10C5)	e18385
ა	GEORGIAN LETTER AN (U+10D0)	e18390
ბ	GEORGIAN LETTER BAN (U+10D1)	e18391
გ	GEORGIAN LETTER GAN (U+10D2)	e18392
დ	GEORGIAN LETTER DON (U+10D3)	e18393
ე	GEORGIAN LETTER EN (U+10D4)	e18394
ვ	GEORGIAN LETTER VIN (U+10D5)	e18395
ზ	GEORGIAN LETTER ZEN (U+10D6)	e18396
თ	GEORGIAN LETTER TAN (U+10D7)	e18397
ი	GEORGIAN LETTER IN (U+10D8)	e18398
კ	GEORGIAN LETTER KAN (U+10D9)	e18399
ლ	GEORGIAN LETTER LAS (U+10DA)	e1839a
მ	GEORGIAN LETTER MAN (U+10DB)	e1839b
ნ	GEORGIAN LETTER NAR (U+10DC)	e1839c
ო	GEORGIAN LETTER ON (U+10DD)	e1839d
პ	GEORGIAN LETTER PAR (U+10DE)	e1839e
ჟ	GEORGIAN LETTER ZHAR (U+10DF)	e1839f
რ	GEORGIAN LETTER RAE (U+10E0)	e183a0
ს	GEORGIAN LETTER SAN (U+10E1)	e183a1
ტ	GEORGIAN LETTER TAR (U+10E2)	e183a2
უ	GEORGIAN LETTER UN (U+10E3)	e183a3
ფ	GEORGIAN LETTER PHAR (U+10E4)	e183a4
ქ	GEORGIAN LETTER KHAR (U+10E5)	e183a5
ღ	GEORGIAN LETTER GHAN (U+10E6)	e183a6
ყ	GEORGIAN LETTER QAR (U+10E7)	e183a7
შ	GEORGIAN LETTER SHIN (U+10E8)	e183a8
ჩ	GEORGIAN LETTER CHIN (U+10E9)	e183a9
ც	GEORGIAN LETTER CAN (U+10EA)	e183aa
ძ	GEORGIAN LETTER JIL (U+10EB)	e183ab
წ	GEORGIAN LETTER CIL (U+10EC)	e183ac
ჭ	GEORGIAN LETTER CHAR (U+10ED)	e183ad
ხ	GEORGIAN LETTER XAN (U+10EE)	e183ae
ჯ	GEORGIAN LETTER JHAN (U+10EF)	e183af
ჰ	GEORGIAN LETTER HAE (U+10F0)	e183b0
ჱ	GEORGIAN LETTER HE (U+10F1)	e183b1
ჲ	GEORGIAN LETTER HIE (U+10F2)	e183b2
ჳ	GEORGIAN LETTER WE (U+10F3)	e183b3
ჴ	GEORGIAN LETTER HAR (U+10F4)	e183b4
ჵ	GEORGIAN LETTER HOE (U+10F5)	e183b5
ჶ	GEORGIAN LETTER FI (U+10F6)	e183b6
ჷ	GEORGIAN LETTER YN (U+10F7)	e183b7
ჸ	GEORGIAN LETTER ELIFI (U+10F8)	e183b8
ჹ	GEORGIAN LETTER TURNED GAN (U+10F9)	e183b9
ჺ	GEORGIAN LETTER AIN (U+10FA)	e183ba
჻	GEORGIAN PARAGRAPH SEPARATOR (U+10FB)	e183bb
ჼ	MODIFIER LETTER GEORGIAN NAR (U+10FC)	e183bc
ᄀ	HANGUL CHOSEONG KIYEOK (U+1100)	e18480
ᄁ	HANGUL CHOSEONG SSANGKIYEOK (U+1101)	e18481
ᄂ	HANGUL CHOSEONG NIEUN (U+1102)	e18482
ᄃ	HANGUL CHOSEONG TIKEUT (U+1103)	e18483
ᄄ	HANGUL CHOSEONG SSANGTIKEUT (U+1104)	e18484
ᄅ	HANGUL CHOSEONG RIEUL (U+1105)	e18485
ᄆ	HANGUL CHOSEONG MIEUM (U+1106)	e18486
ᄇ	HANGUL CHOSEONG PIEUP (U+1107)	e18487
ᄈ	HANGUL CHOSEONG SSANGPIEUP (U+1108)	e18488
ᄉ	HANGUL CHOSEONG SIOS (U+1109)	e18489
ᄊ	HANGUL CHOSEONG SSANGSIOS (U+110A)	e1848a
ᄋ	HANGUL CHOSEONG IEUNG (U+110B)	e1848b
ᄌ	HANGUL CHOSEONG CIEUC (U+110C)	e1848c
ᄍ	HANGUL CHOSEONG SSANGCIEUC (U+110D)	e1848d
ᄎ	HANGUL CHOSEONG CHIEUCH (U+110E)	e1848e
ᄏ	HANGUL CHOSEONG KHIEUKH (U+110F)	e1848f
ᄐ	HANGUL CHOSEONG THIEUTH (U+1110)	e18490
ᄑ	HANGUL CHOSEONG PHIEUPH (U+1111)	e18491
ᄒ	HANGUL CHOSEONG HIEUH (U+1112)	e18492
ᄓ	HANGUL CHOSEONG NIEUN-KIYEOK (U+1113)	e18493
ᄔ	HANGUL CHOSEONG SSANGNIEUN (U+1114)	e18494
ᄕ	HANGUL CHOSEONG NIEUN-TIKEUT (U+1115)	e18495
ᄖ	HANGUL CHOSEONG NIEUN-PIEUP (U+1116)	e18496
ᄗ	HANGUL CHOSEONG TIKEUT-KIYEOK (U+1117)	e18497
ᄘ	HANGUL CHOSEONG RIEUL-NIEUN (U+1118)	e18498
ᄙ	HANGUL CHOSEONG SSANGRIEUL (U+1119)	e18499
ᄚ	HANGUL CHOSEONG RIEUL-HIEUH (U+111A)	e1849a
ᄛ	HANGUL CHOSEONG KAPYEOUNRIEUL (U+111B)	e1849b
ᄜ	HANGUL CHOSEONG MIEUM-PIEUP (U+111C)	e1849c
ᄝ	HANGUL CHOSEONG KAPYEOUNMIEUM (U+111D)	e1849d
ᄞ	HANGUL CHOSEONG PIEUP-KIYEOK (U+111E)	e1849e
ᄟ	HANGUL CHOSEONG PIEUP-NIEUN (U+111F)	e1849f
ᄠ	HANGUL CHOSEONG PIEUP-TIKEUT (U+1120)	e184a0
ᄡ	HANGUL CHOSEONG PIEUP-SIOS (U+1121)	e184a1
ᄢ	HANGUL CHOSEONG PIEUP-SIOS-KIYEOK (U+1122)	e184a2
ᄣ	HANGUL CHOSEONG PIEUP-SIOS-TIKEUT (U+1123)	e184a3
ᄤ	HANGUL CHOSEONG PIEUP-SIOS-PIEUP (U+1124)	e184a4
ᄥ	HANGUL CHOSEONG PIEUP-SSANGSIOS (U+1125)	e184a5
ᄦ	HANGUL CHOSEONG PIEUP-SIOS-CIEUC (U+1126)	e184a6
ᄧ	HANGUL CHOSEONG PIEUP-CIEUC (U+1127)	e184a7
ᄨ	HANGUL CHOSEONG PIEUP-CHIEUCH (U+1128)	e184a8
ᄩ	HANGUL CHOSEONG PIEUP-THIEUTH (U+1129)	e184a9
ᄪ	HANGUL CHOSEONG PIEUP-PHIEUPH (U+112A)	e184aa
ᄫ	HANGUL CHOSEONG KAPYEOUNPIEUP (U+112B)	e184ab
ᄬ	HANGUL CHOSEONG KAPYEOUNSSANGPIEUP (U+112C)	e184ac
ᄭ	HANGUL CHOSEONG SIOS-KIYEOK (U+112D)	e184ad
ᄮ	HANGUL CHOSEONG SIOS-NIEUN (U+112E)	e184ae
ᄯ	HANGUL CHOSEONG SIOS-TIKEUT (U+112F)	e184af
ᄰ	HANGUL CHOSEONG SIOS-RIEUL (U+1130)	e184b0
ᄱ	HANGUL CHOSEONG SIOS-MIEUM (U+1131)	e184b1
ᄲ	HANGUL CHOSEONG SIOS-PIEUP (U+1132)	e184b2
ᄳ	HANGUL CHOSEONG SIOS-PIEUP-KIYEOK (U+1133)	e184b3
ᄴ	HANGUL CHOSEONG SIOS-SSANGSIOS (U+1134)	e184b4
ᄵ	HANGUL CHOSEONG SIOS-IEUNG (U+1135)	e184b5
ᄶ	HANGUL CHOSEONG SIOS-CIEUC (U+1136)	e184b6
ᄷ	HANGUL CHOSEONG SIOS-CHIEUCH (U+1137)	e184b7
ᄸ	HANGUL CHOSEONG SIOS-KHIEUKH (U+1138)	e184b8
ᄹ	HANGUL CHOSEONG SIOS-THIEUTH (U+1139)	e184b9
ᄺ	HANGUL CHOSEONG SIOS-PHIEUPH (U+113A)	e184ba
ᄻ	HANGUL CHOSEONG SIOS-HIEUH (U+113B)	e184bb
ᄼ	HANGUL CHOSEONG CHITUEUMSIOS (U+113C)	e184bc
ᄽ	HANGUL CHOSEONG CHITUEUMSSANGSIOS (U+113D)	e184bd
ᄾ	HANGUL CHOSEONG CEONGCHIEUMSIOS (U+113E)	e184be
ᄿ	HANGUL CHOSEONG CEONGCHIEUMSSANGSIOS (U+113F)	e184bf
ᅀ	HANGUL CHOSEONG PANSIOS (U+1140)	e18580
ᅁ	HANGUL CHOSEONG IEUNG-KIYEOK (U+1141)	e18581
ᅂ	HANGUL CHOSEONG IEUNG-TIKEUT (U+1142)	e18582
ᅃ	HANGUL CHOSEONG IEUNG-MIEUM (U+1143)	e18583
ᅄ	HANGUL CHOSEONG IEUNG-PIEUP (U+1144)	e18584
ᅅ	HANGUL CHOSEONG IEUNG-SIOS (U+1145)	e18585
ᅆ	HANGUL CHOSEONG IEUNG-PANSIOS (U+1146)	e18586
ᅇ	HANGUL CHOSEONG SSANGIEUNG (U+1147)	e18587
ᅈ	HANGUL CHOSEONG IEUNG-CIEUC (U+1148)	e18588
ᅉ	HANGUL CHOSEONG IEUNG-CHIEUCH (U+1149)	e18589
ᅊ	HANGUL CHOSEONG IEUNG-THIEUTH (U+114A)	e1858a
ᅋ	HANGUL CHOSEONG IEUNG-PHIEUPH (U+114B)	e1858b
ᅌ	HANGUL CHOSEONG YESIEUNG (U+114C)	e1858c
ᅍ	HANGUL CHOSEONG CIEUC-IEUNG (U+114D)	e1858d
ᅎ	HANGUL CHOSEONG CHITUEUMCIEUC (U+114E)	e1858e
ᅏ	HANGUL CHOSEONG CHITUEUMSSANGCIEUC (U+114F)	e1858f
ᅐ	HANGUL CHOSEONG CEONGCHIEUMCIEUC (U+1150)	e18590
ᅑ	HANGUL CHOSEONG CEONGCHIEUMSSANGCIEUC (U+1151)	e18591
ᅒ	HANGUL CHOSEONG CHIEUCH-KHIEUKH (U+1152)	e18592
ᅓ	HANGUL CHOSEONG CHIEUCH-HIEUH (U+1153)	e18593
ᅔ	HANGUL CHOSEONG CHITUEUMCHIEUCH (U+1154)	e18594
ᅕ	HANGUL CHOSEONG CEONGCHIEUMCHIEUCH (U+1155)	e18595
ᅖ	HANGUL CHOSEONG PHIEUPH-PIEUP (U+1156)	e18596
ᅗ	HANGUL CHOSEONG KAPYEOUNPHIEUPH (U+1157)	e18597
ᅘ	HANGUL CHOSEONG SSANGHIEUH (U+1158)	e18598
ᅙ	HANGUL CHOSEONG YEORINHIEUH (U+1159)	e18599
ᅚ	HANGUL CHOSEONG KIYEOK-TIKEUT (U+115A)	e1859a
ᅛ	HANGUL CHOSEONG NIEUN-SIOS (U+115B)	e1859b
ᅜ	HANGUL CHOSEONG NIEUN-CIEUC (U+115C)	e1859c
ᅝ	HANGUL CHOSEONG NIEUN-HIEUH (U+115D)	e1859d
ᅞ	HANGUL CHOSEONG TIKEUT-RIEUL (U+115E)	e1859e
ᅟ	HANGUL CHOSEONG FILLER (U+115F)	e1859f
ᅠ	HANGUL JUNGSEONG FILLER (U+1160)	e185a0
ᅡ	HANGUL JUNGSEONG A (U+1161)	e185a1
ᅢ	HANGUL JUNGSEONG AE (U+1162)	e185a2
ᅣ	HANGUL JUNGSEONG YA (U+1163)	e185a3
ᅤ	HANGUL JUNGSEONG YAE (U+1164)	e185a4
ᅥ	HANGUL JUNGSEONG EO (U+1165)	e185a5
ᅦ	HANGUL JUNGSEONG E (U+1166)	e185a6
ᅧ	HANGUL JUNGSEONG YEO (U+1167)	e185a7
ᅨ	HANGUL JUNGSEONG YE (U+1168)	e185a8
ᅩ	HANGUL JUNGSEONG O (U+1169)	e185a9
ᅪ	HANGUL JUNGSEONG WA (U+116A)	e185aa
ᅫ	HANGUL JUNGSEONG WAE (U+116B)	e185ab
ᅬ	HANGUL JUNGSEONG OE (U+116C)	e185ac
ᅭ	HANGUL JUNGSEONG YO (U+116D)	e185ad
ᅮ	HANGUL JUNGSEONG U (U+116E)	e185ae
ᅯ	HANGUL JUNGSEONG WEO (U+116F)	e185af
ᅰ	HANGUL JUNGSEONG WE (U+1170)	e185b0
ᅱ	HANGUL JUNGSEONG WI (U+1171)	e185b1
ᅲ	HANGUL JUNGSEONG YU (U+1172)	e185b2
ᅳ	HANGUL JUNGSEONG EU (U+1173)	e185b3
ᅴ	HANGUL JUNGSEONG YI (U+1174)	e185b4
ᅵ	HANGUL JUNGSEONG I (U+1175)	e185b5
ᅶ	HANGUL JUNGSEONG A-O (U+1176)	e185b6
ᅷ	HANGUL JUNGSEONG A-U (U+1177)	e185b7
ᅸ	HANGUL JUNGSEONG YA-O (U+1178)	e185b8
ᅹ	HANGUL JUNGSEONG YA-YO (U+1179)	e185b9
ᅺ	HANGUL JUNGSEONG EO-O (U+117A)	e185ba
ᅻ	HANGUL JUNGSEONG EO-U (U+117B)	e185bb
ᅼ	HANGUL JUNGSEONG EO-EU (U+117C)	e185bc
ᅽ	HANGUL JUNGSEONG YEO-O (U+117D)	e185bd
ᅾ	HANGUL JUNGSEONG YEO-U (U+117E)	e185be
ᅿ	HANGUL JUNGSEONG O-EO (U+117F)	e185bf
ᆀ	HANGUL JUNGSEONG O-E (U+1180)	e18680
ᆁ	HANGUL JUNGSEONG O-YE (U+1181)	e18681
ᆂ	HANGUL JUNGSEONG O-O (U+1182)	e18682
ᆃ	HANGUL JUNGSEONG O-U (U+1183)	e18683
ᆄ	HANGUL JUNGSEONG YO-YA (U+1184)	e18684
ᆅ	HANGUL JUNGSEONG YO-YAE (U+1185)	e18685
ᆆ	HANGUL JUNGSEONG YO-YEO (U+1186)	e18686
ᆇ	HANGUL JUNGSEONG YO-O (U+1187)	e18687
ᆈ	HANGUL JUNGSEONG YO-I (U+1188)	e18688
ᆉ	HANGUL JUNGSEONG U-A (U+1189)	e18689
ᆊ	HANGUL JUNGSEONG U-AE (U+118A)	e1868a
ᆋ	HANGUL JUNGSEONG U-EO-EU (U+118B)	e1868b
ᆌ	HANGUL JUNGSEONG U-YE (U+118C)	e1868c
ᆍ	HANGUL JUNGSEONG U-U (U+118D)	e1868d
ᆎ	HANGUL JUNGSEONG YU-A (U+118E)	e1868e
ᆏ	HANGUL JUNGSEONG YU-EO (U+118F)	e1868f
ᆐ	HANGUL JUNGSEONG YU-E (U+1190)	e18690
ᆑ	HANGUL JUNGSEONG YU-YEO (U+1191)	e18691
ᆒ	HANGUL JUNGSEONG YU-YE (U+1192)	e18692
ᆓ	HANGUL JUNGSEONG YU-U (U+1193)	e18693
ᆔ	HANGUL JUNGSEONG YU-I (U+1194)	e18694
ᆕ	HANGUL JUNGSEONG EU-U (U+1195)	e18695
ᆖ	HANGUL JUNGSEONG EU-EU (U+1196)	e18696
ᆗ	HANGUL JUNGSEONG YI-U (U+1197)	e18697
ᆘ	HANGUL JUNGSEONG I-A (U+1198)	e18698
ᆙ	HANGUL JUNGSEONG I-YA (U+1199)	e18699
ᆚ	HANGUL JUNGSEONG I-O (U+119A)	e1869a
ᆛ	HANGUL JUNGSEONG I-U (U+119B)	e1869b
ᆜ	HANGUL JUNGSEONG I-EU (U+119C)	e1869c
ᆝ	HANGUL JUNGSEONG I-ARAEA (U+119D)	e1869d
ᆞ	HANGUL JUNGSEONG ARAEA (U+119E)	e1869e
ᆟ	HANGUL JUNGSEONG ARAEA-EO (U+119F)	e1869f
ᆠ	HANGUL JUNGSEONG ARAEA-U (U+11A0)	e186a0
ᆡ	HANGUL JUNGSEONG ARAEA-I (U+11A1)	e186a1
ᆢ	HANGUL JUNGSEONG SSANGARAEA (U+11A2)	e186a2
ᆣ	HANGUL JUNGSEONG A-EU (U+11A3)	e186a3
ᆤ	HANGUL JUNGSEONG YA-U (U+11A4)	e186a4
ᆥ	HANGUL JUNGSEONG YEO-YA (U+11A5)	e186a5
ᆦ	HANGUL JUNGSEONG O-YA (U+11A6)	e186a6
ᆧ	HANGUL JUNGSEONG O-YAE (U+11A7)	e186a7
ᆨ	HANGUL JONGSEONG KIYEOK (U+11A8)	e186a8
ᆩ	HANGUL JONGSEONG SSANGKIYEOK (U+11A9)	e186a9
ᆪ	HANGUL JONGSEONG KIYEOK-SIOS (U+11AA)	e186aa
ᆫ	HANGUL JONGSEONG NIEUN (U+11AB)	e186ab
ᆬ	HANGUL JONGSEONG NIEUN-CIEUC (U+11AC)	e186ac
ᆭ	HANGUL JONGSEONG NIEUN-HIEUH (U+11AD)	e186ad
ᆮ	HANGUL JONGSEONG TIKEUT (U+11AE)	e186ae
ᆯ	HANGUL JONGSEONG RIEUL (U+11AF)	e186af
ᆰ	HANGUL JONGSEONG RIEUL-KIYEOK (U+11B0)	e186b0
ᆱ	HANGUL JONGSEONG RIEUL-MIEUM (U+11B1)	e186b1
ᆲ	HANGUL JONGSEONG RIEUL-PIEUP (U+11B2)	e186b2
ᆳ	HANGUL JONGSEONG RIEUL-SIOS (U+11B3)	e186b3
ᆴ	HANGUL JONGSEONG RIEUL-THIEUTH (U+11B4)	e186b4
ᆵ	HANGUL JONGSEONG RIEUL-PHIEUPH (U+11B5)	e186b5
ᆶ	HANGUL JONGSEONG RIEUL-HIEUH (U+11B6)	e186b6
ᆷ	HANGUL JONGSEONG MIEUM (U+11B7)	e186b7
ᆸ	HANGUL JONGSEONG PIEUP (U+11B8)	e186b8
ᆹ	HANGUL JONGSEONG PIEUP-SIOS (U+11B9)	e186b9
ᆺ	HANGUL JONGSEONG SIOS (U+11BA)	e186ba
ᆻ	HANGUL JONGSEONG SSANGSIOS (U+11BB)	e186bb
ᆼ	HANGUL JONGSEONG IEUNG (U+11BC)	e186bc
ᆽ	HANGUL JONGSEONG CIEUC (U+11BD)	e186bd
ᆾ	HANGUL JONGSEONG CHIEUCH (U+11BE)	e186be
ᆿ	HANGUL JONGSEONG KHIEUKH (U+11BF)	e186bf
ᇀ	HANGUL JONGSEONG THIEUTH (U+11C0)	e18780
ᇁ	HANGUL JONGSEONG PHIEUPH (U+11C1)	e18781
ᇂ	HANGUL JONGSEONG HIEUH (U+11C2)	e18782
ᇃ	HANGUL JONGSEONG KIYEOK-RIEUL (U+11C3)	e18783
ᇄ	HANGUL JONGSEONG KIYEOK-SIOS-KIYEOK (U+11C4)	e18784
ᇅ	HANGUL JONGSEONG NIEUN-KIYEOK (U+11C5)	e18785
ᇆ	HANGUL JONGSEONG NIEUN-TIKEUT (U+11C6)	e18786
ᇇ	HANGUL JONGSEONG NIEUN-SIOS (U+11C7)	e18787
ᇈ	HANGUL JONGSEONG NIEUN-PANSIOS (U+11C8)	e18788
ᇉ	HANGUL JONGSEONG NIEUN-THIEUTH (U+11C9)	e18789
ᇊ	HANGUL JONGSEONG TIKEUT-KIYEOK (U+11CA)	e1878a
ᇋ	HANGUL JONGSEONG TIKEUT-RIEUL (U+11CB)	e1878b
ᇌ	HANGUL JONGSEONG RIEUL-KIYEOK-SIOS (U+11CC)	e1878c
ᇍ	HANGUL JONGSEONG RIEUL-NIEUN (U+11CD)	e1878d
ᇎ	HANGUL JONGSEONG RIEUL-TIKEUT (U+11CE)	e1878e
ᇏ	HANGUL JONGSEONG RIEUL-TIKEUT-HIEUH (U+11CF)	e1878f
ᇐ	HANGUL JONGSEONG SSANGRIEUL (U+11D0)	e18790
ᇑ	HANGUL JONGSEONG RIEUL-MIEUM-KIYEOK (U+11D1)	e18791
ᇒ	HANGUL JONGSEONG RIEUL-MIEUM-SIOS (U+11D2)	e18792
ᇓ	HANGUL JONGSEONG RIEUL-PIEUP-SIOS (U+11D3)	e18793
ᇔ	HANGUL JONGSEONG RIEUL-PIEUP-HIEUH (U+11D4)	e18794
ᇕ	HANGUL JONGSEONG RIEUL-KAPYEOUNPIEUP (U+11D5)	e18795
ᇖ	HANGUL JONGSEONG RIEUL-SSANGSIOS (U+11D6)	e18796
ᇗ	HANGUL JONGSEONG RIEUL-PANSIOS (U+11D7)	e18797
ᇘ	HANGUL JONGSEONG RIEUL-KHIEUKH (U+11D8)	e18798
ᇙ	HANGUL JONGSEONG RIEUL-YEORINHIEUH (U+11D9)	e18799
ᇚ	HANGUL JONGSEONG MIEUM-KIYEOK (U+11DA)	e1879a
ᇛ	HANGUL JONGSEONG MIEUM-RIEUL (U+11DB)	e1879b
ᇜ	HANGUL JONGSEONG MIEUM-PIEUP (U+11DC)	e1879c
ᇝ	HANGUL JONGSEONG MIEUM-SIOS (U+11DD)	e1879d
ᇞ	HANGUL JONGSEONG MIEUM-SSANGSIOS (U+11DE)	e1879e
ᇟ	HANGUL JONGSEONG MIEUM-PANSIOS (U+11DF)	e1879f
ᇠ	HANGUL JONGSEONG MIEUM-CHIEUCH (U+11E0)	e187a0
ᇡ	HANGUL JONGSEONG MIEUM-HIEUH (U+11E1)	e187a1
ᇢ	HANGUL JONGSEONG KAPYEOUNMIEUM (U+11E2)	e187a2
ᇣ	HANGUL JONGSEONG PIEUP-RIEUL (U+11E3)	e187a3
ᇤ	HANGUL JONGSEONG PIEUP-PHIEUPH (U+11E4)	e187a4
ᇥ	HANGUL JONGSEONG PIEUP-HIEUH (U+11E5)	e187a5
ᇦ	HANGUL JONGSEONG KAPYEOUNPIEUP (U+11E6)	e187a6
ᇧ	HANGUL JONGSEONG SIOS-KIYEOK (U+11E7)	e187a7
ᇨ	HANGUL JONGSEONG SIOS-TIKEUT (U+11E8)	e187a8
ᇩ	HANGUL JONGSEONG SIOS-RIEUL (U+11E9)	e187a9
ᇪ	HANGUL JONGSEONG SIOS-PIEUP (U+11EA)	e187aa
ᇫ	HANGUL JONGSEONG PANSIOS (U+11EB)	e187ab
ᇬ	HANGUL JONGSEONG IEUNG-KIYEOK (U+11EC)	e187ac
ᇭ	HANGUL JONGSEONG IEUNG-SSANGKIYEOK (U+11ED)	e187ad
ᇮ	HANGUL JONGSEONG SSANGIEUNG (U+11EE)	e187ae
ᇯ	HANGUL JONGSEONG IEUNG-KHIEUKH (U+11EF)	e187af
ᇰ	HANGUL JONGSEONG YESIEUNG (U+11F0)	e187b0
ᇱ	HANGUL JONGSEONG YESIEUNG-SIOS (U+11F1)	e187b1
ᇲ	HANGUL JONGSEONG YESIEUNG-PANSIOS (U+11F2)	e187b2
ᇳ	HANGUL JONGSEONG PHIEUPH-PIEUP (U+11F3)	e187b3
ᇴ	HANGUL JONGSEONG KAPYEOUNPHIEUPH (U+11F4)	e187b4
ᇵ	HANGUL JONGSEONG HIEUH-NIEUN (U+11F5)	e187b5
ᇶ	HANGUL JONGSEONG HIEUH-RIEUL (U+11F6)	e187b6
ᇷ	HANGUL JONGSEONG HIEUH-MIEUM (U+11F7)	e187b7
ᇸ	HANGUL JONGSEONG HIEUH-PIEUP (U+11F8)	e187b8
ᇹ	HANGUL JONGSEONG YEORINHIEUH (U+11F9)	e187b9
ᇺ	HANGUL JONGSEONG KIYEOK-NIEUN (U+11FA)	e187ba
ᇻ	HANGUL JONGSEONG KIYEOK-PIEUP (U+11FB)	e187bb
ᇼ	HANGUL JONGSEONG KIYEOK-CHIEUCH (U+11FC)	e187bc
ᇽ	HANGUL JONGSEONG KIYEOK-KHIEUKH (U+11FD)	e187bd
ᇾ	HANGUL JONGSEONG KIYEOK-HIEUH (U+11FE)	e187be
ᇿ	HANGUL JONGSEONG SSANGNIEUN (U+11FF)	e187bf
ሀ	ETHIOPIC SYLLABLE HA (U+1200)	e18880
ሁ	ETHIOPIC SYLLABLE HU (U+1201)	e18881
ሂ	ETHIOPIC SYLLABLE HI (U+1202)	e18882
ሃ	ETHIOPIC SYLLABLE HAA (U+1203)	e18883
