𦏫	U+263EB (U+263EB)	f0a68fab
𦏬	U+263EC (U+263EC)	f0a68fac
𦏭	U+263ED (U+263ED)	f0a68fad
𦏮	U+263EE (U+263EE)	f0a68fae
𦏯	U+263EF (U+263EF)	f0a68faf
𦏰	U+263F0 (U+263F0)	f0a68fb0
𦏱	U+263F1 (U+263F1)	f0a68fb1
𦏲	U+263F2 (U+263F2)	f0a68fb2
𦏳	U+263F3 (U+263F3)	f0a68fb3
𦏴	U+263F4 (U+263F4)	f0a68fb4
𦏵	U+263F5 (U+263F5)	f0a68fb5
𦏶	U+263F6 (U+263F6)	f0a68fb6
𦏷	U+263F7 (U+263F7)	f0a68fb7
𦏸	U+263F8 (U+263F8)	f0a68fb8
𦏹	U+263F9 (U+263F9)	f0a68fb9
𦏺	U+263FA (U+263FA)	f0a68fba
𦏻	U+263FB (U+263FB)	f0a68fbb
𦏼	U+263FC (U+263FC)	f0a68fbc
𦏽	U+263FD (U+263FD)	f0a68fbd
𦏾	U+263FE (U+263FE)	f0a68fbe
𦏿	U+263FF (U+263FF)	f0a68fbf
𦐀	U+26400 (U+26400)	f0a69080
𦐁	U+26401 (U+26401)	f0a69081
𦐂	U+26402 (U+26402)	f0a69082
𦐃	U+26403 (U+26403)	f0a69083
𦐄	U+26404 (U+26404)	f0a69084
𦐅	U+26405 (U+26405)	f0a69085
𦐆	U+26406 (U+26406)	f0a69086
𦐇	the sound of wings, whir (U+26407)	f0a69087
𦐈	to fly (U+26408)	f0a69088
𦐉	U+26409 (U+26409)	f0a69089
𦐊	U+2640A (U+2640A)	f0a6908a
𦐋	U+2640B (U+2640B)	f0a6908b
𦐌	U+2640C (U+2640C)	f0a6908c
𦐍	U+2640D (U+2640D)	f0a6908d
𦐎	U+2640E (U+2640E)	f0a6908e
𦐏	U+2640F (U+2640F)	f0a6908f
𦐐	U+26410 (U+26410)	f0a69090
𦐑	U+26411 (U+26411)	f0a69091
𦐒	U+26412 (U+26412)	f0a69092
𦐓	U+26413 (U+26413)	f0a69093
𦐔	U+26414 (U+26414)	f0a69094
𦐕	U+26415 (U+26415)	f0a69095
𦐖	U+26416 (U+26416)	f0a69096
𦐗	U+26417 (U+26417)	f0a69097
𦐘	U+26418 (U+26418)	f0a69098
𦐙	U+26419 (U+26419)	f0a69099
𦐚	U+2641A (U+2641A)	f0a6909a
𦐛	U+2641B (U+2641B)	f0a6909b
𦐜	U+2641C (U+2641C)	f0a6909c
𦐝	U+2641D (U+2641D)	f0a6909d
𦐞	U+2641E (U+2641E)	f0a6909e
𦐟	U+2641F (U+2641F)	f0a6909f
𦐠	U+26420 (U+26420)	f0a690a0
𦐡	U+26421 (U+26421)	f0a690a1
𦐢	U+26422 (U+26422)	f0a690a2
𦐣	U+26423 (U+26423)	f0a690a3
𦐤	U+26424 (U+26424)	f0a690a4
𦐥	U+26425 (U+26425)	f0a690a5
𦐦	U+26426 (U+26426)	f0a690a6
𦐧	U+26427 (U+26427)	f0a690a7
𦐨	U+26428 (U+26428)	f0a690a8
𦐩	U+26429 (U+26429)	f0a690a9
𦐪	U+2642A (U+2642A)	f0a690aa
𦐫	U+2642B (U+2642B)	f0a690ab
𦐬	U+2642C (U+2642C)	f0a690ac
𦐭	U+2642D (U+2642D)	f0a690ad
𦐮	U+2642E (U+2642E)	f0a690ae
𦐯	U+2642F (U+2642F)	f0a690af
𦐰	U+26430 (U+26430)	f0a690b0
𦐱	U+26431 (U+26431)	f0a690b1
𦐲	U+26432 (U+26432)	f0a690b2
𦐳	U+26433 (U+26433)	f0a690b3
𦐴	U+26434 (U+26434)	f0a690b4
𦐵	U+26435 (U+26435)	f0a690b5
𦐶	U+26436 (U+26436)	f0a690b6
𦐷	U+26437 (U+26437)	f0a690b7
𦐸	U+26438 (U+26438)	f0a690b8
𦐹	U+26439 (U+26439)	f0a690b9
𦐺	U+2643A (U+2643A)	f0a690ba
𦐻	U+2643B (U+2643B)	f0a690bb
𦐼	U+2643C (U+2643C)	f0a690bc
𦐽	U+2643D (U+2643D)	f0a690bd
𦐾	U+2643E (U+2643E)	f0a690be
𦐿	U+2643F (U+2643F)	f0a690bf
𦑀	U+26440 (U+26440)	f0a69180
𦑁	U+26441 (U+26441)	f0a69181
𦑂	U+26442 (U+26442)	f0a69182
𦑃	U+26443 (U+26443)	f0a69183
𦑄	U+26444 (U+26444)	f0a69184
𦑅	U+26445 (U+26445)	f0a69185
𦑆	U+26446 (U+26446)	f0a69186
𦑇	U+26447 (U+26447)	f0a69187
𦑈	U+26448 (U+26448)	f0a69188
𦑉	U+26449 (U+26449)	f0a69189
𦑊	U+2644A (U+2644A)	f0a6918a
𦑋	U+2644B (U+2644B)	f0a6918b
𦑌	U+2644C (U+2644C)	f0a6918c
𦑍	U+2644D (U+2644D)	f0a6918d
𦑎	U+2644E (U+2644E)	f0a6918e
𦑏	U+2644F (U+2644F)	f0a6918f
𦑐	U+26450 (U+26450)	f0a69190
𦑑	U+26451 (U+26451)	f0a69191
𦑒	U+26452 (U+26452)	f0a69192
𦑓	U+26453 (U+26453)	f0a69193
𦑔	U+26454 (U+26454)	f0a69194
𦑕	U+26455 (U+26455)	f0a69195
𦑖	U+26456 (U+26456)	f0a69196
𦑗	U+26457 (U+26457)	f0a69197
𦑘	U+26458 (U+26458)	f0a69198
𦑙	U+26459 (U+26459)	f0a69199
𦑚	U+2645A (U+2645A)	f0a6919a
𦑛	U+2645B (U+2645B)	f0a6919b
𦑜	U+2645C (U+2645C)	f0a6919c
𦑝	U+2645D (U+2645D)	f0a6919d
𦑞	U+2645E (U+2645E)	f0a6919e
𦑟	U+2645F (U+2645F)	f0a6919f
𦑠	U+26460 (U+26460)	f0a691a0
𦑡	U+26461 (U+26461)	f0a691a1
𦑢	U+26462 (U+26462)	f0a691a2
𦑣	U+26463 (U+26463)	f0a691a3
𦑤	U+26464 (U+26464)	f0a691a4
𦑥	U+26465 (U+26465)	f0a691a5
𦑦	U+26466 (U+26466)	f0a691a6
𦑧	U+26467 (U+26467)	f0a691a7
𦑨	U+26468 (U+26468)	f0a691a8
𦑩	U+26469 (U+26469)	f0a691a9
𦑪	U+2646A (U+2646A)	f0a691aa
