𢯟	U+22BDF (U+22BDF)	f0a2af9f
𢯠	U+22BE0 (U+22BE0)	f0a2afa0
𢯡	U+22BE1 (U+22BE1)	f0a2afa1
𢯢	U+22BE2 (U+22BE2)	f0a2afa2
𢯣	U+22BE3 (U+22BE3)	f0a2afa3
𢯤	U+22BE4 (U+22BE4)	f0a2afa4
𢯥	U+22BE5 (U+22BE5)	f0a2afa5
𢯦	U+22BE6 (U+22BE6)	f0a2afa6
𢯧	U+22BE7 (U+22BE7)	f0a2afa7
𢯨	U+22BE8 (U+22BE8)	f0a2afa8
𢯩	U+22BE9 (U+22BE9)	f0a2afa9
𢯪	U+22BEA (U+22BEA)	f0a2afaa
𢯫	U+22BEB (U+22BEB)	f0a2afab
𢯬	U+22BEC (U+22BEC)	f0a2afac
𢯭	U+22BED (U+22BED)	f0a2afad
𢯮	U+22BEE (U+22BEE)	f0a2afae
𢯯	U+22BEF (U+22BEF)	f0a2afaf
𢯰	U+22BF0 (U+22BF0)	f0a2afb0
𢯱	public opinion; to assemble; to seek (U+22BF1)	f0a2afb1
𢯲	U+22BF2 (U+22BF2)	f0a2afb2
𢯳	U+22BF3 (U+22BF3)	f0a2afb3
𢯴	U+22BF4 (U+22BF4)	f0a2afb4
𢯵	U+22BF5 (U+22BF5)	f0a2afb5
𢯶	U+22BF6 (U+22BF6)	f0a2afb6
𢯷	U+22BF7 (U+22BF7)	f0a2afb7
𢯸	U+22BF8 (U+22BF8)	f0a2afb8
𢯹	U+22BF9 (U+22BF9)	f0a2afb9
𢯺	U+22BFA (U+22BFA)	f0a2afba
𢯻	U+22BFB (U+22BFB)	f0a2afbb
𢯼	U+22BFC (U+22BFC)	f0a2afbc
𢯽	U+22BFD (U+22BFD)	f0a2afbd
𢯾	U+22BFE (U+22BFE)	f0a2afbe
𢯿	U+22BFF (U+22BFF)	f0a2afbf
𢰀	U+22C00 (U+22C00)	f0a2b080
𢰁	U+22C01 (U+22C01)	f0a2b081
𢰂	U+22C02 (U+22C02)	f0a2b082
𢰃	U+22C03 (U+22C03)	f0a2b083
𢰄	U+22C04 (U+22C04)	f0a2b084
𢰅	U+22C05 (U+22C05)	f0a2b085
𢰆	U+22C06 (U+22C06)	f0a2b086
𢰇	U+22C07 (U+22C07)	f0a2b087
𢰈	U+22C08 (U+22C08)	f0a2b088
𢰉	U+22C09 (U+22C09)	f0a2b089
𢰊	U+22C0A (U+22C0A)	f0a2b08a
𢰋	U+22C0B (U+22C0B)	f0a2b08b
𢰌	U+22C0C (U+22C0C)	f0a2b08c
𢰍	U+22C0D (U+22C0D)	f0a2b08d
𢰎	U+22C0E (U+22C0E)	f0a2b08e
𢰏	U+22C0F (U+22C0F)	f0a2b08f
𢰐	U+22C10 (U+22C10)	f0a2b090
𢰑	U+22C11 (U+22C11)	f0a2b091
𢰒	U+22C12 (U+22C12)	f0a2b092
𢰓	U+22C13 (U+22C13)	f0a2b093
𢰔	U+22C14 (U+22C14)	f0a2b094
𢰕	U+22C15 (U+22C15)	f0a2b095
𢰖	U+22C16 (U+22C16)	f0a2b096
𢰗	U+22C17 (U+22C17)	f0a2b097
𢰘	U+22C18 (U+22C18)	f0a2b098
𢰙	U+22C19 (U+22C19)	f0a2b099
𢰚	U+22C1A (U+22C1A)	f0a2b09a
𢰛	U+22C1B (U+22C1B)	f0a2b09b
𢰜	U+22C1C (U+22C1C)	f0a2b09c
𢰝	U+22C1D (U+22C1D)	f0a2b09d
𢰞	U+22C1E (U+22C1E)	f0a2b09e
𢰟	U+22C1F (U+22C1F)	f0a2b09f
𢰠	U+22C20 (U+22C20)	f0a2b0a0
𢰡	U+22C21 (U+22C21)	f0a2b0a1
𢰢	U+22C22 (U+22C22)	f0a2b0a2
𢰣	U+22C23 (U+22C23)	f0a2b0a3
𢰤	U+22C24 (U+22C24)	f0a2b0a4
𢰥	U+22C25 (U+22C25)	f0a2b0a5
𢰦	U+22C26 (U+22C26)	f0a2b0a6
𢰧	U+22C27 (U+22C27)	f0a2b0a7
𢰨	U+22C28 (U+22C28)	f0a2b0a8
𢰩	U+22C29 (U+22C29)	f0a2b0a9
𢰪	U+22C2A (U+22C2A)	f0a2b0aa
𢰫	U+22C2B (U+22C2B)	f0a2b0ab
𢰬	U+22C2C (U+22C2C)	f0a2b0ac
𢰭	U+22C2D (U+22C2D)	f0a2b0ad
𢰮	U+22C2E (U+22C2E)	f0a2b0ae
