𠏫	U+203EB (U+203EB)	f0a08fab
𠏬	U+203EC (U+203EC)	f0a08fac
𠏭	U+203ED (U+203ED)	f0a08fad
𠏮	U+203EE (U+203EE)	f0a08fae
𠏯	U+203EF (U+203EF)	f0a08faf
𠏰	U+203F0 (U+203F0)	f0a08fb0
𠏱	U+203F1 (U+203F1)	f0a08fb1
𠏲	U+203F2 (U+203F2)	f0a08fb2
𠏳	U+203F3 (U+203F3)	f0a08fb3
𠏴	U+203F4 (U+203F4)	f0a08fb4
𠏵	U+203F5 (U+203F5)	f0a08fb5
𠏶	U+203F6 (U+203F6)	f0a08fb6
𠏷	U+203F7 (U+203F7)	f0a08fb7
𠏸	U+203F8 (U+203F8)	f0a08fb8
𠏹	U+203F9 (U+203F9)	f0a08fb9
𠏺	U+203FA (U+203FA)	f0a08fba
𠏻	U+203FB (U+203FB)	f0a08fbb
𠏼	U+203FC (U+203FC)	f0a08fbc
𠏽	U+203FD (U+203FD)	f0a08fbd
𠏾	U+203FE (U+203FE)	f0a08fbe
𠏿	U+203FF (U+203FF)	f0a08fbf
𠐀	U+20400 (U+20400)	f0a09080
𠐁	U+20401 (U+20401)	f0a09081
𠐂	U+20402 (U+20402)	f0a09082
𠐃	U+20403 (U+20403)	f0a09083
𠐄	U+20404 (U+20404)	f0a09084
𠐅	U+20405 (U+20405)	f0a09085
𠐆	U+20406 (U+20406)	f0a09086
𠐇	U+20407 (U+20407)	f0a09087
𠐈	U+20408 (U+20408)	f0a09088
𠐉	U+20409 (U+20409)	f0a09089
𠐊	U+2040A (U+2040A)	f0a0908a
𠐋	U+2040B (U+2040B)	f0a0908b
𠐌	U+2040C (U+2040C)	f0a0908c
𠐍	U+2040D (U+2040D)	f0a0908d
𠐎	U+2040E (U+2040E)	f0a0908e
𠐏	U+2040F (U+2040F)	f0a0908f
𠐐	U+20410 (U+20410)	f0a09090
𠐑	U+20411 (U+20411)	f0a09091
𠐒	U+20412 (U+20412)	f0a09092
𠐓	U+20413 (U+20413)	f0a09093
𠐔	U+20414 (U+20414)	f0a09094
𠐕	U+20415 (U+20415)	f0a09095
𠐖	U+20416 (U+20416)	f0a09096
𠐗	U+20417 (U+20417)	f0a09097
𠐘	U+20418 (U+20418)	f0a09098
𠐙	U+20419 (U+20419)	f0a09099
𠐚	U+2041A (U+2041A)	f0a0909a
𠐛	U+2041B (U+2041B)	f0a0909b
𠐜	U+2041C (U+2041C)	f0a0909c
𠐝	U+2041D (U+2041D)	f0a0909d
𠐞	U+2041E (U+2041E)	f0a0909e
𠐟	U+2041F (U+2041F)	f0a0909f
𠐠	U+20420 (U+20420)	f0a090a0
𠐡	U+20421 (U+20421)	f0a090a1
𠐢	U+20422 (U+20422)	f0a090a2
𠐣	U+20423 (U+20423)	f0a090a3
𠐤	U+20424 (U+20424)	f0a090a4
𠐥	U+20425 (U+20425)	f0a090a5
𠐦	U+20426 (U+20426)	f0a090a6
𠐧	U+20427 (U+20427)	f0a090a7
𠐨	U+20428 (U+20428)	f0a090a8
𠐩	U+20429 (U+20429)	f0a090a9
𠐪	U+2042A (U+2042A)	f0a090aa
𠐫	U+2042B (U+2042B)	f0a090ab
𠐬	U+2042C (U+2042C)	f0a090ac
𠐭	U+2042D (U+2042D)	f0a090ad
𠐮	U+2042E (U+2042E)	f0a090ae
𠐯	U+2042F (U+2042F)	f0a090af
𠐰	U+20430 (U+20430)	f0a090b0
𠐱	U+20431 (U+20431)	f0a090b1
𠐲	U+20432 (U+20432)	f0a090b2
𠐳	U+20433 (U+20433)	f0a090b3
𠐴	U+20434 (U+20434)	f0a090b4
𠐵	U+20435 (U+20435)	f0a090b5
𠐶	U+20436 (U+20436)	f0a090b6
𠐷	U+20437 (U+20437)	f0a090b7
𠐸	U+20438 (U+20438)	f0a090b8
𠐹	U+20439 (U+20439)	f0a090b9
𠐺	U+2043A (U+2043A)	f0a090ba
𠐻	U+2043B (U+2043B)	f0a090bb
𠐼	U+2043C (U+2043C)	f0a090bc
𠐽	U+2043D (U+2043D)	f0a090bd
𠐾	U+2043E (U+2043E)	f0a090be
𠐿	U+2043F (U+2043F)	f0a090bf
𠑀	U+20440 (U+20440)	f0a09180
𠑁	U+20441 (U+20441)	f0a09181
𠑂	U+20442 (U+20442)	f0a09182
𠑃	U+20443 (U+20443)	f0a09183
𠑄	U+20444 (U+20444)	f0a09184
𠑅	U+20445 (U+20445)	f0a09185
𠑆	U+20446 (U+20446)	f0a09186
𠑇	U+20447 (U+20447)	f0a09187
𠑈	U+20448 (U+20448)	f0a09188
𠑉	U+20449 (U+20449)	f0a09189
𠑊	U+2044A (U+2044A)	f0a0918a
𠑋	U+2044B (U+2044B)	f0a0918b
𠑌	U+2044C (U+2044C)	f0a0918c
𠑍	U+2044D (U+2044D)	f0a0918d
𠑎	U+2044E (U+2044E)	f0a0918e
𠑏	U+2044F (U+2044F)	f0a0918f
𠑐	U+20450 (U+20450)	f0a09190
𠑑	U+20451 (U+20451)	f0a09191
𠑒	U+20452 (U+20452)	f0a09192
𠑓	U+20453 (U+20453)	f0a09193
𠑔	U+20454 (U+20454)	f0a09194
𠑕	U+20455 (U+20455)	f0a09195
𠑖	U+20456 (U+20456)	f0a09196
𠑗	U+20457 (U+20457)	f0a09197
𠑘	U+20458 (U+20458)	f0a09198
𠑙	U+20459 (U+20459)	f0a09199
𠑚	U+2045A (U+2045A)	f0a0919a
𠑛	U+2045B (U+2045B)	f0a0919b
𠑜	U+2045C (U+2045C)	f0a0919c
𠑝	U+2045D (U+2045D)	f0a0919d
𠑞	U+2045E (U+2045E)	f0a0919e
𠑟	U+2045F (U+2045F)	f0a0919f
