𡯠	U+21BE0 (U+21BE0)	f0a1afa0
𡯡	U+21BE1 (U+21BE1)	f0a1afa1
𡯢	U+21BE2 (U+21BE2)	f0a1afa2
𡯣	U+21BE3 (U+21BE3)	f0a1afa3
𡯤	U+21BE4 (U+21BE4)	f0a1afa4
𡯥	U+21BE5 (U+21BE5)	f0a1afa5
𡯦	U+21BE6 (U+21BE6)	f0a1afa6
𡯧	U+21BE7 (U+21BE7)	f0a1afa7
𡯨	U+21BE8 (U+21BE8)	f0a1afa8
𡯩	U+21BE9 (U+21BE9)	f0a1afa9
𡯪	U+21BEA (U+21BEA)	f0a1afaa
𡯫	U+21BEB (U+21BEB)	f0a1afab
𡯬	U+21BEC (U+21BEC)	f0a1afac
𡯭	U+21BED (U+21BED)	f0a1afad
𡯮	U+21BEE (U+21BEE)	f0a1afae
𡯯	U+21BEF (U+21BEF)	f0a1afaf
𡯰	U+21BF0 (U+21BF0)	f0a1afb0
𡯱	U+21BF1 (U+21BF1)	f0a1afb1
𡯲	U+21BF2 (U+21BF2)	f0a1afb2
𡯳	U+21BF3 (U+21BF3)	f0a1afb3
𡯴	U+21BF4 (U+21BF4)	f0a1afb4
𡯵	U+21BF5 (U+21BF5)	f0a1afb5
𡯶	U+21BF6 (U+21BF6)	f0a1afb6
𡯷	U+21BF7 (U+21BF7)	f0a1afb7
𡯸	U+21BF8 (U+21BF8)	f0a1afb8
𡯹	U+21BF9 (U+21BF9)	f0a1afb9
𡯺	U+21BFA (U+21BFA)	f0a1afba
𡯻	U+21BFB (U+21BFB)	f0a1afbb
𡯼	U+21BFC (U+21BFC)	f0a1afbc
𡯽	U+21BFD (U+21BFD)	f0a1afbd
𡯾	U+21BFE (U+21BFE)	f0a1afbe
𡯿	U+21BFF (U+21BFF)	f0a1afbf
𡰀	U+21C00 (U+21C00)	f0a1b080
𡰁	U+21C01 (U+21C01)	f0a1b081
𡰂	U+21C02 (U+21C02)	f0a1b082
𡰃	U+21C03 (U+21C03)	f0a1b083
𡰄	U+21C04 (U+21C04)	f0a1b084
𡰅	U+21C05 (U+21C05)	f0a1b085
𡰆	U+21C06 (U+21C06)	f0a1b086
𡰇	U+21C07 (U+21C07)	f0a1b087
𡰈	U+21C08 (U+21C08)	f0a1b088
𡰉	U+21C09 (U+21C09)	f0a1b089
𡰊	U+21C0A (U+21C0A)	f0a1b08a
𡰋	U+21C0B (U+21C0B)	f0a1b08b
𡰌	U+21C0C (U+21C0C)	f0a1b08c
𡰍	U+21C0D (U+21C0D)	f0a1b08d
𡰎	U+21C0E (U+21C0E)	f0a1b08e
𡰏	U+21C0F (U+21C0F)	f0a1b08f
𡰐	U+21C10 (U+21C10)	f0a1b090
𡰑	U+21C11 (U+21C11)	f0a1b091
𡰒	U+21C12 (U+21C12)	f0a1b092
𡰓	U+21C13 (U+21C13)	f0a1b093
𡰔	U+21C14 (U+21C14)	f0a1b094
𡰕	U+21C15 (U+21C15)	f0a1b095
𡰖	U+21C16 (U+21C16)	f0a1b096
𡰗	U+21C17 (U+21C17)	f0a1b097
𡰘	U+21C18 (U+21C18)	f0a1b098
𡰙	U+21C19 (U+21C19)	f0a1b099
𡰚	U+21C1A (U+21C1A)	f0a1b09a
𡰛	U+21C1B (U+21C1B)	f0a1b09b
𡰜	U+21C1C (U+21C1C)	f0a1b09c
𡰝	U+21C1D (U+21C1D)	f0a1b09d
𡰞	U+21C1E (U+21C1E)	f0a1b09e
𡰟	U+21C1F (U+21C1F)	f0a1b09f
𡰠	U+21C20 (U+21C20)	f0a1b0a0
𡰡	U+21C21 (U+21C21)	f0a1b0a1
𡰢	U+21C22 (U+21C22)	f0a1b0a2
𡰣	U+21C23 (U+21C23)	f0a1b0a3
𡰤	U+21C24 (U+21C24)	f0a1b0a4
𡰥	U+21C25 (U+21C25)	f0a1b0a5
𡰦	U+21C26 (U+21C26)	f0a1b0a6
𡰧	U+21C27 (U+21C27)	f0a1b0a7
𡰨	U+21C28 (U+21C28)	f0a1b0a8
𡰩	U+21C29 (U+21C29)	f0a1b0a9
𡰪	(Cant.) end, bottom, rump (U+21C2A)	f0a1b0aa
𡰫	U+21C2B (U+21C2B)	f0a1b0ab
𡰬	U+21C2C (U+21C2C)	f0a1b0ac
𡰭	U+21C2D (U+21C2D)	f0a1b0ad
𡰮	U+21C2E (U+21C2E)	f0a1b0ae
𡰯	U+21C2F (U+21C2F)	f0a1b0af
𡰰	U+21C30 (U+21C30)	f0a1b0b0
𡰱	U+21C31 (U+21C31)	f0a1b0b1
𡰲	U+21C32 (U+21C32)	f0a1b0b2
𡰳	U+21C33 (U+21C33)	f0a1b0b3
𡰴	U+21C34 (U+21C34)	f0a1b0b4
𡰵	U+21C35 (U+21C35)	f0a1b0b5
𡰶	U+21C36 (U+21C36)	f0a1b0b6
𡰷	U+21C37 (U+21C37)	f0a1b0b7
𡰸	U+21C38 (U+21C38)	f0a1b0b8
𡰹	U+21C39 (U+21C39)	f0a1b0b9
𡰺	U+21C3A (U+21C3A)	f0a1b0ba
𡰻	U+21C3B (U+21C3B)	f0a1b0bb
𡰼	U+21C3C (U+21C3C)	f0a1b0bc
𡰽	U+21C3D (U+21C3D)	f0a1b0bd
𡰾	U+21C3E (U+21C3E)	f0a1b0be
𡰿	U+21C3F (U+21C3F)	f0a1b0bf
𡱀	U+21C40 (U+21C40)	f0a1b180
𡱁	U+21C41 (U+21C41)	f0a1b181
𡱂	U+21C42 (U+21C42)	f0a1b182
𡱃	U+21C43 (U+21C43)	f0a1b183
𡱄	U+21C44 (U+21C44)	f0a1b184
𡱅	U+21C45 (U+21C45)	f0a1b185
𡱆	to belong to; allied (U+21C46)	f0a1b186
𡱇	U+21C47 (U+21C47)	f0a1b187
𡱈	U+21C48 (U+21C48)	f0a1b188
𡱉	U+21C49 (U+21C49)	f0a1b189
𡱊	U+21C4A (U+21C4A)	f0a1b18a
𡱋	U+21C4B (U+21C4B)	f0a1b18b
𡱌	U+21C4C (U+21C4C)	f0a1b18c
𡱍	U+21C4D (U+21C4D)	f0a1b18d
𡱎	U+21C4E (U+21C4E)	f0a1b18e
𡱏	U+21C4F (U+21C4F)	f0a1b18f
𡱐	U+21C50 (U+21C50)	f0a1b190
𡱑	U+21C51 (U+21C51)	f0a1b191
𡱒	U+21C52 (U+21C52)	f0a1b192
𡱓	U+21C53 (U+21C53)	f0a1b193
𡱔	U+21C54 (U+21C54)	f0a1b194
𡱕	U+21C55 (U+21C55)	f0a1b195
𡱖	U+21C56 (U+21C56)	f0a1b196
𡱗	U+21C57 (U+21C57)	f0a1b197
𡱘	U+21C58 (U+21C58)	f0a1b198
𡱙	U+21C59 (U+21C59)	f0a1b199
𡱚	U+21C5A (U+21C5A)	f0a1b19a
𡱛	U+21C5B (U+21C5B)	f0a1b19b
𡱜	U+21C5C (U+21C5C)	f0a1b19c
𡱝	U+21C5D (U+21C5D)	f0a1b19d
𡱞	U+21C5E (U+21C5E)	f0a1b19e
𡱟	U+21C5F (U+21C5F)	f0a1b19f
𡱠	U+21C60 (U+21C60)	f0a1b1a0
𡱡	U+21C61 (U+21C61)	f0a1b1a1
𡱢	U+21C62 (U+21C62)	f0a1b1a2
𡱣	U+21C63 (U+21C63)	f0a1b1a3
𡱤	U+21C64 (U+21C64)	f0a1b1a4
𡱥	U+21C65 (U+21C65)	f0a1b1a5
𡱦	U+21C66 (U+21C66)	f0a1b1a6
𡱧	U+21C67 (U+21C67)	f0a1b1a7
𡱨	U+21C68 (U+21C68)	f0a1b1a8
𡱩	U+21C69 (U+21C69)	f0a1b1a9
𡱪	U+21C6A (U+21C6A)	f0a1b1aa
𡱫	U+21C6B (U+21C6B)	f0a1b1ab
𡱬	U+21C6C (U+21C6C)	f0a1b1ac
𡱭	U+21C6D (U+21C6D)	f0a1b1ad
𡱮	U+21C6E (U+21C6E)	f0a1b1ae
𡱯	U+21C6F (U+21C6F)	f0a1b1af
𡱰	U+21C70 (U+21C70)	f0a1b1b0
𡱱	U+21C71 (U+21C71)	f0a1b1b1
𡱲	U+21C72 (U+21C72)	f0a1b1b2
𡱳	U+21C73 (U+21C73)	f0a1b1b3
𡱴	U+21C74 (U+21C74)	f0a1b1b4
𡱵	U+21C75 (U+21C75)	f0a1b1b5
𡱶	U+21C76 (U+21C76)	f0a1b1b6
