𠿟	U+20FDF (U+20FDF)	f0a0bf9f
𠿠	U+20FE0 (U+20FE0)	f0a0bfa0
𠿡	U+20FE1 (U+20FE1)	f0a0bfa1
𠿢	U+20FE2 (U+20FE2)	f0a0bfa2
𠿣	U+20FE3 (U+20FE3)	f0a0bfa3
𠿤	U+20FE4 (U+20FE4)	f0a0bfa4
𠿥	U+20FE5 (U+20FE5)	f0a0bfa5
𠿦	U+20FE6 (U+20FE6)	f0a0bfa6
𠿧	U+20FE7 (U+20FE7)	f0a0bfa7
𠿨	U+20FE8 (U+20FE8)	f0a0bfa8
𠿩	U+20FE9 (U+20FE9)	f0a0bfa9
𠿪	(Cant.) final particle (U+20FEA)	f0a0bfaa
𠿫	(Cant.) shabby (U+20FEB)	f0a0bfab
𠿬	(Cant.) ignorant (U+20FEC)	f0a0bfac
𠿭	(Cant.) to go somewhere to have a good time (U+20FED)	f0a0bfad
𠿮	U+20FEE (U+20FEE)	f0a0bfae
𠿯	U+20FEF (U+20FEF)	f0a0bfaf
𠿰	U+20FF0 (U+20FF0)	f0a0bfb0
𠿱	U+20FF1 (U+20FF1)	f0a0bfb1
𠿲	U+20FF2 (U+20FF2)	f0a0bfb2
𠿳	U+20FF3 (U+20FF3)	f0a0bfb3
𠿴	U+20FF4 (U+20FF4)	f0a0bfb4
𠿵	U+20FF5 (U+20FF5)	f0a0bfb5
𠿶	U+20FF6 (U+20FF6)	f0a0bfb6
𠿷	U+20FF7 (U+20FF7)	f0a0bfb7
𠿸	U+20FF8 (U+20FF8)	f0a0bfb8
𠿹	U+20FF9 (U+20FF9)	f0a0bfb9
𠿺	U+20FFA (U+20FFA)	f0a0bfba
𠿻	U+20FFB (U+20FFB)	f0a0bfbb
𠿼	U+20FFC (U+20FFC)	f0a0bfbc
𠿽	U+20FFD (U+20FFD)	f0a0bfbd
𠿾	U+20FFE (U+20FFE)	f0a0bfbe
𠿿	U+20FFF (U+20FFF)	f0a0bfbf
𡀀	U+21000 (U+21000)	f0a18080
𡀁	U+21001 (U+21001)	f0a18081
𡀂	U+21002 (U+21002)	f0a18082
𡀃	U+21003 (U+21003)	f0a18083
𡀄	U+21004 (U+21004)	f0a18084
𡀅	U+21005 (U+21005)	f0a18085
𡀆	U+21006 (U+21006)	f0a18086
𡀇	U+21007 (U+21007)	f0a18087
𡀈	U+21008 (U+21008)	f0a18088
𡀉	U+21009 (U+21009)	f0a18089
𡀊	U+2100A (U+2100A)	f0a1808a
𡀋	U+2100B (U+2100B)	f0a1808b
𡀌	U+2100C (U+2100C)	f0a1808c
𡀍	U+2100D (U+2100D)	f0a1808d
𡀎	U+2100E (U+2100E)	f0a1808e
𡀏	U+2100F (U+2100F)	f0a1808f
𡀐	U+21010 (U+21010)	f0a18090
𡀑	U+21011 (U+21011)	f0a18091
𡀒	U+21012 (U+21012)	f0a18092
𡀓	U+21013 (U+21013)	f0a18093
𡀔	used in transliteration (U+21014)	f0a18094
𡀕	U+21015 (U+21015)	f0a18095
𡀖	U+21016 (U+21016)	f0a18096
𡀗	U+21017 (U+21017)	f0a18097
𡀘	U+21018 (U+21018)	f0a18098
𡀙	U+21019 (U+21019)	f0a18099
𡀚	U+2101A (U+2101A)	f0a1809a
𡀛	U+2101B (U+2101B)	f0a1809b
𡀜	U+2101C (U+2101C)	f0a1809c
𡀝	(Cant.) sound asleep (U+2101D)	f0a1809d
𡀞	(Cant.) a Jeep; to wave, beckon (U+2101E)	f0a1809e
𡀟	U+2101F (U+2101F)	f0a1809f
𡀠	or; emphatic particle; (Cant.) particle implying doubt (U+21020)	f0a180a0
𡀡	U+21021 (U+21021)	f0a180a1
𡀢	U+21022 (U+21022)	f0a180a2
𡀣	U+21023 (U+21023)	f0a180a3
𡀤	U+21024 (U+21024)	f0a180a4
𡀥	U+21025 (U+21025)	f0a180a5
𡀦	U+21026 (U+21026)	f0a180a6
𡀧	U+21027 (U+21027)	f0a180a7
𡀨	U+21028 (U+21028)	f0a180a8
𡀩	(Cant.) onomatopoetic (U+21029)	f0a180a9
𡀪	U+2102A (U+2102A)	f0a180aa
𡀫	U+2102B (U+2102B)	f0a180ab
𡀬	U+2102C (U+2102C)	f0a180ac
𡀭	U+2102D (U+2102D)	f0a180ad
𡀮	U+2102E (U+2102E)	f0a180ae
𡀯	U+2102F (U+2102F)	f0a180af
𡀰	U+21030 (U+21030)	f0a180b0
𡀱	U+21031 (U+21031)	f0a180b1
𡀲	U+21032 (U+21032)	f0a180b2
𡀳	U+21033 (U+21033)	f0a180b3
𡀴	U+21034 (U+21034)	f0a180b4
𡀵	U+21035 (U+21035)	f0a180b5
𡀶	U+21036 (U+21036)	f0a180b6
𡀷	U+21037 (U+21037)	f0a180b7
𡀸	U+21038 (U+21038)	f0a180b8
𡀹	U+21039 (U+21039)	f0a180b9
𡀺	U+2103A (U+2103A)	f0a180ba
𡀻	U+2103B (U+2103B)	f0a180bb
𡀼	U+2103C (U+2103C)	f0a180bc
𡀽	U+2103D (U+2103D)	f0a180bd
𡀾	U+2103E (U+2103E)	f0a180be
𡀿	U+2103F (U+2103F)	f0a180bf
𡁀	U+21040 (U+21040)	f0a18180
𡁁	U+21041 (U+21041)	f0a18181
𡁂	U+21042 (U+21042)	f0a18182
𡁃	U+21043 (U+21043)	f0a18183
𡁄	U+21044 (U+21044)	f0a18184
𡁅	U+21045 (U+21045)	f0a18185
𡁆	U+21046 (U+21046)	f0a18186
𡁇	U+21047 (U+21047)	f0a18187
𡁈	U+21048 (U+21048)	f0a18188
𡁉	U+21049 (U+21049)	f0a18189
𡁊	U+2104A (U+2104A)	f0a1818a
𡁋	U+2104B (U+2104B)	f0a1818b
𡁌	U+2104C (U+2104C)	f0a1818c
𡁍	U+2104D (U+2104D)	f0a1818d
𡁎	U+2104E (U+2104E)	f0a1818e
𡁏	(Cant.) soft rice or food for a baby (U+2104F)	f0a1818f
𡁐	U+21050 (U+21050)	f0a18190
𡁑	U+21051 (U+21051)	f0a18191
𡁒	U+21052 (U+21052)	f0a18192
𡁓	U+21053 (U+21053)	f0a18193
𡁔	U+21054 (U+21054)	f0a18194
𡁕	U+21055 (U+21055)	f0a18195
𡁖	U+21056 (U+21056)	f0a18196
𡁗	U+21057 (U+21057)	f0a18197
𡁘	U+21058 (U+21058)	f0a18198
𡁙	U+21059 (U+21059)	f0a18199
𡁚	U+2105A (U+2105A)	f0a1819a
𡁛	U+2105B (U+2105B)	f0a1819b
𡁜	(Cant.) particle to close a quote (U+2105C)	f0a1819c
𡁝	U+2105D (U+2105D)	f0a1819d
