🀦	MAHJONG TILE SPRING (U+1F026)	f09f80a6
🈚	SQUARED CJK UNIFIED IDEOGRAPH-7121 (U+1F21A)	f09f889a
🈛	SQUARED CJK UNIFIED IDEOGRAPH-6599 (U+1F21B)	f09f889b
🈜	SQUARED CJK UNIFIED IDEOGRAPH-524D (U+1F21C)	f09f889c
🈝	SQUARED CJK UNIFIED IDEOGRAPH-5F8C (U+1F21D)	f09f889d
🈞	SQUARED CJK UNIFIED IDEOGRAPH-518D (U+1F21E)	f09f889e
🈟	SQUARED CJK UNIFIED IDEOGRAPH-65B0 (U+1F21F)	f09f889f
🈠	SQUARED CJK UNIFIED IDEOGRAPH-521D (U+1F220)	f09f88a0
🈡	SQUARED CJK UNIFIED IDEOGRAPH-7D42 (U+1F221)	f09f88a1
🈢	SQUARED CJK UNIFIED IDEOGRAPH-751F (U+1F222)	f09f88a2
🈣	SQUARED CJK UNIFIED IDEOGRAPH-8CA9 (U+1F223)	f09f88a3
🈤	SQUARED CJK UNIFIED IDEOGRAPH-58F0 (U+1F224)	f09f88a4
🈥	SQUARED CJK UNIFIED IDEOGRAPH-5439 (U+1F225)	f09f88a5
🈦	SQUARED CJK UNIFIED IDEOGRAPH-6F14 (U+1F226)	f09f88a6
🈧	SQUARED CJK UNIFIED IDEOGRAPH-6295 (U+1F227)	f09f88a7
🈨	SQUARED CJK UNIFIED IDEOGRAPH-6355 (U+1F228)	f09f88a8
🈩	SQUARED CJK UNIFIED IDEOGRAPH-4E00 (U+1F229)	f09f88a9
🈪	SQUARED CJK UNIFIED IDEOGRAPH-4E09 (U+1F22A)	f09f88aa
🈫	SQUARED CJK UNIFIED IDEOGRAPH-904A (U+1F22B)	f09f88ab
🈬	SQUARED CJK UNIFIED IDEOGRAPH-5DE6 (U+1F22C)	f09f88ac
🈭	SQUARED CJK UNIFIED IDEOGRAPH-4E2D (U+1F22D)	f09f88ad
🈮	SQUARED CJK UNIFIED IDEOGRAPH-53F3 (U+1F22E)	f09f88ae
🈯	SQUARED CJK UNIFIED IDEOGRAPH-6307 (U+1F22F)	f09f88af
🈰	SQUARED CJK UNIFIED IDEOGRAPH-8D70 (U+1F230)	f09f88b0
🈱	SQUARED CJK UNIFIED IDEOGRAPH-6253 (U+1F231)	f09f88b1
🈲	SQUARED CJK UNIFIED IDEOGRAPH-7981 (U+1F232)	f09f88b2
🈳	SQUARED CJK UNIFIED IDEOGRAPH-7A7A (U+1F233)	f09f88b3
🈴	SQUARED CJK UNIFIED IDEOGRAPH-5408 (U+1F234)	f09f88b4
🈵	SQUARED CJK UNIFIED IDEOGRAPH-6E80 (U+1F235)	f09f88b5
🈶	SQUARED CJK UNIFIED IDEOGRAPH-6709 (U+1F236)	f09f88b6
🈷	SQUARED CJK UNIFIED IDEOGRAPH-6708 (U+1F237)	f09f88b7
🈸	SQUARED CJK UNIFIED IDEOGRAPH-7533 (U+1F238)	f09f88b8
🈹	SQUARED CJK UNIFIED IDEOGRAPH-5272 (U+1F239)	f09f88b9
🈺	SQUARED CJK UNIFIED IDEOGRAPH-55B6 (U+1F23A)	f09f88ba
🉀	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-672C (U+1F240)	f09f8980
🉁	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-4E09 (U+1F241)	f09f8981
🉂	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-4E8C (U+1F242)	f09f8982
🉃	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-5B89 (U+1F243)	f09f8983
🉄	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-70B9 (U+1F244)	f09f8984
🉅	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-6253 (U+1F245)	f09f8985
🉆	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-76D7 (U+1F246)	f09f8986
🉇	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-52DD (U+1F247)	f09f8987
🉈	TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRAPH-6557 (U+1F248)	f09f8988
🉐	CIRCLED IDEOGRAPH ADVANTAGE (U+1F250)	f09f8990
🉑	CIRCLED IDEOGRAPH ACCEPT (U+1F251)	f09f8991
🌀	CYCLONE (U+1F300)	f09f8c80
🌁	FOGGY (U+1F301)	f09f8c81
🌂	CLOSED UMBRELLA (U+1F302)	f09f8c82
🌃	NIGHT WITH STARS (U+1F303)	f09f8c83
🌄	SUNRISE OVER MOUNTAINS (U+1F304)	f09f8c84
🌅	SUNRISE (U+1F305)	f09f8c85
🌆	CITYSCAPE AT DUSK (U+1F306)	f09f8c86
🌇	SUNSET OVER BUILDINGS (U+1F307)	f09f8c87
🌈	RAINBOW (U+1F308)	f09f8c88
🌉	BRIDGE AT NIGHT (U+1F309)	f09f8c89
🌊	WATER WAVE (U+1F30A)	f09f8c8a
🌋	VOLCANO (U+1F30B)	f09f8c8b
🌌	MILKY WAY (U+1F30C)	f09f8c8c
🌍	EARTH GLOBE EUROPE-AFRICA (U+1F30D)	f09f8c8d
🌎	EARTH GLOBE AMERICAS (U+1F30E)	f09f8c8e
🌏	EARTH GLOBE ASIA-AUSTRALIA (U+1F30F)	f09f8c8f
🌐	GLOBE WITH MERIDIANS (U+1F310)	f09f8c90
🌑	NEW MOON SYMBOL (U+1F311)	f09f8c91
🌒	WAXING CRESCENT MOON SYMBOL (U+1F312)	f09f8c92
🌓	FIRST QUARTER MOON SYMBOL (U+1F313)	f09f8c93
🌔	WAXING GIBBOUS MOON SYMBOL (U+1F314)	f09f8c94
🌕	FULL MOON SYMBOL (U+1F315)	f09f8c95
🌖	WANING GIBBOUS MOON SYMBOL (U+1F316)	f09f8c96
🌗	LAST QUARTER MOON SYMBOL (U+1F317)	f09f8c97
🌘	WANING CRESCENT MOON SYMBOL (U+1F318)	f09f8c98
🌙	CRESCENT MOON (U+1F319)	f09f8c99
🌚	NEW MOON WITH FACE (U+1F31A)	f09f8c9a
🌛	FIRST QUARTER MOON WITH FACE (U+1F31B)	f09f8c9b
🌜	LAST QUARTER MOON WITH FACE (U+1F31C)	f09f8c9c
🌝	FULL MOON WITH FACE (U+1F31D)	f09f8c9d
🌞	SUN WITH FACE (U+1F31E)	f09f8c9e
🌟	GLOWING STAR (U+1F31F)	f09f8c9f
🌠	SHOOTING STAR (U+1F320)	f09f8ca0
🌰	CHESTNUT (U+1F330)	f09f8cb0
🌱	SEEDLING (U+1F331)	f09f8cb1
🌲	EVERGREEN TREE (U+1F332)	f09f8cb2
🌳	DECIDUOUS TREE (U+1F333)	f09f8cb3
🌴	PALM TREE (U+1F334)	f09f8cb4
🌵	CACTUS (U+1F335)	f09f8cb5
🌷	TULIP (U+1F337)	f09f8cb7
🌸	CHERRY BLOSSOM (U+1F338)	f09f8cb8
🌹	ROSE (U+1F339)	f09f8cb9
🌺	HIBISCUS (U+1F33A)	f09f8cba
🌻	SUNFLOWER (U+1F33B)	f09f8cbb
🌼	BLOSSOM (U+1F33C)	f09f8cbc
🌽	EAR OF MAIZE (U+1F33D)	f09f8cbd
🌾	EAR OF RICE (U+1F33E)	f09f8cbe
🌿	HERB (U+1F33F)	f09f8cbf
🍀	FOUR LEAF CLOVER (U+1F340)	f09f8d80
🍁	MAPLE LEAF (U+1F341)	f09f8d81
🍂	FALLEN LEAF (U+1F342)	f09f8d82
🍃	LEAF FLUTTERING IN WIND (U+1F343)	f09f8d83
🍄	MUSHROOM (U+1F344)	f09f8d84
🍅	TOMATO (U+1F345)	f09f8d85
🍆	AUBERGINE (U+1F346)	f09f8d86
🍇	GRAPES (U+1F347)	f09f8d87
🍈	MELON (U+1F348)	f09f8d88
🍉	WATERMELON (U+1F349)	f09f8d89
🍊	TANGERINE (U+1F34A)	f09f8d8a
🍋	LEMON (U+1F34B)	f09f8d8b
🍌	BANANA (U+1F34C)	f09f8d8c
🍍	PINEAPPLE (U+1F34D)	f09f8d8d
🍎	RED APPLE (U+1F34E)	f09f8d8e
🍏	GREEN APPLE (U+1F34F)	f09f8d8f
🍐	PEAR (U+1F350)	f09f8d90
🍑	PEACH (U+1F351)	f09f8d91
🍒	CHERRIES (U+1F352)	f09f8d92
🍓	STRAWBERRY (U+1F353)	f09f8d93
🍔	HAMBURGER (U+1F354)	f09f8d94
🍕	SLICE OF PIZZA (U+1F355)	f09f8d95
🍖	MEAT ON BONE (U+1F356)	f09f8d96
🍗	POULTRY LEG (U+1F357)	f09f8d97
🍘	RICE CRACKER (U+1F358)	f09f8d98
🍙	RICE BALL (U+1F359)	f09f8d99
🍚	COOKED RICE (U+1F35A)	f09f8d9a
🍛	CURRY AND RICE (U+1F35B)	f09f8d9b
🍜	STEAMING BOWL (U+1F35C)	f09f8d9c
🍝	SPAGHETTI (U+1F35D)	f09f8d9d
🍞	BREAD (U+1F35E)	f09f8d9e
🍟	FRENCH FRIES (U+1F35F)	f09f8d9f
🍠	ROASTED SWEET POTATO (U+1F360)	f09f8da0
🍡	DANGO (U+1F361)	f09f8da1
🍢	ODEN (U+1F362)	f09f8da2
🍣	SUSHI (U+1F363)	f09f8da3
🍤	FRIED SHRIMP (U+1F364)	f09f8da4
🍥	FISH CAKE WITH SWIRL DESIGN (U+1F365)	f09f8da5
🍦	SOFT ICE CREAM (U+1F366)	f09f8da6
🍧	SHAVED ICE (U+1F367)	f09f8da7
🍨	ICE CREAM (U+1F368)	f09f8da8
🍩	DOUGHNUT (U+1F369)	f09f8da9
🍪	COOKIE (U+1F36A)	f09f8daa
🍫	CHOCOLATE BAR (U+1F36B)	f09f8dab
🍬	CANDY (U+1F36C)	f09f8dac
🍭	LOLLIPOP (U+1F36D)	f09f8dad
🍮	CUSTARD (U+1F36E)	f09f8dae
🍯	HONEY POT (U+1F36F)	f09f8daf
🍰	SHORTCAKE (U+1F370)	f09f8db0
🍱	BENTO BOX (U+1F371)	f09f8db1
🍲	POT OF FOOD (U+1F372)	f09f8db2
🍳	COOKING (U+1F373)	f09f8db3
🍴	FORK AND KNIFE (U+1F374)	f09f8db4
🍵	TEACUP WITHOUT HANDLE (U+1F375)	f09f8db5
🍶	SAKE BOTTLE AND CUP (U+1F376)	f09f8db6
🍷	WINE GLASS (U+1F377)	f09f8db7
🍸	COCKTAIL GLASS (U+1F378)	f09f8db8
🍹	TROPICAL DRINK (U+1F379)	f09f8db9
🍺	BEER MUG (U+1F37A)	f09f8dba
🍻	CLINKING BEER MUGS (U+1F37B)	f09f8dbb
🍼	BABY BOTTLE (U+1F37C)	f09f8dbc
🎀	RIBBON (U+1F380)	f09f8e80
🎁	WRAPPED PRESENT (U+1F381)	f09f8e81
🎂	BIRTHDAY CAKE (U+1F382)	f09f8e82
🎃	JACK-O-LANTERN (U+1F383)	f09f8e83
🎄	CHRISTMAS TREE (U+1F384)	f09f8e84
🎅	FATHER CHRISTMAS (U+1F385)	f09f8e85
🎆	FIREWORKS (U+1F386)	f09f8e86
🎇	FIREWORK SPARKLER (U+1F387)	f09f8e87
🎈	BALLOON (U+1F388)	f09f8e88
🎉	PARTY POPPER (U+1F389)	f09f8e89
🎊	CONFETTI BALL (U+1F38A)	f09f8e8a
🎋	TANABATA TREE (U+1F38B)	f09f8e8b
🎌	CROSSED FLAGS (U+1F38C)	f09f8e8c
🎍	PINE DECORATION (U+1F38D)	f09f8e8d
🎎	JAPANESE DOLLS (U+1F38E)	f09f8e8e
🎏	CARP STREAMER (U+1F38F)	f09f8e8f
🎐	WIND CHIME (U+1F390)	f09f8e90
🎑	MOON VIEWING CEREMONY (U+1F391)	f09f8e91
🎒	SCHOOL SATCHEL (U+1F392)	f09f8e92
🎓	GRADUATION CAP (U+1F393)	f09f8e93
🎠	CAROUSEL HORSE (U+1F3A0)	f09f8ea0
🎡	FERRIS WHEEL (U+1F3A1)	f09f8ea1
🎢	ROLLER COASTER (U+1F3A2)	f09f8ea2
🎣	FISHING POLE AND FISH (U+1F3A3)	f09f8ea3
🎤	MICROPHONE (U+1F3A4)	f09f8ea4
🎥	MOVIE CAMERA (U+1F3A5)	f09f8ea5
🎦	CINEMA (U+1F3A6)	f09f8ea6
🎧	HEADPHONE (U+1F3A7)	f09f8ea7
🎨	ARTIST PALETTE (U+1F3A8)	f09f8ea8
🎩	TOP HAT (U+1F3A9)	f09f8ea9
🎪	CIRCUS TENT (U+1F3AA)	f09f8eaa
🎫	TICKET (U+1F3AB)	f09f8eab
🎬	CLAPPER BOARD (U+1F3AC)	f09f8eac
🎭	PERFORMING ARTS (U+1F3AD)	f09f8ead
🎮	VIDEO GAME (U+1F3AE)	f09f8eae
🎯	DIRECT HIT (U+1F3AF)	f09f8eaf
🎰	SLOT MACHINE (U+1F3B0)	f09f8eb0
🎱	BILLIARDS (U+1F3B1)	f09f8eb1
🎲	GAME DIE (U+1F3B2)	f09f8eb2
🎳	BOWLING (U+1F3B3)	f09f8eb3
🎴	FLOWER PLAYING CARDS (U+1F3B4)	f09f8eb4
🎵	MUSICAL NOTE (U+1F3B5)	f09f8eb5
🎶	MULTIPLE MUSICAL NOTES (U+1F3B6)	f09f8eb6
🎷	SAXOPHONE (U+1F3B7)	f09f8eb7
🎸	GUITAR (U+1F3B8)	f09f8eb8
🎹	MUSICAL KEYBOARD (U+1F3B9)	f09f8eb9
🎺	TRUMPET (U+1F3BA)	f09f8eba
🎻	VIOLIN (U+1F3BB)	f09f8ebb
🎼	MUSICAL SCORE (U+1F3BC)	f09f8ebc
🎽	RUNNING SHIRT WITH SASH (U+1F3BD)	f09f8ebd
🎾	TENNIS RACQUET AND BALL (U+1F3BE)	f09f8ebe
🎿	SKI AND SKI BOOT (U+1F3BF)	f09f8ebf
🏀	BASKETBALL AND HOOP (U+1F3C0)	f09f8f80
🏁	CHEQUERED FLAG (U+1F3C1)	f09f8f81
🏂	SNOWBOARDER (U+1F3C2)	f09f8f82
🏃	RUNNER (U+1F3C3)	f09f8f83
🏄	SURFER (U+1F3C4)	f09f8f84
🏆	TROPHY (U+1F3C6)	f09f8f86
🏇	HORSE RACING (U+1F3C7)	f09f8f87
🏈	AMERICAN FOOTBALL (U+1F3C8)	f09f8f88
🏉	RUGBY FOOTBALL (U+1F3C9)	f09f8f89
🏊	SWIMMER (U+1F3CA)	f09f8f8a
🏠	HOUSE BUILDING (U+1F3E0)	f09f8fa0
🏡	HOUSE WITH GARDEN (U+1F3E1)	f09f8fa1
🏢	OFFICE BUILDING (U+1F3E2)	f09f8fa2
🏣	JAPANESE POST OFFICE (U+1F3E3)	f09f8fa3
🏤	EUROPEAN POST OFFICE (U+1F3E4)	f09f8fa4
🏥	HOSPITAL (U+1F3E5)	f09f8fa5
🏦	BANK (U+1F3E6)	f09f8fa6
🏧	AUTOMATED TELLER MACHINE (U+1F3E7)	f09f8fa7
🏨	HOTEL (U+1F3E8)	f09f8fa8
🏩	LOVE HOTEL (U+1F3E9)	f09f8fa9
🏪	CONVENIENCE STORE (U+1F3EA)	f09f8faa
🏫	SCHOOL (U+1F3EB)	f09f8fab
🏬	DEPARTMENT STORE (U+1F3EC)	f09f8fac
🏭	FACTORY (U+1F3ED)	f09f8fad
🏮	IZAKAYA LANTERN (U+1F3EE)	f09f8fae
🏯	JAPANESE CASTLE (U+1F3EF)	f09f8faf
🏰	EUROPEAN CASTLE (U+1F3F0)	f09f8fb0
🐀	RAT (U+1F400)	f09f9080
🐁	MOUSE (U+1F401)	f09f9081
🐂	OX (U+1F402)	f09f9082
🐃	WATER BUFFALO (U+1F403)	f09f9083
🐄	COW (U+1F404)	f09f9084
🐅	TIGER (U+1F405)	f09f9085
🐆	LEOPARD (U+1F406)	f09f9086
🐇	RABBIT (U+1F407)	f09f9087
🐈	CAT (U+1F408)	f09f9088
🐉	DRAGON (U+1F409)	f09f9089
🐊	CROCODILE (U+1F40A)	f09f908a
🐋	WHALE (U+1F40B)	f09f908b
🐌	SNAIL (U+1F40C)	f09f908c
🐍	SNAKE (U+1F40D)	f09f908d
🐎	HORSE (U+1F40E)	f09f908e
🐏	RAM (U+1F40F)	f09f908f
🐐	GOAT (U+1F410)	f09f9090
🐑	SHEEP (U+1F411)	f09f9091
🐒	MONKEY (U+1F412)	f09f9092
🐓	ROOSTER (U+1F413)	f09f9093
🐔	CHICKEN (U+1F414)	f09f9094
🐕	DOG (U+1F415)	f09f9095
🐖	PIG (U+1F416)	f09f9096
🐗	BOAR (U+1F417)	f09f9097
🐘	ELEPHANT (U+1F418)	f09f9098
🐙	OCTOPUS (U+1F419)	f09f9099
🐚	SPIRAL SHELL (U+1F41A)	f09f909a
🐛	BUG (U+1F41B)	f09f909b
🐜	ANT (U+1F41C)	f09f909c
🐝	HONEYBEE (U+1F41D)	f09f909d
🐞	LADY BEETLE (U+1F41E)	f09f909e
🐟	FISH (U+1F41F)	f09f909f
🐠	TROPICAL FISH (U+1F420)	f09f90a0
🐡	BLOWFISH (U+1F421)	f09f90a1
🐢	TURTLE (U+1F422)	f09f90a2
🐣	HATCHING CHICK (U+1F423)	f09f90a3
🐤	BABY CHICK (U+1F424)	f09f90a4
🐥	FRONT-FACING BABY CHICK (U+1F425)	f09f90a5
🐦	BIRD (U+1F426)	f09f90a6
🐧	PENGUIN (U+1F427)	f09f90a7
🐨	KOALA (U+1F428)	f09f90a8
🐩	POODLE (U+1F429)	f09f90a9
🐪	DROMEDARY CAMEL (U+1F42A)	f09f90aa
🐫	BACTRIAN CAMEL (U+1F42B)	f09f90ab
🐬	DOLPHIN (U+1F42C)	f09f90ac
🐭	MOUSE FACE (U+1F42D)	f09f90ad
🐮	COW FACE (U+1F42E)	f09f90ae
🐯	TIGER FACE (U+1F42F)	f09f90af
🐰	RABBIT FACE (U+1F430)	f09f90b0
🐱	CAT FACE (U+1F431)	f09f90b1
🐲	DRAGON FACE (U+1F432)	f09f90b2
🐳	SPOUTING WHALE (U+1F433)	f09f90b3
🐴	HORSE FACE (U+1F434)	f09f90b4
🐵	MONKEY FACE (U+1F435)	f09f90b5
🐶	DOG FACE (U+1F436)	f09f90b6
🐷	PIG FACE (U+1F437)	f09f90b7
🐸	FROG FACE (U+1F438)	f09f90b8
🐹	HAMSTER FACE (U+1F439)	f09f90b9
🐺	WOLF FACE (U+1F43A)	f09f90ba
🐻	BEAR FACE (U+1F43B)	f09f90bb
🐼	PANDA FACE (U+1F43C)	f09f90bc
🐽	PIG NOSE (U+1F43D)	f09f90bd
🐾	PAW PRINTS (U+1F43E)	f09f90be
👀	EYES (U+1F440)	f09f9180
👂	EAR (U+1F442)	f09f9182
👃	NOSE (U+1F443)	f09f9183
👄	MOUTH (U+1F444)	f09f9184
👅	TONGUE (U+1F445)	f09f9185
👆	WHITE UP POINTING BACKHAND INDEX (U+1F446)	f09f9186
👇	WHITE DOWN POINTING BACKHAND INDEX (U+1F447)	f09f9187
👈	WHITE LEFT POINTING BACKHAND INDEX (U+1F448)	f09f9188
👉	WHITE RIGHT POINTING BACKHAND INDEX (U+1F449)	f09f9189
👊	FISTED HAND SIGN (U+1F44A)	f09f918a
👋	WAVING HAND SIGN (U+1F44B)	f09f918b
👌	OK HAND SIGN (U+1F44C)	f09f918c
👍	THUMBS UP SIGN (U+1F44D)	f09f918d
👎	THUMBS DOWN SIGN (U+1F44E)	f09f918e
👏	CLAPPING HANDS SIGN (U+1F44F)	f09f918f
👐	OPEN HANDS SIGN (U+1F450)	f09f9190
👑	CROWN (U+1F451)	f09f9191
👒	WOMANS HAT (U+1F452)	f09f9192
👓	EYEGLASSES (U+1F453)	f09f9193
👔	NECKTIE (U+1F454)	f09f9194
👕	T-SHIRT (U+1F455)	f09f9195
👖	JEANS (U+1F456)	f09f9196
👗	DRESS (U+1F457)	f09f9197
👘	KIMONO (U+1F458)	f09f9198
👙	BIKINI (U+1F459)	f09f9199
👚	WOMANS CLOTHES (U+1F45A)	f09f919a
👛	PURSE (U+1F45B)	f09f919b
👜	HANDBAG (U+1F45C)	f09f919c
👝	POUCH (U+1F45D)	f09f919d
👞	MANS SHOE (U+1F45E)	f09f919e
👟	ATHLETIC SHOE (U+1F45F)	f09f919f
👠	HIGH-HEELED SHOE (U+1F460)	f09f91a0
👡	WOMANS SANDAL (U+1F461)	f09f91a1
👢	WOMANS BOOTS (U+1F462)	f09f91a2
👣	FOOTPRINTS (U+1F463)	f09f91a3
👤	BUST IN SILHOUETTE (U+1F464)	f09f91a4
👥	BUSTS IN SILHOUETTE (U+1F465)	f09f91a5
👦	BOY (U+1F466)	f09f91a6
👧	GIRL (U+1F467)	f09f91a7
👨	MAN (U+1F468)	f09f91a8
👩	WOMAN (U+1F469)	f09f91a9
👪	FAMILY (U+1F46A)	f09f91aa
👫	MAN AND WOMAN HOLDING HANDS (U+1F46B)	f09f91ab
👬	TWO MEN HOLDING HANDS (U+1F46C)	f09f91ac
👭	TWO WOMEN HOLDING HANDS (U+1F46D)	f09f91ad
👮	POLICE OFFICER (U+1F46E)	f09f91ae
👯	WOMAN WITH BUNNY EARS (U+1F46F)	f09f91af
👰	BRIDE WITH VEIL (U+1F470)	f09f91b0
👱	PERSON WITH BLOND HAIR (U+1F471)	f09f91b1
👲	MAN WITH GUA PI MAO (U+1F472)	f09f91b2
👳	MAN WITH TURBAN (U+1F473)	f09f91b3
👴	OLDER MAN (U+1F474)	f09f91b4
👵	OLDER WOMAN (U+1F475)	f09f91b5
👶	BABY (U+1F476)	f09f91b6
👷	CONSTRUCTION WORKER (U+1F477)	f09f91b7
👸	PRINCESS (U+1F478)	f09f91b8
👹	JAPANESE OGRE (U+1F479)	f09f91b9
👺	JAPANESE GOBLIN (U+1F47A)	f09f91ba
👻	GHOST (U+1F47B)	f09f91bb
👼	BABY ANGEL (U+1F47C)	f09f91bc
👽	EXTRATERRESTRIAL ALIEN (U+1F47D)	f09f91bd
👾	ALIEN MONSTER (U+1F47E)	f09f91be
👿	IMP (U+1F47F)	f09f91bf
💀	SKULL (U+1F480)	f09f9280
💁	INFORMATION DESK PERSON (U+1F481)	f09f9281
💂	GUARDSMAN (U+1F482)	f09f9282
💃	DANCER (U+1F483)	f09f9283
💄	LIPSTICK (U+1F484)	f09f9284
💅	NAIL POLISH (U+1F485)	f09f9285
💆	FACE MASSAGE (U+1F486)	f09f9286
💇	HAIRCUT (U+1F487)	f09f9287
💈	BARBER POLE (U+1F488)	f09f9288
💉	SYRINGE (U+1F489)	f09f9289
💊	PILL (U+1F48A)	f09f928a
💋	KISS MARK (U+1F48B)	f09f928b
💌	LOVE LETTER (U+1F48C)	f09f928c
💍	RING (U+1F48D)	f09f928d
💎	GEM STONE (U+1F48E)	f09f928e
💏	KISS (U+1F48F)	f09f928f
💐	BOUQUET (U+1F490)	f09f9290
💑	COUPLE WITH HEART (U+1F491)	f09f9291
💒	WEDDING (U+1F492)	f09f9292
💓	BEATING HEART (U+1F493)	f09f9293
💔	BROKEN HEART (U+1F494)	f09f9294
💕	TWO HEARTS (U+1F495)	f09f9295
💖	SPARKLING HEART (U+1F496)	f09f9296
💗	GROWING HEART (U+1F497)	f09f9297
💘	HEART WITH ARROW (U+1F498)	f09f9298
💙	BLUE HEART (U+1F499)	f09f9299
💚	GREEN HEART (U+1F49A)	f09f929a
💛	YELLOW HEART (U+1F49B)	f09f929b
💜	PURPLE HEART (U+1F49C)	f09f929c
💝	HEART WITH RIBBON (U+1F49D)	f09f929d
💞	REVOLVING HEARTS (U+1F49E)	f09f929e
💟	HEART DECORATION (U+1F49F)	f09f929f
💠	DIAMOND SHAPE WITH A DOT INSIDE (U+1F4A0)	f09f92a0
💡	ELECTRIC LIGHT BULB (U+1F4A1)	f09f92a1
💢	ANGER SYMBOL (U+1F4A2)	f09f92a2
💣	BOMB (U+1F4A3)	f09f92a3
💤	SLEEPING SYMBOL (U+1F4A4)	f09f92a4
💥	COLLISION SYMBOL (U+1F4A5)	f09f92a5
💦	SPLASHING SWEAT SYMBOL (U+1F4A6)	f09f92a6
💧	DROPLET (U+1F4A7)	f09f92a7
💨	DASH SYMBOL (U+1F4A8)	f09f92a8
💩	PILE OF POO (U+1F4A9)	f09f92a9
💪	FLEXED BICEPS (U+1F4AA)	f09f92aa
💫	DIZZY SYMBOL (U+1F4AB)	f09f92ab
💬	SPEECH BALLOON (U+1F4AC)	f09f92ac
💭	THOUGHT BALLOON (U+1F4AD)	f09f92ad
💮	WHITE FLOWER (U+1F4AE)	f09f92ae
💯	HUNDRED POINTS SYMBOL (U+1F4AF)	f09f92af
💰	MONEY BAG (U+1F4B0)	f09f92b0
💱	CURRENCY EXCHANGE (U+1F4B1)	f09f92b1
💲	HEAVY DOLLAR SIGN (U+1F4B2)	f09f92b2
💳	CREDIT CARD (U+1F4B3)	f09f92b3
💴	BANKNOTE WITH YEN SIGN (U+1F4B4)	f09f92b4
💵	BANKNOTE WITH DOLLAR SIGN (U+1F4B5)	f09f92b5
💶	BANKNOTE WITH EURO SIGN (U+1F4B6)	f09f92b6
💷	BANKNOTE WITH POUND SIGN (U+1F4B7)	f09f92b7
💸	MONEY WITH WINGS (U+1F4B8)	f09f92b8
💹	CHART WITH UPWARDS TREND AND YEN SIGN (U+1F4B9)	f09f92b9
💺	SEAT (U+1F4BA)	f09f92ba
💻	PERSONAL COMPUTER (U+1F4BB)	f09f92bb
💼	BRIEFCASE (U+1F4BC)	f09f92bc
💽	MINIDISC (U+1F4BD)	f09f92bd
💾	FLOPPY DISK (U+1F4BE)	f09f92be
💿	OPTICAL DISC (U+1F4BF)	f09f92bf
📀	DVD (U+1F4C0)	f09f9380
📁	FILE FOLDER (U+1F4C1)	f09f9381
📂	OPEN FILE FOLDER (U+1F4C2)	f09f9382
📃	PAGE WITH CURL (U+1F4C3)	f09f9383
📄	PAGE FACING UP (U+1F4C4)	f09f9384
📅	CALENDAR (U+1F4C5)	f09f9385
📆	TEAR-OFF CALENDAR (U+1F4C6)	f09f9386
📇	CARD INDEX (U+1F4C7)	f09f9387
📈	CHART WITH UPWARDS TREND (U+1F4C8)	f09f9388
📉	CHART WITH DOWNWARDS TREND (U+1F4C9)	f09f9389
📊	BAR CHART (U+1F4CA)	f09f938a
📋	CLIPBOARD (U+1F4CB)	f09f938b
📌	PUSHPIN (U+1F4CC)	f09f938c
📍	ROUND PUSHPIN (U+1F4CD)	f09f938d
📎	PAPERCLIP (U+1F4CE)	f09f938e
📏	STRAIGHT RULER (U+1F4CF)	f09f938f
📐	TRIANGULAR RULER (U+1F4D0)	f09f9390
📑	BOOKMARK TABS (U+1F4D1)	f09f9391
📒	LEDGER (U+1F4D2)	f09f9392
📓	NOTEBOOK (U+1F4D3)	f09f9393
📔	NOTEBOOK WITH DECORATIVE COVER (U+1F4D4)	f09f9394
📕	CLOSED BOOK (U+1F4D5)	f09f9395
📖	OPEN BOOK (U+1F4D6)	f09f9396
📗	GREEN BOOK (U+1F4D7)	f09f9397
📘	BLUE BOOK (U+1F4D8)	f09f9398
📙	ORANGE BOOK (U+1F4D9)	f09f9399
📚	BOOKS (U+1F4DA)	f09f939a
📛	NAME BADGE (U+1F4DB)	f09f939b
📜	SCROLL (U+1F4DC)	f09f939c
📝	MEMO (U+1F4DD)	f09f939d
📞	TELEPHONE RECEIVER (U+1F4DE)	f09f939e
📟	PAGER (U+1F4DF)	f09f939f
📠	FAX MACHINE (U+1F4E0)	f09f93a0
📡	SATELLITE ANTENNA (U+1F4E1)	f09f93a1
📢	PUBLIC ADDRESS LOUDSPEAKER (U+1F4E2)	f09f93a2
📣	CHEERING MEGAPHONE (U+1F4E3)	f09f93a3
📤	OUTBOX TRAY (U+1F4E4)	f09f93a4
📥	INBOX TRAY (U+1F4E5)	f09f93a5
📦	PACKAGE (U+1F4E6)	f09f93a6
📧	E-MAIL SYMBOL (U+1F4E7)	f09f93a7
