🀦	MAHJONG TILE SPRING (U+1F026)	f09f80a6
🁼	DOMINO TILE VERTICAL-03-04 (U+1F07C)	f09f81bc
🁽	DOMINO TILE VERTICAL-03-05 (U+1F07D)	f09f81bd
🁾	DOMINO TILE VERTICAL-03-06 (U+1F07E)	f09f81be
🁿	DOMINO TILE VERTICAL-04-00 (U+1F07F)	f09f81bf
🂀	DOMINO TILE VERTICAL-04-01 (U+1F080)	f09f8280
🂁	DOMINO TILE VERTICAL-04-02 (U+1F081)	f09f8281
🂂	DOMINO TILE VERTICAL-04-03 (U+1F082)	f09f8282
🂃	DOMINO TILE VERTICAL-04-04 (U+1F083)	f09f8283
🂄	DOMINO TILE VERTICAL-04-05 (U+1F084)	f09f8284
🂅	DOMINO TILE VERTICAL-04-06 (U+1F085)	f09f8285
🂆	DOMINO TILE VERTICAL-05-00 (U+1F086)	f09f8286
🂇	DOMINO TILE VERTICAL-05-01 (U+1F087)	f09f8287
🂈	DOMINO TILE VERTICAL-05-02 (U+1F088)	f09f8288
🂉	DOMINO TILE VERTICAL-05-03 (U+1F089)	f09f8289
🂊	DOMINO TILE VERTICAL-05-04 (U+1F08A)	f09f828a
🂋	DOMINO TILE VERTICAL-05-05 (U+1F08B)	f09f828b
🂌	DOMINO TILE VERTICAL-05-06 (U+1F08C)	f09f828c
🂍	DOMINO TILE VERTICAL-06-00 (U+1F08D)	f09f828d
🂎	DOMINO TILE VERTICAL-06-01 (U+1F08E)	f09f828e
🂏	DOMINO TILE VERTICAL-06-02 (U+1F08F)	f09f828f
🂐	DOMINO TILE VERTICAL-06-03 (U+1F090)	f09f8290
🂑	DOMINO TILE VERTICAL-06-04 (U+1F091)	f09f8291
🂒	DOMINO TILE VERTICAL-06-05 (U+1F092)	f09f8292
🂓	DOMINO TILE VERTICAL-06-06 (U+1F093)	f09f8293
🂠	PLAYING CARD BACK (U+1F0A0)	f09f82a0
🂡	PLAYING CARD ACE OF SPADES (U+1F0A1)	f09f82a1
🂢	PLAYING CARD TWO OF SPADES (U+1F0A2)	f09f82a2
🂣	PLAYING CARD THREE OF SPADES (U+1F0A3)	f09f82a3
🂤	PLAYING CARD FOUR OF SPADES (U+1F0A4)	f09f82a4
🂥	PLAYING CARD FIVE OF SPADES (U+1F0A5)	f09f82a5
🂦	PLAYING CARD SIX OF SPADES (U+1F0A6)	f09f82a6
🂧	PLAYING CARD SEVEN OF SPADES (U+1F0A7)	f09f82a7
🂨	PLAYING CARD EIGHT OF SPADES (U+1F0A8)	f09f82a8
🂩	PLAYING CARD NINE OF SPADES (U+1F0A9)	f09f82a9
🂪	PLAYING CARD TEN OF SPADES (U+1F0AA)	f09f82aa
🂫	PLAYING CARD JACK OF SPADES (U+1F0AB)	f09f82ab
🂬	PLAYING CARD KNIGHT OF SPADES (U+1F0AC)	f09f82ac
🂭	PLAYING CARD QUEEN OF SPADES (U+1F0AD)	f09f82ad
🂮	PLAYING CARD KING OF SPADES (U+1F0AE)	f09f82ae
🂱	PLAYING CARD ACE OF HEARTS (U+1F0B1)	f09f82b1
🂲	PLAYING CARD TWO OF HEARTS (U+1F0B2)	f09f82b2
🂳	PLAYING CARD THREE OF HEARTS (U+1F0B3)	f09f82b3
🂴	PLAYING CARD FOUR OF HEARTS (U+1F0B4)	f09f82b4
🂵	PLAYING CARD FIVE OF HEARTS (U+1F0B5)	f09f82b5
🂶	PLAYING CARD SIX OF HEARTS (U+1F0B6)	f09f82b6
🂷	PLAYING CARD SEVEN OF HEARTS (U+1F0B7)	f09f82b7
🂸	PLAYING CARD EIGHT OF HEARTS (U+1F0B8)	f09f82b8
🂹	PLAYING CARD NINE OF HEARTS (U+1F0B9)	f09f82b9
🂺	PLAYING CARD TEN OF HEARTS (U+1F0BA)	f09f82ba
🂻	PLAYING CARD JACK OF HEARTS (U+1F0BB)	f09f82bb
