𣿠	U+23FE0 (U+23FE0)	f0a3bfa0
𣿡	U+23FE1 (U+23FE1)	f0a3bfa1
𣿢	U+23FE2 (U+23FE2)	f0a3bfa2
𣿣	U+23FE3 (U+23FE3)	f0a3bfa3
𣿤	U+23FE4 (U+23FE4)	f0a3bfa4
𣿥	U+23FE5 (U+23FE5)	f0a3bfa5
𣿦	U+23FE6 (U+23FE6)	f0a3bfa6
𣿧	U+23FE7 (U+23FE7)	f0a3bfa7
𣿨	U+23FE8 (U+23FE8)	f0a3bfa8
𣿩	U+23FE9 (U+23FE9)	f0a3bfa9
𣿪	U+23FEA (U+23FEA)	f0a3bfaa
𣿫	U+23FEB (U+23FEB)	f0a3bfab
𣿬	U+23FEC (U+23FEC)	f0a3bfac
𣿭	U+23FED (U+23FED)	f0a3bfad
𣿮	U+23FEE (U+23FEE)	f0a3bfae
𣿯	U+23FEF (U+23FEF)	f0a3bfaf
𣿰	U+23FF0 (U+23FF0)	f0a3bfb0
𣿱	U+23FF1 (U+23FF1)	f0a3bfb1
𣿲	U+23FF2 (U+23FF2)	f0a3bfb2
𣿳	U+23FF3 (U+23FF3)	f0a3bfb3
𣿴	U+23FF4 (U+23FF4)	f0a3bfb4
𣿵	U+23FF5 (U+23FF5)	f0a3bfb5
𣿶	U+23FF6 (U+23FF6)	f0a3bfb6
𣿷	U+23FF7 (U+23FF7)	f0a3bfb7
𣿸	U+23FF8 (U+23FF8)	f0a3bfb8
𣿹	U+23FF9 (U+23FF9)	f0a3bfb9
𣿺	U+23FFA (U+23FFA)	f0a3bfba
𣿻	U+23FFB (U+23FFB)	f0a3bfbb
𣿼	U+23FFC (U+23FFC)	f0a3bfbc
𣿽	U+23FFD (U+23FFD)	f0a3bfbd
𣿾	U+23FFE (U+23FFE)	f0a3bfbe
𣿿	U+23FFF (U+23FFF)	f0a3bfbf
𤀀	U+24000 (U+24000)	f0a48080
𤀁	U+24001 (U+24001)	f0a48081
𤀂	U+24002 (U+24002)	f0a48082
𤀃	U+24003 (U+24003)	f0a48083
𤀄	U+24004 (U+24004)	f0a48084
𤀅	U+24005 (U+24005)	f0a48085
𤀆	U+24006 (U+24006)	f0a48086
𤀇	U+24007 (U+24007)	f0a48087
𤀈	U+24008 (U+24008)	f0a48088
𤀉	U+24009 (U+24009)	f0a48089
𤀊	U+2400A (U+2400A)	f0a4808a
𤀋	U+2400B (U+2400B)	f0a4808b
𤀌	U+2400C (U+2400C)	f0a4808c
𤀍	U+2400D (U+2400D)	f0a4808d
𤀎	U+2400E (U+2400E)	f0a4808e
𤀏	U+2400F (U+2400F)	f0a4808f
𤀐	U+24010 (U+24010)	f0a48090
𤀑	U+24011 (U+24011)	f0a48091
𤀒	U+24012 (U+24012)	f0a48092
𤀓	U+24013 (U+24013)	f0a48093
𤀔	U+24014 (U+24014)	f0a48094
𤀕	U+24015 (U+24015)	f0a48095
𤀖	U+24016 (U+24016)	f0a48096
𤀗	U+24017 (U+24017)	f0a48097
𤀘	U+24018 (U+24018)	f0a48098
𤀙	U+24019 (U+24019)	f0a48099
𤀚	U+2401A (U+2401A)	f0a4809a
𤀛	U+2401B (U+2401B)	f0a4809b
𤀜	U+2401C (U+2401C)	f0a4809c
𤀝	U+2401D (U+2401D)	f0a4809d
𤀞	U+2401E (U+2401E)	f0a4809e
𤀟	U+2401F (U+2401F)	f0a4809f
𤀠	U+24020 (U+24020)	f0a480a0
𤀡	U+24021 (U+24021)	f0a480a1
𤀢	U+24022 (U+24022)	f0a480a2
𤀣	U+24023 (U+24023)	f0a480a3
𤀤	U+24024 (U+24024)	f0a480a4
𤀥	U+24025 (U+24025)	f0a480a5
𤀦	U+24026 (U+24026)	f0a480a6
𤀧	U+24027 (U+24027)	f0a480a7
𤀨	U+24028 (U+24028)	f0a480a8
𤀩	U+24029 (U+24029)	f0a480a9
𤀪	U+2402A (U+2402A)	f0a480aa
𤀫	U+2402B (U+2402B)	f0a480ab
𤀬	U+2402C (U+2402C)	f0a480ac
𤀭	U+2402D (U+2402D)	f0a480ad
𤀮	U+2402E (U+2402E)	f0a480ae
𤀯	U+2402F (U+2402F)	f0a480af
𤀰	U+24030 (U+24030)	f0a480b0
𤀱	U+24031 (U+24031)	f0a480b1
𤀲	U+24032 (U+24032)	f0a480b2
𤀳	U+24033 (U+24033)	f0a480b3
𤀴	U+24034 (U+24034)	f0a480b4
𤀵	U+24035 (U+24035)	f0a480b5
𤀶	U+24036 (U+24036)	f0a480b6
𤀷	U+24037 (U+24037)	f0a480b7
𤀸	U+24038 (U+24038)	f0a480b8
𤀹	U+24039 (U+24039)	f0a480b9
𤀺	U+2403A (U+2403A)	f0a480ba
𤀻	U+2403B (U+2403B)	f0a480bb
𤀼	U+2403C (U+2403C)	f0a480bc
𤀽	U+2403D (U+2403D)	f0a480bd
𤀾	U+2403E (U+2403E)	f0a480be
𤀿	U+2403F (U+2403F)	f0a480bf
𤁀	U+24040 (U+24040)	f0a48180
𤁁	U+24041 (U+24041)	f0a48181
𤁂	U+24042 (U+24042)	f0a48182
𤁃	U+24043 (U+24043)	f0a48183
𤁄	U+24044 (U+24044)	f0a48184
𤁅	U+24045 (U+24045)	f0a48185
𤁆	U+24046 (U+24046)	f0a48186
𤁇	U+24047 (U+24047)	f0a48187
𤁈	U+24048 (U+24048)	f0a48188
𤁉	U+24049 (U+24049)	f0a48189
𤁊	U+2404A (U+2404A)	f0a4818a
𤁋	U+2404B (U+2404B)	f0a4818b
𤁌	U+2404C (U+2404C)	f0a4818c
𤁍	U+2404D (U+2404D)	f0a4818d
𤁎	U+2404E (U+2404E)	f0a4818e
𤁏	U+2404F (U+2404F)	f0a4818f
𤁐	U+24050 (U+24050)	f0a48190
𤁑	U+24051 (U+24051)	f0a48191
𤁒	U+24052 (U+24052)	f0a48192
𤁓	U+24053 (U+24053)	f0a48193
𤁔	U+24054 (U+24054)	f0a48194
𤁕	U+24055 (U+24055)	f0a48195
𤁖	U+24056 (U+24056)	f0a48196
𤁗	U+24057 (U+24057)	f0a48197
𤁘	U+24058 (U+24058)	f0a48198
𤁙	U+24059 (U+24059)	f0a48199
𤁚	U+2405A (U+2405A)	f0a4819a
𤁛	U+2405B (U+2405B)	f0a4819b
𤁜	U+2405C (U+2405C)	f0a4819c
𤁝	U+2405D (U+2405D)	f0a4819d
𤁞	U+2405E (U+2405E)	f0a4819e
𤁟	U+2405F (U+2405F)	f0a4819f
𤁠	U+24060 (U+24060)	f0a481a0
𤁡	U+24061 (U+24061)	f0a481a1
𤁢	U+24062 (U+24062)	f0a481a2
𤁣	U+24063 (U+24063)	f0a481a3
𤁤	U+24064 (U+24064)	f0a481a4
𤁥	U+24065 (U+24065)	f0a481a5
𤁦	U+24066 (U+24066)	f0a481a6
