𢏫	U+223EB (U+223EB)	f0a28fab
𢏬	U+223EC (U+223EC)	f0a28fac
𢏭	U+223ED (U+223ED)	f0a28fad
𢏮	U+223EE (U+223EE)	f0a28fae
𢏯	U+223EF (U+223EF)	f0a28faf
𢏰	U+223F0 (U+223F0)	f0a28fb0
𢏱	U+223F1 (U+223F1)	f0a28fb1
𢏲	U+223F2 (U+223F2)	f0a28fb2
𢏳	pulled taut (U+223F3)	f0a28fb3
𢏴	U+223F4 (U+223F4)	f0a28fb4
𢏵	U+223F5 (U+223F5)	f0a28fb5
𢏶	U+223F6 (U+223F6)	f0a28fb6
𢏷	U+223F7 (U+223F7)	f0a28fb7
𢏸	U+223F8 (U+223F8)	f0a28fb8
𢏹	U+223F9 (U+223F9)	f0a28fb9
𢏺	U+223FA (U+223FA)	f0a28fba
𢏻	U+223FB (U+223FB)	f0a28fbb
𢏼	U+223FC (U+223FC)	f0a28fbc
𢏽	U+223FD (U+223FD)	f0a28fbd
𢏾	U+223FE (U+223FE)	f0a28fbe
𢏿	U+223FF (U+223FF)	f0a28fbf
𢐀	U+22400 (U+22400)	f0a29080
𢐁	U+22401 (U+22401)	f0a29081
𢐂	U+22402 (U+22402)	f0a29082
𢐃	U+22403 (U+22403)	f0a29083
𢐄	U+22404 (U+22404)	f0a29084
𢐅	U+22405 (U+22405)	f0a29085
𢐆	U+22406 (U+22406)	f0a29086
𢐇	U+22407 (U+22407)	f0a29087
𢐈	U+22408 (U+22408)	f0a29088
𢐉	U+22409 (U+22409)	f0a29089
𢐊	U+2240A (U+2240A)	f0a2908a
𢐋	U+2240B (U+2240B)	f0a2908b
𢐌	U+2240C (U+2240C)	f0a2908c
𢐍	U+2240D (U+2240D)	f0a2908d
𢐎	U+2240E (U+2240E)	f0a2908e
𢐏	U+2240F (U+2240F)	f0a2908f
𢐐	U+22410 (U+22410)	f0a29090
𢐑	U+22411 (U+22411)	f0a29091
𢐒	U+22412 (U+22412)	f0a29092
𢐓	U+22413 (U+22413)	f0a29093
𢐔	U+22414 (U+22414)	f0a29094
𢐕	U+22415 (U+22415)	f0a29095
𢐖	U+22416 (U+22416)	f0a29096
𢐗	U+22417 (U+22417)	f0a29097
𢐘	U+22418 (U+22418)	f0a29098
𢐙	U+22419 (U+22419)	f0a29099
