⺁	CJK RADICAL CLIFF (U+2E81)	e2ba81
あ	HIRAGANA LETTER A (U+3042)	e38182
ぃ	HIRAGANA LETTER SMALL I (U+3043)	e38183
い	HIRAGANA LETTER I (U+3044)	e38184
ぅ	HIRAGANA LETTER SMALL U (U+3045)	e38185
う	HIRAGANA LETTER U (U+3046)	e38186
ぇ	HIRAGANA LETTER SMALL E (U+3047)	e38187
え	HIRAGANA LETTER E (U+3048)	e38188
ぉ	HIRAGANA LETTER SMALL O (U+3049)	e38189
お	HIRAGANA LETTER O (U+304A)	e3818a
か	HIRAGANA LETTER KA (U+304B)	e3818b
が	HIRAGANA LETTER GA (U+304C)	e3818c
き	HIRAGANA LETTER KI (U+304D)	e3818d
ぎ	HIRAGANA LETTER GI (U+304E)	e3818e
く	HIRAGANA LETTER KU (U+304F)	e3818f
ぐ	HIRAGANA LETTER GU (U+3050)	e38190
け	HIRAGANA LETTER KE (U+3051)	e38191
げ	HIRAGANA LETTER GE (U+3052)	e38192
こ	HIRAGANA LETTER KO (U+3053)	e38193
ご	HIRAGANA LETTER GO (U+3054)	e38194
さ	HIRAGANA LETTER SA (U+3055)	e38195
ざ	HIRAGANA LETTER ZA (U+3056)	e38196
し	HIRAGANA LETTER SI (U+3057)	e38197
じ	HIRAGANA LETTER ZI (U+3058)	e38198
す	HIRAGANA LETTER SU (U+3059)	e38199
ず	HIRAGANA LETTER ZU (U+305A)	e3819a
せ	HIRAGANA LETTER SE (U+305B)	e3819b
ぜ	HIRAGANA LETTER ZE (U+305C)	e3819c
そ	HIRAGANA LETTER SO (U+305D)	e3819d
ぞ	HIRAGANA LETTER ZO (U+305E)	e3819e
た	HIRAGANA LETTER TA (U+305F)	e3819f
だ	HIRAGANA LETTER DA (U+3060)	e381a0
ち	HIRAGANA LETTER TI (U+3061)	e381a1
ぢ	HIRAGANA LETTER DI (U+3062)	e381a2
っ	HIRAGANA LETTER SMALL TU (U+3063)	e381a3
つ	HIRAGANA LETTER TU (U+3064)	e381a4
づ	HIRAGANA LETTER DU (U+3065)	e381a5
て	HIRAGANA LETTER TE (U+3066)	e381a6
で	HIRAGANA LETTER DE (U+3067)	e381a7
と	HIRAGANA LETTER TO (U+3068)	e381a8
ど	HIRAGANA LETTER DO (U+3069)	e381a9
な	HIRAGANA LETTER NA (U+306A)	e381aa
に	HIRAGANA LETTER NI (U+306B)	e381ab
ぬ	HIRAGANA LETTER NU (U+306C)	e381ac
ね	HIRAGANA LETTER NE (U+306D)	e381ad
の	HIRAGANA LETTER NO (U+306E)	e381ae
は	HIRAGANA LETTER HA (U+306F)	e381af
ば	HIRAGANA LETTER BA (U+3070)	e381b0
ぱ	HIRAGANA LETTER PA (U+3071)	e381b1
ひ	HIRAGANA LETTER HI (U+3072)	e381b2
び	HIRAGANA LETTER BI (U+3073)	e381b3
ぴ	HIRAGANA LETTER PI (U+3074)	e381b4
ふ	HIRAGANA LETTER HU (U+3075)	e381b5
ぶ	HIRAGANA LETTER BU (U+3076)	e381b6
ぷ	HIRAGANA LETTER PU (U+3077)	e381b7
へ	HIRAGANA LETTER HE (U+3078)	e381b8
べ	HIRAGANA LETTER BE (U+3079)	e381b9
ぺ	HIRAGANA LETTER PE (U+307A)	e381ba
ほ	HIRAGANA LETTER HO (U+307B)	e381bb
ぼ	HIRAGANA LETTER BO (U+307C)	e381bc
ぽ	HIRAGANA LETTER PO (U+307D)	e381bd
ま	HIRAGANA LETTER MA (U+307E)	e381be
み	HIRAGANA LETTER MI (U+307F)	e381bf
む	HIRAGANA LETTER MU (U+3080)	e38280
め	HIRAGANA LETTER ME (U+3081)	e38281
も	HIRAGANA LETTER MO (U+3082)	e38282
ゃ	HIRAGANA LETTER SMALL YA (U+3083)	e38283
や	HIRAGANA LETTER YA (U+3084)	e38284
ゅ	HIRAGANA LETTER SMALL YU (U+3085)	e38285
ゆ	HIRAGANA LETTER YU (U+3086)	e38286
ょ	HIRAGANA LETTER SMALL YO (U+3087)	e38287
よ	HIRAGANA LETTER YO (U+3088)	e38288
ら	HIRAGANA LETTER RA (U+3089)	e38289
り	HIRAGANA LETTER RI (U+308A)	e3828a
る	HIRAGANA LETTER RU (U+308B)	e3828b
れ	HIRAGANA LETTER RE (U+308C)	e3828c
ろ	HIRAGANA LETTER RO (U+308D)	e3828d
ゎ	HIRAGANA LETTER SMALL WA (U+308E)	e3828e
わ	HIRAGANA LETTER WA (U+308F)	e3828f
ゐ	HIRAGANA LETTER WI (U+3090)	e38290
ゑ	HIRAGANA LETTER WE (U+3091)	e38291
を	HIRAGANA LETTER WO (U+3092)	e38292
ん	HIRAGANA LETTER N (U+3093)	e38293
ゔ	HIRAGANA LETTER VU (U+3094)	e38294
ゕ	HIRAGANA LETTER SMALL KA (U+3095)	e38295
ゖ	HIRAGANA LETTER SMALL KE (U+3096)	e38296
゙	COMBINING KATAKANA-HIRAGANA VOICED SOUND MARK (U+3099)	e38299
゚	COMBINING KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK (U+309A)	e3829a
゛	KATAKANA-HIRAGANA VOICED SOUND MARK (U+309B)	e3829b
゜	KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK (U+309C)	e3829c
ゝ	HIRAGANA ITERATION MARK (U+309D)	e3829d
ゞ	HIRAGANA VOICED ITERATION MARK (U+309E)	e3829e
ゟ	HIRAGANA DIGRAPH YORI (U+309F)	e3829f
゠	KATAKANA-HIRAGANA DOUBLE HYPHEN (U+30A0)	e382a0
ァ	KATAKANA LETTER SMALL A (U+30A1)	e382a1
ア	KATAKANA LETTER A (U+30A2)	e382a2
ィ	KATAKANA LETTER SMALL I (U+30A3)	e382a3
イ	KATAKANA LETTER I (U+30A4)	e382a4
ゥ	KATAKANA LETTER SMALL U (U+30A5)	e382a5
ウ	KATAKANA LETTER U (U+30A6)	e382a6
ェ	KATAKANA LETTER SMALL E (U+30A7)	e382a7
エ	KATAKANA LETTER E (U+30A8)	e382a8
ォ	KATAKANA LETTER SMALL O (U+30A9)	e382a9
オ	KATAKANA LETTER O (U+30AA)	e382aa
カ	KATAKANA LETTER KA (U+30AB)	e382ab
ガ	KATAKANA LETTER GA (U+30AC)	e382ac
キ	KATAKANA LETTER KI (U+30AD)	e382ad
ギ	KATAKANA LETTER GI (U+30AE)	e382ae
ク	KATAKANA LETTER KU (U+30AF)	e382af
グ	KATAKANA LETTER GU (U+30B0)	e382b0
ケ	KATAKANA LETTER KE (U+30B1)	e382b1
ゲ	KATAKANA LETTER GE (U+30B2)	e382b2
コ	KATAKANA LETTER KO (U+30B3)	e382b3
ゴ	KATAKANA LETTER GO (U+30B4)	e382b4
サ	KATAKANA LETTER SA (U+30B5)	e382b5
ザ	KATAKANA LETTER ZA (U+30B6)	e382b6
シ	KATAKANA LETTER SI (U+30B7)	e382b7
ジ	KATAKANA LETTER ZI (U+30B8)	e382b8
ス	KATAKANA LETTER SU (U+30B9)	e382b9
ズ	KATAKANA LETTER ZU (U+30BA)	e382ba
セ	KATAKANA LETTER SE (U+30BB)	e382bb
ゼ	KATAKANA LETTER ZE (U+30BC)	e382bc
ソ	KATAKANA LETTER SO (U+30BD)	e382bd
ゾ	KATAKANA LETTER ZO (U+30BE)	e382be
タ	KATAKANA LETTER TA (U+30BF)	e382bf
ダ	KATAKANA LETTER DA (U+30C0)	e38380
チ	KATAKANA LETTER TI (U+30C1)	e38381
ヂ	KATAKANA LETTER DI (U+30C2)	e38382
ッ	KATAKANA LETTER SMALL TU (U+30C3)	e38383
ツ	KATAKANA LETTER TU (U+30C4)	e38384
ヅ	KATAKANA LETTER DU (U+30C5)	e38385
テ	KATAKANA LETTER TE (U+30C6)	e38386
デ	KATAKANA LETTER DE (U+30C7)	e38387
ト	KATAKANA LETTER TO (U+30C8)	e38388
ド	KATAKANA LETTER DO (U+30C9)	e38389
ナ	KATAKANA LETTER NA (U+30CA)	e3838a
ニ	KATAKANA LETTER NI (U+30CB)	e3838b
ヌ	KATAKANA LETTER NU (U+30CC)	e3838c
ネ	KATAKANA LETTER NE (U+30CD)	e3838d
ノ	KATAKANA LETTER NO (U+30CE)	e3838e
ハ	KATAKANA LETTER HA (U+30CF)	e3838f
バ	KATAKANA LETTER BA (U+30D0)	e38390
パ	KATAKANA LETTER PA (U+30D1)	e38391
ヒ	KATAKANA LETTER HI (U+30D2)	e38392
ビ	KATAKANA LETTER BI (U+30D3)	e38393
ピ	KATAKANA LETTER PI (U+30D4)	e38394
フ	KATAKANA LETTER HU (U+30D5)	e38395
ブ	KATAKANA LETTER BU (U+30D6)	e38396
プ	KATAKANA LETTER PU (U+30D7)	e38397
ヘ	KATAKANA LETTER HE (U+30D8)	e38398
ベ	KATAKANA LETTER BE (U+30D9)	e38399
ペ	KATAKANA LETTER PE (U+30DA)	e3839a
ホ	KATAKANA LETTER HO (U+30DB)	e3839b
ボ	KATAKANA LETTER BO (U+30DC)	e3839c
ポ	KATAKANA LETTER PO (U+30DD)	e3839d
マ	KATAKANA LETTER MA (U+30DE)	e3839e
ミ	KATAKANA LETTER MI (U+30DF)	e3839f
ム	KATAKANA LETTER MU (U+30E0)	e383a0
メ	KATAKANA LETTER ME (U+30E1)	e383a1
モ	KATAKANA LETTER MO (U+30E2)	e383a2
ャ	KATAKANA LETTER SMALL YA (U+30E3)	e383a3
ヤ	KATAKANA LETTER YA (U+30E4)	e383a4
ュ	KATAKANA LETTER SMALL YU (U+30E5)	e383a5
ユ	KATAKANA LETTER YU (U+30E6)	e383a6
ョ	KATAKANA LETTER SMALL YO (U+30E7)	e383a7
ヨ	KATAKANA LETTER YO (U+30E8)	e383a8
ラ	KATAKANA LETTER RA (U+30E9)	e383a9
リ	KATAKANA LETTER RI (U+30EA)	e383aa
ル	KATAKANA LETTER RU (U+30EB)	e383ab
レ	KATAKANA LETTER RE (U+30EC)	e383ac
ロ	KATAKANA LETTER RO (U+30ED)	e383ad
ヮ	KATAKANA LETTER SMALL WA (U+30EE)	e383ae
ワ	KATAKANA LETTER WA (U+30EF)	e383af
ヰ	KATAKANA LETTER WI (U+30F0)	e383b0
ヱ	KATAKANA LETTER WE (U+30F1)	e383b1
ヲ	KATAKANA LETTER WO (U+30F2)	e383b2
ン	KATAKANA LETTER N (U+30F3)	e383b3
ヴ	KATAKANA LETTER VU (U+30F4)	e383b4
ヵ	KATAKANA LETTER SMALL KA (U+30F5)	e383b5
ヶ	KATAKANA LETTER SMALL KE (U+30F6)	e383b6
ヷ	KATAKANA LETTER VA (U+30F7)	e383b7
ヸ	KATAKANA LETTER VI (U+30F8)	e383b8
ヹ	KATAKANA LETTER VE (U+30F9)	e383b9
ヺ	KATAKANA LETTER VO (U+30FA)	e383ba
・	KATAKANA MIDDLE DOT (U+30FB)	e383bb
ー	KATAKANA-HIRAGANA PROLONGED SOUND MARK (U+30FC)	e383bc
ヽ	KATAKANA ITERATION MARK (U+30FD)	e383bd
ヾ	KATAKANA VOICED ITERATION MARK (U+30FE)	e383be
ヿ	KATAKANA DIGRAPH KOTO (U+30FF)	e383bf
ㄅ	BOPOMOFO LETTER B (U+3105)	e38485
ㄆ	BOPOMOFO LETTER P (U+3106)	e38486
ㄇ	BOPOMOFO LETTER M (U+3107)	e38487
ㄈ	BOPOMOFO LETTER F (U+3108)	e38488
ㄉ	BOPOMOFO LETTER D (U+3109)	e38489
ㄊ	BOPOMOFO LETTER T (U+310A)	e3848a
ㄋ	BOPOMOFO LETTER N (U+310B)	e3848b
ㄌ	BOPOMOFO LETTER L (U+310C)	e3848c
ㄍ	BOPOMOFO LETTER G (U+310D)	e3848d
ㄎ	BOPOMOFO LETTER K (U+310E)	e3848e
ㄏ	BOPOMOFO LETTER H (U+310F)	e3848f
ㄐ	BOPOMOFO LETTER J (U+3110)	e38490
ㄑ	BOPOMOFO LETTER Q (U+3111)	e38491
ㄒ	BOPOMOFO LETTER X (U+3112)	e38492
ㄓ	BOPOMOFO LETTER ZH (U+3113)	e38493
ㄔ	BOPOMOFO LETTER CH (U+3114)	e38494
ㄕ	BOPOMOFO LETTER SH (U+3115)	e38495
ㄖ	BOPOMOFO LETTER R (U+3116)	e38496
ㄗ	BOPOMOFO LETTER Z (U+3117)	e38497
ㄘ	BOPOMOFO LETTER C (U+3118)	e38498
ㄙ	BOPOMOFO LETTER S (U+3119)	e38499
ㄚ	BOPOMOFO LETTER A (U+311A)	e3849a
ㄛ	BOPOMOFO LETTER O (U+311B)	e3849b
ㄜ	BOPOMOFO LETTER E (U+311C)	e3849c
ㄝ	BOPOMOFO LETTER EH (U+311D)	e3849d
ㄞ	BOPOMOFO LETTER AI (U+311E)	e3849e
ㄟ	BOPOMOFO LETTER EI (U+311F)	e3849f
ㄠ	BOPOMOFO LETTER AU (U+3120)	e384a0
ㄡ	BOPOMOFO LETTER OU (U+3121)	e384a1
ㄢ	BOPOMOFO LETTER AN (U+3122)	e384a2
ㄣ	BOPOMOFO LETTER EN (U+3123)	e384a3
ㄤ	BOPOMOFO LETTER ANG (U+3124)	e384a4
ㄥ	BOPOMOFO LETTER ENG (U+3125)	e384a5
ㄦ	BOPOMOFO LETTER ER (U+3126)	e384a6
ㄧ	BOPOMOFO LETTER I (U+3127)	e384a7
ㄨ	BOPOMOFO LETTER U (U+3128)	e384a8
ㄩ	BOPOMOFO LETTER IU (U+3129)	e384a9
ㄪ	BOPOMOFO LETTER V (U+312A)	e384aa
ㄫ	BOPOMOFO LETTER NG (U+312B)	e384ab
ㄬ	BOPOMOFO LETTER GN (U+312C)	e384ac
ㄭ	BOPOMOFO LETTER IH (U+312D)	e384ad
ㄱ	HANGUL LETTER KIYEOK (U+3131)	e384b1
ㄲ	HANGUL LETTER SSANGKIYEOK (U+3132)	e384b2
ㄳ	HANGUL LETTER KIYEOK-SIOS (U+3133)	e384b3
ㄴ	HANGUL LETTER NIEUN (U+3134)	e384b4
ㄵ	HANGUL LETTER NIEUN-CIEUC (U+3135)	e384b5
ㄶ	HANGUL LETTER NIEUN-HIEUH (U+3136)	e384b6
ㄷ	HANGUL LETTER TIKEUT (U+3137)	e384b7
ㄸ	HANGUL LETTER SSANGTIKEUT (U+3138)	e384b8
ㄹ	HANGUL LETTER RIEUL (U+3139)	e384b9
ㄺ	HANGUL LETTER RIEUL-KIYEOK (U+313A)	e384ba
ㄻ	HANGUL LETTER RIEUL-MIEUM (U+313B)	e384bb
ㄼ	HANGUL LETTER RIEUL-PIEUP (U+313C)	e384bc
ㄽ	HANGUL LETTER RIEUL-SIOS (U+313D)	e384bd
ㄾ	HANGUL LETTER RIEUL-THIEUTH (U+313E)	e384be
ㄿ	HANGUL LETTER RIEUL-PHIEUPH (U+313F)	e384bf
ㅀ	HANGUL LETTER RIEUL-HIEUH (U+3140)	e38580
ㅁ	HANGUL LETTER MIEUM (U+3141)	e38581
ㅂ	HANGUL LETTER PIEUP (U+3142)	e38582
ㅃ	HANGUL LETTER SSANGPIEUP (U+3143)	e38583
ㅄ	HANGUL LETTER PIEUP-SIOS (U+3144)	e38584
ㅅ	HANGUL LETTER SIOS (U+3145)	e38585
ㅆ	HANGUL LETTER SSANGSIOS (U+3146)	e38586
ㅇ	HANGUL LETTER IEUNG (U+3147)	e38587
ㅈ	HANGUL LETTER CIEUC (U+3148)	e38588
ㅉ	HANGUL LETTER SSANGCIEUC (U+3149)	e38589
ㅊ	HANGUL LETTER CHIEUCH (U+314A)	e3858a
ㅋ	HANGUL LETTER KHIEUKH (U+314B)	e3858b
ㅌ	HANGUL LETTER THIEUTH (U+314C)	e3858c
ㅍ	HANGUL LETTER PHIEUPH (U+314D)	e3858d
ㅎ	HANGUL LETTER HIEUH (U+314E)	e3858e
ㅏ	HANGUL LETTER A (U+314F)	e3858f
ㅐ	HANGUL LETTER AE (U+3150)	e38590
ㅑ	HANGUL LETTER YA (U+3151)	e38591
ㅒ	HANGUL LETTER YAE (U+3152)	e38592
ㅓ	HANGUL LETTER EO (U+3153)	e38593
ㅔ	HANGUL LETTER E (U+3154)	e38594
ㅕ	HANGUL LETTER YEO (U+3155)	e38595
ㅖ	HANGUL LETTER YE (U+3156)	e38596
ㅗ	HANGUL LETTER O (U+3157)	e38597
ㅘ	HANGUL LETTER WA (U+3158)	e38598
ㅙ	HANGUL LETTER WAE (U+3159)	e38599
ㅚ	HANGUL LETTER OE (U+315A)	e3859a
ㅛ	HANGUL LETTER YO (U+315B)	e3859b
ㅜ	HANGUL LETTER U (U+315C)	e3859c
ㅝ	HANGUL LETTER WEO (U+315D)	e3859d
ㅞ	HANGUL LETTER WE (U+315E)	e3859e
ㅟ	HANGUL LETTER WI (U+315F)	e3859f
ㅠ	HANGUL LETTER YU (U+3160)	e385a0
ㅡ	HANGUL LETTER EU (U+3161)	e385a1
ㅢ	HANGUL LETTER YI (U+3162)	e385a2
ㅣ	HANGUL LETTER I (U+3163)	e385a3
ㅤ	HANGUL FILLER (U+3164)	e385a4
ㅥ	HANGUL LETTER SSANGNIEUN (U+3165)	e385a5
ㅦ	HANGUL LETTER NIEUN-TIKEUT (U+3166)	e385a6
ㅧ	HANGUL LETTER NIEUN-SIOS (U+3167)	e385a7
ㅨ	HANGUL LETTER NIEUN-PANSIOS (U+3168)	e385a8
ㅩ	HANGUL LETTER RIEUL-KIYEOK-SIOS (U+3169)	e385a9
ㅪ	HANGUL LETTER RIEUL-TIKEUT (U+316A)	e385aa
ㅫ	HANGUL LETTER RIEUL-PIEUP-SIOS (U+316B)	e385ab
ㅬ	HANGUL LETTER RIEUL-PANSIOS (U+316C)	e385ac
ㅭ	HANGUL LETTER RIEUL-YEORINHIEUH (U+316D)	e385ad
ㅮ	HANGUL LETTER MIEUM-PIEUP (U+316E)	e385ae
ㅯ	HANGUL LETTER MIEUM-SIOS (U+316F)	e385af
ㅰ	HANGUL LETTER MIEUM-PANSIOS (U+3170)	e385b0
ㅱ	HANGUL LETTER KAPYEOUNMIEUM (U+3171)	e385b1
ㅲ	HANGUL LETTER PIEUP-KIYEOK (U+3172)	e385b2
ㅳ	HANGUL LETTER PIEUP-TIKEUT (U+3173)	e385b3
ㅴ	HANGUL LETTER PIEUP-SIOS-KIYEOK (U+3174)	e385b4
ㅵ	HANGUL LETTER PIEUP-SIOS-TIKEUT (U+3175)	e385b5
ㅶ	HANGUL LETTER PIEUP-CIEUC (U+3176)	e385b6
ㅷ	HANGUL LETTER PIEUP-THIEUTH (U+3177)	e385b7
ㅸ	HANGUL LETTER KAPYEOUNPIEUP (U+3178)	e385b8
ㅹ	HANGUL LETTER KAPYEOUNSSANGPIEUP (U+3179)	e385b9
ㅺ	HANGUL LETTER SIOS-KIYEOK (U+317A)	e385ba
ㅻ	HANGUL LETTER SIOS-NIEUN (U+317B)	e385bb
ㅼ	HANGUL LETTER SIOS-TIKEUT (U+317C)	e385bc
ㅽ	HANGUL LETTER SIOS-PIEUP (U+317D)	e385bd
ㅾ	HANGUL LETTER SIOS-CIEUC (U+317E)	e385be
ㅿ	HANGUL LETTER PANSIOS (U+317F)	e385bf
ㆀ	HANGUL LETTER SSANGIEUNG (U+3180)	e38680
ㆁ	HANGUL LETTER YESIEUNG (U+3181)	e38681
ㆂ	HANGUL LETTER YESIEUNG-SIOS (U+3182)	e38682
ㆃ	HANGUL LETTER YESIEUNG-PANSIOS (U+3183)	e38683
ㆄ	HANGUL LETTER KAPYEOUNPHIEUPH (U+3184)	e38684
ㆅ	HANGUL LETTER SSANGHIEUH (U+3185)	e38685
ㆆ	HANGUL LETTER YEORINHIEUH (U+3186)	e38686
ㆇ	HANGUL LETTER YO-YA (U+3187)	e38687
ㆈ	HANGUL LETTER YO-YAE (U+3188)	e38688
ㆉ	HANGUL LETTER YO-I (U+3189)	e38689
ㆊ	HANGUL LETTER YU-YEO (U+318A)	e3868a
ㆋ	HANGUL LETTER YU-YE (U+318B)	e3868b
ㆌ	HANGUL LETTER YU-I (U+318C)	e3868c
ㆍ	HANGUL LETTER ARAEA (U+318D)	e3868d
ㆎ	HANGUL LETTER ARAEAE (U+318E)	e3868e
㆐	IDEOGRAPHIC ANNOTATION LINKING MARK (U+3190)	e38690
㆑	IDEOGRAPHIC ANNOTATION REVERSE MARK (U+3191)	e38691
㆒	IDEOGRAPHIC ANNOTATION ONE MARK (U+3192)	e38692
㆓	IDEOGRAPHIC ANNOTATION TWO MARK (U+3193)	e38693
㆔	IDEOGRAPHIC ANNOTATION THREE MARK (U+3194)	e38694
㆕	IDEOGRAPHIC ANNOTATION FOUR MARK (U+3195)	e38695
㆖	IDEOGRAPHIC ANNOTATION TOP MARK (U+3196)	e38696
㆗	IDEOGRAPHIC ANNOTATION MIDDLE MARK (U+3197)	e38697
㆘	IDEOGRAPHIC ANNOTATION BOTTOM MARK (U+3198)	e38698
㆙	IDEOGRAPHIC ANNOTATION FIRST MARK (U+3199)	e38699
㆚	IDEOGRAPHIC ANNOTATION SECOND MARK (U+319A)	e3869a
㆛	IDEOGRAPHIC ANNOTATION THIRD MARK (U+319B)	e3869b
㆜	IDEOGRAPHIC ANNOTATION FOURTH MARK (U+319C)	e3869c
㆝	IDEOGRAPHIC ANNOTATION HEAVEN MARK (U+319D)	e3869d
㆞	IDEOGRAPHIC ANNOTATION EARTH MARK (U+319E)	e3869e
㆟	IDEOGRAPHIC ANNOTATION MAN MARK (U+319F)	e3869f
ㆠ	BOPOMOFO LETTER BU (U+31A0)	e386a0
ㆡ	BOPOMOFO LETTER ZI (U+31A1)	e386a1
ㆢ	BOPOMOFO LETTER JI (U+31A2)	e386a2
ㆣ	BOPOMOFO LETTER GU (U+31A3)	e386a3
ㆤ	BOPOMOFO LETTER EE (U+31A4)	e386a4
ㆥ	BOPOMOFO LETTER ENN (U+31A5)	e386a5
ㆦ	BOPOMOFO LETTER OO (U+31A6)	e386a6
ㆧ	BOPOMOFO LETTER ONN (U+31A7)	e386a7
ㆨ	BOPOMOFO LETTER IR (U+31A8)	e386a8
ㆩ	BOPOMOFO LETTER ANN (U+31A9)	e386a9
ㆪ	BOPOMOFO LETTER INN (U+31AA)	e386aa
ㆫ	BOPOMOFO LETTER UNN (U+31AB)	e386ab
ㆬ	BOPOMOFO LETTER IM (U+31AC)	e386ac
ㆭ	BOPOMOFO LETTER NGG (U+31AD)	e386ad
ㆮ	BOPOMOFO LETTER AINN (U+31AE)	e386ae
ㆯ	BOPOMOFO LETTER AUNN (U+31AF)	e386af
ㆰ	BOPOMOFO LETTER AM (U+31B0)	e386b0
ㆱ	BOPOMOFO LETTER OM (U+31B1)	e386b1
ㆲ	BOPOMOFO LETTER ONG (U+31B2)	e386b2
ㆳ	BOPOMOFO LETTER INNN (U+31B3)	e386b3
ㆴ	BOPOMOFO FINAL LETTER P (U+31B4)	e386b4
ㆵ	BOPOMOFO FINAL LETTER T (U+31B5)	e386b5
ㆶ	BOPOMOFO FINAL LETTER K (U+31B6)	e386b6
ㆷ	BOPOMOFO FINAL LETTER H (U+31B7)	e386b7
ㆸ	BOPOMOFO LETTER GH (U+31B8)	e386b8
ㆹ	BOPOMOFO LETTER LH (U+31B9)	e386b9
ㆺ	BOPOMOFO LETTER ZY (U+31BA)	e386ba
㇀	CJK STROKE T (U+31C0)	e38780
㇁	CJK STROKE WG (U+31C1)	e38781
㇂	CJK STROKE XG (U+31C2)	e38782
㇃	CJK STROKE BXG (U+31C3)	e38783
㇄	CJK STROKE SW (U+31C4)	e38784
㇅	CJK STROKE HZZ (U+31C5)	e38785
㇆	CJK STROKE HZG (U+31C6)	e38786
㇇	CJK STROKE HP (U+31C7)	e38787
㇈	CJK STROKE HZWG (U+31C8)	e38788
㇉	CJK STROKE SZWG (U+31C9)	e38789
㇊	CJK STROKE HZT (U+31CA)	e3878a
㇋	CJK STROKE HZZP (U+31CB)	e3878b
㇌	CJK STROKE HPWG (U+31CC)	e3878c
㇍	CJK STROKE HZW (U+31CD)	e3878d
㇎	CJK STROKE HZZZ (U+31CE)	e3878e
㇏	CJK STROKE N (U+31CF)	e3878f
㇐	CJK STROKE H (U+31D0)	e38790
㇑	CJK STROKE S (U+31D1)	e38791
㇒	CJK STROKE P (U+31D2)	e38792
㇓	CJK STROKE SP (U+31D3)	e38793
㇔	CJK STROKE D (U+31D4)	e38794
㇕	CJK STROKE HZ (U+31D5)	e38795
㇖	CJK STROKE HG (U+31D6)	e38796
㇗	CJK STROKE SZ (U+31D7)	e38797
㇘	CJK STROKE SWZ (U+31D8)	e38798
㇙	CJK STROKE ST (U+31D9)	e38799
㇚	CJK STROKE SG (U+31DA)	e3879a
㇛	CJK STROKE PD (U+31DB)	e3879b
㇜	CJK STROKE PZ (U+31DC)	e3879c
㇝	CJK STROKE TN (U+31DD)	e3879d
㇞	CJK STROKE SZZ (U+31DE)	e3879e
㇟	CJK STROKE SWG (U+31DF)	e3879f
㇠	CJK STROKE HXWG (U+31E0)	e387a0
㇡	CJK STROKE HZZZG (U+31E1)	e387a1
㇢	CJK STROKE PG (U+31E2)	e387a2
㇣	CJK STROKE Q (U+31E3)	e387a3
ㇰ	KATAKANA LETTER SMALL KU (U+31F0)	e387b0
ㇱ	KATAKANA LETTER SMALL SI (U+31F1)	e387b1
ㇲ	KATAKANA LETTER SMALL SU (U+31F2)	e387b2
ㇳ	KATAKANA LETTER SMALL TO (U+31F3)	e387b3
ㇴ	KATAKANA LETTER SMALL NU (U+31F4)	e387b4
ㇵ	KATAKANA LETTER SMALL HA (U+31F5)	e387b5
ㇶ	KATAKANA LETTER SMALL HI (U+31F6)	e387b6
ㇷ	KATAKANA LETTER SMALL HU (U+31F7)	e387b7
ㇸ	KATAKANA LETTER SMALL HE (U+31F8)	e387b8
ㇹ	KATAKANA LETTER SMALL HO (U+31F9)	e387b9
ㇺ	KATAKANA LETTER SMALL MU (U+31FA)	e387ba
ㇻ	KATAKANA LETTER SMALL RA (U+31FB)	e387bb
ㇼ	KATAKANA LETTER SMALL RI (U+31FC)	e387bc
ㇽ	KATAKANA LETTER SMALL RU (U+31FD)	e387bd
ㇾ	KATAKANA LETTER SMALL RE (U+31FE)	e387be
ㇿ	KATAKANA LETTER SMALL RO (U+31FF)	e387bf
㈀	PARENTHESIZED HANGUL KIYEOK (U+3200)	e38880
㈁	PARENTHESIZED HANGUL NIEUN (U+3201)	e38881
㈂	PARENTHESIZED HANGUL TIKEUT (U+3202)	e38882
㈃	PARENTHESIZED HANGUL RIEUL (U+3203)	e38883
㈄	PARENTHESIZED HANGUL MIEUM (U+3204)	e38884
㈅	PARENTHESIZED HANGUL PIEUP (U+3205)	e38885
㈆	PARENTHESIZED HANGUL SIOS (U+3206)	e38886
㈇	PARENTHESIZED HANGUL IEUNG (U+3207)	e38887
㈈	PARENTHESIZED HANGUL CIEUC (U+3208)	e38888
㈉	PARENTHESIZED HANGUL CHIEUCH (U+3209)	e38889
㈊	PARENTHESIZED HANGUL KHIEUKH (U+320A)	e3888a
㈋	PARENTHESIZED HANGUL THIEUTH (U+320B)	e3888b
㈌	PARENTHESIZED HANGUL PHIEUPH (U+320C)	e3888c
㈍	PARENTHESIZED HANGUL HIEUH (U+320D)	e3888d
㈎	PARENTHESIZED HANGUL KIYEOK A (U+320E)	e3888e
㈏	PARENTHESIZED HANGUL NIEUN A (U+320F)	e3888f
㈐	PARENTHESIZED HANGUL TIKEUT A (U+3210)	e38890
㈑	PARENTHESIZED HANGUL RIEUL A (U+3211)	e38891
㈒	PARENTHESIZED HANGUL MIEUM A (U+3212)	e38892
㈓	PARENTHESIZED HANGUL PIEUP A (U+3213)	e38893
㈔	PARENTHESIZED HANGUL SIOS A (U+3214)	e38894
㈕	PARENTHESIZED HANGUL IEUNG A (U+3215)	e38895
㈖	PARENTHESIZED HANGUL CIEUC A (U+3216)	e38896
㈗	PARENTHESIZED HANGUL CHIEUCH A (U+3217)	e38897
