⺁	CJK RADICAL CLIFF (U+2E81)	e2ba81
⻠	CJK RADICAL C-SIMPLIFIED EAT (U+2EE0)	e2bba0
⻡	CJK RADICAL HEAD (U+2EE1)	e2bba1
⻢	CJK RADICAL C-SIMPLIFIED HORSE (U+2EE2)	e2bba2
⻣	CJK RADICAL BONE (U+2EE3)	e2bba3
⻤	CJK RADICAL GHOST (U+2EE4)	e2bba4
⻥	CJK RADICAL C-SIMPLIFIED FISH (U+2EE5)	e2bba5
⻦	CJK RADICAL C-SIMPLIFIED BIRD (U+2EE6)	e2bba6
⻧	CJK RADICAL C-SIMPLIFIED SALT (U+2EE7)	e2bba7
⻨	CJK RADICAL SIMPLIFIED WHEAT (U+2EE8)	e2bba8
⻩	CJK RADICAL SIMPLIFIED YELLOW (U+2EE9)	e2bba9
⻪	CJK RADICAL C-SIMPLIFIED FROG (U+2EEA)	e2bbaa
⻫	CJK RADICAL J-SIMPLIFIED EVEN (U+2EEB)	e2bbab
⻬	CJK RADICAL C-SIMPLIFIED EVEN (U+2EEC)	e2bbac
⻭	CJK RADICAL J-SIMPLIFIED TOOTH (U+2EED)	e2bbad
⻮	CJK RADICAL C-SIMPLIFIED TOOTH (U+2EEE)	e2bbae
⻯	CJK RADICAL J-SIMPLIFIED DRAGON (U+2EEF)	e2bbaf
⻰	CJK RADICAL C-SIMPLIFIED DRAGON (U+2EF0)	e2bbb0
⻱	CJK RADICAL TURTLE (U+2EF1)	e2bbb1
⻲	CJK RADICAL J-SIMPLIFIED TURTLE (U+2EF2)	e2bbb2
⻳	CJK RADICAL C-SIMPLIFIED TURTLE (U+2EF3)	e2bbb3
⼀	KANGXI RADICAL ONE (U+2F00)	e2bc80
⼁	KANGXI RADICAL LINE (U+2F01)	e2bc81
⼂	KANGXI RADICAL DOT (U+2F02)	e2bc82
⼃	KANGXI RADICAL SLASH (U+2F03)	e2bc83
⼄	KANGXI RADICAL SECOND (U+2F04)	e2bc84
⼅	KANGXI RADICAL HOOK (U+2F05)	e2bc85
⼆	KANGXI RADICAL TWO (U+2F06)	e2bc86
⼇	KANGXI RADICAL LID (U+2F07)	e2bc87
⼈	KANGXI RADICAL MAN (U+2F08)	e2bc88
⼉	KANGXI RADICAL LEGS (U+2F09)	e2bc89
⼊	KANGXI RADICAL ENTER (U+2F0A)	e2bc8a
⼋	KANGXI RADICAL EIGHT (U+2F0B)	e2bc8b
⼌	KANGXI RADICAL DOWN BOX (U+2F0C)	e2bc8c
⼍	KANGXI RADICAL COVER (U+2F0D)	e2bc8d
