𥏫	U+253EB (U+253EB)	f0a58fab
𥏬	U+253EC (U+253EC)	f0a58fac
𥏭	U+253ED (U+253ED)	f0a58fad
𥏮	U+253EE (U+253EE)	f0a58fae
𥏯	U+253EF (U+253EF)	f0a58faf
𥏰	U+253F0 (U+253F0)	f0a58fb0
𥏱	U+253F1 (U+253F1)	f0a58fb1
𥏲	U+253F2 (U+253F2)	f0a58fb2
𥏳	U+253F3 (U+253F3)	f0a58fb3
𥏴	U+253F4 (U+253F4)	f0a58fb4
𥏵	U+253F5 (U+253F5)	f0a58fb5
𥏶	U+253F6 (U+253F6)	f0a58fb6
𥏷	U+253F7 (U+253F7)	f0a58fb7
𥏸	U+253F8 (U+253F8)	f0a58fb8
𥏹	U+253F9 (U+253F9)	f0a58fb9
𥏺	U+253FA (U+253FA)	f0a58fba
𥏻	U+253FB (U+253FB)	f0a58fbb
𥏼	U+253FC (U+253FC)	f0a58fbc
𥏽	U+253FD (U+253FD)	f0a58fbd
𥏾	U+253FE (U+253FE)	f0a58fbe
𥏿	U+253FF (U+253FF)	f0a58fbf
𥐀	U+25400 (U+25400)	f0a59080
𥐁	U+25401 (U+25401)	f0a59081
𥐂	U+25402 (U+25402)	f0a59082
𥐃	U+25403 (U+25403)	f0a59083
𥐄	U+25404 (U+25404)	f0a59084
𥐅	U+25405 (U+25405)	f0a59085
𥐆	U+25406 (U+25406)	f0a59086
𥐇	U+25407 (U+25407)	f0a59087
𥐈	U+25408 (U+25408)	f0a59088
𥐉	U+25409 (U+25409)	f0a59089
𥐊	U+2540A (U+2540A)	f0a5908a
𥐋	U+2540B (U+2540B)	f0a5908b
𥐌	U+2540C (U+2540C)	f0a5908c
𥐍	U+2540D (U+2540D)	f0a5908d
𥐎	U+2540E (U+2540E)	f0a5908e
𥐏	U+2540F (U+2540F)	f0a5908f
𥐐	U+25410 (U+25410)	f0a59090
𥐑	U+25411 (U+25411)	f0a59091
𥐒	U+25412 (U+25412)	f0a59092
𥐓	U+25413 (U+25413)	f0a59093
𥐔	U+25414 (U+25414)	f0a59094
𥐕	U+25415 (U+25415)	f0a59095
𥐖	U+25416 (U+25416)	f0a59096
𥐗	U+25417 (U+25417)	f0a59097
𥐘	a stone, rock (U+25418)	f0a59098
𥐙	U+25419 (U+25419)	f0a59099
𥐚	U+2541A (U+2541A)	f0a5909a
𥐛	U+2541B (U+2541B)	f0a5909b
𥐜	U+2541C (U+2541C)	f0a5909c
𥐝	U+2541D (U+2541D)	f0a5909d
𥐞	a crude saltpeter (U+2541E)	f0a5909e
𥐟	U+2541F (U+2541F)	f0a5909f
𥐠	U+25420 (U+25420)	f0a590a0
𥐡	U+25421 (U+25421)	f0a590a1
𥐢	U+25422 (U+25422)	f0a590a2
𥐣	U+25423 (U+25423)	f0a590a3
𥐤	U+25424 (U+25424)	f0a590a4
𥐥	U+25425 (U+25425)	f0a590a5
𥐦	U+25426 (U+25426)	f0a590a6
𥐧	U+25427 (U+25427)	f0a590a7
𥐨	U+25428 (U+25428)	f0a590a8
𥐩	U+25429 (U+25429)	f0a590a9
𥐪	U+2542A (U+2542A)	f0a590aa
𥐫	U+2542B (U+2542B)	f0a590ab
𥐬	U+2542C (U+2542C)	f0a590ac
𥐭	U+2542D (U+2542D)	f0a590ad
𥐮	U+2542E (U+2542E)	f0a590ae
𥐯	U+2542F (U+2542F)	f0a590af
𥐰	U+25430 (U+25430)	f0a590b0
𥐱	U+25431 (U+25431)	f0a590b1
𥐲	U+25432 (U+25432)	f0a590b2
𥐳	U+25433 (U+25433)	f0a590b3
𥐴	U+25434 (U+25434)	f0a590b4
𥐵	U+25435 (U+25435)	f0a590b5
𥐶	U+25436 (U+25436)	f0a590b6
𥐷	U+25437 (U+25437)	f0a590b7
𥐸	U+25438 (U+25438)	f0a590b8
𥐹	U+25439 (U+25439)	f0a590b9
𥐺	U+2543A (U+2543A)	f0a590ba
𥐻	U+2543B (U+2543B)	f0a590bb
𥐼	U+2543C (U+2543C)	f0a590bc
𥐽	U+2543D (U+2543D)	f0a590bd
𥐾	U+2543E (U+2543E)	f0a590be
𥐿	U+2543F (U+2543F)	f0a590bf
𥑀	U+25440 (U+25440)	f0a59180
𥑁	U+25441 (U+25441)	f0a59181
𥑂	U+25442 (U+25442)	f0a59182
𥑃	U+25443 (U+25443)	f0a59183
𥑄	U+25444 (U+25444)	f0a59184
𥑅	U+25445 (U+25445)	f0a59185
𥑆	U+25446 (U+25446)	f0a59186
𥑇	U+25447 (U+25447)	f0a59187
𥑈	U+25448 (U+25448)	f0a59188
𥑉	U+25449 (U+25449)	f0a59189
𥑊	U+2544A (U+2544A)	f0a5918a
𥑋	U+2544B (U+2544B)	f0a5918b
𥑌	U+2544C (U+2544C)	f0a5918c
𥑍	U+2544D (U+2544D)	f0a5918d
𥑎	U+2544E (U+2544E)	f0a5918e
