𡿠	U+21FE0 (U+21FE0)	f0a1bfa0
𡿡	U+21FE1 (U+21FE1)	f0a1bfa1
𡿢	U+21FE2 (U+21FE2)	f0a1bfa2
𡿣	U+21FE3 (U+21FE3)	f0a1bfa3
𡿤	U+21FE4 (U+21FE4)	f0a1bfa4
𡿥	U+21FE5 (U+21FE5)	f0a1bfa5
𡿦	U+21FE6 (U+21FE6)	f0a1bfa6
𡿧	U+21FE7 (U+21FE7)	f0a1bfa7
𡿨	U+21FE8 (U+21FE8)	f0a1bfa8
𡿩	U+21FE9 (U+21FE9)	f0a1bfa9
𡿪	U+21FEA (U+21FEA)	f0a1bfaa
𡿫	U+21FEB (U+21FEB)	f0a1bfab
𡿬	U+21FEC (U+21FEC)	f0a1bfac
𡿭	U+21FED (U+21FED)	f0a1bfad
𡿮	U+21FEE (U+21FEE)	f0a1bfae
𡿯	U+21FEF (U+21FEF)	f0a1bfaf
𡿰	U+21FF0 (U+21FF0)	f0a1bfb0
𡿱	U+21FF1 (U+21FF1)	f0a1bfb1
𡿲	U+21FF2 (U+21FF2)	f0a1bfb2
𡿳	U+21FF3 (U+21FF3)	f0a1bfb3
𡿴	U+21FF4 (U+21FF4)	f0a1bfb4
𡿵	U+21FF5 (U+21FF5)	f0a1bfb5
𡿶	U+21FF6 (U+21FF6)	f0a1bfb6
𡿷	U+21FF7 (U+21FF7)	f0a1bfb7
𡿸	U+21FF8 (U+21FF8)	f0a1bfb8
𡿹	U+21FF9 (U+21FF9)	f0a1bfb9
𡿺	brain (U+21FFA)	f0a1bfba
𡿻	U+21FFB (U+21FFB)	f0a1bfbb
𡿼	U+21FFC (U+21FFC)	f0a1bfbc
𡿽	U+21FFD (U+21FFD)	f0a1bfbd
𡿾	U+21FFE (U+21FFE)	f0a1bfbe
𡿿	U+21FFF (U+21FFF)	f0a1bfbf
𢀀	U+22000 (U+22000)	f0a28080
𢀁	U+22001 (U+22001)	f0a28081
𢀂	U+22002 (U+22002)	f0a28082
𢀃	U+22003 (U+22003)	f0a28083
𢀄	U+22004 (U+22004)	f0a28084
𢀅	U+22005 (U+22005)	f0a28085
𢀆	U+22006 (U+22006)	f0a28086
