𨿠	U+28FE0 (U+28FE0)	f0a8bfa0
𨿡	U+28FE1 (U+28FE1)	f0a8bfa1
𨿢	U+28FE2 (U+28FE2)	f0a8bfa2
𨿣	U+28FE3 (U+28FE3)	f0a8bfa3
𨿤	U+28FE4 (U+28FE4)	f0a8bfa4
𨿥	U+28FE5 (U+28FE5)	f0a8bfa5
𨿦	U+28FE6 (U+28FE6)	f0a8bfa6
𨿧	U+28FE7 (U+28FE7)	f0a8bfa7
𨿨	U+28FE8 (U+28FE8)	f0a8bfa8
𨿩	U+28FE9 (U+28FE9)	f0a8bfa9
𨿪	U+28FEA (U+28FEA)	f0a8bfaa
𨿫	U+28FEB (U+28FEB)	f0a8bfab
𨿬	U+28FEC (U+28FEC)	f0a8bfac
𨿭	U+28FED (U+28FED)	f0a8bfad
𨿮	U+28FEE (U+28FEE)	f0a8bfae
𨿯	U+28FEF (U+28FEF)	f0a8bfaf
𨿰	U+28FF0 (U+28FF0)	f0a8bfb0
𨿱	U+28FF1 (U+28FF1)	f0a8bfb1
𨿲	U+28FF2 (U+28FF2)	f0a8bfb2
𨿳	U+28FF3 (U+28FF3)	f0a8bfb3
𨿴	U+28FF4 (U+28FF4)	f0a8bfb4
𨿵	U+28FF5 (U+28FF5)	f0a8bfb5
𨿶	U+28FF6 (U+28FF6)	f0a8bfb6
𨿷	U+28FF7 (U+28FF7)	f0a8bfb7
𨿸	U+28FF8 (U+28FF8)	f0a8bfb8
𨿹	U+28FF9 (U+28FF9)	f0a8bfb9
𨿺	U+28FFA (U+28FFA)	f0a8bfba
𨿻	U+28FFB (U+28FFB)	f0a8bfbb
𨿼	U+28FFC (U+28FFC)	f0a8bfbc
𨿽	U+28FFD (U+28FFD)	f0a8bfbd
𨿾	U+28FFE (U+28FFE)	f0a8bfbe
𨿿	U+28FFF (U+28FFF)	f0a8bfbf
𩀀	U+29000 (U+29000)	f0a98080
𩀁	U+29001 (U+29001)	f0a98081
𩀂	U+29002 (U+29002)	f0a98082
𩀃	U+29003 (U+29003)	f0a98083
𩀄	U+29004 (U+29004)	f0a98084
𩀅	U+29005 (U+29005)	f0a98085
𩀆	U+29006 (U+29006)	f0a98086
𩀇	U+29007 (U+29007)	f0a98087
𩀈	U+29008 (U+29008)	f0a98088
𩀉	U+29009 (U+29009)	f0a98089
𩀊	U+2900A (U+2900A)	f0a9808a
𩀋	U+2900B (U+2900B)	f0a9808b
𩀌	U+2900C (U+2900C)	f0a9808c
𩀍	U+2900D (U+2900D)	f0a9808d
𩀎	U+2900E (U+2900E)	f0a9808e
𩀏	U+2900F (U+2900F)	f0a9808f
𩀐	U+29010 (U+29010)	f0a98090
𩀑	U+29011 (U+29011)	f0a98091
𩀒	U+29012 (U+29012)	f0a98092
𩀓	U+29013 (U+29013)	f0a98093
𩀔	U+29014 (U+29014)	f0a98094
𩀕	U+29015 (U+29015)	f0a98095
𩀖	U+29016 (U+29016)	f0a98096
𩀗	U+29017 (U+29017)	f0a98097
𩀘	U+29018 (U+29018)	f0a98098
𩀙	U+29019 (U+29019)	f0a98099
𩀚	U+2901A (U+2901A)	f0a9809a
𩀛	U+2901B (U+2901B)	f0a9809b
𩀜	U+2901C (U+2901C)	f0a9809c
𩀝	U+2901D (U+2901D)	f0a9809d
𩀞	U+2901E (U+2901E)	f0a9809e
𩀟	U+2901F (U+2901F)	f0a9809f
𩀠	U+29020 (U+29020)	f0a980a0
𩀡	U+29021 (U+29021)	f0a980a1
𩀢	U+29022 (U+29022)	f0a980a2
𩀣	U+29023 (U+29023)	f0a980a3
𩀤	U+29024 (U+29024)	f0a980a4
𩀥	U+29025 (U+29025)	f0a980a5
𩀦	U+29026 (U+29026)	f0a980a6
𩀧	U+29027 (U+29027)	f0a980a7
𩀨	U+29028 (U+29028)	f0a980a8
𩀩	U+29029 (U+29029)	f0a980a9
𩀪	U+2902A (U+2902A)	f0a980aa
𩀫	U+2902B (U+2902B)	f0a980ab
𩀬	U+2902C (U+2902C)	f0a980ac
𩀭	U+2902D (U+2902D)	f0a980ad
𩀮	U+2902E (U+2902E)	f0a980ae
𩀯	U+2902F (U+2902F)	f0a980af
𩀰	U+29030 (U+29030)	f0a980b0
𩀱	U+29031 (U+29031)	f0a980b1
𩀲	U+29032 (U+29032)	f0a980b2
𩀳	U+29033 (U+29033)	f0a980b3
𩀴	U+29034 (U+29034)	f0a980b4
𩀵	U+29035 (U+29035)	f0a980b5
𩀶	U+29036 (U+29036)	f0a980b6
𩀷	U+29037 (U+29037)	f0a980b7
𩀸	U+29038 (U+29038)	f0a980b8
𩀹	U+29039 (U+29039)	f0a980b9
𩀺	U+2903A (U+2903A)	f0a980ba
𩀻	U+2903B (U+2903B)	f0a980bb
𩀼	U+2903C (U+2903C)	f0a980bc
𩀽	U+2903D (U+2903D)	f0a980bd
𩀾	U+2903E (U+2903E)	f0a980be
𩀿	U+2903F (U+2903F)	f0a980bf
𩁀	U+29040 (U+29040)	f0a98180
𩁁	U+29041 (U+29041)	f0a98181
𩁂	U+29042 (U+29042)	f0a98182
𩁃	U+29043 (U+29043)	f0a98183
𩁄	U+29044 (U+29044)	f0a98184
𩁅	U+29045 (U+29045)	f0a98185
𩁆	U+29046 (U+29046)	f0a98186
𩁇	U+29047 (U+29047)	f0a98187
𩁈	U+29048 (U+29048)	f0a98188
𩁉	U+29049 (U+29049)	f0a98189
𩁊	U+2904A (U+2904A)	f0a9818a
𩁋	U+2904B (U+2904B)	f0a9818b
