𣏫	U+233EB (U+233EB)	f0a38fab
𣏬	U+233EC (U+233EC)	f0a38fac
𣏭	U+233ED (U+233ED)	f0a38fad
𣏮	U+233EE (U+233EE)	f0a38fae
𣏯	U+233EF (U+233EF)	f0a38faf
𣏰	U+233F0 (U+233F0)	f0a38fb0
𣏱	U+233F1 (U+233F1)	f0a38fb1
𣏲	U+233F2 (U+233F2)	f0a38fb2
𣏳	U+233F3 (U+233F3)	f0a38fb3
𣏴	(Cant.) a kind of fruit (U+233F4)	f0a38fb4
𣏵	U+233F5 (U+233F5)	f0a38fb5
𣏶	U+233F6 (U+233F6)	f0a38fb6
𣏷	U+233F7 (U+233F7)	f0a38fb7
𣏸	U+233F8 (U+233F8)	f0a38fb8
𣏹	U+233F9 (U+233F9)	f0a38fb9
𣏺	U+233FA (U+233FA)	f0a38fba
𣏻	U+233FB (U+233FB)	f0a38fbb
𣏼	U+233FC (U+233FC)	f0a38fbc
𣏽	U+233FD (U+233FD)	f0a38fbd
𣏾	(J) non-standard variant of 材 U+6750, material, stuff; timber; talent; (Cant.) a peg, row of pegs (U+233FE)	f0a38fbe
𣏿	U+233FF (U+233FF)	f0a38fbf
𣐀	U+23400 (U+23400)	f0a39080
𣐁	U+23401 (U+23401)	f0a39081
𣐂	U+23402 (U+23402)	f0a39082
𣐃	U+23403 (U+23403)	f0a39083
𣐄	U+23404 (U+23404)	f0a39084
𣐅	U+23405 (U+23405)	f0a39085
𣐆	U+23406 (U+23406)	f0a39086
𣐇	U+23407 (U+23407)	f0a39087
𣐈	U+23408 (U+23408)	f0a39088
𣐉	U+23409 (U+23409)	f0a39089
𣐊	U+2340A (U+2340A)	f0a3908a
𣐋	U+2340B (U+2340B)	f0a3908b
𣐌	U+2340C (U+2340C)	f0a3908c
𣐍	U+2340D (U+2340D)	f0a3908d
𣐎	U+2340E (U+2340E)	f0a3908e
𣐏	U+2340F (U+2340F)	f0a3908f
𣐐	U+23410 (U+23410)	f0a39090
𣐑	U+23411 (U+23411)	f0a39091
𣐒	U+23412 (U+23412)	f0a39092
𣐓	U+23413 (U+23413)	f0a39093
𣐔	U+23414 (U+23414)	f0a39094
𣐕	U+23415 (U+23415)	f0a39095
𣐖	U+23416 (U+23416)	f0a39096
𣐗	U+23417 (U+23417)	f0a39097
𣐘	U+23418 (U+23418)	f0a39098
𣐙	U+23419 (U+23419)	f0a39099
𣐚	U+2341A (U+2341A)	f0a3909a
𣐛	U+2341B (U+2341B)	f0a3909b
𣐜	U+2341C (U+2341C)	f0a3909c
𣐝	U+2341D (U+2341D)	f0a3909d
𣐞	U+2341E (U+2341E)	f0a3909e
𣐟	U+2341F (U+2341F)	f0a3909f
𣐠	U+23420 (U+23420)	f0a390a0
𣐡	U+23421 (U+23421)	f0a390a1
𣐢	U+23422 (U+23422)	f0a390a2
𣐣	U+23423 (U+23423)	f0a390a3
𣐤	U+23424 (U+23424)	f0a390a4
𣐥	U+23425 (U+23425)	f0a390a5
𣐦	U+23426 (U+23426)	f0a390a6
𣐧	U+23427 (U+23427)	f0a390a7
𣐨	U+23428 (U+23428)	f0a390a8
𣐩	U+23429 (U+23429)	f0a390a9
𣐪	U+2342A (U+2342A)	f0a390aa
𣐫	U+2342B (U+2342B)	f0a390ab
𣐬	U+2342C (U+2342C)	f0a390ac
𣐭	U+2342D (U+2342D)	f0a390ad
𣐮	U+2342E (U+2342E)	f0a390ae
𣐯	U+2342F (U+2342F)	f0a390af
𣐰	U+23430 (U+23430)	f0a390b0
𣐱	U+23431 (U+23431)	f0a390b1
𣐲	U+23432 (U+23432)	f0a390b2
𣐳	U+23433 (U+23433)	f0a390b3
𣐴	U+23434 (U+23434)	f0a390b4
𣐵	U+23435 (U+23435)	f0a390b5
𣐶	U+23436 (U+23436)	f0a390b6
𣐷	U+23437 (U+23437)	f0a390b7
𣐸	U+23438 (U+23438)	f0a390b8
𣐹	U+23439 (U+23439)	f0a390b9
𣐺	U+2343A (U+2343A)	f0a390ba
𣐻	U+2343B (U+2343B)	f0a390bb
𣐼	U+2343C (U+2343C)	f0a390bc
𣐽	U+2343D (U+2343D)	f0a390bd
𣐾	U+2343E (U+2343E)	f0a390be
𣐿	U+2343F (U+2343F)	f0a390bf
𣑀	U+23440 (U+23440)	f0a39180
𣑁	to leap, skip (U+23441)	f0a39181
𣑂	U+23442 (U+23442)	f0a39182
𣑃	U+23443 (U+23443)	f0a39183
𣑄	U+23444 (U+23444)	f0a39184
𣑅	U+23445 (U+23445)	f0a39185
𣑆	U+23446 (U+23446)	f0a39186
𣑇	U+23447 (U+23447)	f0a39187
𣑈	U+23448 (U+23448)	f0a39188
