獙	U+7359 (U+7359)	e78d99
獚	U+735A (U+735A)	e78d9a
獛	U+735B (U+735B)	e78d9b
獜	U+735C (U+735C)	e78d9c
獝	devil (U+735D)	e78d9d
獞	name of a variety of dog; wild tribes in South China (U+735E)	e78d9e
獟	U+735F (U+735F)	e78d9f
獠	to hunt at night by torches (U+7360)	e78da0
獡	U+7361 (U+7361)	e78da1
獢	dog (U+7362)	e78da2
獣	beast, animal; bestial (U+7363)	e78da3
獤	U+7364 (U+7364)	e78da4
獥	U+7365 (U+7365)	e78da5
獦	U+7366 (U+7366)	e78da6
獧	rash; honest and straightforward (U+7367)	e78da7
獨	alone, single, solitary, only (U+7368)	e78da8
獩	U+7369 (U+7369)	e78da9
獪	sly, cunning, crafty (U+736A)	e78daa
獫	dog (U+736B)	e78dab
獬	a fabulous monster (U+736C)	e78dac
獭	otter (U+736D)	e78dad
獮	hunt; autumn hunting; to capture with a fine net (U+736E)	e78dae
獯	a tribe of Scythians which invaded China during the Hsia dynasty (U+736F)	e78daf
獰	ferocious appearance; hideous (U+7370)	e78db0
獱	a kind of otter (U+7371)	e78db1
獲	obtain, get, receive; seize (U+7372)	e78db2
獳	looking like a fierce dog; angry (U+7373)	e78db3
獴	mongoose (U+7374)	e78db4
獵	hunt; field sports (U+7375)	e78db5
獶	U+7376 (U+7376)	e78db6
獷	fierce, rude, uncivilized (U+7377)	e78db7
獸	beast, animal; bestial (U+7378)	e78db8
獹	a hound (U+7379)	e78db9
獺	otter (U+737A)	e78dba
獻	offer, present; show, display (U+737B)	e78dbb
獼	macacus monkey (U+737C)	e78dbc
獽	U+737D (U+737D)	e78dbd
獾	the badger (U+737E)	e78dbe
獿	U+737F (U+737F)	e78dbf
玀	pig; lolo aborginal tribe (U+7380)	e78e80
玁	a dog with a long snout or muzzle (U+7381)	e78e81
玂	U+7382 (U+7382)	e78e82
玃	a large ape found in W. China (U+7383)	e78e83
玄	deep, profound, abstruse; KangXi radical 95 (U+7384)	e78e84
玅	mysterious, subtle; exquisite (U+7385)	e78e85
玆	now, here; this; time, year (U+7386)	e78e86
率	to lead; ratio; rate; limit (U+7387)	e78e87
玈	black (U+7388)	e78e88
玉	jade, precious stone, gem (U+7389)	e78e89
玊	U+738A (U+738A)	e78e8a
王	king, ruler; royal; surname (U+738B)	e78e8b
玌	U+738C (U+738C)	e78e8c
玍	ill tempered; naughty (U+738D)	e78e8d
玎	jingling, tinkling (U+738E)	e78e8e
玏	U+738F (U+738F)	e78e8f
玐	U+7390 (U+7390)	e78e90
玑	pearl that is not quite round (U+7391)	e78e91
玒	U+7392 (U+7392)	e78e92
玓	pearly (U+7393)	e78e93
玔	green jade (U+7394)	e78e94
玕	inferior variety of gem (U+7395)	e78e95
玖	black-colored jade (U+7396)	e78e96
玗	1/2 pr stone (U+7397)	e78e97
玘	court-dress jewels (U+7398)	e78e98
玙	U+7399 (U+7399)	e78e99
玚	U+739A (U+739A)	e78e9a
玛	agate; cornelian (U+739B)	e78e9b
玜	U+739C (U+739C)	e78e9c
玝	U+739D (U+739D)	e78e9d
玞	an inferior agate (U+739E)	e78e9e
玟	streaks in jade; gem (U+739F)	e78e9f
玠	large jade tablet used by officials at court to indicate their ranks (U+73A0)	e78ea0
玡	U+73A1 (U+73A1)	e78ea1
玢	(archaic) a kind of jade (U+73A2)	e78ea2
玣	U+73A3 (U+73A3)	e78ea3
玤	a kind of gem inferior to jade (U+73A4)	e78ea4
玥	mysterious gem; pearl (U+73A5)	e78ea5
玦	broken piece of jade (U+73A6)	e78ea6
玧	reddish (U+73A7)	e78ea7
玨	two pieces of jade joined together (U+73A8)	e78ea8
玩	play with, joke, enjoy (U+73A9)	e78ea9
玪	U+73AA (U+73AA)	e78eaa
玫	rose (U+73AB)	e78eab
玬	U+73AC (U+73AC)	e78eac
玭	U+73AD (U+73AD)	e78ead
玮	type of jade; rare, valuable (U+73AE)	e78eae
环	jade ring or bracelet; ring (U+73AF)	e78eaf
现	appear, manifest, become visible (U+73B0)	e78eb0
玱	tinkling sound tinkling of pendant gems (U+73B1)	e78eb1
玲	tinkling of jade (U+73B2)	e78eb2
玳	tortoise shell (U+73B3)	e78eb3
玴	U+73B4 (U+73B4)	e78eb4
玵	U+73B5 (U+73B5)	e78eb5
玶	name of one kind of jade (U+73B6)	e78eb6
玷	flaw in gem; flaw in character (U+73B7)	e78eb7
玸	U+73B8 (U+73B8)	e78eb8
玹	jadelike precious stone; jade-colored (U+73B9)	e78eb9
玺	imperial signet, royal signet (U+73BA)	e78eba
玻	glass (U+73BB)	e78ebb
玼	beautiful color of gem; flaw in (U+73BC)	e78ebc
玽	U+73BD (U+73BD)	e78ebd
玾	U+73BE (U+73BE)	e78ebe
玿	U+73BF (U+73BF)	e78ebf
珀	amber (U+73C0)	e78f80
珁	U+73C1 (U+73C1)	e78f81
珂	inferior kind of jade (U+73C2)	e78f82
珃	U+73C3 (U+73C3)	e78f83
珄	U+73C4 (U+73C4)	e78f84
珅	U+73C5 (U+73C5)	e78f85
珆	U+73C6 (U+73C6)	e78f86
珇	U+73C7 (U+73C7)	e78f87
珈	an ornament attached to a woman's hairpin (U+73C8)	e78f88
珉	stone resembling jade (U+73C9)	e78f89
珊	coral (U+73CA)	e78f8a
珋	U+73CB (U+73CB)	e78f8b
珌	ornament (U+73CC)	e78f8c
珍	precious, valuable, rare (U+73CD)	e78f8d
珎	precious, valuable, rare (U+73CE)	e78f8e
珏	two pieces of jade joined together (U+73CF)	e78f8f
珐	enamel, cloissoné (U+73D0)	e78f90
珑	a gem cut like dragon (U+73D1)	e78f91
珒	U+73D2 (U+73D2)	e78f92
珓	two hemispherical objects used in divination (U+73D3)	e78f93
珔	U+73D4 (U+73D4)	e78f94
珕	U+73D5 (U+73D5)	e78f95
珖	carat (U+73D6)	e78f96
珗	U+73D7 (U+73D7)	e78f97
珘	U+73D8 (U+73D8)	e78f98
珙	precious stone; xian in Sichuan (U+73D9)	e78f99
珚	U+73DA (U+73DA)	e78f9a
珛	U+73DB (U+73DB)	e78f9b
珜	U+73DC (U+73DC)	e78f9c
珝	U+73DD (U+73DD)	e78f9d
珞	kind of necklace (U+73DE)	e78f9e
珟	U+73DF (U+73DF)	e78f9f
珠	precious stone, gem, jewel, pearl (U+73E0)	e78fa0
珡	variant of U+7434 琴, guqin or zither (U+73E1)	e78fa1
珢	precious stone (U+73E2)	e78fa2
珣	name of a kind of jade (U+73E3)	e78fa3
珤	treasure, jewel; precious, rare (U+73E4)	e78fa4
珥	ear ornament; stick, insert (U+73E5)	e78fa5
珦	a kind of jade (U+73E6)	e78fa6
珧	mother-of-pearl (U+73E7)	e78fa7
珨	U+73E8 (U+73E8)	e78fa8
珩	the top gem of the pendants (U+73E9)	e78fa9
珪	a jade table conferred upon feudal princes by the emperor as a symbol of dignity and authority (U+73EA)	e78faa
珫	U+73EB (U+73EB)	e78fab
珬	U+73EC (U+73EC)	e78fac
班	class, group, grade; squad; job (U+73ED)	e78fad
珮	jade ornament (U+73EE)	e78fae
珯	U+73EF (U+73EF)	e78faf
珰	pendant ornaments, earrings (U+73F0)	e78fb0
珱	a necklace made of precious stones (U+73F1)	e78fb1
珲	bright, glorious, splendid (U+73F2)	e78fb2
珳	U+73F3 (U+73F3)	e78fb3
珴	U+73F4 (U+73F4)	e78fb4
珵	U+73F5 (U+73F5)	e78fb5
珶	U+73F6 (U+73F6)	e78fb6
珷	an inferior gem (U+73F7)	e78fb7
珸	U+73F8 (U+73F8)	e78fb8
珹	type of jade; pearl (U+73F9)	e78fb9
珺	beautiful jade (U+73FA)	e78fba
珻	U+73FB (U+73FB)	e78fbb
珼	U+73FC (U+73FC)	e78fbc
珽	jade tablet (U+73FD)	e78fbd
現	appear, manifest, become visible (U+73FE)	e78fbe
珿	U+73FF (U+73FF)	e78fbf
琀	gems of pearls formerly put into the mouth of a corpse (U+7400)	e79080
琁	beautiful jade; star (U+7401)	e79081
琂	U+7402 (U+7402)	e79082
球	ball, sphere, globe; round (U+7403)	e79083
琄	scabbard; traces, reins (U+7404)	e79084
琅	a variety of white carnelian; pure (U+7405)	e79085
理	reason, logic; manage (U+7406)	e79086
琇	coarse variety of jasper or jade (U+7407)	e79087
琈	U+7408 (U+7408)	e79088
琉	sparkling stone; glazed, opaque (U+7409)	e79089
琊	a place in eastern Shandong (U+740A)	e7908a
琋	U+740B (U+740B)	e7908b
琌	U+740C (U+740C)	e7908c
琍	U+740D (U+740D)	e7908d
琎	U+740E (U+740E)	e7908e
