ᎇ	ETHIOPIC SYLLABLE BWE (U+1387)	e18e87
ᎈ	ETHIOPIC SYLLABLE SEBATBEIT FWA (U+1388)	e18e88
ᎉ	ETHIOPIC SYLLABLE FWI (U+1389)	e18e89
ᎊ	ETHIOPIC SYLLABLE FWEE (U+138A)	e18e8a
ᎋ	ETHIOPIC SYLLABLE FWE (U+138B)	e18e8b
ᎌ	ETHIOPIC SYLLABLE SEBATBEIT PWA (U+138C)	e18e8c
ᎍ	ETHIOPIC SYLLABLE PWI (U+138D)	e18e8d
ᎎ	ETHIOPIC SYLLABLE PWEE (U+138E)	e18e8e
ᎏ	ETHIOPIC SYLLABLE PWE (U+138F)	e18e8f
᎐	ETHIOPIC TONAL MARK YIZET (U+1390)	e18e90
᎑	ETHIOPIC TONAL MARK DERET (U+1391)	e18e91
᎒	ETHIOPIC TONAL MARK RIKRIK (U+1392)	e18e92
᎓	ETHIOPIC TONAL MARK SHORT RIKRIK (U+1393)	e18e93
᎔	ETHIOPIC TONAL MARK DIFAT (U+1394)	e18e94
᎕	ETHIOPIC TONAL MARK KENAT (U+1395)	e18e95
᎖	ETHIOPIC TONAL MARK CHIRET (U+1396)	e18e96
᎗	ETHIOPIC TONAL MARK HIDET (U+1397)	e18e97
᎘	ETHIOPIC TONAL MARK DERET-HIDET (U+1398)	e18e98
᎙	ETHIOPIC TONAL MARK KURT (U+1399)	e18e99
Ꭰ	CHEROKEE LETTER A (U+13A0)	e18ea0
Ꭱ	CHEROKEE LETTER E (U+13A1)	e18ea1
Ꭲ	CHEROKEE LETTER I (U+13A2)	e18ea2
Ꭳ	CHEROKEE LETTER O (U+13A3)	e18ea3
Ꭴ	CHEROKEE LETTER U (U+13A4)	e18ea4
Ꭵ	CHEROKEE LETTER V (U+13A5)	e18ea5
Ꭶ	CHEROKEE LETTER GA (U+13A6)	e18ea6
Ꭷ	CHEROKEE LETTER KA (U+13A7)	e18ea7
Ꭸ	CHEROKEE LETTER GE (U+13A8)	e18ea8
Ꭹ	CHEROKEE LETTER GI (U+13A9)	e18ea9
Ꭺ	CHEROKEE LETTER GO (U+13AA)	e18eaa
Ꭻ	CHEROKEE LETTER GU (U+13AB)	e18eab
