𨏪	U+283EA (U+283EA)	f0a88faa
𨏫	U+283EB (U+283EB)	f0a88fab
𨏬	U+283EC (U+283EC)	f0a88fac
𨏭	U+283ED (U+283ED)	f0a88fad
𨏮	U+283EE (U+283EE)	f0a88fae
𨏯	U+283EF (U+283EF)	f0a88faf
𨏰	U+283F0 (U+283F0)	f0a88fb0
𨏱	U+283F1 (U+283F1)	f0a88fb1
𨏲	U+283F2 (U+283F2)	f0a88fb2
𨏳	U+283F3 (U+283F3)	f0a88fb3
𨏴	U+283F4 (U+283F4)	f0a88fb4
𨏵	U+283F5 (U+283F5)	f0a88fb5
𨏶	U+283F6 (U+283F6)	f0a88fb6
𨏷	U+283F7 (U+283F7)	f0a88fb7
𨏸	U+283F8 (U+283F8)	f0a88fb8
𨏹	U+283F9 (U+283F9)	f0a88fb9
𨏺	U+283FA (U+283FA)	f0a88fba
𨏻	U+283FB (U+283FB)	f0a88fbb
𨏼	U+283FC (U+283FC)	f0a88fbc
𨏽	U+283FD (U+283FD)	f0a88fbd
𨏾	U+283FE (U+283FE)	f0a88fbe
𨏿	U+283FF (U+283FF)	f0a88fbf
𨐀	U+28400 (U+28400)	f0a89080
𨐁	U+28401 (U+28401)	f0a89081
𨐂	U+28402 (U+28402)	f0a89082
𨐃	U+28403 (U+28403)	f0a89083
𨐄	U+28404 (U+28404)	f0a89084
𨐅	U+28405 (U+28405)	f0a89085
𨐆	U+28406 (U+28406)	f0a89086
𨐇	U+28407 (U+28407)	f0a89087
𨐈	U+28408 (U+28408)	f0a89088
𨐉	U+28409 (U+28409)	f0a89089
𨐊	U+2840A (U+2840A)	f0a8908a
𨐋	U+2840B (U+2840B)	f0a8908b
𨐌	U+2840C (U+2840C)	f0a8908c
𨐍	U+2840D (U+2840D)	f0a8908d
𨐎	U+2840E (U+2840E)	f0a8908e
𨐏	U+2840F (U+2840F)	f0a8908f
𨐐	U+28410 (U+28410)	f0a89090
𨐑	U+28411 (U+28411)	f0a89091
𨐒	U+28412 (U+28412)	f0a89092
𨐓	U+28413 (U+28413)	f0a89093
𨐔	U+28414 (U+28414)	f0a89094
𨐕	U+28415 (U+28415)	f0a89095
𨐖	U+28416 (U+28416)	f0a89096
𨐗	U+28417 (U+28417)	f0a89097
𨐘	U+28418 (U+28418)	f0a89098
𨐙	U+28419 (U+28419)	f0a89099
𨐚	U+2841A (U+2841A)	f0a8909a
𨐛	U+2841B (U+2841B)	f0a8909b
𨐜	U+2841C (U+2841C)	f0a8909c
𨐝	U+2841D (U+2841D)	f0a8909d
𨐞	U+2841E (U+2841E)	f0a8909e
𨐟	U+2841F (U+2841F)	f0a8909f
𨐠	U+28420 (U+28420)	f0a890a0
𨐡	U+28421 (U+28421)	f0a890a1
𨐢	U+28422 (U+28422)	f0a890a2
𨐣	U+28423 (U+28423)	f0a890a3
𨐤	U+28424 (U+28424)	f0a890a4
𨐥	U+28425 (U+28425)	f0a890a5
𨐦	U+28426 (U+28426)	f0a890a6
𨐧	U+28427 (U+28427)	f0a890a7
𨐨	U+28428 (U+28428)	f0a890a8
𨐩	U+28429 (U+28429)	f0a890a9
𨐪	U+2842A (U+2842A)	f0a890aa
𨐫	U+2842B (U+2842B)	f0a890ab
𨐬	U+2842C (U+2842C)	f0a890ac
𨐭	U+2842D (U+2842D)	f0a890ad
𨐮	U+2842E (U+2842E)	f0a890ae
𨐯	U+2842F (U+2842F)	f0a890af
𨐰	U+28430 (U+28430)	f0a890b0
𨐱	U+28431 (U+28431)	f0a890b1
𨐲	U+28432 (U+28432)	f0a890b2
𨐳	U+28433 (U+28433)	f0a890b3
𨐴	U+28434 (U+28434)	f0a890b4
𨐵	U+28435 (U+28435)	f0a890b5
𨐶	U+28436 (U+28436)	f0a890b6
𨐷	U+28437 (U+28437)	f0a890b7
𨐸	U+28438 (U+28438)	f0a890b8
𨐹	U+28439 (U+28439)	f0a890b9
𨐺	U+2843A (U+2843A)	f0a890ba
𨐻	U+2843B (U+2843B)	f0a890bb
𨐼	U+2843C (U+2843C)	f0a890bc
𨐽	U+2843D (U+2843D)	f0a890bd
𨐾	U+2843E (U+2843E)	f0a890be
𨐿	U+2843F (U+2843F)	f0a890bf
𨑀	U+28440 (U+28440)	f0a89180
𨑁	U+28441 (U+28441)	f0a89181
𨑂	U+28442 (U+28442)	f0a89182
𨑃	U+28443 (U+28443)	f0a89183
𨑄	U+28444 (U+28444)	f0a89184
𨑅	U+28445 (U+28445)	f0a89185
𨑆	U+28446 (U+28446)	f0a89186
𨑇	U+28447 (U+28447)	f0a89187
𨑈	U+28448 (U+28448)	f0a89188
𨑉	U+28449 (U+28449)	f0a89189
𨑊	U+2844A (U+2844A)	f0a8918a
𨑋	U+2844B (U+2844B)	f0a8918b
𨑌	U+2844C (U+2844C)	f0a8918c
𨑍	U+2844D (U+2844D)	f0a8918d
𨑎	U+2844E (U+2844E)	f0a8918e
𨑏	U+2844F (U+2844F)	f0a8918f
𨑐	U+28450 (U+28450)	f0a89190
𨑑	U+28451 (U+28451)	f0a89191
𨑒	a disciple (U+28452)	f0a89192
𨑓	U+28453 (U+28453)	f0a89193
𨑔	U+28454 (U+28454)	f0a89194
𨑕	U+28455 (U+28455)	f0a89195
𨑖	U+28456 (U+28456)	f0a89196
𨑗	U+28457 (U+28457)	f0a89197
𨑘	U+28458 (U+28458)	f0a89198
𨑙	U+28459 (U+28459)	f0a89199
𨑚	U+2845A (U+2845A)	f0a8919a
𨑛	U+2845B (U+2845B)	f0a8919b
𨑜	U+2845C (U+2845C)	f0a8919c
𨑝	U+2845D (U+2845D)	f0a8919d
𨑞	U+2845E (U+2845E)	f0a8919e
𨑟	U+2845F (U+2845F)	f0a8919f
𨑠	U+28460 (U+28460)	f0a891a0
𨑡	U+28461 (U+28461)	f0a891a1
𨑢	U+28462 (U+28462)	f0a891a2
𨑣	U+28463 (U+28463)	f0a891a3
𨑤	U+28464 (U+28464)	f0a891a4
𨑥	U+28465 (U+28465)	f0a891a5
𨑦	U+28466 (U+28466)	f0a891a6
𨑧	U+28467 (U+28467)	f0a891a7
𨑨	U+28468 (U+28468)	f0a891a8
𨑩	U+28469 (U+28469)	f0a891a9
𨑪	U+2846A (U+2846A)	f0a891aa
𨑫	U+2846B (U+2846B)	f0a891ab
𨑬	U+2846C (U+2846C)	f0a891ac
𨑭	U+2846D (U+2846D)	f0a891ad
𨑮	U+2846E (U+2846E)	f0a891ae
𨑯	U+2846F (U+2846F)	f0a891af
𨑰	U+28470 (U+28470)	f0a891b0
𨑱	U+28471 (U+28471)	f0a891b1
𨑲	U+28472 (U+28472)	f0a891b2
𨑳	U+28473 (U+28473)	f0a891b3
