𤟫	U+247EB (U+247EB)	f0a49fab
𤟬	U+247EC (U+247EC)	f0a49fac
𤟭	U+247ED (U+247ED)	f0a49fad
𤟮	U+247EE (U+247EE)	f0a49fae
𤟯	U+247EF (U+247EF)	f0a49faf
𤟰	U+247F0 (U+247F0)	f0a49fb0
𤟱	U+247F1 (U+247F1)	f0a49fb1
𤟲	U+247F2 (U+247F2)	f0a49fb2
𤟳	U+247F3 (U+247F3)	f0a49fb3
𤟴	U+247F4 (U+247F4)	f0a49fb4
𤟵	U+247F5 (U+247F5)	f0a49fb5
𤟶	U+247F6 (U+247F6)	f0a49fb6
𤟷	U+247F7 (U+247F7)	f0a49fb7
𤟸	U+247F8 (U+247F8)	f0a49fb8
𤟹	U+247F9 (U+247F9)	f0a49fb9
𤟺	U+247FA (U+247FA)	f0a49fba
𤟻	U+247FB (U+247FB)	f0a49fbb
𤟼	U+247FC (U+247FC)	f0a49fbc
𤟽	U+247FD (U+247FD)	f0a49fbd
𤟾	U+247FE (U+247FE)	f0a49fbe
𤟿	U+247FF (U+247FF)	f0a49fbf
𤠀	U+24800 (U+24800)	f0a4a080
𤠁	U+24801 (U+24801)	f0a4a081
𤠂	U+24802 (U+24802)	f0a4a082
𤠃	U+24803 (U+24803)	f0a4a083
𤠄	U+24804 (U+24804)	f0a4a084
𤠅	U+24805 (U+24805)	f0a4a085
𤠆	U+24806 (U+24806)	f0a4a086
𤠇	U+24807 (U+24807)	f0a4a087
𤠈	U+24808 (U+24808)	f0a4a088
𤠉	U+24809 (U+24809)	f0a4a089
𤠊	U+2480A (U+2480A)	f0a4a08a
𤠋	U+2480B (U+2480B)	f0a4a08b
𤠌	U+2480C (U+2480C)	f0a4a08c
𤠍	U+2480D (U+2480D)	f0a4a08d
𤠎	U+2480E (U+2480E)	f0a4a08e
𤠏	U+2480F (U+2480F)	f0a4a08f
𤠐	U+24810 (U+24810)	f0a4a090
𤠑	sea otter (U+24811)	f0a4a091
𤠒	U+24812 (U+24812)	f0a4a092
𤠓	U+24813 (U+24813)	f0a4a093
𤠔	U+24814 (U+24814)	f0a4a094
𤠕	U+24815 (U+24815)	f0a4a095
𤠖	U+24816 (U+24816)	f0a4a096
𤠗	U+24817 (U+24817)	f0a4a097
𤠘	U+24818 (U+24818)	f0a4a098
𤠙	U+24819 (U+24819)	f0a4a099
𤠚	U+2481A (U+2481A)	f0a4a09a
𤠛	U+2481B (U+2481B)	f0a4a09b
𤠜	U+2481C (U+2481C)	f0a4a09c
𤠝	U+2481D (U+2481D)	f0a4a09d
𤠞	U+2481E (U+2481E)	f0a4a09e
𤠟	U+2481F (U+2481F)	f0a4a09f
𤠠	U+24820 (U+24820)	f0a4a0a0
𤠡	U+24821 (U+24821)	f0a4a0a1
𤠢	U+24822 (U+24822)	f0a4a0a2
𤠣	U+24823 (U+24823)	f0a4a0a3
𤠤	U+24824 (U+24824)	f0a4a0a4
𤠥	U+24825 (U+24825)	f0a4a0a5
𤠦	U+24826 (U+24826)	f0a4a0a6
𤠧	U+24827 (U+24827)	f0a4a0a7
𤠨	U+24828 (U+24828)	f0a4a0a8
𤠩	U+24829 (U+24829)	f0a4a0a9
𤠪	U+2482A (U+2482A)	f0a4a0aa
𤠫	U+2482B (U+2482B)	f0a4a0ab
𤠬	U+2482C (U+2482C)	f0a4a0ac
𤠭	U+2482D (U+2482D)	f0a4a0ad
𤠮	U+2482E (U+2482E)	f0a4a0ae
𤠯	U+2482F (U+2482F)	f0a4a0af
𤠰	U+24830 (U+24830)	f0a4a0b0
𤠱	U+24831 (U+24831)	f0a4a0b1
𤠲	U+24832 (U+24832)	f0a4a0b2
𤠳	U+24833 (U+24833)	f0a4a0b3
𤠴	U+24834 (U+24834)	f0a4a0b4
𤠵	U+24835 (U+24835)	f0a4a0b5
𤠶	U+24836 (U+24836)	f0a4a0b6
𤠷	U+24837 (U+24837)	f0a4a0b7
𤠸	U+24838 (U+24838)	f0a4a0b8
𤠹	U+24839 (U+24839)	f0a4a0b9
𤠺	U+2483A (U+2483A)	f0a4a0ba
𤠻	U+2483B (U+2483B)	f0a4a0bb
𤠼	U+2483C (U+2483C)	f0a4a0bc
𤠽	U+2483D (U+2483D)	f0a4a0bd
𤠾	U+2483E (U+2483E)	f0a4a0be
𤠿	U+2483F (U+2483F)	f0a4a0bf
