髕	kneecap (U+9AD5)	e9ab95
鳯	male phoenix; symbol of joy (U+9CEF)	e9b3af
鳰	U+9CF0 (U+9CF0)	e9b3b0
鳱	U+9CF1 (U+9CF1)	e9b3b1
鳲	turtledove, cuckoo (U+9CF2)	e9b3b2
鳳	male phoenix; symbol of joy (U+9CF3)	e9b3b3
鳴	cry of bird or animal; make sound (U+9CF4)	e9b3b4
鳵	U+9CF5 (U+9CF5)	e9b3b5
鳶	kite; Milvus species (various) (U+9CF6)	e9b3b6
鳷	jay (Garrulus lidthi) (U+9CF7)	e9b3b7
鳸	U+9CF8 (U+9CF8)	e9b3b8
鳹	U+9CF9 (U+9CF9)	e9b3b9
鳺	U+9CFA (U+9CFA)	e9b3ba
鳻	the wild pigeon (U+9CFB)	e9b3bb
鳼	U+9CFC (U+9CFC)	e9b3bc
鳽	U+9CFD (U+9CFD)	e9b3bd
鳾	general term for a group of small birds (U+9CFE)	e9b3be
鳿	U+9CFF (U+9CFF)	e9b3bf
鴀	U+9D00 (U+9D00)	e9b480
鴁	a legendary bird (U+9D01)	e9b481
鴂	the tailor-bird; the working bird (U+9D02)	e9b482
鴃	shrike; butcherbird (U+9D03)	e9b483
鴄	duck (U+9D04)	e9b484
鴅	U+9D05 (U+9D05)	e9b485
鴆	a bird resembling the secretary falcon (U+9D06)	e9b486
鴇	bustard; procuress; Otis species (various) (U+9D07)	e9b487
鴈	wild goose (U+9D08)	e9b488
鴉	crow, raven; Corvus species (various) (U+9D09)	e9b489
鴊	U+9D0A (U+9D0A)	e9b48a
鴋	U+9D0B (U+9D0B)	e9b48b
鴌	U+9D0C (U+9D0C)	e9b48c
鴍	U+9D0D (U+9D0D)	e9b48d
鴎	seagull, tern (U+9D0E)	e9b48e
鴏	U+9D0F (U+9D0F)	e9b48f
鴐	U+9D10 (U+9D10)	e9b490
鴑	U+9D11 (U+9D11)	e9b491
鴒	species of lark; wagtail; Motacilla species (various) (U+9D12)	e9b492
鴓	U+9D13 (U+9D13)	e9b493
鴔	U+9D14 (U+9D14)	e9b494
鴕	ostrich; Struthio camelus (U+9D15)	e9b495
鴖	U+9D16 (U+9D16)	e9b496
鴗	kingfisher (U+9D17)	e9b497
鴘	U+9D18 (U+9D18)	e9b498
鴙	U+9D19 (U+9D19)	e9b499
鴚	U+9D1A (U+9D1A)	e9b49a
鴛	male mandarin duck (Aix galericulata) (U+9D1B)	e9b49b
鴜	U+9D1C (U+9D1C)	e9b49c
鴝	mynah; Erithacus species (various) (U+9D1D)	e9b49d
鴞	owl (U+9D1E)	e9b49e
鴟	kite, horned owl; wine cups (U+9D1F)	e9b49f
鴠	a kind of nightingale (U+9D20)	e9b4a0
鴡	U+9D21 (U+9D21)	e9b4a1
鴢	U+9D22 (U+9D22)	e9b4a2
鴣	species of Taiwan pigeon (U+9D23)	e9b4a3
鴤	U+9D24 (U+9D24)	e9b4a4
鴥	swoop (U+9D25)	e9b4a5
鴦	female mandarin duck (Aix galericulata) (U+9D26)	e9b4a6
鴧	U+9D27 (U+9D27)	e9b4a7
鴨	duck; Anas species (various) (U+9D28)	e9b4a8
鴩	U+9D29 (U+9D29)	e9b4a9
鴪	swoop (U+9D2A)	e9b4aa
鴫	a snipe (U+9D2B)	e9b4ab
鴬	oriole, green finch (U+9D2C)	e9b4ac
鴭	U+9D2D (U+9D2D)	e9b4ad
鴮	U+9D2E (U+9D2E)	e9b4ae
鴯	swallow (U+9D2F)	e9b4af
鴰	the crow (U+9D30)	e9b4b0
鴱	U+9D31 (U+9D31)	e9b4b1
鴲	U+9D32 (U+9D32)	e9b4b2
鴳	quail (U+9D33)	e9b4b3
鴴	U+9D34 (U+9D34)	e9b4b4
鴵	U+9D35 (U+9D35)	e9b4b5
鴶	U+9D36 (U+9D36)	e9b4b6
鴷	a woodpecker (U+9D37)	e9b4b7
鴸	U+9D38 (U+9D38)	e9b4b8
鴹	U+9D39 (U+9D39)	e9b4b9
鴺	the pelican (U+9D3A)	e9b4ba
鴻	species of wild swan; vast (U+9D3B)	e9b4bb
鴼	U+9D3C (U+9D3C)	e9b4bc
鴽	a species of bird resembling quail (U+9D3D)	e9b4bd
鴾	a crested ibis (U+9D3E)	e9b4be
鴿	pigeon, dove; Columba species (various) (U+9D3F)	e9b4bf
鵀	hoopoe (U+9D40)	e9b580
鵁	the fishing cormorant (U+9D41)	e9b581
鵂	horned owl, scops chinensis; bird of ill omen (U+9D42)	e9b582
鵃	U+9D43 (U+9D43)	e9b583
鵄	variant of 鴟 U+9D1F, kite, horned owl; wine cups (U+9D44)	e9b584
鵅	U+9D45 (U+9D45)	e9b585
鵆	U+9D46 (U+9D46)	e9b586
鵇	U+9D47 (U+9D47)	e9b587
鵈	U+9D48 (U+9D48)	e9b588
鵉	U+9D49 (U+9D49)	e9b589
鵊	U+9D4A (U+9D4A)	e9b58a
鵋	U+9D4B (U+9D4B)	e9b58b
鵌	U+9D4C (U+9D4C)	e9b58c
鵍	U+9D4D (U+9D4D)	e9b58d
鵎	U+9D4E (U+9D4E)	e9b58e
鵏	U+9D4F (U+9D4F)	e9b58f
鵐	U+9D50 (U+9D50)	e9b590
鵑	cuckoo (U+9D51)	e9b591
鵒	mynah bird; Acridotheres tristis (U+9D52)	e9b592
鵓	species of pigeon (U+9D53)	e9b593
鵔	U+9D54 (U+9D54)	e9b594
鵕	U+9D55 (U+9D55)	e9b595
鵖	U+9D56 (U+9D56)	e9b596
鵗	U+9D57 (U+9D57)	e9b597
鵘	U+9D58 (U+9D58)	e9b598
鵙	shrike; Lanius species (various) (U+9D59)	e9b599
鵚	U+9D5A (U+9D5A)	e9b59a
鵛	U+9D5B (U+9D5B)	e9b59b
鵜	pelican (U+9D5C)	e9b59c
鵝	goose (U+9D5D)	e9b59d
鵞	goose (U+9D5E)	e9b59e
鵟	U+9D5F (U+9D5F)	e9b59f
鵠	target (U+9D60)	e9b5a0
鵡	species of parrot (U+9D61)	e9b5a1
鵢	U+9D62 (U+9D62)	e9b5a2
鵣	U+9D63 (U+9D63)	e9b5a3
鵤	U+9D64 (U+9D64)	e9b5a4
鵥	U+9D65 (U+9D65)	e9b5a5
鵦	U+9D66 (U+9D66)	e9b5a6
鵧	U+9D67 (U+9D67)	e9b5a7
鵨	U+9D68 (U+9D68)	e9b5a8
鵩	owl-like bird; buzzard; Otus scops (U+9D69)	e9b5a9
鵪	quail; Coturnix coturnix (U+9D6A)	e9b5aa
鵫	pheasant (U+9D6B)	e9b5ab
鵬	fabulous bird of enormous size (U+9D6C)	e9b5ac
鵭	a small bird with black neck (U+9D6D)	e9b5ad
鵮	to peck, as birds (U+9D6E)	e9b5ae
鵯	Pycnonotus species (various) (U+9D6F)	e9b5af
鵰	eagle, vulture; Aquila species (various) (U+9D70)	e9b5b0
鵱	U+9D71 (U+9D71)	e9b5b1
鵲	magpie; Pica species (various) (U+9D72)	e9b5b2
鵳	U+9D73 (U+9D73)	e9b5b3
鵴	U+9D74 (U+9D74)	e9b5b4
鵵	U+9D75 (U+9D75)	e9b5b5
鵶	U+9D76 (U+9D76)	e9b5b6
鵷	co-worker (U+9D77)	e9b5b7
鵸	U+9D78 (U+9D78)	e9b5b8
鵹	U+9D79 (U+9D79)	e9b5b9
鵺	U+9D7A (U+9D7A)	e9b5ba
鵻	pigeon; turtle-dove; a hawk (U+9D7B)	e9b5bb
鵼	a fabulous night-bird, grotesque monster (U+9D7C)	e9b5bc
鵽	U+9D7D (U+9D7D)	e9b5bd
鵾	a bird resembling the crane (U+9D7E)	e9b5be
鵿	U+9D7F (U+9D7F)	e9b5bf
鶀	U+9D80 (U+9D80)	e9b680
鶁	U+9D81 (U+9D81)	e9b681
鶂	hawk; Ardea cinerea (U+9D82)	e9b682
鶃	hawk; Ardea cinerea (U+9D83)	e9b683
鶄	a kind of water bird (U+9D84)	e9b684
鶅	U+9D85 (U+9D85)	e9b685
鶆	U+9D86 (U+9D86)	e9b686
鶇	thrush; Turdus species (various) (U+9D87)	e9b687
鶈	U+9D88 (U+9D88)	e9b688
鶉	quail; Turnix species (various) (U+9D89)	e9b689
鶊	oriole (U+9D8A)	e9b68a
鶋	a sea-bird with a white breast (U+9D8B)	e9b68b
鶌	U+9D8C (U+9D8C)	e9b68c
鶍	U+9D8D (U+9D8D)	e9b68d
鶎	U+9D8E (U+9D8E)	e9b68e
鶏	chicken (U+9D8F)	e9b68f
鶐	U+9D90 (U+9D90)	e9b690
鶑	U+9D91 (U+9D91)	e9b691
鶒	a duck-like bird (U+9D92)	e9b692
鶓	emu (U+9D93)	e9b693
鶔	U+9D94 (U+9D94)	e9b694
鶕	U+9D95 (U+9D95)	e9b695
鶖	large waterfowl with naked head; Garrulus glandarius (U+9D96)	e9b696
鶗	a kind of hawk; cuckoo (U+9D97)	e9b697
鶘	pelican (U+9D98)	e9b698
鶙	U+9D99 (U+9D99)	e9b699
鶚	osprey, fishhawk; Pandion haliaetus (U+9D9A)	e9b69a
鶛	U+9D9B (U+9D9B)	e9b69b
鶜	U+9D9C (U+9D9C)	e9b69c
鶝	U+9D9D (U+9D9D)	e9b69d
鶞	U+9D9E (U+9D9E)	e9b69e
鶟	U+9D9F (U+9D9F)	e9b69f
鶠	U+9DA0 (U+9DA0)	e9b6a0
鶡	crossbill, species of nightingale (U+9DA1)	e9b6a1
鶢	a bird which frequents the sea-shore (U+9DA2)	e9b6a2
鶣	U+9DA3 (U+9DA3)	e9b6a3
鶤	U+9DA4 (U+9DA4)	e9b6a4
鶥	U+9DA5 (U+9DA5)	e9b6a5
鶦	pelican (U+9DA6)	e9b6a6
鶧	U+9DA7 (U+9DA7)	e9b6a7
鶨	U+9DA8 (U+9DA8)	e9b6a8
鶩	duck (U+9DA9)	e9b6a9
鶪	a shrike (U+9DAA)	e9b6aa
鶫	thrush; Turdus naumanni (U+9DAB)	e9b6ab
鶬	oriole (U+9DAC)	e9b6ac
鶭	U+9DAD (U+9DAD)	e9b6ad
鶮	U+9DAE (U+9DAE)	e9b6ae
鶯	oriole, green finch; Sylvia species (various) (U+9DAF)	e9b6af
鶰	U+9DB0 (U+9DB0)	e9b6b0
鶱	soar (U+9DB1)	e9b6b1
鶲	U+9DB2 (U+9DB2)	e9b6b2
鶳	U+9DB3 (U+9DB3)	e9b6b3
鶴	crane; Grus species (various) (U+9DB4)	e9b6b4
鶵	chick, fledging; infant, toddler (U+9DB5)	e9b6b5
鶶	U+9DB6 (U+9DB6)	e9b6b6
鶷	U+9DB7 (U+9DB7)	e9b6b7
鶸	light yellowish-green (U+9DB8)	e9b6b8
鶹	the owl (U+9DB9)	e9b6b9
鶺	wagtail (U+9DBA)	e9b6ba
鶻	a kind of pigeon; falcon (U+9DBB)	e9b6bb
鶼	fabulous mythical bird (U+9DBC)	e9b6bc
鶽	a hawk (U+9DBD)	e9b6bd
鶾	U+9DBE (U+9DBE)	e9b6be
鶿	cormorant (U+9DBF)	e9b6bf
鷀	the fishing cormorant (U+9DC0)	e9b780
鷁	fishhawk; bow or prow (U+9DC1)	e9b781
鷂	sparrow hawk; Circus species (various) (U+9DC2)	e9b782
鷃	quail (U+9DC3)	e9b783
鷄	chicken (U+9DC4)	e9b784
鷅	U+9DC5 (U+9DC5)	e9b785
鷆	bird name (U+9DC6)	e9b786
鷇	chicks, fledglings (U+9DC7)	e9b787
鷈	a kind of bird (U+9DC8)	e9b788
鷉	U+9DC9 (U+9DC9)	e9b789
鷊	pheasant (U+9DCA)	e9b78a
鷋	U+9DCB (U+9DCB)	e9b78b
鷌	U+9DCC (U+9DCC)	e9b78c
鷍	U+9DCD (U+9DCD)	e9b78d
鷎	U+9DCE (U+9DCE)	e9b78e
鷏	Caprimulgus indicus (U+9DCF)	e9b78f
鷐	U+9DD0 (U+9DD0)	e9b790
鷑	U+9DD1 (U+9DD1)	e9b791
鷒	U+9DD2 (U+9DD2)	e9b792
鷓	partridge (U+9DD3)	e9b793
鷔	a bird of ill-omen to the state (U+9DD4)	e9b794
鷕	call (U+9DD5)	e9b795
鷖	seagull (U+9DD6)	e9b796
鷗	seagull, tern; Larus species (various) (U+9DD7)	e9b797
鷘	U+9DD8 (U+9DD8)	e9b798
鷙	hawk, vulture (U+9DD9)	e9b799
鷚	Anthus species (various) (U+9DDA)	e9b79a
鷛	U+9DDB (U+9DDB)	e9b79b
鷜	U+9DDC (U+9DDC)	e9b79c
鷝	U+9DDD (U+9DDD)	e9b79d
鷞	turquoise kingfisher (U+9DDE)	e9b79e
鷟	phoenix (U+9DDF)	e9b79f
鷠	U+9DE0 (U+9DE0)	e9b7a0
鷡	U+9DE1 (U+9DE1)	e9b7a1
鷢	U+9DE2 (U+9DE2)	e9b7a2
鷣	U+9DE3 (U+9DE3)	e9b7a3
鷤	U+9DE4 (U+9DE4)	e9b7a4
鷥	egret; Egretta garzetta (U+9DE5)	e9b7a5
鷦	wren (U+9DE6)	e9b7a6
鷧	cormorant (U+9DE7)	e9b7a7
鷨	U+9DE8 (U+9DE8)	e9b7a8
鷩	pheasant (U+9DE9)	e9b7a9
鷪	U+9DEA (U+9DEA)	e9b7aa
鷫	turquoise kingfisher (U+9DEB)	e9b7ab
鷬	U+9DEC (U+9DEC)	e9b7ac
鷭	U+9DED (U+9DED)	e9b7ad
鷮	U+9DEE (U+9DEE)	e9b7ae
鷯	wren (U+9DEF)	e9b7af
鷰	U+9DF0 (U+9DF0)	e9b7b0
鷱	U+9DF1 (U+9DF1)	e9b7b1
鷲	condor, vulture (U+9DF2)	e9b7b2
鷳	the silver pheasant, Lophura nycthemera (U+9DF3)	e9b7b3
鷴	silver pheasant badge worn by civil officials of the 5th grade; Lophura species (various) (U+9DF4)	e9b7b4
鷵	U+9DF5 (U+9DF5)	e9b7b5
鷶	U+9DF6 (U+9DF6)	e9b7b6
鷷	U+9DF7 (U+9DF7)	e9b7b7
鷸	snipe, kingfisher; Tringa species (various) (U+9DF8)	e9b7b8
鷹	eagle, falcon; Accipiter species (various) (U+9DF9)	e9b7b9
鷺	heron, egret; Ardea species (various) (U+9DFA)	e9b7ba
鷻	U+9DFB (U+9DFB)	e9b7bb
鷼	U+9DFC (U+9DFC)	e9b7bc
鷽	oriental bullfinch, weaver bird; Pyrrhula species (various) (U+9DFD)	e9b7bd
鷾	swallow (U+9DFE)	e9b7be
鷿	a kind of bird resembling the duck; much smaller (U+9DFF)	e9b7bf
鸀	U+9E00 (U+9E00)	e9b880
鸁	U+9E01 (U+9E01)	e9b881
鸂	Mandarin duck, Aix galericulata (U+9E02)	e9b882
鸃	U+9E03 (U+9E03)	e9b883
鸄	U+9E04 (U+9E04)	e9b884
鸅	U+9E05 (U+9E05)	e9b885
鸆	U+9E06 (U+9E06)	e9b886
鸇	hawk; Butastur indicus (U+9E07)	e9b887
鸈	U+9E08 (U+9E08)	e9b888
鸉	U+9E09 (U+9E09)	e9b889
鸊	Podiceps ruficolus (a kind of duck) (U+9E0A)	e9b88a
鸋	(archaic) a wren (U+9E0B)	e9b88b
鸌	U+9E0C (U+9E0C)	e9b88c
鸍	U+9E0D (U+9E0D)	e9b88d
鸎	the mango-bird; the Chinese oriole (U+9E0E)	e9b88e
鸏	U+9E0F (U+9E0F)	e9b88f
鸐	U+9E10 (U+9E10)	e9b890
鸑	a large, duck-like waterfowl with red eyes; a young phoenix (U+9E11)	e9b891
鸒	eastern jackdaw; Corvus monedula (U+9E12)	e9b892
鸓	U+9E13 (U+9E13)	e9b893
鸔	U+9E14 (U+9E14)	e9b894
鸕	cormorant (U+9E15)	e9b895
鸖	U+9E16 (U+9E16)	e9b896
鸗	U+9E17 (U+9E17)	e9b897
鸘	eagle (U+9E18)	e9b898
鸙	U+9E19 (U+9E19)	e9b899
鸚	parrot (U+9E1A)	e9b89a
鸛	crane, Grus japonensis; stork; Ciconia species (various) (U+9E1B)	e9b89b
鸜	a species of mynah (U+9E1C)	e9b89c
鸝	Chinese oriole; Oriolus oriolus (U+9E1D)	e9b89d
鸞	fabulous bird (U+9E1E)	e9b89e
鸟	bird; KangXi radical 196 (U+9E1F)	e9b89f
鸠	pigeon; collect, assemble (U+9E20)	e9b8a0
鸡	chicken (U+9E21)	e9b8a1
鸢	kite; Milvus species (various) (U+9E22)	e9b8a2
鸣	cry of bird or animal; make sound (U+9E23)	e9b8a3
鸤	turtledove, cuckoo (U+9E24)	e9b8a4
鸥	seagull, tern; Larus species (various) (U+9E25)	e9b8a5
鸦	crow; Corvus species (various) (U+9E26)	e9b8a6
鸧	oriole (U+9E27)	e9b8a7
鸨	bustard; procuress; Otis species (various) (U+9E28)	e9b8a8
鸩	a bird resembling the secretary falcon (U+9E29)	e9b8a9
鸪	species of Taiwan pigeon (U+9E2A)	e9b8aa
鸫	thrush; Turdus species (various) (U+9E2B)	e9b8ab
鸬	cormorant (U+9E2C)	e9b8ac
鸭	duck; Anas species (various) (U+9E2D)	e9b8ad
鸮	owl (U+9E2E)	e9b8ae
鸯	female mandarin duck (Aix galericulata) (U+9E2F)	e9b8af
鸰	species of lark; wagtail; Motacilla species (various) (U+9E30)	e9b8b0
鸱	kite, horned owl; wine cups (U+9E31)	e9b8b1
鸲	mynah; Erithacus species (various) (U+9E32)	e9b8b2
鸳	male mandarin duck (Aix galericulata) (U+9E33)	e9b8b3
鸴	oriental bullfinch, weaver bird; Pyrrhula species (various) (U+9E34)	e9b8b4
鸵	ostrich (U+9E35)	e9b8b5
鸶	the eastern egret (U+9E36)	e9b8b6
鸷	hawk, vulture (U+9E37)	e9b8b7
鸸	swallow (U+9E38)	e9b8b8
鸹	the crow (U+9E39)	e9b8b9
鸺	horned owl, scops chinensis (U+9E3A)	e9b8ba
鸻	U+9E3B (U+9E3B)	e9b8bb
鸼	U+9E3C (U+9E3C)	e9b8bc
鸽	pigeon, dove; Columba species (various) (U+9E3D)	e9b8bd
鸾	fabulous bird (U+9E3E)	e9b8be
鸿	species of wild swan; vast (U+9E3F)	e9b8bf
鹀	U+9E40 (U+9E40)	e9b980
鹁	species of pigeon (U+9E41)	e9b981
鹂	Chinese oriole; Oriolus oriolus (U+9E42)	e9b982
鹃	cuckoo (U+9E43)	e9b983
鹄	target (U+9E44)	e9b984
鹅	goose (U+9E45)	e9b985
鹆	myna; manah; Acridotheres tristis (U+9E46)	e9b986
鹇	silver pheasant, Lophura nycthemera; Lophura species (various) (U+9E47)	e9b987
鹈	pelican (U+9E48)	e9b988
鹉	species of parrot (U+9E49)	e9b989
鹊	magpie; Pica species (various) (U+9E4A)	e9b98a
鹋	emu (U+9E4B)	e9b98b
鹌	quail; Coturnix coturnix (U+9E4C)	e9b98c
鹍	a bird resembling the crane (U+9E4D)	e9b98d
鹎	bird (U+9E4E)	e9b98e
鹏	fabulous bird of enormous size (U+9E4F)	e9b98f
鹐	to peck, as birds (U+9E50)	e9b990
鹑	quail; Turnix species (various) (U+9E51)	e9b991
鹒	oriole (U+9E52)	e9b992
鹓	co-worker (U+9E53)	e9b993
鹔	turquoise kingfisher (U+9E54)	e9b994
鹕	pelican (U+9E55)	e9b995
鹖	crossbill, species of nightingale (U+9E56)	e9b996
鹗	osprey, fishhawk (U+9E57)	e9b997
鹘	a kind of pigeon; treron permagna (U+9E58)	e9b998
鹙	large waterfowl with naked head; Garrulus glandarius (U+9E59)	e9b999
鹚	cormorant (U+9E5A)	e9b99a
鹛	U+9E5B (U+9E5B)	e9b99b
鹜	duck (U+9E5C)	e9b99c
鹝	pheasant (U+9E5D)	e9b99d
鹞	sparrow hawk; kite shaped like (U+9E5E)	e9b99e
鹟	U+9E5F (U+9E5F)	e9b99f
鹠	the owl (U+9E60)	e9b9a0
鹡	wagtail (U+9E61)	e9b9a1
鹢	fishhawk bow or prow (U+9E62)	e9b9a2
鹣	fabulous mythical bird (U+9E63)	e9b9a3
鹤	crane; Grus species (various) (U+9E64)	e9b9a4
鹥	seagull (U+9E65)	e9b9a5
鹦	parrot (U+9E66)	e9b9a6
鹧	partridge (U+9E67)	e9b9a7
鹨	Anthus species (various) (U+9E68)	e9b9a8
鹩	wren (U+9E69)	e9b9a9
鹪	wren (U+9E6A)	e9b9aa
鹫	condor, vulture (U+9E6B)	e9b9ab
鹬	snipe, kingfisher (U+9E6C)	e9b9ac
鹭	heron, egret; Ardea species (various) (U+9E6D)	e9b9ad
鹮	spoonbill; ibis; family Threskiornidae (U+9E6E)	e9b9ae
鹯	hawk; Butastur indicus (U+9E6F)	e9b9af
鹰	falcon; Accipiter species (various) (U+9E70)	e9b9b0
鹱	U+9E71 (U+9E71)	e9b9b1
鹲	U+9E72 (U+9E72)	e9b9b2
鹳	crane, grus japonensis; stork; Ciconia species (various) (U+9E73)	e9b9b3
鹴	eagle (U+9E74)	e9b9b4
鹵	saline soil; natural salt, rock (U+9E75)	e9b9b5
鹶	salty and bitter; pitiful (U+9E76)	e9b9b6
鹷	U+9E77 (U+9E77)	e9b9b7
鹸	alkaline, alkali, lye, salt (U+9E78)	e9b9b8
鹹	salty, briny; salted; pickled (U+9E79)	e9b9b9
鹺	salty; salt (U+9E7A)	e9b9ba
鹻	impure carbonate of sodium of natron (U+9E7B)	e9b9bb
鹼	alkaline, alkali, lye, salt (U+9E7C)	e9b9bc
鹽	(same as of U+5869 塩) salt (U+9E7D)	e9b9bd
鹾	salty; salt (U+9E7E)	e9b9be
鹿	deer; surname; KangXi radical 198 (U+9E7F)	e9b9bf
麀	female deer; roe, doe (U+9E80)	e9ba80
麁	rough, thick, course; rude (U+9E81)	e9ba81
麂	species of deer (U+9E82)	e9ba82
麃	till, plow (U+9E83)	e9ba83
麄	coarse, rough, rude (U+9E84)	e9ba84
麅	a small spotted deer found in north China (U+9E85)	e9ba85
麆	U+9E86 (U+9E86)	e9ba86
麇	general name for the hornless deer; to collect to band together (U+9E87)	e9ba87
麈	species of deer (U+9E88)	e9ba88
麉	U+9E89 (U+9E89)	e9ba89
麊	U+9E8A (U+9E8A)	e9ba8a
麋	elk; surname (U+9E8B)	e9ba8b
麌	stag; herd (U+9E8C)	e9ba8c
麍	U+9E8D (U+9E8D)	e9ba8d
麎	U+9E8E (U+9E8E)	e9ba8e
麏	U+9E8F (U+9E8F)	e9ba8f
麐	female of Chinese unicorn (U+9E90)	e9ba90
麑	fawn, young deer (U+9E91)	e9ba91
麒	legendary auspicious animal (U+9E92)	e9ba92
麓	foot of hill; foothill (U+9E93)	e9ba93
麔	U+9E94 (U+9E94)	e9ba94
麕	muntjac deer, hornless river deer (U+9E95)	e9ba95
麖	U+9E96 (U+9E96)	e9ba96
麗	beautiful, magnificent, elegant (U+9E97)	e9ba97
麘	scent (U+9E98)	e9ba98
麙	U+9E99 (U+9E99)	e9ba99
麚	U+9E9A (U+9E9A)	e9ba9a
麛	fawn (U+9E9B)	e9ba9b
麜	U+9E9C (U+9E9C)	e9ba9c
麝	musk deer (U+9E9D)	e9ba9d
麞	roebuck, Moschus chinloo (U+9E9E)	e9ba9e
麟	female of Chinese unicorn (U+9E9F)	e9ba9f
麠	a large deer (U+9EA0)	e9baa0
麡	U+9EA1 (U+9EA1)	e9baa1
麢	U+9EA2 (U+9EA2)	e9baa2
麣	U+9EA3 (U+9EA3)	e9baa3
麤	rough, coarse, big, rough (U+9EA4)	e9baa4
麥	wheat, barley, oats; KangXi radical number 199 (U+9EA5)	e9baa5
麦	wheat, barley, oats; simplified form of KangXi radical number 199 (U+9EA6)	e9baa6
麧	U+9EA7 (U+9EA7)	e9baa7
麨	U+9EA8 (U+9EA8)	e9baa8
麩	bran (U+9EA9)	e9baa9
麪	flour, noodles, dough (U+9EAA)	e9baaa
麫	flour; vermicelli; dough (U+9EAB)	e9baab
麬	U+9EAC (U+9EAC)	e9baac
麭	a sticky rice ball (U+9EAD)	e9baad
麮	porridge (U+9EAE)	e9baae
麯	yeast, leaven (U+9EAF)	e9baaf
麰	barley (U+9EB0)	e9bab0
麱	U+9EB1 (U+9EB1)	e9bab1
麲	U+9EB2 (U+9EB2)	e9bab2
麳	U+9EB3 (U+9EB3)	e9bab3
麴	yeast, leaven; surname (U+9EB4)	e9bab4
麵	flour, dough, noodles (U+9EB5)	e9bab5
麶	U+9EB6 (U+9EB6)	e9bab6
麷	U+9EB7 (U+9EB7)	e9bab7
麸	bran (U+9EB8)	e9bab8
麹	yeast, leaven; surname (U+9EB9)	e9bab9
麺	flour, dough, noodles (U+9EBA)	e9baba
麻	hemp, jute, flax; sesame (U+9EBB)	e9babb
麼	interrogative final particle; insignificant, small, tiny (U+9EBC)	e9babc
麽	interrogative final particle; insignificant, small, tiny (U+9EBD)	e9babd
麾	a pennant, flag, banner; to signal to (U+9EBE)	e9babe
麿	I, personal name marker (U+9EBF)	e9babf
黀	U+9EC0 (U+9EC0)	e9bb80
黁	U+9EC1 (U+9EC1)	e9bb81
黂	U+9EC2 (U+9EC2)	e9bb82
黃	yellow; surname (U+9EC3)	e9bb83
黄	yellow; surname (U+9EC4)	e9bb84
黅	U+9EC5 (U+9EC5)	e9bb85
黆	U+9EC6 (U+9EC6)	e9bb86
黇	U+9EC7 (U+9EC7)	e9bb87
黈	yellow; augment, increase (U+9EC8)	e9bb88
黉	school (U+9EC9)	e9bb89
黊	U+9ECA (U+9ECA)	e9bb8a
黋	U+9ECB (U+9ECB)	e9bb8b
黌	school (U+9ECC)	e9bb8c
黍	glutinous millet; KangXi radical number 202 (U+9ECD)	e9bb8d
黎	surname; numerous, many; black (U+9ECE)	e9bb8e
黏	stick to; glutinous, sticky; glue (U+9ECF)	e9bb8f
黐	to stick; sticky (U+9ED0)	e9bb90
黑	black; dark; evil, sinister (U+9ED1)	e9bb91
黒	black; dark; evil (U+9ED2)	e9bb92
黓	black (U+9ED3)	e9bb93
黔	black; Guizhou (U+9ED4)	e9bb94
