𣯠	U+23BE0 (U+23BE0)	f0a3afa0
𣯡	U+23BE1 (U+23BE1)	f0a3afa1
𣯢	U+23BE2 (U+23BE2)	f0a3afa2
𣯣	U+23BE3 (U+23BE3)	f0a3afa3
𣯤	U+23BE4 (U+23BE4)	f0a3afa4
𣯥	U+23BE5 (U+23BE5)	f0a3afa5
𣯦	U+23BE6 (U+23BE6)	f0a3afa6
𣯧	U+23BE7 (U+23BE7)	f0a3afa7
𣯨	U+23BE8 (U+23BE8)	f0a3afa8
𣯩	U+23BE9 (U+23BE9)	f0a3afa9
𣯪	U+23BEA (U+23BEA)	f0a3afaa
𣯫	U+23BEB (U+23BEB)	f0a3afab
𣯬	U+23BEC (U+23BEC)	f0a3afac
𣯭	U+23BED (U+23BED)	f0a3afad
𣯮	U+23BEE (U+23BEE)	f0a3afae
𣯯	U+23BEF (U+23BEF)	f0a3afaf
𣯰	U+23BF0 (U+23BF0)	f0a3afb0
𣯱	U+23BF1 (U+23BF1)	f0a3afb1
𣯲	U+23BF2 (U+23BF2)	f0a3afb2
𣯳	U+23BF3 (U+23BF3)	f0a3afb3
𣯴	U+23BF4 (U+23BF4)	f0a3afb4
𣯵	U+23BF5 (U+23BF5)	f0a3afb5
𣯶	U+23BF6 (U+23BF6)	f0a3afb6
𣯷	U+23BF7 (U+23BF7)	f0a3afb7
𣯸	U+23BF8 (U+23BF8)	f0a3afb8
𣯹	U+23BF9 (U+23BF9)	f0a3afb9
𣯺	U+23BFA (U+23BFA)	f0a3afba
𣯻	U+23BFB (U+23BFB)	f0a3afbb
𣯼	U+23BFC (U+23BFC)	f0a3afbc
𣯽	U+23BFD (U+23BFD)	f0a3afbd
𣯾	U+23BFE (U+23BFE)	f0a3afbe
𣯿	U+23BFF (U+23BFF)	f0a3afbf
𣰀	U+23C00 (U+23C00)	f0a3b080
𣰁	U+23C01 (U+23C01)	f0a3b081
𣰂	U+23C02 (U+23C02)	f0a3b082
𣰃	U+23C03 (U+23C03)	f0a3b083
𣰄	U+23C04 (U+23C04)	f0a3b084
𣰅	U+23C05 (U+23C05)	f0a3b085
𣰆	U+23C06 (U+23C06)	f0a3b086
𣰇	U+23C07 (U+23C07)	f0a3b087
𣰈	U+23C08 (U+23C08)	f0a3b088
𣰉	U+23C09 (U+23C09)	f0a3b089
𣰊	U+23C0A (U+23C0A)	f0a3b08a
𣰋	U+23C0B (U+23C0B)	f0a3b08b
𣰌	U+23C0C (U+23C0C)	f0a3b08c
𣰍	U+23C0D (U+23C0D)	f0a3b08d
𣰎	U+23C0E (U+23C0E)	f0a3b08e
𣰏	U+23C0F (U+23C0F)	f0a3b08f
𣰐	U+23C10 (U+23C10)	f0a3b090
𣰑	U+23C11 (U+23C11)	f0a3b091
𣰒	U+23C12 (U+23C12)	f0a3b092
𣰓	U+23C13 (U+23C13)	f0a3b093
𣰔	U+23C14 (U+23C14)	f0a3b094
𣰕	U+23C15 (U+23C15)	f0a3b095
𣰖	U+23C16 (U+23C16)	f0a3b096
𣰗	U+23C17 (U+23C17)	f0a3b097
𣰘	U+23C18 (U+23C18)	f0a3b098
𣰙	U+23C19 (U+23C19)	f0a3b099
𣰚	U+23C1A (U+23C1A)	f0a3b09a
𣰛	U+23C1B (U+23C1B)	f0a3b09b
𣰜	U+23C1C (U+23C1C)	f0a3b09c
𣰝	U+23C1D (U+23C1D)	f0a3b09d
𣰞	U+23C1E (U+23C1E)	f0a3b09e
𣰟	U+23C1F (U+23C1F)	f0a3b09f
𣰠	U+23C20 (U+23C20)	f0a3b0a0
𣰡	U+23C21 (U+23C21)	f0a3b0a1
𣰢	U+23C22 (U+23C22)	f0a3b0a2
𣰣	U+23C23 (U+23C23)	f0a3b0a3
𣰤	U+23C24 (U+23C24)	f0a3b0a4
𣰥	U+23C25 (U+23C25)	f0a3b0a5
𣰦	U+23C26 (U+23C26)	f0a3b0a6
𣰧	U+23C27 (U+23C27)	f0a3b0a7
𣰨	U+23C28 (U+23C28)	f0a3b0a8
𣰩	U+23C29 (U+23C29)	f0a3b0a9
𣰪	U+23C2A (U+23C2A)	f0a3b0aa
𣰫	U+23C2B (U+23C2B)	f0a3b0ab
𣰬	U+23C2C (U+23C2C)	f0a3b0ac
𣰭	U+23C2D (U+23C2D)	f0a3b0ad
𣰮	U+23C2E (U+23C2E)	f0a3b0ae
𣰯	U+23C2F (U+23C2F)	f0a3b0af
𣰰	U+23C30 (U+23C30)	f0a3b0b0
𣰱	U+23C31 (U+23C31)	f0a3b0b1
𣰲	U+23C32 (U+23C32)	f0a3b0b2
𣰳	U+23C33 (U+23C33)	f0a3b0b3
𣰴	U+23C34 (U+23C34)	f0a3b0b4
𣰵	U+23C35 (U+23C35)	f0a3b0b5
𣰶	U+23C36 (U+23C36)	f0a3b0b6
𣰷	U+23C37 (U+23C37)	f0a3b0b7
𣰸	U+23C38 (U+23C38)	f0a3b0b8
𣰹	U+23C39 (U+23C39)	f0a3b0b9
𣰺	U+23C3A (U+23C3A)	f0a3b0ba
𣰻	U+23C3B (U+23C3B)	f0a3b0bb
𣰼	U+23C3C (U+23C3C)	f0a3b0bc
𣰽	U+23C3D (U+23C3D)	f0a3b0bd
𣰾	U+23C3E (U+23C3E)	f0a3b0be
𣰿	U+23C3F (U+23C3F)	f0a3b0bf
𣱀	U+23C40 (U+23C40)	f0a3b180
𣱁	U+23C41 (U+23C41)	f0a3b181
𣱂	U+23C42 (U+23C42)	f0a3b182
𣱃	U+23C43 (U+23C43)	f0a3b183
𣱄	U+23C44 (U+23C44)	f0a3b184
𣱅	U+23C45 (U+23C45)	f0a3b185
𣱆	U+23C46 (U+23C46)	f0a3b186
𣱇	U+23C47 (U+23C47)	f0a3b187
𣱈	U+23C48 (U+23C48)	f0a3b188
𣱉	U+23C49 (U+23C49)	f0a3b189
𣱊	U+23C4A (U+23C4A)	f0a3b18a
𣱋	U+23C4B (U+23C4B)	f0a3b18b
𣱌	U+23C4C (U+23C4C)	f0a3b18c
𣱍	U+23C4D (U+23C4D)	f0a3b18d
𣱎	U+23C4E (U+23C4E)	f0a3b18e
𣱏	U+23C4F (U+23C4F)	f0a3b18f
𣱐	U+23C50 (U+23C50)	f0a3b190
𣱑	U+23C51 (U+23C51)	f0a3b191
𣱒	U+23C52 (U+23C52)	f0a3b192
𣱓	U+23C53 (U+23C53)	f0a3b193
𣱔	U+23C54 (U+23C54)	f0a3b194
𣱕	U+23C55 (U+23C55)	f0a3b195
𣱖	U+23C56 (U+23C56)	f0a3b196
𣱗	U+23C57 (U+23C57)	f0a3b197
𣱘	U+23C58 (U+23C58)	f0a3b198
𣱙	U+23C59 (U+23C59)	f0a3b199
𣱚	U+23C5A (U+23C5A)	f0a3b19a
𣱛	U+23C5B (U+23C5B)	f0a3b19b
𣱜	U+23C5C (U+23C5C)	f0a3b19c
𣱝	U+23C5D (U+23C5D)	f0a3b19d
𣱞	U+23C5E (U+23C5E)	f0a3b19e
𣱟	U+23C5F (U+23C5F)	f0a3b19f
𣱠	U+23C60 (U+23C60)	f0a3b1a0
𣱡	U+23C61 (U+23C61)	f0a3b1a1
𣱢	U+23C62 (U+23C62)	f0a3b1a2
𣱣	U+23C63 (U+23C63)	f0a3b1a3
𣱤	U+23C64 (U+23C64)	f0a3b1a4
𣱥	U+23C65 (U+23C65)	f0a3b1a5
𣱦	U+23C66 (U+23C66)	f0a3b1a6
𣱧	U+23C67 (U+23C67)	f0a3b1a7
𣱨	U+23C68 (U+23C68)	f0a3b1a8
𣱩	U+23C69 (U+23C69)	f0a3b1a9
𣱪	U+23C6A (U+23C6A)	f0a3b1aa
𣱫	U+23C6B (U+23C6B)	f0a3b1ab
𣱬	U+23C6C (U+23C6C)	f0a3b1ac
𣱭	U+23C6D (U+23C6D)	f0a3b1ad
𣱮	U+23C6E (U+23C6E)	f0a3b1ae
𣱯	U+23C6F (U+23C6F)	f0a3b1af
𣱰	U+23C70 (U+23C70)	f0a3b1b0
𣱱	U+23C71 (U+23C71)	f0a3b1b1
𣱲	U+23C72 (U+23C72)	f0a3b1b2
𣱳	U+23C73 (U+23C73)	f0a3b1b3
𣱴	U+23C74 (U+23C74)	f0a3b1b4
𣱵	U+23C75 (U+23C75)	f0a3b1b5
𣱶	U+23C76 (U+23C76)	f0a3b1b6
𣱷	U+23C77 (U+23C77)	f0a3b1b7
𣱸	U+23C78 (U+23C78)	f0a3b1b8
𣱹	U+23C79 (U+23C79)	f0a3b1b9
