𩟫	U+297EB (U+297EB)	f0a99fab
𩟬	U+297EC (U+297EC)	f0a99fac
𩟭	U+297ED (U+297ED)	f0a99fad
𩟮	U+297EE (U+297EE)	f0a99fae
𩟯	U+297EF (U+297EF)	f0a99faf
𩟰	U+297F0 (U+297F0)	f0a99fb0
𩟱	U+297F1 (U+297F1)	f0a99fb1
𩟲	U+297F2 (U+297F2)	f0a99fb2
𩟳	U+297F3 (U+297F3)	f0a99fb3
𩟴	U+297F4 (U+297F4)	f0a99fb4
𩟵	U+297F5 (U+297F5)	f0a99fb5
𩟶	U+297F6 (U+297F6)	f0a99fb6
𩟷	U+297F7 (U+297F7)	f0a99fb7
𩟸	U+297F8 (U+297F8)	f0a99fb8
𩟹	U+297F9 (U+297F9)	f0a99fb9
𩟺	U+297FA (U+297FA)	f0a99fba
𩟻	U+297FB (U+297FB)	f0a99fbb
𩟼	U+297FC (U+297FC)	f0a99fbc
𩟽	U+297FD (U+297FD)	f0a99fbd
𩟾	U+297FE (U+297FE)	f0a99fbe
𩟿	U+297FF (U+297FF)	f0a99fbf
𩠀	U+29800 (U+29800)	f0a9a080
𩠁	U+29801 (U+29801)	f0a9a081
𩠂	U+29802 (U+29802)	f0a9a082
𩠃	U+29803 (U+29803)	f0a9a083
𩠄	U+29804 (U+29804)	f0a9a084
𩠅	U+29805 (U+29805)	f0a9a085
𩠆	U+29806 (U+29806)	f0a9a086
𩠇	U+29807 (U+29807)	f0a9a087
𩠈	U+29808 (U+29808)	f0a9a088
𩠉	U+29809 (U+29809)	f0a9a089
𩠊	U+2980A (U+2980A)	f0a9a08a
𩠋	U+2980B (U+2980B)	f0a9a08b
𩠌	U+2980C (U+2980C)	f0a9a08c
𩠍	U+2980D (U+2980D)	f0a9a08d
𩠎	U+2980E (U+2980E)	f0a9a08e
𩠏	U+2980F (U+2980F)	f0a9a08f
𩠐	U+29810 (U+29810)	f0a9a090
𩠑	top, head, summit (U+29811)	f0a9a091
𩠒	U+29812 (U+29812)	f0a9a092
𩠓	U+29813 (U+29813)	f0a9a093
𩠔	U+29814 (U+29814)	f0a9a094
𩠕	U+29815 (U+29815)	f0a9a095
𩠖	U+29816 (U+29816)	f0a9a096
𩠗	U+29817 (U+29817)	f0a9a097
𩠘	U+29818 (U+29818)	f0a9a098
𩠙	U+29819 (U+29819)	f0a9a099
𩠚	U+2981A (U+2981A)	f0a9a09a
𩠛	U+2981B (U+2981B)	f0a9a09b
𩠜	U+2981C (U+2981C)	f0a9a09c
𩠝	U+2981D (U+2981D)	f0a9a09d
𩠞	U+2981E (U+2981E)	f0a9a09e
𩠟	U+2981F (U+2981F)	f0a9a09f
𩠠	U+29820 (U+29820)	f0a9a0a0
𩠡	U+29821 (U+29821)	f0a9a0a1
𩠢	U+29822 (U+29822)	f0a9a0a2
𩠣	U+29823 (U+29823)	f0a9a0a3
𩠤	U+29824 (U+29824)	f0a9a0a4
𩠥	U+29825 (U+29825)	f0a9a0a5
𩠦	U+29826 (U+29826)	f0a9a0a6
𩠧	U+29827 (U+29827)	f0a9a0a7
𩠨	U+29828 (U+29828)	f0a9a0a8
𩠩	U+29829 (U+29829)	f0a9a0a9
𩠪	U+2982A (U+2982A)	f0a9a0aa
𩠫	U+2982B (U+2982B)	f0a9a0ab
𩠬	U+2982C (U+2982C)	f0a9a0ac
𩠭	U+2982D (U+2982D)	f0a9a0ad
𩠮	U+2982E (U+2982E)	f0a9a0ae
𩠯	U+2982F (U+2982F)	f0a9a0af
𩠰	U+29830 (U+29830)	f0a9a0b0
𩠱	U+29831 (U+29831)	f0a9a0b1
𩠲	U+29832 (U+29832)	f0a9a0b2
𩠳	U+29833 (U+29833)	f0a9a0b3
𩠴	U+29834 (U+29834)	f0a9a0b4
𩠵	U+29835 (U+29835)	f0a9a0b5
𩠶	U+29836 (U+29836)	f0a9a0b6
𩠷	U+29837 (U+29837)	f0a9a0b7
