𧿠	U+27FE0 (U+27FE0)	f0a7bfa0
𧿡	U+27FE1 (U+27FE1)	f0a7bfa1
𧿢	U+27FE2 (U+27FE2)	f0a7bfa2
𧿣	U+27FE3 (U+27FE3)	f0a7bfa3
𧿤	U+27FE4 (U+27FE4)	f0a7bfa4
𧿥	U+27FE5 (U+27FE5)	f0a7bfa5
𧿦	U+27FE6 (U+27FE6)	f0a7bfa6
𧿧	U+27FE7 (U+27FE7)	f0a7bfa7
𧿨	U+27FE8 (U+27FE8)	f0a7bfa8
𧿩	U+27FE9 (U+27FE9)	f0a7bfa9
𧿪	U+27FEA (U+27FEA)	f0a7bfaa
𧿫	(Cant.) to have a rest (U+27FEB)	f0a7bfab
𧿬	U+27FEC (U+27FEC)	f0a7bfac
𧿭	U+27FED (U+27FED)	f0a7bfad
𧿮	U+27FEE (U+27FEE)	f0a7bfae
𧿯	U+27FEF (U+27FEF)	f0a7bfaf
𧿰	U+27FF0 (U+27FF0)	f0a7bfb0
𧿱	U+27FF1 (U+27FF1)	f0a7bfb1
𧿲	U+27FF2 (U+27FF2)	f0a7bfb2
𧿳	U+27FF3 (U+27FF3)	f0a7bfb3
𧿴	U+27FF4 (U+27FF4)	f0a7bfb4
𧿵	U+27FF5 (U+27FF5)	f0a7bfb5
𧿶	U+27FF6 (U+27FF6)	f0a7bfb6
𧿷	U+27FF7 (U+27FF7)	f0a7bfb7
𧿸	U+27FF8 (U+27FF8)	f0a7bfb8
𧿹	thumb, big toe (U+27FF9)	f0a7bfb9
𧿺	U+27FFA (U+27FFA)	f0a7bfba
𧿻	U+27FFB (U+27FFB)	f0a7bfbb
𧿼	U+27FFC (U+27FFC)	f0a7bfbc
𧿽	U+27FFD (U+27FFD)	f0a7bfbd
𧿾	U+27FFE (U+27FFE)	f0a7bfbe
𧿿	U+27FFF (U+27FFF)	f0a7bfbf
𨀀	U+28000 (U+28000)	f0a88080
𨀁	U+28001 (U+28001)	f0a88081
𨀂	U+28002 (U+28002)	f0a88082
𨀃	U+28003 (U+28003)	f0a88083
𨀄	U+28004 (U+28004)	f0a88084
𨀅	U+28005 (U+28005)	f0a88085
𨀆	U+28006 (U+28006)	f0a88086
𨀇	U+28007 (U+28007)	f0a88087
𨀈	U+28008 (U+28008)	f0a88088
𨀉	U+28009 (U+28009)	f0a88089
𨀊	U+2800A (U+2800A)	f0a8808a
𨀋	U+2800B (U+2800B)	f0a8808b
𨀌	U+2800C (U+2800C)	f0a8808c
𨀍	U+2800D (U+2800D)	f0a8808d
𨀎	U+2800E (U+2800E)	f0a8808e
𨀏	U+2800F (U+2800F)	f0a8808f
𨀐	U+28010 (U+28010)	f0a88090
𨀑	U+28011 (U+28011)	f0a88091
𨀒	U+28012 (U+28012)	f0a88092
𨀓	U+28013 (U+28013)	f0a88093
𨀔	U+28014 (U+28014)	f0a88094
𨀕	U+28015 (U+28015)	f0a88095
𨀖	U+28016 (U+28016)	f0a88096
𨀗	U+28017 (U+28017)	f0a88097
𨀘	U+28018 (U+28018)	f0a88098
𨀙	U+28019 (U+28019)	f0a88099
𨀚	U+2801A (U+2801A)	f0a8809a
𨀛	U+2801B (U+2801B)	f0a8809b
𨀜	U+2801C (U+2801C)	f0a8809c
𨀝	U+2801D (U+2801D)	f0a8809d
𨀞	U+2801E (U+2801E)	f0a8809e
𨀟	U+2801F (U+2801F)	f0a8809f
𨀠	U+28020 (U+28020)	f0a880a0
𨀡	U+28021 (U+28021)	f0a880a1
