仕	official; serve government (U+4ED5)	e4bb95
佈	spread, publicize, announce (U+4F48)	e4bd88
佉	surname; name of a divine being; transliteration of Sanskrit 'kh' (U+4F49)	e4bd89
佊	U+4F4A (U+4F4A)	e4bd8a
佋	continue, carry on; hand down; to join (U+4F4B)	e4bd8b
佌	small (U+4F4C)	e4bd8c
位	throne; position, post; rank, status; seat (U+4F4D)	e4bd8d
低	low; to lower, hang, bend, bow (U+4F4E)	e4bd8e
住	reside, live at, dwell, lodge; stop (U+4F4F)	e4bd8f
佐	assist, aid, second; subordinate (U+4F50)	e4bd90
佑	help, protect, bless (U+4F51)	e4bd91
佒	U+4F52 (U+4F52)	e4bd92
体	body; group, class, body, unit; inferior (U+4F53)	e4bd93
佔	occupy by force, usurp; possess (U+4F54)	e4bd94
何	what, why, where, which, how (U+4F55)	e4bd95
佖	U+4F56 (U+4F56)	e4bd96
佗	other, he; surname; a load (U+4F57)	e4bd97
佘	surname (U+4F58)	e4bd98
余	I, my, me; surname; surplus (U+4F59)	e4bd99
佚	indulge in pleasures; flee (U+4F5A)	e4bd9a
佛	Buddha; of Buddhism; merciful person; Buddhist image; the dead (Jap.) (U+4F5B)	e4bd9b
作	make; work; compose, write; act, perform (U+4F5C)	e4bd9c
佝	rickets (U+4F5D)	e4bd9d
佞	flattery; glib (U+4F5E)	e4bd9e
佟	a name (U+4F5F)	e4bd9f
你	you, second person pronoun (U+4F60)	e4bda0
佡	make effort, endeavor (U+4F61)	e4bda1
佢	(Cant.) he, she, it (U+4F62)	e4bda2
佣	commission fee (U+4F63)	e4bda3
佤	the Va (Wa) nationality, living in Yunnan (U+4F64)	e4bda4
佥	all, together, unanimous (U+4F65)	e4bda5
佦	U+4F66 (U+4F66)	e4bda6
佧	U+4F67 (U+4F67)	e4bda7
佨	U+4F68 (U+4F68)	e4bda8
佩	belt ornament, pendant; wear at waist, tie to the belt; respect (U+4F69)	e4bda9
佪	hesitate (U+4F6A)	e4bdaa
佫	U+4F6B (U+4F6B)	e4bdab
佬	(Cant.) man, person; mature (U+4F6C)	e4bdac
佭	unsubmissive; obstreperous (U+4F6D)	e4bdad
佮	(Cant.) intensive particle (U+4F6E)	e4bdae
佯	pretend, feign; false, deceitful (U+4F6F)	e4bdaf
佰	hundred (U+4F70)	e4bdb0
佱	U+4F71 (U+4F71)	e4bdb1
佲	U+4F72 (U+4F72)	e4bdb2
佳	good, auspicious; beautiful; delightful (U+4F73)	e4bdb3
佴	a second, an assistant (U+4F74)	e4bdb4
併	combine, annex (U+4F75)	e4bdb5
佶	strong, robust; exact, correct (U+4F76)	e4bdb6
佷	to act contrary to (U+4F77)	e4bdb7
佸	meet (U+4F78)	e4bdb8
佹	depend upon; support; go against; (variant deceive) (U+4F79)	e4bdb9
佺	fairy (U+4F7A)	e4bdba
佻	frivolous; unsteady; delay (U+4F7B)	e4bdbb
佼	beautiful, handsome, good-looking (U+4F7C)	e4bdbc
佽	aid; help (U+4F7D)	e4bdbd
佾	a row or file of dancers (U+4F7E)	e4bdbe
使	cause, send on a mission, order; envoy, messenger, ambassador (U+4F7F)	e4bdbf
侀	form (U+4F80)	e4be80
侁	crowd (U+4F81)	e4be81
侂	to commission, to entrust to, to depute; to request, to ask (U+4F82)	e4be82
侃	upright and strong; amiable (U+4F83)	e4be83
侄	nephew (U+4F84)	e4be84
侅	to give; prepared for included in; embraced in (U+4F85)	e4be85
來	come, coming; return, returning (U+4F86)	e4be86
侇	a class, a category a corpse (U+4F87)	e4be87
侈	luxurious, extravagant (U+4F88)	e4be88
侉	U+4F89 (U+4F89)	e4be89
侊	big (U+4F8A)	e4be8a
例	precedent, example; regulation (U+4F8B)	e4be8b
侌	U+4F8C (U+4F8C)	e4be8c
侍	serve, attend upon; attendant, servant; samurai (U+4F8D)	e4be8d
侎	to soothe, to pacify; to settle, to establish (U+4F8E)	e4be8e
侏	small, little, tiny, dwarf (U+4F8F)	e4be8f
侐	quiet (U+4F90)	e4be90
侑	help, assist, repay kindness (U+4F91)	e4be91
侒	U+4F92 (U+4F92)	e4be92
侓	U+4F93 (U+4F93)	e4be93
侔	equal (U+4F94)	e4be94
侕	U+4F95 (U+4F95)	e4be95
侖	logical reasons, logical order (U+4F96)	e4be96
侗	big; ignorant; rude, rustic (U+4F97)	e4be97
侘	disappointed, forlorn (U+4F98)	e4be98
侙	U+4F99 (U+4F99)	e4be99
侚	fast (U+4F9A)	e4be9a
供	supply, provide for; offer in worship (U+4F9B)	e4be9b
侜	lies (U+4F9C)	e4be9c
依	rely on, be set in; consent, obey a wish (U+4F9D)	e4be9d
侞	U+4F9E (U+4F9E)	e4be9e
侟	U+4F9F (U+4F9F)	e4be9f
侠	chivalrous person; knight-errant (U+4FA0)	e4bea0
価	price, value (U+4FA1)	e4bea1
侢	load (U+4FA2)	e4bea2
侣	companion; associate with (U+4FA3)	e4bea3
侤	U+4FA4 (U+4FA4)	e4bea4
侥	be lucky; by chance, by luck (U+4FA5)	e4bea5
侦	spy, reconnoiter; detective (U+4FA6)	e4bea6
侧	side; incline, slant, lean (U+4FA7)	e4bea7
侨	sojourn, lodge (U+4FA8)	e4bea8
侩	go-between, broker, proxy (U+4FA9)	e4bea9
侪	a company, companion; together (U+4FAA)	e4beaa
侫	flattery; glib (U+4FAB)	e4beab
侬	I; you; family name (U+4FAC)	e4beac
侭	complete, utmost (U+4FAD)	e4bead
侮	insult, ridicule, disgrace (U+4FAE)	e4beae
侯	marquis, lord; target in archery (U+4FAF)	e4beaf
侰	U+4FB0 (U+4FB0)	e4beb0
侱	U+4FB1 (U+4FB1)	e4beb1
侲	U+4FB2 (U+4FB2)	e4beb2
侳	U+4FB3 (U+4FB3)	e4beb3
侴	surname (U+4FB4)	e4beb4
侵	invade, encroach upon, raid (U+4FB5)	e4beb5
侶	companion; associate with (U+4FB6)	e4beb6
侷	narrow, cramped, confined (U+4FB7)	e4beb7
侸	U+4FB8 (U+4FB8)	e4beb8
侹	U+4FB9 (U+4FB9)	e4beb9
侺	U+4FBA (U+4FBA)	e4beba
侻	U+4FBB (U+4FBB)	e4bebb
侼	U+4FBC (U+4FBC)	e4bebc
侽	U+4FBD (U+4FBD)	e4bebd
侾	U+4FBE (U+4FBE)	e4bebe
便	convenience, ease; expedient (U+4FBF)	e4bebf
俀	U+4FC0 (U+4FC0)	e4bf80
俁	big (U+4FC1)	e4bf81
係	bind, tie up; involve, relation (U+4FC2)	e4bf82
促	urge, press, hurry; close (U+4FC3)	e4bf83
俄	sudden(ly), soon; Russian (U+4FC4)	e4bf84
俅	ornamental cap (U+4FC5)	e4bf85
俆	U+4FC6 (U+4FC6)	e4bf86
俇	U+4FC7 (U+4FC7)	e4bf87
俈	to inform quickly; an urgent communication (U+4FC8)	e4bf88
俉	U+4FC9 (U+4FC9)	e4bf89
俊	talented, capable; handsome (U+4FCA)	e4bf8a
俋	U+4FCB (U+4FCB)	e4bf8b
俌	U+4FCC (U+4FCC)	e4bf8c
俍	U+4FCD (U+4FCD)	e4bf8d
俎	chopping board or block; painted (U+4FCE)	e4bf8e
俏	like, similar; resemble; pretty (U+4FCF)	e4bf8f
俐	smooth; active; clever, sharp (U+4FD0)	e4bf90
俑	wooden figure buried with dead (U+4FD1)	e4bf91
俒	U+4FD2 (U+4FD2)	e4bf92
俓	straight; pass (U+4FD3)	e4bf93
俔	like (U+4FD4)	e4bf94
俕	U+4FD5 (U+4FD5)	e4bf95
俖	U+4FD6 (U+4FD6)	e4bf96
俗	social customs; vulgar, unrefined (U+4FD7)	e4bf97
俘	prisoner of war; take as prisoner (U+4FD8)	e4bf98
俙	to pretend, appear as if (U+4FD9)	e4bf99
俚	rustic, vulgar, unpolished; mean (U+4FDA)	e4bf9a
俛	make effort, endeavor; to lower the head (U+4FDB)	e4bf9b
俜	to trust to; send a message (U+4FDC)	e4bf9c
保	protect, safeguard, defend, care (U+4FDD)	e4bf9d
俞	surname; consent, approve (U+4FDE)	e4bf9e
俟	wait for, wait until, as soon as (U+4FDF)	e4bf9f
俠	chivalrous person; knight-errant (U+4FE0)	e4bfa0
信	trust, believe; letter (U+4FE1)	e4bfa1
俢	U+4FE2 (U+4FE2)	e4bfa2
俣	big (U+4FE3)	e4bfa3
俤	(J) same as 面影 U+9762 U+5F71, visage, face; trace, shadow; memory (U+4FE4)	e4bfa4
俥	rickshaw, cart, vehicle; name of piece in Chinese chess (U+4FE5)	e4bfa5
俦	companion, mate, colleague (U+4FE6)	e4bfa6
俧	U+4FE7 (U+4FE7)	e4bfa7
俨	grave, respectful, majestic (U+4FE8)	e4bfa8
俩	two, pair (U+4FE9)	e4bfa9
俪	spouse, couple, pair (U+4FEA)	e4bfaa
俫	to induce to come; to encourage (U+4FEB)	e4bfab
