仕	official; serve government (U+4ED5)	e4bb95
儂	I; you; family name (U+5102)	e58482
儃	U+5103 (U+5103)	e58483
億	hundred million; many (U+5104)	e58484
儅	stop (U+5105)	e58485
儆	warn; warning (U+5106)	e58486
儇	clever, nimble (U+5107)	e58487
儈	go-between, broker, proxy (U+5108)	e58488
儉	temperate, frugal, economical (U+5109)	e58489
儊	rough and rugged (U+510A)	e5848a
儋	a small jar; to bear a burden; a load of two (U+510B)	e5848b
儌	lucky, fortunate (U+510C)	e5848c
儍	foolish, silly, an imbecile (U+510D)	e5848d
儎	carry, contain, load (U+510E)	e5848e
儏	U+510F (U+510F)	e5848f
儐	entertain guests (U+5110)	e58490
儑	U+5111 (U+5111)	e58491
儒	Confucian scholar (U+5112)	e58492
儓	servant (U+5113)	e58493
儔	companion, mate, colleague (U+5114)	e58494
儕	a company, companion; together (U+5115)	e58495
儖	U+5116 (U+5116)	e58496
儗	compare with, draw analogy with (U+5117)	e58497
儘	utmost (U+5118)	e58498
儙	U+5119 (U+5119)	e58499
儚	(J) equivalent to 果敢 U+679C U+6562, fleeting, momentary, ephemeral; vain, empty; fickle (U+511A)	e5849a
儛	to skip about, to dance for joy (U+511B)	e5849b
儜	weak; wearied; in distress (U+511C)	e5849c
儝	U+511D (U+511D)	e5849d
儞	U+511E (U+511E)	e5849e
償	repay, recompense; restitution (U+511F)	e5849f
儠	U+5120 (U+5120)	e584a0
儡	puppet, dummy (U+5121)	e584a1
儢	U+5122 (U+5122)	e584a2
儣	U+5123 (U+5123)	e584a3
儤	on duty (U+5124)	e584a4
儥	U+5125 (U+5125)	e584a5
儦	milling (U+5126)	e584a6
儧	U+5127 (U+5127)	e584a7
儨	U+5128 (U+5128)	e584a8
儩	complete (U+5129)	e584a9
優	superior, excellent; actor (U+512A)	e584aa
儫	U+512B (U+512B)	e584ab
儬	U+512C (U+512C)	e584ac
儭	to assist; to give alms (U+512D)	e584ad
儮	U+512E (U+512E)	e584ae
儯	U+512F (U+512F)	e584af
儰	U+5130 (U+5130)	e584b0
儱	rude; barbarous (U+5131)	e584b1
儲	to save money, store, reserve; an heir (U+5132)	e584b2
儳	obstinate; stupid; uneven; mix (U+5133)	e584b3
儴	U+5134 (U+5134)	e584b4
儵	U+5135 (U+5135)	e584b5
儶	valiant, brave; eminent (U+5136)	e584b6
儷	spouse, couple, pair (U+5137)	e584b7
儸	bandit, daredevil (U+5138)	e584b8
儹	to accumulate, to hoard, to store up (U+5139)	e584b9
儺	rich (U+513A)	e584ba
儻	if, supposing, in case (U+513B)	e584bb
儼	grave, respectful, majestic (U+513C)	e584bc
儽	lazy; tired out, worn fatigued (U+513D)	e584bd
儾	slow, dull; irresolute (U+513E)	e584be
儿	son, child; KangXi radical 10 (U+513F)	e584bf
兀	to cut off the feet (U+5140)	e58580
允	to grant, to allow, to consent (U+5141)	e58581
兂	hairpin, clasp; wear in hair (U+5142)	e58582
元	first; dollar; origin; head (U+5143)	e58583
兄	elder brother (U+5144)	e58584
充	fill, be full, supply (U+5145)	e58585
兆	omen; million; mega; also trillion. China = million; Japan and Taiwan = trillion (U+5146)	e58586
兇	atrocious, ferocious, brutal (U+5147)	e58587
先	first, former, previous (U+5148)	e58588
光	light, brilliant, shine; only (U+5149)	e58589
兊	U+514A (U+514A)	e5858a
克	gram; overcome; transliteration (U+514B)	e5858b
兌	cash; exchange, barter; weight (U+514C)	e5858c
免	spare; excuse from; evade (U+514D)	e5858d
兎	rabbit, hare (U+514E)	e5858e
兏	U+514F (U+514F)	e5858f
児	son, child, oneself; final part (U+5150)	e58590
兑	cash; exchange (U+5151)	e58591
兒	son, child, oneself; final part (U+5152)	e58592
兓	U+5153 (U+5153)	e58593
兔	rabbit, hare (U+5154)	e58594
兕	a female rhinoceros (U+5155)	e58595
兖	establish; one of nine empire divisions (U+5156)	e58596
兗	establish; one of nine empire divisions (U+5157)	e58597
兘	U+5158 (U+5158)	e58598
兙	decagram (U+5159)	e58599
党	political party, gang, faction (U+515A)	e5859a
兛	kilogram (U+515B)	e5859b
兜	pouch (U+515C)	e5859c
兝	decigram (U+515D)	e5859d
兞	milligram (U+515E)	e5859e
兟	to advance (U+515F)	e5859f
兠	U+5160 (U+5160)	e585a0
兡	mercury (chemical element) (U+5161)	e585a1
兢	fearful, cautious, wary (U+5162)	e585a2
兣	decigram; centigram (U+5163)	e585a3
兤	U+5164 (U+5164)	e585a4
入	enter, come in(to), join (U+5165)	e585a5
兦	destruction (U+5166)	e585a6
內	inside, interior; domestic (U+5167)	e585a7
全	maintain, keep whole or intact (U+5168)	e585a8
兩	two, both, pair, couple; ounce (U+5169)	e585a9
兪	surname; consent (U+516A)	e585aa
八	eight; all around, all sides (U+516B)	e585ab
公	fair, equitable; public; duke (U+516C)	e585ac
六	number six (U+516D)	e585ad
兮	exclamatory particle (U+516E)	e585ae
兯	kwukyel (U+516F)	e585af
兰	orchid; elegant, graceful (U+5170)	e585b0
共	together with, all, total; to share (U+5171)	e585b1
兲	heaven; sky (U+5172)	e585b2
关	frontier pass; close; relation (U+5173)	e585b3
兴	thrive, prosper, flourish (U+5174)	e585b4
兵	soldier, troops (U+5175)	e585b5
其	his, her, its, their; that (U+5176)	e585b6
具	tool, implement; draw up, write (U+5177)	e585b7
典	law, canon; documentation; classic, scripture (U+5178)	e585b8
兹	now, here; this; time, year (U+5179)	e585b9
兺	U+517A (U+517A)	e585ba
养	raise, rear, bring up; support (U+517B)	e585bb
兼	unite, combine; connect; and (U+517C)	e585bc
兽	beast, animal; bestial (U+517D)	e585bd
兾	same as 冀 U+5180 to hope for; to wish (U+517E)	e585be
兿	U+517F (U+517F)	e585bf
冀	hope for; wish; Hebei province (U+5180)	e58680
冁	smile (U+5181)	e58681
冂	wide; KangXi radical 13 (U+5182)	e58682
冃	U+5183 (U+5183)	e58683
冄	tender; weak; gradually alterrrrating (U+5184)	e58684
内	inside (U+5185)	e58685
円	yen (U+5186)	e58686
冇	(Cant.) have not (U+5187)	e58687
冈	ridge or crest of hill (U+5188)	e58688
冉	tender; weak; proceed gradually (U+5189)	e58689
冊	book, volume (U+518A)	e5868a
冋	a desert, a border (U+518B)	e5868b
册	book, volume, register, list (U+518C)	e5868c
再	again, twice, re- (U+518D)	e5868d
冎	U+518E (U+518E)	e5868e
冏	(archaic form of U+70AF 炯) light, bright (U+518F)	e5868f
冐	risk, brave, dare (U+5190)	e58690
冑	helmet (U+5191)	e58691
冒	risk, brave, dare (U+5192)	e58692
冓	a secluded place; secret cabinet (U+5193)	e58693
冔	cap worn during the Yin dynasty (U+5194)	e58694
冕	crown; ceremonial cap (U+5195)	e58695
冖	cover; KangXi radical 14 (U+5196)	e58696
冗	excessive; superfluous (U+5197)	e58697
冘	to move on; coubtful (U+5198)	e58698
写	write; draw, sketch; compose (U+5199)	e58699
冚	(Cant.) cover, lid (U+519A)	e5869a
军	army, military; soldiers, troops (U+519B)	e5869b
农	agriculture, farming; farmer (U+519C)	e5869c
冝	suitable, right, fitting, proper (U+519D)	e5869d
冞	far (U+519E)	e5869e
冟	U+519F (U+519F)	e5869f
冠	cap, crown, headgear (U+51A0)	e586a0
冡	U+51A1 (U+51A1)	e586a1
冢	burial mound, mausoleum; grand (U+51A2)	e586a2
冣	U+51A3 (U+51A3)	e586a3
冤	grievance, injustice, wrong (U+51A4)	e586a4
冥	dark, gloomy, night; deep (U+51A5)	e586a5
冦	bandits, thieves; enemy; invade (U+51A6)	e586a6
冧	(Cant.) a bud; to bend; phonetic 'num' as in 'number' (U+51A7)	e586a7
冨	abundant, ample; rich, wealthy (U+51A8)	e586a8
冩	write; draw, sketch; compose (U+51A9)	e586a9
冪	cover-cloth, cover with cloth (U+51AA)	e586aa
冫	ice; KangXi radical 15 (U+51AB)	e586ab
冬	winter, 11th lunar month (U+51AC)	e586ac
冭	U+51AD (U+51AD)	e586ad
冮	U+51AE (U+51AE)	e586ae
冯	surname; gallop; by dint of (U+51AF)	e586af
冰	ice; ice-cold (U+51B0)	e586b0
冱	freezing; stopped up, closed off (U+51B1)	e586b1
冲	soar; pour boiling water over (U+51B2)	e586b2
决	decide, determine, judge (U+51B3)	e586b3
冴	freezing; stopped up, closed off (U+51B4)	e586b4
况	condition, situation; furthermore (U+51B5)	e586b5
冶	smelt, fuse metals; cast, found (U+51B6)	e586b6
冷	cold, cool; lonely (U+51B7)	e586b7
冸	U+51B8 (U+51B8)	e586b8
冹	U+51B9 (U+51B9)	e586b9
冺	U+51BA (U+51BA)	e586ba
冻	freeze; cold, congeal; jelly (U+51BB)	e586bb
冼	a surname (U+51BC)	e586bc
冽	cold and raw; pure, clear (U+51BD)	e586bd
冾	U+51BE (U+51BE)	e586be
冿	U+51BF (U+51BF)	e586bf
净	clean, pure; cleanse (U+51C0)	e58780
凁	U+51C1 (U+51C1)	e58781
凂	to request; to ask a favour of (U+51C2)	e58782
凃	mud; surname (U+51C3)	e58783
凄	bitter cold, miserable, dreary (U+51C4)	e58784
凅	dried up; exhausted, tired; dry (U+51C5)	e58785
准	approve, allow, permit; in accord (U+51C6)	e58786
凇	dewdrop; icicle (U+51C7)	e58787
凈	clean, pure; cleanse (U+51C8)	e58788
凉	cool, cold; disheartened (U+51C9)	e58789
凊	surname (U+51CA)	e5878a
凋	be withered, fallen; exhausted (U+51CB)	e5878b
凌	pure; virtuous; insult; maltreat (U+51CC)	e5878c
凍	freeze; cold, congeal; jelly (U+51CD)	e5878d
凎	U+51CE (U+51CE)	e5878e
减	decrease, subtract, diminish (U+51CF)	e5878f
凐	U+51D0 (U+51D0)	e58790
凑	piece together, assemble (U+51D1)	e58791
凒	U+51D2 (U+51D2)	e58792
凓	shiver; severe cold (U+51D3)	e58793
凔	cold (U+51D4)	e58794
凕	U+51D5 (U+51D5)	e58795
凖	rule, guideline, standard (U+51D6)	e58796
凗	U+51D7 (U+51D7)	e58797
凘	U+51D8 (U+51D8)	e58798
凙	an icicle (U+51D9)	e58799
凚	cold; chilly (U+51DA)	e5879a
凛	to shiver with cold or fear (U+51DB)	e5879b
凜	shiver with cold or fear, fearful (U+51DC)	e5879c
凝	coagulate; congeal; freeze (U+51DD)	e5879d
凞	bright, splendid, glorious (U+51DE)	e5879e
凟	to be rude to, to annoy, to profane; to trouble, to harass (U+51DF)	e5879f
几	small table (U+51E0)	e587a0
凡	all, any, every; ordinary, common (U+51E1)	e587a1
凢	all, any, every; ordinary, common (U+51E2)	e587a2
凣	all; common; general; every, whenever; generally (U+51E3)	e587a3
凤	male phoenix; symbol of joy (U+51E4)	e587a4
凥	to dwell (U+51E5)	e587a5
処	place, locale; department (U+51E6)	e587a6
凧	kite (U+51E7)	e587a7
凨	wind; air; manners, atmosphere (U+51E8)	e587a8
凩	wintry wind (U+51E9)	e587a9
凪	calm, lull (U+51EA)	e587aa
凫	wild duck, teal; swim (U+51EB)	e587ab
凬	U+51EC (U+51EC)	e587ac
凭	lean on, depend on, rely on (U+51ED)	e587ad
凮	wind (U+51EE)	e587ae
凯	triumphant; triumph, victory (U+51EF)	e587af
凰	female phoenix (U+51F0)	e587b0
凱	triumphant; triumph, victory (U+51F1)	e587b1
凲	U+51F2 (U+51F2)	e587b2
凳	bench; stool (U+51F3)	e587b3
凴	to rely on, depend on; evidence, proof (U+51F4)	e587b4
凵	receptacle; KangXi radical 17 (U+51F5)	e587b5
凶	culprit; murder; bad, sad (U+51F6)	e587b6
凷	dirt clod; piece (U+51F7)	e587b7
凸	protrude, bulge out, convex (U+51F8)	e587b8
凹	concave, hollow, depressed; a pass, valley (U+51F9)	e587b9
出	go out, send out; stand; produce (U+51FA)	e587ba
击	strike, hit, beat; attack, fight (U+51FB)	e587bb
凼	ditch; pool (U+51FC)	e587bc
函	correspondence; a case; a box (U+51FD)	e587bd
凾	correspondence; a case; a box (U+51FE)	e587be
凿	chisel; bore, pierce (U+51FF)	e587bf
刀	knife; old coin; measure (U+5200)	e58880
刁	tricky, sly, crafty, cunning (U+5201)	e58881
刂	knife; radical number 18 (U+5202)	e58882
刃	edged tool, cutlery, knife edge (U+5203)	e58883
刄	edged tool, cutlery, knife edge (U+5204)	e58884
刅	to create, to make to invent; to begin (U+5205)	e58885
分	divide; small unit of time etc. (U+5206)	e58886
切	cut, mince, slice, carve (U+5207)	e58887
刈	cut off, reap, mow; sickle (U+5208)	e58888
刉	U+5209 (U+5209)	e58889
刊	publication, periodical; publish (U+520A)	e5888a
刋	publication, periodical; publish (U+520B)	e5888b
刌	U+520C (U+520C)	e5888c
刍	mow, cut grass; hay, fodder (U+520D)	e5888d
刎	behead, cut throat (U+520E)	e5888e
刏	U+520F (U+520F)	e5888f
刐	U+5210 (U+5210)	e58890
刑	punishment, penalty; law (U+5211)	e58891
划	to row or paddle boat; to scratch (U+5212)	e58892
刓	trim (U+5213)	e58893
刔	scoop out; gouge (U+5214)	e58894
刕	U+5215 (U+5215)	e58895
刖	cutting off feet as form of punishment (U+5216)	e58896
列	a line; to arrange in order, classify (U+5217)	e58897
刘	surname; kill, destroy (U+5218)	e58898
则	rule, law, regulation; grades (U+5219)	e58899
刚	hard, tough, rigid, strong (U+521A)	e5889a
创	establish, create; knife cut (U+521B)	e5889b
刜	chop (U+521C)	e5889c
初	beginning, initial, primary (U+521D)	e5889d
刞	U+521E (U+521E)	e5889e
刟	U+521F (U+521F)	e5889f
删	to cut; delete (U+5220)	e588a0
刡	to scrape; to pare (U+5221)	e588a1
刢	U+5222 (U+5222)	e588a2
刣	U+5223 (U+5223)	e588a3
判	judge; discriminate; conclude (U+5224)	e588a4
別	separate, other; do not (U+5225)	e588a5
刦	take by force, coerce; disaster (U+5226)	e588a6
刧	disaster, misfortune; coerce (U+5227)	e588a7
刨	carpenter's plane; plane, level (U+5228)	e588a8
利	gains, advantage, profit, merit (U+5229)	e588a9
刪	to cut; delete, erase; to geld (U+522A)	e588aa
别	separate, other; do not (U+522B)	e588ab
刬	to level off; to trim; to pare down (U+522C)	e588ac
刭	cut throat (U+522D)	e588ad
刮	shave, pare off, scrape (U+522E)	e588ae
刯	U+522F (U+522F)	e588af
到	go to, arrive, been to (U+5230)	e588b0
刱	establish, create; knife cut (U+5231)	e588b1
刲	cut, slice off (U+5232)	e588b2
刳	cut out, dig, rip up, scoop out (U+5233)	e588b3
刴	chop by pounding, mince, hash (U+5234)	e588b4
刵	punishment by cutting off ears (U+5235)	e588b5
制	system; establish; overpower (U+5236)	e588b6
刷	brush; clean with brush, scrub (U+5237)	e588b7
券	certificate, ticket; title deeds (U+5238)	e588b8
刹	temple, shrine, monastary (U+5239)	e588b9
刺	stab; prick, irritate; prod (U+523A)	e588ba
刻	carve, engrave; quarter hour (U+523B)	e588bb
刼	to plunder; to rob openly (U+523C)	e588bc
刽	amputate, cut off (U+523D)	e588bd
刾	stab; prick, irritate; prod (U+523E)	e588be
刿	to cut, injure, stab, stick on (U+523F)	e588bf
剀	sharpen; carefully, thorough (U+5240)	e58980
剁	chop by pounding, mince, hash (U+5241)	e58981
剂	medicinal preparation (U+5242)	e58982
剃	shave (U+5243)	e58983
剄	cut throat (U+5244)	e58984
剅	U+5245 (U+5245)	e58985
剆	U+5246 (U+5246)	e58986
則	rule, law, regulation; grades (U+5247)	e58987
剈	U+5248 (U+5248)	e58988
剉	cut, file, trim; file (U+5249)	e58989
削	scrape off, pare, trim (U+524A)	e5898a
剋	subdue, overcome; cut down (U+524B)	e5898b
剌	slash, cut in two; contradict (U+524C)	e5898c
前	in front, forward; preceding (U+524D)	e5898d
剎	temple (U+524E)	e5898e
剏	establish, create; knife cut (U+524F)	e5898f
剐	cut, cut flesh from bones (U+5250)	e58990
剑	sword, dagger, saber (U+5251)	e58991
剒	(Cant.) to jerk (U+5252)	e58992
剓	U+5253 (U+5253)	e58993
剔	pick out; scrape off; scrape meat (U+5254)	e58994
剕	U+5255 (U+5255)	e58995
剖	split in two, slice; dissect (U+5256)	e58996
剗	to level off; to trim; to pare down (U+5257)	e58997
剘	U+5258 (U+5258)	e58998
剙	establish, create; knife cut (U+5259)	e58999
剚	stab (U+525A)	e5899a
剛	hard, tough, rigid, strong (U+525B)	e5899b
剜	cut, cut out, pick out, scoop out (U+525C)	e5899c
剝	peel, peel off, to shell, strip (U+525D)	e5899d
剞	carving or engraving knife; grave (U+525E)	e5899e
剟	to prick; to cut blocks, to engrave (U+525F)	e5899f
剠	brand (U+5260)	e589a0
剡	sharp, sharp-pointed; sharpen (U+5261)	e589a1
剢	U+5262 (U+5262)	e589a2
剣	sword, dagger, saber (U+5263)	e589a3
剤	medicinal preparation (U+5264)	e589a4
剥	peel (U+5265)	e589a5
剦	to castrate (U+5266)	e589a6
剧	theatrical plays, opera, drama (U+5267)	e589a7
剨	sound of something being smashed (U+5268)	e589a8
剩	leftovers, residue, remains (U+5269)	e589a9
剪	scissors; cut, divide, separate (U+526A)	e589aa
剫	U+526B (U+526B)	e589ab
剬	U+526C (U+526C)	e589ac
剭	U+526D (U+526D)	e589ad
剮	cut, cut flesh from bones (U+526E)	e589ae
副	assist; supplement; assistant (U+526F)	e589af
剰	leftovers, residue, remains (U+5270)	e589b0
剱	sword, dagger, saber (U+5271)	e589b1
割	cut, divide, partition; cede (U+5272)	e589b2
剳	brief note; official communique (U+5273)	e589b3
剴	sharpen; carefully, thorough (U+5274)	e589b4
創	establish, create; knife cut (U+5275)	e589b5
剶	U+5276 (U+5276)	e589b6
剷	to level off, cut off, pare down, raze (U+5277)	e589b7
剸	cut (U+5278)	e589b8
剹	U+5279 (U+5279)	e589b9
剺	mark (U+527A)	e589ba
剻	U+527B (U+527B)	e589bb
剼	U+527C (U+527C)	e589bc
剽	rob, plunder; slice off; fast (U+527D)	e589bd
剾	to pick up with knife (U+527E)	e589be
剿	destroy, exterminate, annihilate (U+527F)	e589bf
劀	U+5280 (U+5280)	e58a80
劁	U+5281 (U+5281)	e58a81
劂	chisel for engraving; engrave (U+5282)	e58a82
劃	divide, mark off, lay boundary (U+5283)	e58a83
劄	brief note; official communique (U+5284)	e58a84
劅	U+5285 (U+5285)	e58a85
劆	sickle (U+5286)	e58a86
劇	theatrical plays, opera, drama (U+5287)	e58a87
劈	cut apart, split, chop (U+5288)	e58a88
劉	surname; kill, destroy (U+5289)	e58a89
劊	amputate, cut off (U+528A)	e58a8a
劋	U+528B (U+528B)	e58a8b
劌	to cut, injure, stab, stick on (U+528C)	e58a8c
劍	sword, dagger, saber (U+528D)	e58a8d
劎	sword, dagger (U+528E)	e58a8e
劏	to butcher (U+528F)	e58a8f
劐	destroy (U+5290)	e58a90
劑	medicinal preparation (U+5291)	e58a91
劒	sword, dagger, saber (U+5292)	e58a92
劓	cut off nose (U+5293)	e58a93
劔	sword, dagger, saber (U+5294)	e58a94
劕	U+5295 (U+5295)	e58a95
劖	make into mince; cut (U+5296)	e58a96
劗	U+5297 (U+5297)	e58a97
劘	make into mince (U+5298)	e58a98
劙	a divide, to partition (U+5299)	e58a99
劚	cut (U+529A)	e58a9a
力	power, capability, influence (U+529B)	e58a9b
劜	U+529C (U+529C)	e58a9c
劝	recommend, advise, urge (U+529D)	e58a9d
办	manage, do, handle; deal with (U+529E)	e58a9e
功	achievement, merit, good result (U+529F)	e58a9f
加	add to, increase, augment (U+52A0)	e58aa0
务	affairs, business; must, should (U+52A1)	e58aa1
劢	put forth effort, strive forward (U+52A2)	e58aa2
劣	bad, inferior; slightly (U+52A3)	e58aa3
劤	strong (U+52A4)	e58aa4
劥	U+52A5 (U+52A5)	e58aa5
劦	variant of U+5354 協; cooperate; combined labor (U+52A6)	e58aa6
劧	U+52A7 (U+52A7)	e58aa7
动	move, happen; movement, action (U+52A8)	e58aa8
助	help, aid, assist (U+52A9)	e58aa9
努	to exert, strive, make an effort; to pout (U+52AA)	e58aaa
劫	take by force, coerce; disaster (U+52AB)	e58aab
劬	be diligent, toil, endeavor (U+52AC)	e58aac
劭	encourage; to excel; excellent (U+52AD)	e58aad
劮	U+52AE (U+52AE)	e58aae
劯	U+52AF (U+52AF)	e58aaf
劰	U+52B0 (U+52B0)	e58ab0
励	strive; encourage (U+52B1)	e58ab1
劲	strong, unyielding, tough, power (U+52B2)	e58ab2
劳	labor, toil, do manual work (U+52B3)	e58ab3
労	labor, toil, do manual work (U+52B4)	e58ab4
劵	certificate, ticket; title deeds (U+52B5)	e58ab5
劶	U+52B6 (U+52B6)	e58ab6
劷	U+52B7 (U+52B7)	e58ab7
劸	U+52B8 (U+52B8)	e58ab8
効	efficacious, effectiveness; to toil, to serve in the army (U+52B9)	e58ab9
劺	U+52BA (U+52BA)	e58aba
劻	flurried, be in flurry, zealous (U+52BB)	e58abb
劼	be discreet, prudent, cautious (U+52BC)	e58abc
劽	U+52BD (U+52BD)	e58abd
劾	examine into, impeach, charge (U+52BE)	e58abe
势	power, force; tendency (U+52BF)	e58abf
勀	U+52C0 (U+52C0)	e58b80
勁	strong, unyielding, tough, powerful (U+52C1)	e58b81
勂	U+52C2 (U+52C2)	e58b82
勃	suddenly, sudden, quick (U+52C3)	e58b83
勄	active; clever; prompt witty; smart; earnest; diligent; to hasten (U+52C4)	e58b84
勅	imperial decree; daoist magic (U+52C5)	e58b85
勆	U+52C6 (U+52C6)	e58b86
勇	brave, courageous, fierce (U+52C7)	e58b87
勈	U+52C8 (U+52C8)	e58b88
勉	endeavor, make effort; urge (U+52C9)	e58b89
勊	U+52CA (U+52CA)	e58b8a
勋	meritorious deed; merits; rank (U+52CB)	e58b8b
勌	to labor; tired (U+52CC)	e58b8c
勍	strong, powerful, mighty; violent (U+52CD)	e58b8d
勎	U+52CE (U+52CE)	e58b8e
勏	U+52CF (U+52CF)	e58b8f
勐	imperial degree; daoist magic (U+52D0)	e58b90
勑	reward; sincere (U+52D1)	e58b91
勒	strangle, tighten (U+52D2)	e58b92
勓	U+52D3 (U+52D3)	e58b93
勔	endeavor, make effort; urge (U+52D4)	e58b94
