𩏫	U+293EB (U+293EB)	f0a98fab
𩏬	U+293EC (U+293EC)	f0a98fac
𩏭	U+293ED (U+293ED)	f0a98fad
𩏮	U+293EE (U+293EE)	f0a98fae
𩏯	U+293EF (U+293EF)	f0a98faf
𩏰	U+293F0 (U+293F0)	f0a98fb0
𩏱	U+293F1 (U+293F1)	f0a98fb1
𩏲	U+293F2 (U+293F2)	f0a98fb2
𩏳	U+293F3 (U+293F3)	f0a98fb3
𩏴	U+293F4 (U+293F4)	f0a98fb4
𩏵	U+293F5 (U+293F5)	f0a98fb5
𩏶	U+293F6 (U+293F6)	f0a98fb6
𩏷	U+293F7 (U+293F7)	f0a98fb7
𩏸	U+293F8 (U+293F8)	f0a98fb8
𩏹	U+293F9 (U+293F9)	f0a98fb9
𩏺	U+293FA (U+293FA)	f0a98fba
𩏻	U+293FB (U+293FB)	f0a98fbb
𩏼	U+293FC (U+293FC)	f0a98fbc
𩏽	U+293FD (U+293FD)	f0a98fbd
𩏾	U+293FE (U+293FE)	f0a98fbe
𩏿	U+293FF (U+293FF)	f0a98fbf
𩐀	U+29400 (U+29400)	f0a99080
𩐁	U+29401 (U+29401)	f0a99081
𩐂	U+29402 (U+29402)	f0a99082
𩐃	U+29403 (U+29403)	f0a99083
𩐄	U+29404 (U+29404)	f0a99084
𩐅	U+29405 (U+29405)	f0a99085
𩐆	U+29406 (U+29406)	f0a99086
𩐇	U+29407 (U+29407)	f0a99087
𩐈	U+29408 (U+29408)	f0a99088
𩐉	U+29409 (U+29409)	f0a99089
𩐊	U+2940A (U+2940A)	f0a9908a
𩐋	U+2940B (U+2940B)	f0a9908b
𩐌	U+2940C (U+2940C)	f0a9908c
𩐍	U+2940D (U+2940D)	f0a9908d
𩐎	U+2940E (U+2940E)	f0a9908e
𩐏	U+2940F (U+2940F)	f0a9908f
𩐐	U+29410 (U+29410)	f0a99090
𩐑	U+29411 (U+29411)	f0a99091
𩐒	U+29412 (U+29412)	f0a99092
𩐓	U+29413 (U+29413)	f0a99093
𩐔	U+29414 (U+29414)	f0a99094
𩐕	U+29415 (U+29415)	f0a99095
𩐖	U+29416 (U+29416)	f0a99096
𩐗	U+29417 (U+29417)	f0a99097
𩐘	U+29418 (U+29418)	f0a99098
𩐙	U+29419 (U+29419)	f0a99099
𩐚	U+2941A (U+2941A)	f0a9909a
𩐛	U+2941B (U+2941B)	f0a9909b
𩐜	U+2941C (U+2941C)	f0a9909c
𩐝	U+2941D (U+2941D)	f0a9909d
𩐞	U+2941E (U+2941E)	f0a9909e
𩐟	U+2941F (U+2941F)	f0a9909f
𩐠	U+29420 (U+29420)	f0a990a0
𩐡	U+29421 (U+29421)	f0a990a1
𩐢	U+29422 (U+29422)	f0a990a2
𩐣	U+29423 (U+29423)	f0a990a3
𩐤	U+29424 (U+29424)	f0a990a4
𩐥	U+29425 (U+29425)	f0a990a5
𩐦	U+29426 (U+29426)	f0a990a6
𩐧	U+29427 (U+29427)	f0a990a7
𩐨	U+29428 (U+29428)	f0a990a8
𩐩	U+29429 (U+29429)	f0a990a9
𩐪	U+2942A (U+2942A)	f0a990aa
𩐫	U+2942B (U+2942B)	f0a990ab
𩐬	U+2942C (U+2942C)	f0a990ac
𩐭	U+2942D (U+2942D)	f0a990ad
𩐮	U+2942E (U+2942E)	f0a990ae
𩐯	U+2942F (U+2942F)	f0a990af
𩐰	U+29430 (U+29430)	f0a990b0
𩐱	U+29431 (U+29431)	f0a990b1
𩐲	U+29432 (U+29432)	f0a990b2
𩐳	U+29433 (U+29433)	f0a990b3
𩐴	U+29434 (U+29434)	f0a990b4
𩐵	U+29435 (U+29435)	f0a990b5
𩐶	U+29436 (U+29436)	f0a990b6
𩐷	U+29437 (U+29437)	f0a990b7
𩐸	U+29438 (U+29438)	f0a990b8
𩐹	U+29439 (U+29439)	f0a990b9
𩐺	U+2943A (U+2943A)	f0a990ba
𩐻	U+2943B (U+2943B)	f0a990bb
𩐼	U+2943C (U+2943C)	f0a990bc
𩐽	U+2943D (U+2943D)	f0a990bd
𩐾	U+2943E (U+2943E)	f0a990be
𩐿	U+2943F (U+2943F)	f0a990bf
𩑀	U+29440 (U+29440)	f0a99180
𩑁	U+29441 (U+29441)	f0a99181
𩑂	U+29442 (U+29442)	f0a99182
𩑃	U+29443 (U+29443)	f0a99183
𩑄	U+29444 (U+29444)	f0a99184
𩑅	U+29445 (U+29445)	f0a99185
𩑆	U+29446 (U+29446)	f0a99186
𩑇	U+29447 (U+29447)	f0a99187
𩑈	U+29448 (U+29448)	f0a99188
𩑉	U+29449 (U+29449)	f0a99189
𩑊	U+2944A (U+2944A)	f0a9918a
𩑋	U+2944B (U+2944B)	f0a9918b
𩑌	U+2944C (U+2944C)	f0a9918c
𩑍	U+2944D (U+2944D)	f0a9918d
𩑎	U+2944E (U+2944E)	f0a9918e
