孏	U+5B4F (U+5B4F)	e5ad8f
子	offspring, child; fruit, seed of; 1st terrestrial branch (U+5B50)	e5ad90
孑	remaining, left-over; lonely (U+5B51)	e5ad91
孒	larvae of the mosquito (U+5B52)	e5ad92
孓	beautiful (U+5B53)	e5ad93
孔	opening, hole, orifice; great (U+5B54)	e5ad94
孕	be pregnant, pregnancy (U+5B55)	e5ad95
孖	twins (U+5B56)	e5ad96
字	letter, character, word (U+5B57)	e5ad97
存	exist, live, be; survive; remain (U+5B58)	e5ad98
孙	grandchild, descendent; surname (U+5B59)	e5ad99
孚	brood over eggs; have confidence (U+5B5A)	e5ad9a
孛	comet (U+5B5B)	e5ad9b
孜	be as diligent as possible (U+5B5C)	e5ad9c
孝	filial piety, obedience; mourning (U+5B5D)	e5ad9d
孞	U+5B5E (U+5B5E)	e5ad9e
孟	first in series; great, eminent (U+5B5F)	e5ad9f
孠	U+5B60 (U+5B60)	e5ada0
孡	U+5B61 (U+5B61)	e5ada1
孢	spore (U+5B62)	e5ada2
季	quarter of year; season; surname (U+5B63)	e5ada3
孤	orphan, fatherless; solitary (U+5B64)	e5ada4
孥	one's children (U+5B65)	e5ada5
学	learning, knowledge; school (U+5B66)	e5ada6
孧	U+5B67 (U+5B67)	e5ada7
孨	U+5B68 (U+5B68)	e5ada8
孩	baby, child; children (U+5B69)	e5ada9
孪	twins (U+5B6A)	e5adaa
孫	grandchild, descendent; surname (U+5B6B)	e5adab
孬	bad; cowardly (U+5B6C)	e5adac
孭	(Cant.) to carry on the back (U+5B6D)	e5adad
孮	U+5B6E (U+5B6E)	e5adae
孯	U+5B6F (U+5B6F)	e5adaf
孰	who? which? what? which one? (U+5B70)	e5adb0
孱	weak, unfit, frail, feeble (U+5B71)	e5adb1
孲	U+5B72 (U+5B72)	e5adb2
孳	breed in large numbers (U+5B73)	e5adb3
孴	U+5B74 (U+5B74)	e5adb4
孵	sit on eggs, hatch (U+5B75)	e5adb5
孶	variant of 孳 U+5B73, to breed in large numbers (U+5B76)	e5adb6
孷	U+5B77 (U+5B77)	e5adb7
學	learning, knowledge; school (U+5B78)	e5adb8
孹	U+5B79 (U+5B79)	e5adb9
孺	child; blood relation; affection (U+5B7A)	e5adba
孻	last (U+5B7B)	e5adbb
孼	misfortune; sin, evil (U+5B7C)	e5adbc
孽	evil; son of concubine; ghost (U+5B7D)	e5adbd
孾	a baby, especially a girl, an infant (U+5B7E)	e5adbe
孿	twins (U+5B7F)	e5adbf
宀	roof; KangXi radical 40 (U+5B80)	e5ae80
宁	calm, peaceful, serene; healthy (U+5B81)	e5ae81
宂	scattered, mixed affairs; duties; occupation business (U+5B82)	e5ae82
它	it; other (U+5B83)	e5ae83
宄	a traitor; a villain (U+5B84)	e5ae84
宅	residence, dwelling, home; grave (U+5B85)	e5ae85
宆	U+5B86 (U+5B86)	e5ae86
宇	house; building, structure; eaves (U+5B87)	e5ae87
守	defend, protect, guard, conserve (U+5B88)	e5ae88
安	peaceful, tranquil, quiet (U+5B89)	e5ae89
宊	U+5B8A (U+5B8A)	e5ae8a
宋	Song dynasty; surname (U+5B8B)	e5ae8b
完	complete, finish, settle; whole (U+5B8C)	e5ae8c
