𫀂	U+2B002 (U+2B002)	f0ab8082
𫀃	U+2B003 (U+2B003)	f0ab8083
𫀄	U+2B004 (U+2B004)	f0ab8084
𫀅	U+2B005 (U+2B005)	f0ab8085
𫀆	U+2B006 (U+2B006)	f0ab8086
𫀇	U+2B007 (U+2B007)	f0ab8087
𫀈	U+2B008 (U+2B008)	f0ab8088
𫀉	U+2B009 (U+2B009)	f0ab8089
𫀊	U+2B00A (U+2B00A)	f0ab808a
𫀋	U+2B00B (U+2B00B)	f0ab808b
𫀌	U+2B00C (U+2B00C)	f0ab808c
𫀍	U+2B00D (U+2B00D)	f0ab808d
𫀎	U+2B00E (U+2B00E)	f0ab808e
𫀏	U+2B00F (U+2B00F)	f0ab808f
𫀐	U+2B010 (U+2B010)	f0ab8090
𫀑	U+2B011 (U+2B011)	f0ab8091
𫀒	U+2B012 (U+2B012)	f0ab8092
𫀓	U+2B013 (U+2B013)	f0ab8093
𫀔	U+2B014 (U+2B014)	f0ab8094
𫀕	U+2B015 (U+2B015)	f0ab8095
𫀖	U+2B016 (U+2B016)	f0ab8096
𫀗	U+2B017 (U+2B017)	f0ab8097
𫀘	U+2B018 (U+2B018)	f0ab8098
𫀙	U+2B019 (U+2B019)	f0ab8099
𫀚	U+2B01A (U+2B01A)	f0ab809a
𫀛	U+2B01B (U+2B01B)	f0ab809b
𫀜	U+2B01C (U+2B01C)	f0ab809c
𫀝	U+2B01D (U+2B01D)	f0ab809d
𫀞	U+2B01E (U+2B01E)	f0ab809e
𫀟	U+2B01F (U+2B01F)	f0ab809f
𫀠	U+2B020 (U+2B020)	f0ab80a0
𫀡	U+2B021 (U+2B021)	f0ab80a1
𫀢	U+2B022 (U+2B022)	f0ab80a2
𫀣	U+2B023 (U+2B023)	f0ab80a3
𫀤	U+2B024 (U+2B024)	f0ab80a4
𫀥	U+2B025 (U+2B025)	f0ab80a5
𫀦	U+2B026 (U+2B026)	f0ab80a6
𫀧	U+2B027 (U+2B027)	f0ab80a7
𫀨	U+2B028 (U+2B028)	f0ab80a8
𫀩	U+2B029 (U+2B029)	f0ab80a9
𫀪	U+2B02A (U+2B02A)	f0ab80aa
𫀫	U+2B02B (U+2B02B)	f0ab80ab
𫀬	U+2B02C (U+2B02C)	f0ab80ac
𫀭	U+2B02D (U+2B02D)	f0ab80ad
𫀮	U+2B02E (U+2B02E)	f0ab80ae
𫀯	U+2B02F (U+2B02F)	f0ab80af
𫀰	U+2B030 (U+2B030)	f0ab80b0
𫀱	U+2B031 (U+2B031)	f0ab80b1
𫀲	U+2B032 (U+2B032)	f0ab80b2
𫀳	U+2B033 (U+2B033)	f0ab80b3
𫀴	U+2B034 (U+2B034)	f0ab80b4
𫀵	U+2B035 (U+2B035)	f0ab80b5
𫀶	U+2B036 (U+2B036)	f0ab80b6
𫀷	U+2B037 (U+2B037)	f0ab80b7
