𪰀	U+2AC00 (U+2AC00)	f0aab080
𪰁	U+2AC01 (U+2AC01)	f0aab081
𪰂	U+2AC02 (U+2AC02)	f0aab082
𪰃	U+2AC03 (U+2AC03)	f0aab083
𪰄	U+2AC04 (U+2AC04)	f0aab084
𪰅	U+2AC05 (U+2AC05)	f0aab085
𪰆	U+2AC06 (U+2AC06)	f0aab086
𪰇	U+2AC07 (U+2AC07)	f0aab087
𪰈	U+2AC08 (U+2AC08)	f0aab088
𪰉	U+2AC09 (U+2AC09)	f0aab089
𪰊	U+2AC0A (U+2AC0A)	f0aab08a
𪰋	U+2AC0B (U+2AC0B)	f0aab08b
𪰌	U+2AC0C (U+2AC0C)	f0aab08c
𪰍	U+2AC0D (U+2AC0D)	f0aab08d
𪰎	U+2AC0E (U+2AC0E)	f0aab08e
𪰏	U+2AC0F (U+2AC0F)	f0aab08f
𪰐	U+2AC10 (U+2AC10)	f0aab090
𪰑	U+2AC11 (U+2AC11)	f0aab091
𪰒	U+2AC12 (U+2AC12)	f0aab092
𪰓	U+2AC13 (U+2AC13)	f0aab093
𪰔	U+2AC14 (U+2AC14)	f0aab094
𪰕	U+2AC15 (U+2AC15)	f0aab095
𪰖	U+2AC16 (U+2AC16)	f0aab096
𪰗	U+2AC17 (U+2AC17)	f0aab097
𪰘	U+2AC18 (U+2AC18)	f0aab098
𪰙	U+2AC19 (U+2AC19)	f0aab099
𪰚	U+2AC1A (U+2AC1A)	f0aab09a
𪰛	U+2AC1B (U+2AC1B)	f0aab09b
𪰜	U+2AC1C (U+2AC1C)	f0aab09c
𪰝	U+2AC1D (U+2AC1D)	f0aab09d
𪰞	U+2AC1E (U+2AC1E)	f0aab09e
𪰟	U+2AC1F (U+2AC1F)	f0aab09f
𪰠	U+2AC20 (U+2AC20)	f0aab0a0
𪰡	U+2AC21 (U+2AC21)	f0aab0a1
𪰢	U+2AC22 (U+2AC22)	f0aab0a2
𪰣	U+2AC23 (U+2AC23)	f0aab0a3
