ॕ	DEVANAGARI VOWEL SIGN CANDRA LONG E (U+0955)	e0a595
ॖ	DEVANAGARI VOWEL SIGN UE (U+0956)	e0a596
ॗ	DEVANAGARI VOWEL SIGN UUE (U+0957)	e0a597
क़	DEVANAGARI LETTER QA (U+0958)	e0a598
ख़	DEVANAGARI LETTER KHHA (U+0959)	e0a599
ग़	DEVANAGARI LETTER GHHA (U+095A)	e0a59a
ज़	DEVANAGARI LETTER ZA (U+095B)	e0a59b
ड़	DEVANAGARI LETTER DDDHA (U+095C)	e0a59c
ढ़	DEVANAGARI LETTER RHA (U+095D)	e0a59d
फ़	DEVANAGARI LETTER FA (U+095E)	e0a59e
य़	DEVANAGARI LETTER YYA (U+095F)	e0a59f
ॠ	DEVANAGARI LETTER VOCALIC RR (U+0960)	e0a5a0
ॡ	DEVANAGARI LETTER VOCALIC LL (U+0961)	e0a5a1
ॢ	DEVANAGARI VOWEL SIGN VOCALIC L (U+0962)	e0a5a2
ॣ	DEVANAGARI VOWEL SIGN VOCALIC LL (U+0963)	e0a5a3
।	DEVANAGARI DANDA (U+0964)	e0a5a4
॥	DEVANAGARI DOUBLE DANDA (U+0965)	e0a5a5
०	DEVANAGARI DIGIT ZERO (U+0966)	e0a5a6
१	DEVANAGARI DIGIT ONE (U+0967)	e0a5a7
२	DEVANAGARI DIGIT TWO (U+0968)	e0a5a8
३	DEVANAGARI DIGIT THREE (U+0969)	e0a5a9
४	DEVANAGARI DIGIT FOUR (U+096A)	e0a5aa
५	DEVANAGARI DIGIT FIVE (U+096B)	e0a5ab
६	DEVANAGARI DIGIT SIX (U+096C)	e0a5ac
७	DEVANAGARI DIGIT SEVEN (U+096D)	e0a5ad
८	DEVANAGARI DIGIT EIGHT (U+096E)	e0a5ae
९	DEVANAGARI DIGIT NINE (U+096F)	e0a5af
॰	DEVANAGARI ABBREVIATION SIGN (U+0970)	e0a5b0
ॱ	DEVANAGARI SIGN HIGH SPACING DOT (U+0971)	e0a5b1
ॲ	DEVANAGARI LETTER CANDRA A (U+0972)	e0a5b2
ॳ	DEVANAGARI LETTER OE (U+0973)	e0a5b3
ॴ	DEVANAGARI LETTER OOE (U+0974)	e0a5b4
ॵ	DEVANAGARI LETTER AW (U+0975)	e0a5b5
ॶ	DEVANAGARI LETTER UE (U+0976)	e0a5b6
ॷ	DEVANAGARI LETTER UUE (U+0977)	e0a5b7
ॹ	DEVANAGARI LETTER ZHA (U+0979)	e0a5b9
ॺ	DEVANAGARI LETTER HEAVY YA (U+097A)	e0a5ba
ॻ	DEVANAGARI LETTER GGA (U+097B)	e0a5bb
ॼ	DEVANAGARI LETTER JJA (U+097C)	e0a5bc
ॽ	DEVANAGARI LETTER GLOTTAL STOP (U+097D)	e0a5bd
ॾ	DEVANAGARI LETTER DDDA (U+097E)	e0a5be
ॿ	DEVANAGARI LETTER BBA (U+097F)	e0a5bf
ঁ	BENGALI SIGN CANDRABINDU (U+0981)	e0a681
ং	BENGALI SIGN ANUSVARA (U+0982)	e0a682
ঃ	BENGALI SIGN VISARGA (U+0983)	e0a683
অ	BENGALI LETTER A (U+0985)	e0a685
আ	BENGALI LETTER AA (U+0986)	e0a686
ই	BENGALI LETTER I (U+0987)	e0a687
ঈ	BENGALI LETTER II (U+0988)	e0a688
উ	BENGALI LETTER U (U+0989)	e0a689
ঊ	BENGALI LETTER UU (U+098A)	e0a68a
ঋ	BENGALI LETTER VOCALIC R (U+098B)	e0a68b
ঌ	BENGALI LETTER VOCALIC L (U+098C)	e0a68c
এ	BENGALI LETTER E (U+098F)	e0a68f
ঐ	BENGALI LETTER AI (U+0990)	e0a690
ও	BENGALI LETTER O (U+0993)	e0a693
ঔ	BENGALI LETTER AU (U+0994)	e0a694
ক	BENGALI LETTER KA (U+0995)	e0a695
খ	BENGALI LETTER KHA (U+0996)	e0a696
গ	BENGALI LETTER GA (U+0997)	e0a697
ঘ	BENGALI LETTER GHA (U+0998)	e0a698
ঙ	BENGALI LETTER NGA (U+0999)	e0a699
চ	BENGALI LETTER CA (U+099A)	e0a69a
ছ	BENGALI LETTER CHA (U+099B)	e0a69b
জ	BENGALI LETTER JA (U+099C)	e0a69c
ঝ	BENGALI LETTER JHA (U+099D)	e0a69d
ঞ	BENGALI LETTER NYA (U+099E)	e0a69e
ট	BENGALI LETTER TTA (U+099F)	e0a69f
ঠ	BENGALI LETTER TTHA (U+09A0)	e0a6a0
ড	BENGALI LETTER DDA (U+09A1)	e0a6a1
ঢ	BENGALI LETTER DDHA (U+09A2)	e0a6a2
ণ	BENGALI LETTER NNA (U+09A3)	e0a6a3
ত	BENGALI LETTER TA (U+09A4)	e0a6a4
থ	BENGALI LETTER THA (U+09A5)	e0a6a5
দ	BENGALI LETTER DA (U+09A6)	e0a6a6
ধ	BENGALI LETTER DHA (U+09A7)	e0a6a7
ন	BENGALI LETTER NA (U+09A8)	e0a6a8
প	BENGALI LETTER PA (U+09AA)	e0a6aa
ফ	BENGALI LETTER PHA (U+09AB)	e0a6ab
ব	BENGALI LETTER BA (U+09AC)	e0a6ac
ভ	BENGALI LETTER BHA (U+09AD)	e0a6ad
ম	BENGALI LETTER MA (U+09AE)	e0a6ae
য	BENGALI LETTER YA (U+09AF)	e0a6af
র	BENGALI LETTER RA (U+09B0)	e0a6b0
ল	BENGALI LETTER LA (U+09B2)	e0a6b2
শ	BENGALI LETTER SHA (U+09B6)	e0a6b6
ষ	BENGALI LETTER SSA (U+09B7)	e0a6b7
স	BENGALI LETTER SA (U+09B8)	e0a6b8
হ	BENGALI LETTER HA (U+09B9)	e0a6b9
়	BENGALI SIGN NUKTA (U+09BC)	e0a6bc
ঽ	BENGALI SIGN AVAGRAHA (U+09BD)	e0a6bd
া	BENGALI VOWEL SIGN AA (U+09BE)	e0a6be
ি	BENGALI VOWEL SIGN I (U+09BF)	e0a6bf
ী	BENGALI VOWEL SIGN II (U+09C0)	e0a780
ু	BENGALI VOWEL SIGN U (U+09C1)	e0a781
ূ	BENGALI VOWEL SIGN UU (U+09C2)	e0a782
ৃ	BENGALI VOWEL SIGN VOCALIC R (U+09C3)	e0a783
ৄ	BENGALI VOWEL SIGN VOCALIC RR (U+09C4)	e0a784
ে	BENGALI VOWEL SIGN E (U+09C7)	e0a787
ৈ	BENGALI VOWEL SIGN AI (U+09C8)	e0a788
ো	BENGALI VOWEL SIGN O (U+09CB)	e0a78b
ৌ	BENGALI VOWEL SIGN AU (U+09CC)	e0a78c
্	BENGALI SIGN VIRAMA (U+09CD)	e0a78d
ৎ	BENGALI LETTER KHANDA TA (U+09CE)	e0a78e
ৗ	BENGALI AU LENGTH MARK (U+09D7)	e0a797
ড়	BENGALI LETTER RRA (U+09DC)	e0a79c
ঢ়	BENGALI LETTER RHA (U+09DD)	e0a79d
য়	BENGALI LETTER YYA (U+09DF)	e0a79f
ৠ	BENGALI LETTER VOCALIC RR (U+09E0)	e0a7a0
ৡ	BENGALI LETTER VOCALIC LL (U+09E1)	e0a7a1
ৢ	BENGALI VOWEL SIGN VOCALIC L (U+09E2)	e0a7a2
ৣ	BENGALI VOWEL SIGN VOCALIC LL (U+09E3)	e0a7a3
০	BENGALI DIGIT ZERO (U+09E6)	e0a7a6
১	BENGALI DIGIT ONE (U+09E7)	e0a7a7
২	BENGALI DIGIT TWO (U+09E8)	e0a7a8
৩	BENGALI DIGIT THREE (U+09E9)	e0a7a9
৪	BENGALI DIGIT FOUR (U+09EA)	e0a7aa
৫	BENGALI DIGIT FIVE (U+09EB)	e0a7ab
৬	BENGALI DIGIT SIX (U+09EC)	e0a7ac
৭	BENGALI DIGIT SEVEN (U+09ED)	e0a7ad
৮	BENGALI DIGIT EIGHT (U+09EE)	e0a7ae
৯	BENGALI DIGIT NINE (U+09EF)	e0a7af
ৰ	BENGALI LETTER RA WITH MIDDLE DIAGONAL (U+09F0)	e0a7b0
ৱ	BENGALI LETTER RA WITH LOWER DIAGONAL (U+09F1)	e0a7b1
৲	BENGALI RUPEE MARK (U+09F2)	e0a7b2
৳	BENGALI RUPEE SIGN (U+09F3)	e0a7b3
৴	BENGALI CURRENCY NUMERATOR ONE (U+09F4)	e0a7b4
৵	BENGALI CURRENCY NUMERATOR TWO (U+09F5)	e0a7b5
৶	BENGALI CURRENCY NUMERATOR THREE (U+09F6)	e0a7b6
৷	BENGALI CURRENCY NUMERATOR FOUR (U+09F7)	e0a7b7
৸	BENGALI CURRENCY NUMERATOR ONE LESS THAN THE DENOMINATOR (U+09F8)	e0a7b8
