𠟪	U+207EA (U+207EA)	f0a09faa
𠟫	U+207EB (U+207EB)	f0a09fab
𠟬	U+207EC (U+207EC)	f0a09fac
𠟭	U+207ED (U+207ED)	f0a09fad
𠟮	U+207EE (U+207EE)	f0a09fae
𠟯	U+207EF (U+207EF)	f0a09faf
𠟰	U+207F0 (U+207F0)	f0a09fb0
𠟱	U+207F1 (U+207F1)	f0a09fb1
𠟲	U+207F2 (U+207F2)	f0a09fb2
𠟳	U+207F3 (U+207F3)	f0a09fb3
𠟴	U+207F4 (U+207F4)	f0a09fb4
𠟵	U+207F5 (U+207F5)	f0a09fb5
𠟶	U+207F6 (U+207F6)	f0a09fb6
𠟷	U+207F7 (U+207F7)	f0a09fb7
𠟸	U+207F8 (U+207F8)	f0a09fb8
𠟹	U+207F9 (U+207F9)	f0a09fb9
𠟺	U+207FA (U+207FA)	f0a09fba
𠟻	U+207FB (U+207FB)	f0a09fbb
𠟼	U+207FC (U+207FC)	f0a09fbc
𠟽	U+207FD (U+207FD)	f0a09fbd
𠟾	U+207FE (U+207FE)	f0a09fbe
𠟿	U+207FF (U+207FF)	f0a09fbf
𠠀	U+20800 (U+20800)	f0a0a080
𠠁	U+20801 (U+20801)	f0a0a081
𠠂	U+20802 (U+20802)	f0a0a082
𠠃	U+20803 (U+20803)	f0a0a083
𠠄	U+20804 (U+20804)	f0a0a084
𠠅	U+20805 (U+20805)	f0a0a085
𠠆	U+20806 (U+20806)	f0a0a086
𠠇	U+20807 (U+20807)	f0a0a087
𠠈	U+20808 (U+20808)	f0a0a088
𠠉	U+20809 (U+20809)	f0a0a089
𠠊	U+2080A (U+2080A)	f0a0a08a
𠠋	U+2080B (U+2080B)	f0a0a08b
𠠌	U+2080C (U+2080C)	f0a0a08c
𠠍	U+2080D (U+2080D)	f0a0a08d
𠠎	U+2080E (U+2080E)	f0a0a08e
𠠏	U+2080F (U+2080F)	f0a0a08f
𠠐	U+20810 (U+20810)	f0a0a090
𠠑	U+20811 (U+20811)	f0a0a091
𠠒	U+20812 (U+20812)	f0a0a092
𠠓	U+20813 (U+20813)	f0a0a093
𠠔	U+20814 (U+20814)	f0a0a094
𠠕	U+20815 (U+20815)	f0a0a095
𠠖	U+20816 (U+20816)	f0a0a096
𠠗	U+20817 (U+20817)	f0a0a097
𠠘	U+20818 (U+20818)	f0a0a098
𠠙	U+20819 (U+20819)	f0a0a099
𠠚	U+2081A (U+2081A)	f0a0a09a
𠠛	U+2081B (U+2081B)	f0a0a09b
𠠜	U+2081C (U+2081C)	f0a0a09c
𠠝	U+2081D (U+2081D)	f0a0a09d
𠠞	U+2081E (U+2081E)	f0a0a09e
𠠟	U+2081F (U+2081F)	f0a0a09f
𠠠	U+20820 (U+20820)	f0a0a0a0
𠠡	U+20821 (U+20821)	f0a0a0a1
𠠢	U+20822 (U+20822)	f0a0a0a2
𠠣	U+20823 (U+20823)	f0a0a0a3
𠠤	U+20824 (U+20824)	f0a0a0a4
𠠥	U+20825 (U+20825)	f0a0a0a5
𠠦	U+20826 (U+20826)	f0a0a0a6
𠠧	U+20827 (U+20827)	f0a0a0a7
𠠨	U+20828 (U+20828)	f0a0a0a8
𠠩	U+20829 (U+20829)	f0a0a0a9
𠠪	U+2082A (U+2082A)	f0a0a0aa
𠠫	U+2082B (U+2082B)	f0a0a0ab
𠠬	U+2082C (U+2082C)	f0a0a0ac
𠠭	U+2082D (U+2082D)	f0a0a0ad
𠠮	U+2082E (U+2082E)	f0a0a0ae
𠠯	U+2082F (U+2082F)	f0a0a0af
𠠰	U+20830 (U+20830)	f0a0a0b0
𠠱	U+20831 (U+20831)	f0a0a0b1
𠠲	U+20832 (U+20832)	f0a0a0b2
𠠳	U+20833 (U+20833)	f0a0a0b3
𠠴	U+20834 (U+20834)	f0a0a0b4
𠠵	U+20835 (U+20835)	f0a0a0b5
𠠶	U+20836 (U+20836)	f0a0a0b6
𠠷	U+20837 (U+20837)	f0a0a0b7
𠠸	U+20838 (U+20838)	f0a0a0b8
𠠹	U+20839 (U+20839)	f0a0a0b9
𠠺	U+2083A (U+2083A)	f0a0a0ba
𠠻	U+2083B (U+2083B)	f0a0a0bb
𠠼	U+2083C (U+2083C)	f0a0a0bc
𠠽	U+2083D (U+2083D)	f0a0a0bd
