𫏾	U+2B3FE (U+2B3FE)	f0ab8fbe
𫏿	U+2B3FF (U+2B3FF)	f0ab8fbf
𫐀	U+2B400 (U+2B400)	f0ab9080
𫐁	U+2B401 (U+2B401)	f0ab9081
𫐂	U+2B402 (U+2B402)	f0ab9082
𫐃	U+2B403 (U+2B403)	f0ab9083
𫐄	cross-bar at the end of the poles of a cart (U+2B404)	f0ab9084
𫐅	U+2B405 (U+2B405)	f0ab9085
𫐆	to gallop; a mule (U+2B406)	f0ab9086
𫐇	U+2B407 (U+2B407)	f0ab9087
𫐈	U+2B408 (U+2B408)	f0ab9088
𫐉	wooden cross-piece on front inside of carriage box (U+2B409)	f0ab9089
𫐊	U+2B40A (U+2B40A)	f0ab908a
𫐋	U+2B40B (U+2B40B)	f0ab908b
𫐌	U+2B40C (U+2B40C)	f0ab908c
𫐍	U+2B40D (U+2B40D)	f0ab908d
𫐎	U+2B40E (U+2B40E)	f0ab908e
𫐏	U+2B40F (U+2B40F)	f0ab908f
𫐐	the cross-bar at the end of a carriage pole; linchpin of a large carriage (U+2B410)	f0ab9090
𫐑	U+2B411 (U+2B411)	f0ab9091
𫐒	U+2B412 (U+2B412)	f0ab9092
𫐓	outer rim of a wheel, felly (U+2B413)	f0ab9093
𫐔	U+2B414 (U+2B414)	f0ab9094
𫐕	U+2B415 (U+2B415)	f0ab9095
𫐖	U+2B416 (U+2B416)	f0ab9096
𫐗	U+2B417 (U+2B417)	f0ab9097
𫐘	U+2B418 (U+2B418)	f0ab9098
𫐙	U+2B419 (U+2B419)	f0ab9099
𫐚	U+2B41A (U+2B41A)	f0ab909a
𫐛	U+2B41B (U+2B41B)	f0ab909b
𫐜	U+2B41C (U+2B41C)	f0ab909c
𫐝	U+2B41D (U+2B41D)	f0ab909d
𫐞	U+2B41E (U+2B41E)	f0ab909e
𫐟	U+2B41F (U+2B41F)	f0ab909f
𫐠	U+2B420 (U+2B420)	f0ab90a0
𫐡	U+2B421 (U+2B421)	f0ab90a1
𫐢	U+2B422 (U+2B422)	f0ab90a2
𫐣	U+2B423 (U+2B423)	f0ab90a3
𫐤	U+2B424 (U+2B424)	f0ab90a4
𫐥	U+2B425 (U+2B425)	f0ab90a5
𫐦	U+2B426 (U+2B426)	f0ab90a6
𫐧	U+2B427 (U+2B427)	f0ab90a7
𫐨	U+2B428 (U+2B428)	f0ab90a8
𫐩	U+2B429 (U+2B429)	f0ab90a9
𫐪	U+2B42A (U+2B42A)	f0ab90aa
𫐫	U+2B42B (U+2B42B)	f0ab90ab
𫐬	U+2B42C (U+2B42C)	f0ab90ac
𫐭	U+2B42D (U+2B42D)	f0ab90ad
𫐮	U+2B42E (U+2B42E)	f0ab90ae
𫐯	U+2B42F (U+2B42F)	f0ab90af
𫐰	U+2B430 (U+2B430)	f0ab90b0
𫐱	U+2B431 (U+2B431)	f0ab90b1
𫐲	U+2B432 (U+2B432)	f0ab90b2
𫐳	U+2B433 (U+2B433)	f0ab90b3
𫐴	U+2B434 (U+2B434)	f0ab90b4
𫐵	U+2B435 (U+2B435)	f0ab90b5
𫐶	U+2B436 (U+2B436)	f0ab90b6
𫐷	U+2B437 (U+2B437)	f0ab90b7
𫐸	U+2B438 (U+2B438)	f0ab90b8
𫐹	U+2B439 (U+2B439)	f0ab90b9
𫐺	U+2B43A (U+2B43A)	f0ab90ba
𫐻	U+2B43B (U+2B43B)	f0ab90bb
𫐼	U+2B43C (U+2B43C)	f0ab90bc
𫐽	U+2B43D (U+2B43D)	f0ab90bd
𫐾	U+2B43E (U+2B43E)	f0ab90be
𫐿	U+2B43F (U+2B43F)	f0ab90bf
𫑀	U+2B440 (U+2B440)	f0ab9180
𫑁	U+2B441 (U+2B441)	f0ab9181
𫑂	U+2B442 (U+2B442)	f0ab9182
𫑃	U+2B443 (U+2B443)	f0ab9183
𫑄	U+2B444 (U+2B444)	f0ab9184
𫑅	U+2B445 (U+2B445)	f0ab9185
𫑆	U+2B446 (U+2B446)	f0ab9186
𫑇	U+2B447 (U+2B447)	f0ab9187
𫑈	U+2B448 (U+2B448)	f0ab9188
𫑉	U+2B449 (U+2B449)	f0ab9189
𫑊	U+2B44A (U+2B44A)	f0ab918a
𫑋	U+2B44B (U+2B44B)	f0ab918b
𫑌	U+2B44C (U+2B44C)	f0ab918c
𫑍	U+2B44D (U+2B44D)	f0ab918d
𫑎	U+2B44E (U+2B44E)	f0ab918e
𫑏	U+2B44F (U+2B44F)	f0ab918f
𫑐	U+2B450 (U+2B450)	f0ab9190
𫑑	U+2B451 (U+2B451)	f0ab9191
𫑒	U+2B452 (U+2B452)	f0ab9192
𫑓	U+2B453 (U+2B453)	f0ab9193
𫑔	U+2B454 (U+2B454)	f0ab9194
𫑕	U+2B455 (U+2B455)	f0ab9195
𫑖	U+2B456 (U+2B456)	f0ab9196
𫑗	U+2B457 (U+2B457)	f0ab9197
𫑘	U+2B458 (U+2B458)	f0ab9198
𫑙	U+2B459 (U+2B459)	f0ab9199
𫑚	U+2B45A (U+2B45A)	f0ab919a
𫑛	U+2B45B (U+2B45B)	f0ab919b
𫑜	U+2B45C (U+2B45C)	f0ab919c
𫑝	U+2B45D (U+2B45D)	f0ab919d
𫑞	U+2B45E (U+2B45E)	f0ab919e
𫑟	U+2B45F (U+2B45F)	f0ab919f
𫑠	U+2B460 (U+2B460)	f0ab91a0
𫑡	U+2B461 (U+2B461)	f0ab91a1
𫑢	U+2B462 (U+2B462)	f0ab91a2
𫑣	U+2B463 (U+2B463)	f0ab91a3
𫑤	U+2B464 (U+2B464)	f0ab91a4
𫑥	U+2B465 (U+2B465)	f0ab91a5
𫑦	U+2B466 (U+2B466)	f0ab91a6
𫑧	U+2B467 (U+2B467)	f0ab91a7
𫑨	U+2B468 (U+2B468)	f0ab91a8
𫑩	U+2B469 (U+2B469)	f0ab91a9
𫑪	U+2B46A (U+2B46A)	f0ab91aa
𫑫	U+2B46B (U+2B46B)	f0ab91ab
𫑬	U+2B46C (U+2B46C)	f0ab91ac
𫑭	U+2B46D (U+2B46D)	f0ab91ad
𫑮	U+2B46E (U+2B46E)	f0ab91ae
