𡟫	U+217EB (U+217EB)	f0a19fab
𡟬	U+217EC (U+217EC)	f0a19fac
𡟭	U+217ED (U+217ED)	f0a19fad
𡟮	U+217EE (U+217EE)	f0a19fae
𡟯	U+217EF (U+217EF)	f0a19faf
𡟰	U+217F0 (U+217F0)	f0a19fb0
𡟱	U+217F1 (U+217F1)	f0a19fb1
𡟲	U+217F2 (U+217F2)	f0a19fb2
𡟳	U+217F3 (U+217F3)	f0a19fb3
𡟴	U+217F4 (U+217F4)	f0a19fb4
𡟵	U+217F5 (U+217F5)	f0a19fb5
𡟶	U+217F6 (U+217F6)	f0a19fb6
𡟷	U+217F7 (U+217F7)	f0a19fb7
𡟸	U+217F8 (U+217F8)	f0a19fb8
𡟹	U+217F9 (U+217F9)	f0a19fb9
𡟺	U+217FA (U+217FA)	f0a19fba
𡟻	U+217FB (U+217FB)	f0a19fbb
𡟼	U+217FC (U+217FC)	f0a19fbc
𡟽	U+217FD (U+217FD)	f0a19fbd
𡟾	U+217FE (U+217FE)	f0a19fbe
𡟿	U+217FF (U+217FF)	f0a19fbf
𡠀	U+21800 (U+21800)	f0a1a080
𡠁	U+21801 (U+21801)	f0a1a081
𡠂	U+21802 (U+21802)	f0a1a082
𡠃	U+21803 (U+21803)	f0a1a083
𡠄	U+21804 (U+21804)	f0a1a084
𡠅	U+21805 (U+21805)	f0a1a085
𡠆	U+21806 (U+21806)	f0a1a086
𡠇	U+21807 (U+21807)	f0a1a087
𡠈	U+21808 (U+21808)	f0a1a088
𡠉	U+21809 (U+21809)	f0a1a089
𡠊	U+2180A (U+2180A)	f0a1a08a
𡠋	U+2180B (U+2180B)	f0a1a08b
𡠌	U+2180C (U+2180C)	f0a1a08c
𡠍	U+2180D (U+2180D)	f0a1a08d
𡠎	U+2180E (U+2180E)	f0a1a08e
𡠏	U+2180F (U+2180F)	f0a1a08f
𡠐	U+21810 (U+21810)	f0a1a090
𡠑	U+21811 (U+21811)	f0a1a091
𡠒	U+21812 (U+21812)	f0a1a092
𡠓	U+21813 (U+21813)	f0a1a093
𡠔	U+21814 (U+21814)	f0a1a094
𡠕	U+21815 (U+21815)	f0a1a095
𡠖	U+21816 (U+21816)	f0a1a096
𡠗	U+21817 (U+21817)	f0a1a097
𡠘	U+21818 (U+21818)	f0a1a098
𡠙	U+21819 (U+21819)	f0a1a099
𡠚	U+2181A (U+2181A)	f0a1a09a
𡠛	U+2181B (U+2181B)	f0a1a09b
𡠜	U+2181C (U+2181C)	f0a1a09c
𡠝	U+2181D (U+2181D)	f0a1a09d
𡠞	U+2181E (U+2181E)	f0a1a09e
𡠟	U+2181F (U+2181F)	f0a1a09f
𡠠	U+21820 (U+21820)	f0a1a0a0
𡠡	U+21821 (U+21821)	f0a1a0a1
𡠢	U+21822 (U+21822)	f0a1a0a2
𡠣	U+21823 (U+21823)	f0a1a0a3
𡠤	U+21824 (U+21824)	f0a1a0a4
𡠥	U+21825 (U+21825)	f0a1a0a5
𡠦	U+21826 (U+21826)	f0a1a0a6
𡠧	U+21827 (U+21827)	f0a1a0a7
𡠨	U+21828 (U+21828)	f0a1a0a8
𡠩	U+21829 (U+21829)	f0a1a0a9
𡠪	U+2182A (U+2182A)	f0a1a0aa
𡠫	U+2182B (U+2182B)	f0a1a0ab
𡠬	U+2182C (U+2182C)	f0a1a0ac
𡠭	U+2182D (U+2182D)	f0a1a0ad
𡠮	U+2182E (U+2182E)	f0a1a0ae
𡠯	U+2182F (U+2182F)	f0a1a0af
𡠰	U+21830 (U+21830)	f0a1a0b0
𡠱	U+21831 (U+21831)	f0a1a0b1
𡠲	U+21832 (U+21832)	f0a1a0b2
𡠳	U+21833 (U+21833)	f0a1a0b3
𡠴	U+21834 (U+21834)	f0a1a0b4
𡠵	U+21835 (U+21835)	f0a1a0b5
𡠶	U+21836 (U+21836)	f0a1a0b6
𡠷	U+21837 (U+21837)	f0a1a0b7
𡠸	U+21838 (U+21838)	f0a1a0b8
𡠹	cunning; wicked, spoiled; coddled (U+21839)	f0a1a0b9
𡠺	U+2183A (U+2183A)	f0a1a0ba
𡠻	U+2183B (U+2183B)	f0a1a0bb
𡠼	U+2183C (U+2183C)	f0a1a0bc
𡠽	U+2183D (U+2183D)	f0a1a0bd
𡠾	U+2183E (U+2183E)	f0a1a0be
𡠿	U+2183F (U+2183F)	f0a1a0bf
𡡀	U+21840 (U+21840)	f0a1a180
𡡁	U+21841 (U+21841)	f0a1a181
𡡂	U+21842 (U+21842)	f0a1a182
𡡃	U+21843 (U+21843)	f0a1a183
𡡄	U+21844 (U+21844)	f0a1a184
𡡅	U+21845 (U+21845)	f0a1a185
𡡆	U+21846 (U+21846)	f0a1a186
𡡇	U+21847 (U+21847)	f0a1a187
𡡈	U+21848 (U+21848)	f0a1a188
𡡉	U+21849 (U+21849)	f0a1a189
𡡊	U+2184A (U+2184A)	f0a1a18a
𡡋	U+2184B (U+2184B)	f0a1a18b
𡡌	U+2184C (U+2184C)	f0a1a18c
𡡍	U+2184D (U+2184D)	f0a1a18d
𡡎	U+2184E (U+2184E)	f0a1a18e
𡡏	U+2184F (U+2184F)	f0a1a18f
𡡐	U+21850 (U+21850)	f0a1a190
𡡑	U+21851 (U+21851)	f0a1a191
𡡒	U+21852 (U+21852)	f0a1a192
𡡓	U+21853 (U+21853)	f0a1a193
𡡔	U+21854 (U+21854)	f0a1a194
𡡕	U+21855 (U+21855)	f0a1a195
𡡖	U+21856 (U+21856)	f0a1a196
𡡗	U+21857 (U+21857)	f0a1a197
𡡘	U+21858 (U+21858)	f0a1a198
𡡙	U+21859 (U+21859)	f0a1a199
𡡚	U+2185A (U+2185A)	f0a1a19a
𡡛	U+2185B (U+2185B)	f0a1a19b
𡡜	U+2185C (U+2185C)	f0a1a19c
𡡝	U+2185D (U+2185D)	f0a1a19d
𡡞	U+2185E (U+2185E)	f0a1a19e
𡡟	U+2185F (U+2185F)	f0a1a19f
𡡠	U+21860 (U+21860)	f0a1a1a0
𡡡	U+21861 (U+21861)	f0a1a1a1
𡡢	U+21862 (U+21862)	f0a1a1a2
𡡣	U+21863 (U+21863)	f0a1a1a3
𡡤	U+21864 (U+21864)	f0a1a1a4
𡡥	U+21865 (U+21865)	f0a1a1a5
𡡦	U+21866 (U+21866)	f0a1a1a6
𡡧	U+21867 (U+21867)	f0a1a1a7
𡡨	U+21868 (U+21868)	f0a1a1a8
𡡩	U+21869 (U+21869)	f0a1a1a9
𡡪	U+2186A (U+2186A)	f0a1a1aa
𡡫	U+2186B (U+2186B)	f0a1a1ab
𡡬	U+2186C (U+2186C)	f0a1a1ac
𡡭	U+2186D (U+2186D)	f0a1a1ad
𡡮	U+2186E (U+2186E)	f0a1a1ae
𡡯	U+2186F (U+2186F)	f0a1a1af
𡡰	U+21870 (U+21870)	f0a1a1b0
𡡱	U+21871 (U+21871)	f0a1a1b1
𡡲	U+21872 (U+21872)	f0a1a1b2
𡡳	U+21873 (U+21873)	f0a1a1b3
𡡴	U+21874 (U+21874)	f0a1a1b4
𡡵	U+21875 (U+21875)	f0a1a1b5
𡡶	U+21876 (U+21876)	f0a1a1b6
𡡷	U+21877 (U+21877)	f0a1a1b7
𡡸	U+21878 (U+21878)	f0a1a1b8
𡡹	U+21879 (U+21879)	f0a1a1b9
𡡺	U+2187A (U+2187A)	f0a1a1ba
𡡻	U+2187B (U+2187B)	f0a1a1bb
𡡼	U+2187C (U+2187C)	f0a1a1bc
𡡽	U+2187D (U+2187D)	f0a1a1bd
