𤯠	U+24BE0 (U+24BE0)	f0a4afa0
𤯡	U+24BE1 (U+24BE1)	f0a4afa1
𤯢	U+24BE2 (U+24BE2)	f0a4afa2
𤯣	U+24BE3 (U+24BE3)	f0a4afa3
𤯤	U+24BE4 (U+24BE4)	f0a4afa4
𤯥	U+24BE5 (U+24BE5)	f0a4afa5
𤯦	U+24BE6 (U+24BE6)	f0a4afa6
𤯧	U+24BE7 (U+24BE7)	f0a4afa7
𤯨	U+24BE8 (U+24BE8)	f0a4afa8
𤯩	U+24BE9 (U+24BE9)	f0a4afa9
𤯪	U+24BEA (U+24BEA)	f0a4afaa
𤯫	U+24BEB (U+24BEB)	f0a4afab
𤯬	U+24BEC (U+24BEC)	f0a4afac
𤯭	U+24BED (U+24BED)	f0a4afad
𤯮	U+24BEE (U+24BEE)	f0a4afae
𤯯	U+24BEF (U+24BEF)	f0a4afaf
𤯰	U+24BF0 (U+24BF0)	f0a4afb0
𤯱	U+24BF1 (U+24BF1)	f0a4afb1
𤯲	U+24BF2 (U+24BF2)	f0a4afb2
𤯳	same as 甦 U+7526 to be reborn; to resuscitate, revive (U+24BF3)	f0a4afb3
𤯴	U+24BF4 (U+24BF4)	f0a4afb4
𤯵	U+24BF5 (U+24BF5)	f0a4afb5
𤯶	U+24BF6 (U+24BF6)	f0a4afb6
𤯷	U+24BF7 (U+24BF7)	f0a4afb7
𤯸	U+24BF8 (U+24BF8)	f0a4afb8
𤯹	U+24BF9 (U+24BF9)	f0a4afb9
𤯺	U+24BFA (U+24BFA)	f0a4afba
𤯻	U+24BFB (U+24BFB)	f0a4afbb
𤯼	U+24BFC (U+24BFC)	f0a4afbc
𤯽	U+24BFD (U+24BFD)	f0a4afbd
𤯾	U+24BFE (U+24BFE)	f0a4afbe
𤯿	U+24BFF (U+24BFF)	f0a4afbf
𤰀	U+24C00 (U+24C00)	f0a4b080
𤰁	U+24C01 (U+24C01)	f0a4b081
𤰂	U+24C02 (U+24C02)	f0a4b082
𤰃	U+24C03 (U+24C03)	f0a4b083
𤰄	U+24C04 (U+24C04)	f0a4b084
𤰅	U+24C05 (U+24C05)	f0a4b085
𤰆	U+24C06 (U+24C06)	f0a4b086
𤰇	U+24C07 (U+24C07)	f0a4b087
𤰈	U+24C08 (U+24C08)	f0a4b088
𤰉	U+24C09 (U+24C09)	f0a4b089
𤰊	U+24C0A (U+24C0A)	f0a4b08a
𤰋	U+24C0B (U+24C0B)	f0a4b08b
𤰌	U+24C0C (U+24C0C)	f0a4b08c
𤰍	U+24C0D (U+24C0D)	f0a4b08d
𤰎	U+24C0E (U+24C0E)	f0a4b08e
𤰏	U+24C0F (U+24C0F)	f0a4b08f
𤰐	U+24C10 (U+24C10)	f0a4b090
𤰑	U+24C11 (U+24C11)	f0a4b091
𤰒	U+24C12 (U+24C12)	f0a4b092
𤰓	U+24C13 (U+24C13)	f0a4b093
𤰔	U+24C14 (U+24C14)	f0a4b094
𤰕	U+24C15 (U+24C15)	f0a4b095
𤰖	U+24C16 (U+24C16)	f0a4b096
𤰗	U+24C17 (U+24C17)	f0a4b097
𤰘	U+24C18 (U+24C18)	f0a4b098
𤰙	U+24C19 (U+24C19)	f0a4b099
𤰚	U+24C1A (U+24C1A)	f0a4b09a
𤰛	U+24C1B (U+24C1B)	f0a4b09b
𤰜	U+24C1C (U+24C1C)	f0a4b09c
𤰝	U+24C1D (U+24C1D)	f0a4b09d
𤰞	U+24C1E (U+24C1E)	f0a4b09e
𤰟	U+24C1F (U+24C1F)	f0a4b09f
𤰠	U+24C20 (U+24C20)	f0a4b0a0
𤰡	U+24C21 (U+24C21)	f0a4b0a1
𤰢	U+24C22 (U+24C22)	f0a4b0a2
𤰣	U+24C23 (U+24C23)	f0a4b0a3
𤰤	U+24C24 (U+24C24)	f0a4b0a4
𤰥	U+24C25 (U+24C25)	f0a4b0a5
𤰦	U+24C26 (U+24C26)	f0a4b0a6
𤰧	U+24C27 (U+24C27)	f0a4b0a7
𤰨	U+24C28 (U+24C28)	f0a4b0a8
𤰩	U+24C29 (U+24C29)	f0a4b0a9
𤰪	U+24C2A (U+24C2A)	f0a4b0aa
𤰫	U+24C2B (U+24C2B)	f0a4b0ab
𤰬	U+24C2C (U+24C2C)	f0a4b0ac
𤰭	U+24C2D (U+24C2D)	f0a4b0ad
𤰮	U+24C2E (U+24C2E)	f0a4b0ae
𤰯	U+24C2F (U+24C2F)	f0a4b0af
𤰰	U+24C30 (U+24C30)	f0a4b0b0
𤰱	U+24C31 (U+24C31)	f0a4b0b1
𤰲	U+24C32 (U+24C32)	f0a4b0b2
𤰳	U+24C33 (U+24C33)	f0a4b0b3
𤰴	U+24C34 (U+24C34)	f0a4b0b4
𤰵	U+24C35 (U+24C35)	f0a4b0b5
𤰶	U+24C36 (U+24C36)	f0a4b0b6
𤰷	U+24C37 (U+24C37)	f0a4b0b7
𤰸	U+24C38 (U+24C38)	f0a4b0b8
𤰹	U+24C39 (U+24C39)	f0a4b0b9
𤰺	U+24C3A (U+24C3A)	f0a4b0ba
𤰻	U+24C3B (U+24C3B)	f0a4b0bb
𤰼	U+24C3C (U+24C3C)	f0a4b0bc
𤰽	U+24C3D (U+24C3D)	f0a4b0bd
𤰾	U+24C3E (U+24C3E)	f0a4b0be
𤰿	U+24C3F (U+24C3F)	f0a4b0bf
𤱀	U+24C40 (U+24C40)	f0a4b180
𤱁	U+24C41 (U+24C41)	f0a4b181
𤱂	U+24C42 (U+24C42)	f0a4b182
𤱃	U+24C43 (U+24C43)	f0a4b183
𤱄	U+24C44 (U+24C44)	f0a4b184
𤱅	U+24C45 (U+24C45)	f0a4b185
𤱆	U+24C46 (U+24C46)	f0a4b186
𤱇	U+24C47 (U+24C47)	f0a4b187
𤱈	U+24C48 (U+24C48)	f0a4b188
𤱉	U+24C49 (U+24C49)	f0a4b189
𤱊	U+24C4A (U+24C4A)	f0a4b18a
𤱋	U+24C4B (U+24C4B)	f0a4b18b
𤱌	U+24C4C (U+24C4C)	f0a4b18c
𤱍	U+24C4D (U+24C4D)	f0a4b18d
𤱎	U+24C4E (U+24C4E)	f0a4b18e
𤱏	U+24C4F (U+24C4F)	f0a4b18f
𤱐	U+24C50 (U+24C50)	f0a4b190
𤱑	U+24C51 (U+24C51)	f0a4b191
𤱒	U+24C52 (U+24C52)	f0a4b192
𤱓	U+24C53 (U+24C53)	f0a4b193
𤱔	U+24C54 (U+24C54)	f0a4b194
𤱕	U+24C55 (U+24C55)	f0a4b195
𤱖	U+24C56 (U+24C56)	f0a4b196
𤱗	U+24C57 (U+24C57)	f0a4b197
𤱘	U+24C58 (U+24C58)	f0a4b198
𤱙	U+24C59 (U+24C59)	f0a4b199
𤱚	U+24C5A (U+24C5A)	f0a4b19a
𤱛	U+24C5B (U+24C5B)	f0a4b19b
𤱜	U+24C5C (U+24C5C)	f0a4b19c
𤱝	U+24C5D (U+24C5D)	f0a4b19d
𤱞	U+24C5E (U+24C5E)	f0a4b19e
𤱟	U+24C5F (U+24C5F)	f0a4b19f
𤱠	U+24C60 (U+24C60)	f0a4b1a0
𤱡	U+24C61 (U+24C61)	f0a4b1a1
𤱢	U+24C62 (U+24C62)	f0a4b1a2
𤱣	U+24C63 (U+24C63)	f0a4b1a3
𤱤	U+24C64 (U+24C64)	f0a4b1a4
𤱥	U+24C65 (U+24C65)	f0a4b1a5
𤱦	U+24C66 (U+24C66)	f0a4b1a6
𤱧	U+24C67 (U+24C67)	f0a4b1a7
𤱨	U+24C68 (U+24C68)	f0a4b1a8
𤱩	U+24C69 (U+24C69)	f0a4b1a9
𤱪	U+24C6A (U+24C6A)	f0a4b1aa
𤱫	U+24C6B (U+24C6B)	f0a4b1ab
𤱬	U+24C6C (U+24C6C)	f0a4b1ac
𤱭	U+24C6D (U+24C6D)	f0a4b1ad
𤱮	U+24C6E (U+24C6E)	f0a4b1ae
𤱯	U+24C6F (U+24C6F)	f0a4b1af
𤱰	U+24C70 (U+24C70)	f0a4b1b0
𤱱	U+24C71 (U+24C71)	f0a4b1b1
𤱲	U+24C72 (U+24C72)	f0a4b1b2
𤱳	U+24C73 (U+24C73)	f0a4b1b3
𤱴	U+24C74 (U+24C74)	f0a4b1b4
𤱵	U+24C75 (U+24C75)	f0a4b1b5
𤱶	U+24C76 (U+24C76)	f0a4b1b6
𤱷	U+24C77 (U+24C77)	f0a4b1b7
𤱸	U+24C78 (U+24C78)	f0a4b1b8
𤱹	U+24C79 (U+24C79)	f0a4b1b9
𤱺	U+24C7A (U+24C7A)	f0a4b1ba
𤱻	U+24C7B (U+24C7B)	f0a4b1bb
𤱼	U+24C7C (U+24C7C)	f0a4b1bc
𤱽	U+24C7D (U+24C7D)	f0a4b1bd
𤱾	U+24C7E (U+24C7E)	f0a4b1be
𤱿	U+24C7F (U+24C7F)	f0a4b1bf
𤲀	U+24C80 (U+24C80)	f0a4b280
𤲁	U+24C81 (U+24C81)	f0a4b281
𤲂	U+24C82 (U+24C82)	f0a4b282
𤲃	U+24C83 (U+24C83)	f0a4b283
𤲄	U+24C84 (U+24C84)	f0a4b284
𤲅	U+24C85 (U+24C85)	f0a4b285
𤲆	U+24C86 (U+24C86)	f0a4b286
𤲇	U+24C87 (U+24C87)	f0a4b287
𤲈	U+24C88 (U+24C88)	f0a4b288
𤲉	U+24C89 (U+24C89)	f0a4b289
𤲊	U+24C8A (U+24C8A)	f0a4b28a
𤲋	U+24C8B (U+24C8B)	f0a4b28b
𤲌	U+24C8C (U+24C8C)	f0a4b28c
𤲍	U+24C8D (U+24C8D)	f0a4b28d
𤲎	U+24C8E (U+24C8E)	f0a4b28e
𤲏	U+24C8F (U+24C8F)	f0a4b28f
𤲐	U+24C90 (U+24C90)	f0a4b290
𤲑	U+24C91 (U+24C91)	f0a4b291
𤲒	U+24C92 (U+24C92)	f0a4b292
𤲓	U+24C93 (U+24C93)	f0a4b293
𤲔	U+24C94 (U+24C94)	f0a4b294
𤲕	U+24C95 (U+24C95)	f0a4b295
𤲖	U+24C96 (U+24C96)	f0a4b296
𤲗	U+24C97 (U+24C97)	f0a4b297
𤲘	U+24C98 (U+24C98)	f0a4b298
𤲙	U+24C99 (U+24C99)	f0a4b299
𤲚	U+24C9A (U+24C9A)	f0a4b29a
𤲛	U+24C9B (U+24C9B)	f0a4b29b
𤲜	U+24C9C (U+24C9C)	f0a4b29c
𤲝	U+24C9D (U+24C9D)	f0a4b29d
𤲞	U+24C9E (U+24C9E)	f0a4b29e
𤲟	U+24C9F (U+24C9F)	f0a4b29f
𤲠	U+24CA0 (U+24CA0)	f0a4b2a0
𤲡	U+24CA1 (U+24CA1)	f0a4b2a1
𤲢	U+24CA2 (U+24CA2)	f0a4b2a2
𤲣	U+24CA3 (U+24CA3)	f0a4b2a3
𤲤	U+24CA4 (U+24CA4)	f0a4b2a4
𤲥	U+24CA5 (U+24CA5)	f0a4b2a5
𤲦	U+24CA6 (U+24CA6)	f0a4b2a6
𤲧	U+24CA7 (U+24CA7)	f0a4b2a7
𤲨	U+24CA8 (U+24CA8)	f0a4b2a8
𤲩	U+24CA9 (U+24CA9)	f0a4b2a9
𤲪	U+24CAA (U+24CAA)	f0a4b2aa
𤲫	U+24CAB (U+24CAB)	f0a4b2ab
𤲬	U+24CAC (U+24CAC)	f0a4b2ac
𤲭	U+24CAD (U+24CAD)	f0a4b2ad
𤲮	U+24CAE (U+24CAE)	f0a4b2ae
𤲯	U+24CAF (U+24CAF)	f0a4b2af
𤲰	U+24CB0 (U+24CB0)	f0a4b2b0
𤲱	U+24CB1 (U+24CB1)	f0a4b2b1
𤲲	U+24CB2 (U+24CB2)	f0a4b2b2
𤲳	U+24CB3 (U+24CB3)	f0a4b2b3
𤲴	U+24CB4 (U+24CB4)	f0a4b2b4
𤲵	U+24CB5 (U+24CB5)	f0a4b2b5
𤲶	U+24CB6 (U+24CB6)	f0a4b2b6
𤲷	U+24CB7 (U+24CB7)	f0a4b2b7
𤲸	U+24CB8 (U+24CB8)	f0a4b2b8
𤲹	U+24CB9 (U+24CB9)	f0a4b2b9
𤲺	U+24CBA (U+24CBA)	f0a4b2ba
𤲻	U+24CBB (U+24CBB)	f0a4b2bb
𤲼	U+24CBC (U+24CBC)	f0a4b2bc
𤲽	U+24CBD (U+24CBD)	f0a4b2bd
𤲾	U+24CBE (U+24CBE)	f0a4b2be
𤲿	U+24CBF (U+24CBF)	f0a4b2bf
𤳀	U+24CC0 (U+24CC0)	f0a4b380
𤳁	U+24CC1 (U+24CC1)	f0a4b381
𤳂	U+24CC2 (U+24CC2)	f0a4b382
𤳃	U+24CC3 (U+24CC3)	f0a4b383
𤳄	U+24CC4 (U+24CC4)	f0a4b384
𤳅	U+24CC5 (U+24CC5)	f0a4b385
𤳆	U+24CC6 (U+24CC6)	f0a4b386
𤳇	U+24CC7 (U+24CC7)	f0a4b387
𤳈	U+24CC8 (U+24CC8)	f0a4b388
𤳉	U+24CC9 (U+24CC9)	f0a4b389
𤳊	U+24CCA (U+24CCA)	f0a4b38a
𤳋	U+24CCB (U+24CCB)	f0a4b38b
𤳌	U+24CCC (U+24CCC)	f0a4b38c
𤳍	U+24CCD (U+24CCD)	f0a4b38d
𤳎	U+24CCE (U+24CCE)	f0a4b38e
𤳏	U+24CCF (U+24CCF)	f0a4b38f
𤳐	U+24CD0 (U+24CD0)	f0a4b390
𤳑	U+24CD1 (U+24CD1)	f0a4b391
𤳒	U+24CD2 (U+24CD2)	f0a4b392
𤳓	U+24CD3 (U+24CD3)	f0a4b393
𤳔	U+24CD4 (U+24CD4)	f0a4b394
𤳕	U+24CD5 (U+24CD5)	f0a4b395
𤳖	U+24CD6 (U+24CD6)	f0a4b396
𤳗	U+24CD7 (U+24CD7)	f0a4b397
𤳘	U+24CD8 (U+24CD8)	f0a4b398
𤳙	U+24CD9 (U+24CD9)	f0a4b399
𤳚	U+24CDA (U+24CDA)	f0a4b39a
𤳛	U+24CDB (U+24CDB)	f0a4b39b
𤳜	U+24CDC (U+24CDC)	f0a4b39c
𤳝	U+24CDD (U+24CDD)	f0a4b39d
𤳞	U+24CDE (U+24CDE)	f0a4b39e
𤳟	U+24CDF (U+24CDF)	f0a4b39f
𤳠	U+24CE0 (U+24CE0)	f0a4b3a0
𤳡	U+24CE1 (U+24CE1)	f0a4b3a1
𤳢	U+24CE2 (U+24CE2)	f0a4b3a2
𤳣	U+24CE3 (U+24CE3)	f0a4b3a3
𤳤	U+24CE4 (U+24CE4)	f0a4b3a4
𤳥	U+24CE5 (U+24CE5)	f0a4b3a5
𤳦	U+24CE6 (U+24CE6)	f0a4b3a6
𤳧	U+24CE7 (U+24CE7)	f0a4b3a7
𤳨	U+24CE8 (U+24CE8)	f0a4b3a8
𤳩	U+24CE9 (U+24CE9)	f0a4b3a9
𤳪	U+24CEA (U+24CEA)	f0a4b3aa
𤳫	U+24CEB (U+24CEB)	f0a4b3ab
𤳬	U+24CEC (U+24CEC)	f0a4b3ac
𤳭	U+24CED (U+24CED)	f0a4b3ad
𤳮	U+24CEE (U+24CEE)	f0a4b3ae
𤳯	U+24CEF (U+24CEF)	f0a4b3af
𤳰	U+24CF0 (U+24CF0)	f0a4b3b0
𤳱	U+24CF1 (U+24CF1)	f0a4b3b1
𤳲	U+24CF2 (U+24CF2)	f0a4b3b2
𤳳	U+24CF3 (U+24CF3)	f0a4b3b3
𤳴	U+24CF4 (U+24CF4)	f0a4b3b4
𤳵	U+24CF5 (U+24CF5)	f0a4b3b5
𤳶	U+24CF6 (U+24CF6)	f0a4b3b6
𤳷	U+24CF7 (U+24CF7)	f0a4b3b7
𤳸	U+24CF8 (U+24CF8)	f0a4b3b8
𤳹	U+24CF9 (U+24CF9)	f0a4b3b9
𤳺	U+24CFA (U+24CFA)	f0a4b3ba
𤳻	U+24CFB (U+24CFB)	f0a4b3bb
𤳼	U+24CFC (U+24CFC)	f0a4b3bc
𤳽	U+24CFD (U+24CFD)	f0a4b3bd
𤳾	U+24CFE (U+24CFE)	f0a4b3be
𤳿	U+24CFF (U+24CFF)	f0a4b3bf
𤴀	U+24D00 (U+24D00)	f0a4b480
𤴁	U+24D01 (U+24D01)	f0a4b481
𤴂	U+24D02 (U+24D02)	f0a4b482
𤴃	U+24D03 (U+24D03)	f0a4b483
𤴄	U+24D04 (U+24D04)	f0a4b484
𤴅	U+24D05 (U+24D05)	f0a4b485
𤴆	U+24D06 (U+24D06)	f0a4b486
𤴇	U+24D07 (U+24D07)	f0a4b487
𤴈	U+24D08 (U+24D08)	f0a4b488
𤴉	U+24D09 (U+24D09)	f0a4b489
𤴊	U+24D0A (U+24D0A)	f0a4b48a
𤴋	U+24D0B (U+24D0B)	f0a4b48b
𤴌	U+24D0C (U+24D0C)	f0a4b48c
𤴍	U+24D0D (U+24D0D)	f0a4b48d
𤴎	U+24D0E (U+24D0E)	f0a4b48e
𤴏	U+24D0F (U+24D0F)	f0a4b48f
𤴐	U+24D10 (U+24D10)	f0a4b490
𤴑	U+24D11 (U+24D11)	f0a4b491
𤴒	U+24D12 (U+24D12)	f0a4b492
𤴓	U+24D13 (U+24D13)	f0a4b493
𤴔	U+24D14 (U+24D14)	f0a4b494
𤴕	U+24D15 (U+24D15)	f0a4b495
𤴖	U+24D16 (U+24D16)	f0a4b496
𤴗	U+24D17 (U+24D17)	f0a4b497
𤴘	U+24D18 (U+24D18)	f0a4b498
𤴙	U+24D19 (U+24D19)	f0a4b499
𤴚	U+24D1A (U+24D1A)	f0a4b49a
𤴛	U+24D1B (U+24D1B)	f0a4b49b
𤴜	U+24D1C (U+24D1C)	f0a4b49c
𤴝	U+24D1D (U+24D1D)	f0a4b49d
𤴞	U+24D1E (U+24D1E)	f0a4b49e
𤴟	U+24D1F (U+24D1F)	f0a4b49f
𤴠	U+24D20 (U+24D20)	f0a4b4a0
𤴡	U+24D21 (U+24D21)	f0a4b4a1
𤴢	U+24D22 (U+24D22)	f0a4b4a2
𤴣	U+24D23 (U+24D23)	f0a4b4a3
𤴤	U+24D24 (U+24D24)	f0a4b4a4
𤴥	U+24D25 (U+24D25)	f0a4b4a5
𤴦	U+24D26 (U+24D26)	f0a4b4a6
𤴧	U+24D27 (U+24D27)	f0a4b4a7
𤴨	U+24D28 (U+24D28)	f0a4b4a8
𤴩	U+24D29 (U+24D29)	f0a4b4a9
𤴪	U+24D2A (U+24D2A)	f0a4b4aa
𤴫	U+24D2B (U+24D2B)	f0a4b4ab
𤴬	U+24D2C (U+24D2C)	f0a4b4ac
𤴭	U+24D2D (U+24D2D)	f0a4b4ad
𤴮	U+24D2E (U+24D2E)	f0a4b4ae
𤴯	U+24D2F (U+24D2F)	f0a4b4af
𤴰	U+24D30 (U+24D30)	f0a4b4b0
𤴱	U+24D31 (U+24D31)	f0a4b4b1
𤴲	U+24D32 (U+24D32)	f0a4b4b2
𤴳	U+24D33 (U+24D33)	f0a4b4b3
𤴴	U+24D34 (U+24D34)	f0a4b4b4
𤴵	U+24D35 (U+24D35)	f0a4b4b5
𤴶	U+24D36 (U+24D36)	f0a4b4b6
𤴷	U+24D37 (U+24D37)	f0a4b4b7
𤴸	U+24D38 (U+24D38)	f0a4b4b8
𤴹	U+24D39 (U+24D39)	f0a4b4b9
𤴺	U+24D3A (U+24D3A)	f0a4b4ba
𤴻	U+24D3B (U+24D3B)	f0a4b4bb
𤴼	U+24D3C (U+24D3C)	f0a4b4bc
𤴽	U+24D3D (U+24D3D)	f0a4b4bd
𤴾	U+24D3E (U+24D3E)	f0a4b4be
𤴿	U+24D3F (U+24D3F)	f0a4b4bf
𤵀	U+24D40 (U+24D40)	f0a4b580
𤵁	U+24D41 (U+24D41)	f0a4b581
𤵂	U+24D42 (U+24D42)	f0a4b582
𤵃	U+24D43 (U+24D43)	f0a4b583
