𪟿	U+2A7FF (U+2A7FF)	f0aa9fbf
𪠀	U+2A800 (U+2A800)	f0aaa080
𪠁	U+2A801 (U+2A801)	f0aaa081
𪠂	U+2A802 (U+2A802)	f0aaa082
𪠃	U+2A803 (U+2A803)	f0aaa083
𪠄	U+2A804 (U+2A804)	f0aaa084
𪠅	U+2A805 (U+2A805)	f0aaa085
𪠆	U+2A806 (U+2A806)	f0aaa086
𪠇	U+2A807 (U+2A807)	f0aaa087
𪠈	U+2A808 (U+2A808)	f0aaa088
𪠉	U+2A809 (U+2A809)	f0aaa089
𪠊	U+2A80A (U+2A80A)	f0aaa08a
𪠋	U+2A80B (U+2A80B)	f0aaa08b
𪠌	U+2A80C (U+2A80C)	f0aaa08c
𪠍	U+2A80D (U+2A80D)	f0aaa08d
𪠎	U+2A80E (U+2A80E)	f0aaa08e
𪠏	U+2A80F (U+2A80F)	f0aaa08f
𪠐	U+2A810 (U+2A810)	f0aaa090
𪠑	U+2A811 (U+2A811)	f0aaa091
𪠒	U+2A812 (U+2A812)	f0aaa092
𪠓	U+2A813 (U+2A813)	f0aaa093
𪠔	U+2A814 (U+2A814)	f0aaa094
𪠕	U+2A815 (U+2A815)	f0aaa095
𪠖	U+2A816 (U+2A816)	f0aaa096
𪠗	U+2A817 (U+2A817)	f0aaa097
𪠘	U+2A818 (U+2A818)	f0aaa098
𪠙	U+2A819 (U+2A819)	f0aaa099
𪠚	U+2A81A (U+2A81A)	f0aaa09a
𪠛	U+2A81B (U+2A81B)	f0aaa09b
𪠜	U+2A81C (U+2A81C)	f0aaa09c
𪠝	U+2A81D (U+2A81D)	f0aaa09d
𪠞	U+2A81E (U+2A81E)	f0aaa09e
𪠟	U+2A81F (U+2A81F)	f0aaa09f
𪠠	U+2A820 (U+2A820)	f0aaa0a0
𪠡	U+2A821 (U+2A821)	f0aaa0a1
𪠢	U+2A822 (U+2A822)	f0aaa0a2
𪠣	U+2A823 (U+2A823)	f0aaa0a3
𪠤	U+2A824 (U+2A824)	f0aaa0a4
𪠥	U+2A825 (U+2A825)	f0aaa0a5
𪠦	U+2A826 (U+2A826)	f0aaa0a6
𪠧	U+2A827 (U+2A827)	f0aaa0a7
𪠨	U+2A828 (U+2A828)	f0aaa0a8
𪠩	U+2A829 (U+2A829)	f0aaa0a9
𪠪	U+2A82A (U+2A82A)	f0aaa0aa
𪠫	U+2A82B (U+2A82B)	f0aaa0ab
𪠬	U+2A82C (U+2A82C)	f0aaa0ac
𪠭	U+2A82D (U+2A82D)	f0aaa0ad
𪠮	U+2A82E (U+2A82E)	f0aaa0ae
𪠯	U+2A82F (U+2A82F)	f0aaa0af
𪠰	U+2A830 (U+2A830)	f0aaa0b0
𪠱	U+2A831 (U+2A831)	f0aaa0b1
𪠲	U+2A832 (U+2A832)	f0aaa0b2
𪠳	U+2A833 (U+2A833)	f0aaa0b3
𪠴	U+2A834 (U+2A834)	f0aaa0b4
𪠵	U+2A835 (U+2A835)	f0aaa0b5
𪠶	U+2A836 (U+2A836)	f0aaa0b6
𪠷	U+2A837 (U+2A837)	f0aaa0b7
𪠸	U+2A838 (U+2A838)	f0aaa0b8
𪠹	U+2A839 (U+2A839)	f0aaa0b9
𪠺	U+2A83A (U+2A83A)	f0aaa0ba
𪠻	U+2A83B (U+2A83B)	f0aaa0bb
𪠼	U+2A83C (U+2A83C)	f0aaa0bc
𪠽	U+2A83D (U+2A83D)	f0aaa0bd
𪠾	U+2A83E (U+2A83E)	f0aaa0be
𪠿	U+2A83F (U+2A83F)	f0aaa0bf
𪡀	U+2A840 (U+2A840)	f0aaa180
𪡁	U+2A841 (U+2A841)	f0aaa181
𪡂	U+2A842 (U+2A842)	f0aaa182
𪡃	U+2A843 (U+2A843)	f0aaa183
𪡄	U+2A844 (U+2A844)	f0aaa184
𪡅	U+2A845 (U+2A845)	f0aaa185
𪡆	U+2A846 (U+2A846)	f0aaa186
𪡇	U+2A847 (U+2A847)	f0aaa187
𪡈	used in transliteration (U+2A848)	f0aaa188
𪡉	U+2A849 (U+2A849)	f0aaa189
𪡊	U+2A84A (U+2A84A)	f0aaa18a
𪡋	U+2A84B (U+2A84B)	f0aaa18b
𪡌	U+2A84C (U+2A84C)	f0aaa18c
𪡍	U+2A84D (U+2A84D)	f0aaa18d
𪡎	U+2A84E (U+2A84E)	f0aaa18e
𪡏	gruel (U+2A84F)	f0aaa18f
𪡐	U+2A850 (U+2A850)	f0aaa190
𪡑	U+2A851 (U+2A851)	f0aaa191
𪡒	U+2A852 (U+2A852)	f0aaa192
𪡓	U+2A853 (U+2A853)	f0aaa193
