𥯠	U+25BE0 (U+25BE0)	f0a5afa0
𥯡	U+25BE1 (U+25BE1)	f0a5afa1
𥯢	U+25BE2 (U+25BE2)	f0a5afa2
𥯣	U+25BE3 (U+25BE3)	f0a5afa3
𥯤	U+25BE4 (U+25BE4)	f0a5afa4
𥯥	U+25BE5 (U+25BE5)	f0a5afa5
𥯦	U+25BE6 (U+25BE6)	f0a5afa6
𥯧	U+25BE7 (U+25BE7)	f0a5afa7
𥯨	U+25BE8 (U+25BE8)	f0a5afa8
𥯩	U+25BE9 (U+25BE9)	f0a5afa9
𥯪	U+25BEA (U+25BEA)	f0a5afaa
𥯫	U+25BEB (U+25BEB)	f0a5afab
𥯬	U+25BEC (U+25BEC)	f0a5afac
𥯭	U+25BED (U+25BED)	f0a5afad
𥯮	U+25BEE (U+25BEE)	f0a5afae
𥯯	U+25BEF (U+25BEF)	f0a5afaf
𥯰	U+25BF0 (U+25BF0)	f0a5afb0
𥯱	U+25BF1 (U+25BF1)	f0a5afb1
𥯲	U+25BF2 (U+25BF2)	f0a5afb2
𥯳	U+25BF3 (U+25BF3)	f0a5afb3
𥯴	U+25BF4 (U+25BF4)	f0a5afb4
𥯵	U+25BF5 (U+25BF5)	f0a5afb5
𥯶	U+25BF6 (U+25BF6)	f0a5afb6
𥯷	U+25BF7 (U+25BF7)	f0a5afb7
𥯸	U+25BF8 (U+25BF8)	f0a5afb8
𥯹	U+25BF9 (U+25BF9)	f0a5afb9
𥯺	U+25BFA (U+25BFA)	f0a5afba
𥯻	U+25BFB (U+25BFB)	f0a5afbb
𥯼	U+25BFC (U+25BFC)	f0a5afbc
𥯽	U+25BFD (U+25BFD)	f0a5afbd
𥯾	U+25BFE (U+25BFE)	f0a5afbe
𥯿	U+25BFF (U+25BFF)	f0a5afbf
𥰀	U+25C00 (U+25C00)	f0a5b080
𥰁	U+25C01 (U+25C01)	f0a5b081
𥰂	U+25C02 (U+25C02)	f0a5b082
𥰃	U+25C03 (U+25C03)	f0a5b083
𥰄	U+25C04 (U+25C04)	f0a5b084
𥰅	U+25C05 (U+25C05)	f0a5b085
𥰆	U+25C06 (U+25C06)	f0a5b086
𥰇	U+25C07 (U+25C07)	f0a5b087
𥰈	U+25C08 (U+25C08)	f0a5b088
𥰉	U+25C09 (U+25C09)	f0a5b089
𥰊	U+25C0A (U+25C0A)	f0a5b08a
𥰋	U+25C0B (U+25C0B)	f0a5b08b
𥰌	U+25C0C (U+25C0C)	f0a5b08c
𥰍	U+25C0D (U+25C0D)	f0a5b08d
𥰎	U+25C0E (U+25C0E)	f0a5b08e
𥰏	U+25C0F (U+25C0F)	f0a5b08f
𥰐	U+25C10 (U+25C10)	f0a5b090
𥰑	U+25C11 (U+25C11)	f0a5b091
𥰒	U+25C12 (U+25C12)	f0a5b092
𥰓	U+25C13 (U+25C13)	f0a5b093
𥰔	U+25C14 (U+25C14)	f0a5b094
𥰕	U+25C15 (U+25C15)	f0a5b095
𥰖	U+25C16 (U+25C16)	f0a5b096
𥰗	U+25C17 (U+25C17)	f0a5b097
𥰘	U+25C18 (U+25C18)	f0a5b098
𥰙	U+25C19 (U+25C19)	f0a5b099
𥰚	U+25C1A (U+25C1A)	f0a5b09a
𥰛	U+25C1B (U+25C1B)	f0a5b09b
𥰜	U+25C1C (U+25C1C)	f0a5b09c
