𢿠	U+22FE0 (U+22FE0)	f0a2bfa0
𢿡	U+22FE1 (U+22FE1)	f0a2bfa1
𢿢	U+22FE2 (U+22FE2)	f0a2bfa2
𢿣	U+22FE3 (U+22FE3)	f0a2bfa3
𢿤	U+22FE4 (U+22FE4)	f0a2bfa4
𢿥	U+22FE5 (U+22FE5)	f0a2bfa5
𢿦	U+22FE6 (U+22FE6)	f0a2bfa6
𢿧	U+22FE7 (U+22FE7)	f0a2bfa7
𢿨	U+22FE8 (U+22FE8)	f0a2bfa8
𢿩	U+22FE9 (U+22FE9)	f0a2bfa9
𢿪	U+22FEA (U+22FEA)	f0a2bfaa
𢿫	U+22FEB (U+22FEB)	f0a2bfab
𢿬	U+22FEC (U+22FEC)	f0a2bfac
𢿭	U+22FED (U+22FED)	f0a2bfad
𢿮	U+22FEE (U+22FEE)	f0a2bfae
𢿯	U+22FEF (U+22FEF)	f0a2bfaf
𢿰	U+22FF0 (U+22FF0)	f0a2bfb0
𢿱	U+22FF1 (U+22FF1)	f0a2bfb1
𢿲	U+22FF2 (U+22FF2)	f0a2bfb2
𢿳	U+22FF3 (U+22FF3)	f0a2bfb3
𢿴	U+22FF4 (U+22FF4)	f0a2bfb4
𢿵	U+22FF5 (U+22FF5)	f0a2bfb5
𢿶	U+22FF6 (U+22FF6)	f0a2bfb6
𢿷	U+22FF7 (U+22FF7)	f0a2bfb7
𢿸	U+22FF8 (U+22FF8)	f0a2bfb8
𢿹	U+22FF9 (U+22FF9)	f0a2bfb9
𢿺	U+22FFA (U+22FFA)	f0a2bfba
𢿻	U+22FFB (U+22FFB)	f0a2bfbb
𢿼	U+22FFC (U+22FFC)	f0a2bfbc
𢿽	U+22FFD (U+22FFD)	f0a2bfbd
𢿾	U+22FFE (U+22FFE)	f0a2bfbe
𢿿	U+22FFF (U+22FFF)	f0a2bfbf
𣀀	U+23000 (U+23000)	f0a38080
𣀁	U+23001 (U+23001)	f0a38081
𣀂	U+23002 (U+23002)	f0a38082
𣀃	U+23003 (U+23003)	f0a38083
𣀄	U+23004 (U+23004)	f0a38084
𣀅	U+23005 (U+23005)	f0a38085
𣀆	U+23006 (U+23006)	f0a38086
𣀇	U+23007 (U+23007)	f0a38087
𣀈	U+23008 (U+23008)	f0a38088
𣀉	U+23009 (U+23009)	f0a38089
𣀊	U+2300A (U+2300A)	f0a3808a
𣀋	U+2300B (U+2300B)	f0a3808b
𣀌	U+2300C (U+2300C)	f0a3808c
𣀍	U+2300D (U+2300D)	f0a3808d
𣀎	U+2300E (U+2300E)	f0a3808e
𣀏	U+2300F (U+2300F)	f0a3808f
𣀐	U+23010 (U+23010)	f0a38090
𣀑	U+23011 (U+23011)	f0a38091
𣀒	to enter abruptly, a nod (U+23012)	f0a38092
𣀓	U+23013 (U+23013)	f0a38093
𣀔	U+23014 (U+23014)	f0a38094
𣀕	U+23015 (U+23015)	f0a38095
𣀖	U+23016 (U+23016)	f0a38096
𣀗	U+23017 (U+23017)	f0a38097
𣀘	U+23018 (U+23018)	f0a38098
𣀙	U+23019 (U+23019)	f0a38099
𣀚	U+2301A (U+2301A)	f0a3809a
𣀛	U+2301B (U+2301B)	f0a3809b
𣀜	U+2301C (U+2301C)	f0a3809c
𣀝	U+2301D (U+2301D)	f0a3809d
𣀞	U+2301E (U+2301E)	f0a3809e
