𣟫	U+237EB (U+237EB)	f0a39fab
𣟬	same as 欄 U+6B04, a railing, balustrade; an animal pan (U+237EC)	f0a39fac
𣟭	U+237ED (U+237ED)	f0a39fad
𣟮	U+237EE (U+237EE)	f0a39fae
𣟯	U+237EF (U+237EF)	f0a39faf
𣟰	U+237F0 (U+237F0)	f0a39fb0
𣟱	Zelkova tree (U+237F1)	f0a39fb1
𣟲	U+237F2 (U+237F2)	f0a39fb2
𣟳	U+237F3 (U+237F3)	f0a39fb3
𣟴	U+237F4 (U+237F4)	f0a39fb4
𣟵	U+237F5 (U+237F5)	f0a39fb5
𣟶	U+237F6 (U+237F6)	f0a39fb6
𣟷	U+237F7 (U+237F7)	f0a39fb7
𣟸	U+237F8 (U+237F8)	f0a39fb8
𣟹	U+237F9 (U+237F9)	f0a39fb9
𣟺	U+237FA (U+237FA)	f0a39fba
𣟻	U+237FB (U+237FB)	f0a39fbb
𣟼	U+237FC (U+237FC)	f0a39fbc
𣟽	U+237FD (U+237FD)	f0a39fbd
𣟾	U+237FE (U+237FE)	f0a39fbe
𣟿	U+237FF (U+237FF)	f0a39fbf
𣠀	U+23800 (U+23800)	f0a3a080
𣠁	U+23801 (U+23801)	f0a3a081
𣠂	U+23802 (U+23802)	f0a3a082
𣠃	U+23803 (U+23803)	f0a3a083
𣠄	U+23804 (U+23804)	f0a3a084
𣠅	U+23805 (U+23805)	f0a3a085
𣠆	U+23806 (U+23806)	f0a3a086
𣠇	U+23807 (U+23807)	f0a3a087
𣠈	U+23808 (U+23808)	f0a3a088
𣠉	U+23809 (U+23809)	f0a3a089
𣠊	U+2380A (U+2380A)	f0a3a08a
𣠋	U+2380B (U+2380B)	f0a3a08b
𣠌	U+2380C (U+2380C)	f0a3a08c
𣠍	U+2380D (U+2380D)	f0a3a08d
𣠎	U+2380E (U+2380E)	f0a3a08e
𣠏	U+2380F (U+2380F)	f0a3a08f
𣠐	U+23810 (U+23810)	f0a3a090
𣠑	U+23811 (U+23811)	f0a3a091
𣠒	U+23812 (U+23812)	f0a3a092
𣠓	U+23813 (U+23813)	f0a3a093
𣠔	U+23814 (U+23814)	f0a3a094
𣠕	U+23815 (U+23815)	f0a3a095
𣠖	U+23816 (U+23816)	f0a3a096
𣠗	U+23817 (U+23817)	f0a3a097
𣠘	U+23818 (U+23818)	f0a3a098
𣠙	U+23819 (U+23819)	f0a3a099
𣠚	U+2381A (U+2381A)	f0a3a09a
𣠛	U+2381B (U+2381B)	f0a3a09b
𣠜	U+2381C (U+2381C)	f0a3a09c
𣠝	U+2381D (U+2381D)	f0a3a09d
𣠞	U+2381E (U+2381E)	f0a3a09e
𣠟	U+2381F (U+2381F)	f0a3a09f
𣠠	U+23820 (U+23820)	f0a3a0a0
𣠡	U+23821 (U+23821)	f0a3a0a1
𣠢	U+23822 (U+23822)	f0a3a0a2
𣠣	U+23823 (U+23823)	f0a3a0a3
𣠤	U+23824 (U+23824)	f0a3a0a4
𣠥	U+23825 (U+23825)	f0a3a0a5
𣠦	U+23826 (U+23826)	f0a3a0a6
𣠧	U+23827 (U+23827)	f0a3a0a7
𣠨	U+23828 (U+23828)	f0a3a0a8
𣠩	U+23829 (U+23829)	f0a3a0a9
𣠪	U+2382A (U+2382A)	f0a3a0aa
𣠫	U+2382B (U+2382B)	f0a3a0ab
𣠬	U+2382C (U+2382C)	f0a3a0ac
𣠭	U+2382D (U+2382D)	f0a3a0ad
𣠮	U+2382E (U+2382E)	f0a3a0ae
𣠯	U+2382F (U+2382F)	f0a3a0af
𣠰	U+23830 (U+23830)	f0a3a0b0
𣠱	U+23831 (U+23831)	f0a3a0b1
𣠲	U+23832 (U+23832)	f0a3a0b2
𣠳	U+23833 (U+23833)	f0a3a0b3
𣠴	U+23834 (U+23834)	f0a3a0b4
𣠵	U+23835 (U+23835)	f0a3a0b5
𣠶	U+23836 (U+23836)	f0a3a0b6
𣠷	U+23837 (U+23837)	f0a3a0b7
𣠸	U+23838 (U+23838)	f0a3a0b8
𣠹	U+23839 (U+23839)	f0a3a0b9
𣠺	U+2383A (U+2383A)	f0a3a0ba
𣠻	U+2383B (U+2383B)	f0a3a0bb
𣠼	U+2383C (U+2383C)	f0a3a0bc
𣠽	same as 欛 U+6B1B, a handle (U+2383D)	f0a3a0bd
𣠾	U+2383E (U+2383E)	f0a3a0be
𣠿	U+2383F (U+2383F)	f0a3a0bf
𣡀	U+23840 (U+23840)	f0a3a180
𣡁	U+23841 (U+23841)	f0a3a181
𣡂	U+23842 (U+23842)	f0a3a182
𣡃	U+23843 (U+23843)	f0a3a183
𣡄	U+23844 (U+23844)	f0a3a184
𣡅	U+23845 (U+23845)	f0a3a185
𣡆	U+23846 (U+23846)	f0a3a186
𣡇	U+23847 (U+23847)	f0a3a187
𣡈	U+23848 (U+23848)	f0a3a188
𣡉	U+23849 (U+23849)	f0a3a189
𣡊	U+2384A (U+2384A)	f0a3a18a
𣡋	U+2384B (U+2384B)	f0a3a18b
𣡌	U+2384C (U+2384C)	f0a3a18c
𣡍	U+2384D (U+2384D)	f0a3a18d
𣡎	U+2384E (U+2384E)	f0a3a18e
𣡏	U+2384F (U+2384F)	f0a3a18f
𣡐	U+23850 (U+23850)	f0a3a190
𣡑	U+23851 (U+23851)	f0a3a191
𣡒	U+23852 (U+23852)	f0a3a192
𣡓	U+23853 (U+23853)	f0a3a193
𣡔	U+23854 (U+23854)	f0a3a194
𣡕	U+23855 (U+23855)	f0a3a195
𣡖	U+23856 (U+23856)	f0a3a196
𣡗	U+23857 (U+23857)	f0a3a197
𣡘	U+23858 (U+23858)	f0a3a198
𣡙	U+23859 (U+23859)	f0a3a199
𣡚	U+2385A (U+2385A)	f0a3a19a
𣡛	U+2385B (U+2385B)	f0a3a19b
𣡜	U+2385C (U+2385C)	f0a3a19c
𣡝	U+2385D (U+2385D)	f0a3a19d
