𥟫	U+257EB (U+257EB)	f0a59fab
𥟬	U+257EC (U+257EC)	f0a59fac
𥟭	U+257ED (U+257ED)	f0a59fad
𥟮	U+257EE (U+257EE)	f0a59fae
𥟯	U+257EF (U+257EF)	f0a59faf
𥟰	U+257F0 (U+257F0)	f0a59fb0
𥟱	U+257F1 (U+257F1)	f0a59fb1
𥟲	U+257F2 (U+257F2)	f0a59fb2
𥟳	U+257F3 (U+257F3)	f0a59fb3
𥟴	U+257F4 (U+257F4)	f0a59fb4
𥟵	U+257F5 (U+257F5)	f0a59fb5
𥟶	U+257F6 (U+257F6)	f0a59fb6
𥟷	U+257F7 (U+257F7)	f0a59fb7
𥟸	U+257F8 (U+257F8)	f0a59fb8
𥟹	U+257F9 (U+257F9)	f0a59fb9
𥟺	U+257FA (U+257FA)	f0a59fba
𥟻	U+257FB (U+257FB)	f0a59fbb
𥟼	U+257FC (U+257FC)	f0a59fbc
𥟽	U+257FD (U+257FD)	f0a59fbd
𥟾	U+257FE (U+257FE)	f0a59fbe
𥟿	U+257FF (U+257FF)	f0a59fbf
𥠀	U+25800 (U+25800)	f0a5a080
𥠁	U+25801 (U+25801)	f0a5a081
𥠂	U+25802 (U+25802)	f0a5a082
𥠃	U+25803 (U+25803)	f0a5a083
𥠄	U+25804 (U+25804)	f0a5a084
𥠅	U+25805 (U+25805)	f0a5a085
𥠆	U+25806 (U+25806)	f0a5a086
𥠇	U+25807 (U+25807)	f0a5a087
𥠈	U+25808 (U+25808)	f0a5a088
𥠉	U+25809 (U+25809)	f0a5a089
𥠊	U+2580A (U+2580A)	f0a5a08a
𥠋	U+2580B (U+2580B)	f0a5a08b
𥠌	U+2580C (U+2580C)	f0a5a08c
𥠍	U+2580D (U+2580D)	f0a5a08d
𥠎	U+2580E (U+2580E)	f0a5a08e
𥠏	U+2580F (U+2580F)	f0a5a08f
𥠐	U+25810 (U+25810)	f0a5a090
𥠑	U+25811 (U+25811)	f0a5a091
𥠒	U+25812 (U+25812)	f0a5a092
𥠓	U+25813 (U+25813)	f0a5a093
𥠔	U+25814 (U+25814)	f0a5a094
𥠕	U+25815 (U+25815)	f0a5a095
𥠖	U+25816 (U+25816)	f0a5a096
𥠗	U+25817 (U+25817)	f0a5a097
𥠘	U+25818 (U+25818)	f0a5a098
𥠙	U+25819 (U+25819)	f0a5a099
𥠚	U+2581A (U+2581A)	f0a5a09a
𥠛	U+2581B (U+2581B)	f0a5a09b
𥠜	U+2581C (U+2581C)	f0a5a09c
𥠝	U+2581D (U+2581D)	f0a5a09d
𥠞	U+2581E (U+2581E)	f0a5a09e
𥠟	U+2581F (U+2581F)	f0a5a09f
𥠠	U+25820 (U+25820)	f0a5a0a0
𥠡	U+25821 (U+25821)	f0a5a0a1
𥠢	U+25822 (U+25822)	f0a5a0a2
𥠣	U+25823 (U+25823)	f0a5a0a3
𥠤	U+25824 (U+25824)	f0a5a0a4
𥠥	U+25825 (U+25825)	f0a5a0a5
𥠦	U+25826 (U+25826)	f0a5a0a6
𥠧	U+25827 (U+25827)	f0a5a0a7
𥠨	U+25828 (U+25828)	f0a5a0a8
𥠩	U+25829 (U+25829)	f0a5a0a9
𥠪	U+2582A (U+2582A)	f0a5a0aa
𥠫	U+2582B (U+2582B)	f0a5a0ab
𥠬	U+2582C (U+2582C)	f0a5a0ac
𥠭	U+2582D (U+2582D)	f0a5a0ad
𥠮	U+2582E (U+2582E)	f0a5a0ae
𥠯	U+2582F (U+2582F)	f0a5a0af
𥠰	U+25830 (U+25830)	f0a5a0b0
𥠱	U+25831 (U+25831)	f0a5a0b1
𥠲	U+25832 (U+25832)	f0a5a0b2
𥠳	U+25833 (U+25833)	f0a5a0b3
𥠴	U+25834 (U+25834)	f0a5a0b4
𥠵	U+25835 (U+25835)	f0a5a0b5
𥠶	U+25836 (U+25836)	f0a5a0b6
𥠷	U+25837 (U+25837)	f0a5a0b7
𥠸	U+25838 (U+25838)	f0a5a0b8
𥠹	U+25839 (U+25839)	f0a5a0b9
𥠺	U+2583A (U+2583A)	f0a5a0ba
𥠻	U+2583B (U+2583B)	f0a5a0bb
𥠼	U+2583C (U+2583C)	f0a5a0bc
𥠽	U+2583D (U+2583D)	f0a5a0bd
𥠾	U+2583E (U+2583E)	f0a5a0be
𥠿	U+2583F (U+2583F)	f0a5a0bf
𥡀	U+25840 (U+25840)	f0a5a180
𥡁	U+25841 (U+25841)	f0a5a181
𥡂	U+25842 (U+25842)	f0a5a182
𥡃	U+25843 (U+25843)	f0a5a183
𥡄	U+25844 (U+25844)	f0a5a184
𥡅	U+25845 (U+25845)	f0a5a185
𥡆	U+25846 (U+25846)	f0a5a186
𥡇	U+25847 (U+25847)	f0a5a187
𥡈	U+25848 (U+25848)	f0a5a188
𥡉	U+25849 (U+25849)	f0a5a189
𥡊	U+2584A (U+2584A)	f0a5a18a
𥡋	U+2584B (U+2584B)	f0a5a18b
𥡌	U+2584C (U+2584C)	f0a5a18c
𥡍	U+2584D (U+2584D)	f0a5a18d
𥡎	U+2584E (U+2584E)	f0a5a18e
𥡏	U+2584F (U+2584F)	f0a5a18f
𥡐	U+25850 (U+25850)	f0a5a190
𥡑	U+25851 (U+25851)	f0a5a191
𥡒	U+25852 (U+25852)	f0a5a192
𥡓	U+25853 (U+25853)	f0a5a193
𥡔	U+25854 (U+25854)	f0a5a194
𥡕	U+25855 (U+25855)	f0a5a195
𥡖	U+25856 (U+25856)	f0a5a196
𥡗	U+25857 (U+25857)	f0a5a197
𥡘	U+25858 (U+25858)	f0a5a198
𥡙	U+25859 (U+25859)	f0a5a199
𥡚	U+2585A (U+2585A)	f0a5a19a
𥡛	U+2585B (U+2585B)	f0a5a19b
𥡜	U+2585C (U+2585C)	f0a5a19c
𥡝	U+2585D (U+2585D)	f0a5a19d
𥡞	U+2585E (U+2585E)	f0a5a19e
𥡟	U+2585F (U+2585F)	f0a5a19f
𥡠	U+25860 (U+25860)	f0a5a1a0
𥡡	U+25861 (U+25861)	f0a5a1a1
𥡢	U+25862 (U+25862)	f0a5a1a2
𥡣	U+25863 (U+25863)	f0a5a1a3
𥡤	to shrink (U+25864)	f0a5a1a4
𥡥	U+25865 (U+25865)	f0a5a1a5
𥡦	U+25866 (U+25866)	f0a5a1a6
𥡧	U+25867 (U+25867)	f0a5a1a7
𥡨	U+25868 (U+25868)	f0a5a1a8
𥡩	U+25869 (U+25869)	f0a5a1a9
𥡪	U+2586A (U+2586A)	f0a5a1aa
𥡫	U+2586B (U+2586B)	f0a5a1ab
𥡬	U+2586C (U+2586C)	f0a5a1ac
𥡭	U+2586D (U+2586D)	f0a5a1ad
𥡮	U+2586E (U+2586E)	f0a5a1ae
𥡯	U+2586F (U+2586F)	f0a5a1af
𥡰	U+25870 (U+25870)	f0a5a1b0
𥡱	U+25871 (U+25871)	f0a5a1b1
𥡲	U+25872 (U+25872)	f0a5a1b2
𥡳	U+25873 (U+25873)	f0a5a1b3
𥡴	surname (U+25874)	f0a5a1b4
𥡵	U+25875 (U+25875)	f0a5a1b5
𥡶	U+25876 (U+25876)	f0a5a1b6
𥡷	U+25877 (U+25877)	f0a5a1b7
𥡸	U+25878 (U+25878)	f0a5a1b8
𥡹	U+25879 (U+25879)	f0a5a1b9
𥡺	U+2587A (U+2587A)	f0a5a1ba
𥡻	U+2587B (U+2587B)	f0a5a1bb
𥡼	U+2587C (U+2587C)	f0a5a1bc
𥡽	U+2587D (U+2587D)	f0a5a1bd
𥡾	U+2587E (U+2587E)	f0a5a1be
𥡿	U+2587F (U+2587F)	f0a5a1bf
𥢀	U+25880 (U+25880)	f0a5a280
𥢁	U+25881 (U+25881)	f0a5a281
𥢂	U+25882 (U+25882)	f0a5a282
𥢃	U+25883 (U+25883)	f0a5a283
𥢄	U+25884 (U+25884)	f0a5a284
𥢅	U+25885 (U+25885)	f0a5a285
𥢆	U+25886 (U+25886)	f0a5a286
𥢇	U+25887 (U+25887)	f0a5a287
𥢈	U+25888 (U+25888)	f0a5a288
𥢉	U+25889 (U+25889)	f0a5a289
𥢊	U+2588A (U+2588A)	f0a5a28a
𥢋	U+2588B (U+2588B)	f0a5a28b
𥢌	U+2588C (U+2588C)	f0a5a28c
𥢍	U+2588D (U+2588D)	f0a5a28d
𥢎	U+2588E (U+2588E)	f0a5a28e
𥢏	U+2588F (U+2588F)	f0a5a28f
𥢐	U+25890 (U+25890)	f0a5a290
𥢑	U+25891 (U+25891)	f0a5a291
𥢒	U+25892 (U+25892)	f0a5a292
𥢓	U+25893 (U+25893)	f0a5a293
𥢔	U+25894 (U+25894)	f0a5a294
𥢕	U+25895 (U+25895)	f0a5a295
𥢖	U+25896 (U+25896)	f0a5a296
𥢗	U+25897 (U+25897)	f0a5a297
𥢘	U+25898 (U+25898)	f0a5a298
𥢙	U+25899 (U+25899)	f0a5a299
𥢚	U+2589A (U+2589A)	f0a5a29a
𥢛	U+2589B (U+2589B)	f0a5a29b
𥢜	U+2589C (U+2589C)	f0a5a29c
𥢝	U+2589D (U+2589D)	f0a5a29d
𥢞	U+2589E (U+2589E)	f0a5a29e
𥢟	U+2589F (U+2589F)	f0a5a29f
𥢠	U+258A0 (U+258A0)	f0a5a2a0
𥢡	U+258A1 (U+258A1)	f0a5a2a1
𥢢	U+258A2 (U+258A2)	f0a5a2a2
𥢣	U+258A3 (U+258A3)	f0a5a2a3
𥢤	U+258A4 (U+258A4)	f0a5a2a4
𥢥	U+258A5 (U+258A5)	f0a5a2a5
𥢦	U+258A6 (U+258A6)	f0a5a2a6
𥢧	U+258A7 (U+258A7)	f0a5a2a7
𥢨	U+258A8 (U+258A8)	f0a5a2a8
𥢩	U+258A9 (U+258A9)	f0a5a2a9
𥢪	U+258AA (U+258AA)	f0a5a2aa
𥢫	U+258AB (U+258AB)	f0a5a2ab
𥢬	U+258AC (U+258AC)	f0a5a2ac
𥢭	U+258AD (U+258AD)	f0a5a2ad
𥢮	U+258AE (U+258AE)	f0a5a2ae
𥢯	U+258AF (U+258AF)	f0a5a2af
𥢰	U+258B0 (U+258B0)	f0a5a2b0
𥢱	U+258B1 (U+258B1)	f0a5a2b1
𥢲	U+258B2 (U+258B2)	f0a5a2b2
𥢳	U+258B3 (U+258B3)	f0a5a2b3
𥢴	U+258B4 (U+258B4)	f0a5a2b4
𥢵	U+258B5 (U+258B5)	f0a5a2b5
𥢶	U+258B6 (U+258B6)	f0a5a2b6
𥢷	U+258B7 (U+258B7)	f0a5a2b7
𥢸	U+258B8 (U+258B8)	f0a5a2b8
𥢹	U+258B9 (U+258B9)	f0a5a2b9
𥢺	U+258BA (U+258BA)	f0a5a2ba
𥢻	U+258BB (U+258BB)	f0a5a2bb
𥢼	U+258BC (U+258BC)	f0a5a2bc
𥢽	U+258BD (U+258BD)	f0a5a2bd
𥢾	U+258BE (U+258BE)	f0a5a2be
𥢿	U+258BF (U+258BF)	f0a5a2bf
𥣀	U+258C0 (U+258C0)	f0a5a380
𥣁	U+258C1 (U+258C1)	f0a5a381
𥣂	U+258C2 (U+258C2)	f0a5a382
𥣃	U+258C3 (U+258C3)	f0a5a383
𥣄	U+258C4 (U+258C4)	f0a5a384
𥣅	U+258C5 (U+258C5)	f0a5a385
𥣆	U+258C6 (U+258C6)	f0a5a386
𥣇	U+258C7 (U+258C7)	f0a5a387
𥣈	U+258C8 (U+258C8)	f0a5a388
𥣉	U+258C9 (U+258C9)	f0a5a389
𥣊	U+258CA (U+258CA)	f0a5a38a
𥣋	U+258CB (U+258CB)	f0a5a38b
𥣌	U+258CC (U+258CC)	f0a5a38c
𥣍	U+258CD (U+258CD)	f0a5a38d
𥣎	U+258CE (U+258CE)	f0a5a38e
𥣏	U+258CF (U+258CF)	f0a5a38f
𥣐	U+258D0 (U+258D0)	f0a5a390
𥣑	U+258D1 (U+258D1)	f0a5a391
𥣒	U+258D2 (U+258D2)	f0a5a392
𥣓	U+258D3 (U+258D3)	f0a5a393
𥣔	U+258D4 (U+258D4)	f0a5a394
𥣕	U+258D5 (U+258D5)	f0a5a395
𥣖	U+258D6 (U+258D6)	f0a5a396
𥣗	U+258D7 (U+258D7)	f0a5a397
𥣘	U+258D8 (U+258D8)	f0a5a398
𥣙	U+258D9 (U+258D9)	f0a5a399
𥣚	U+258DA (U+258DA)	f0a5a39a
𥣛	U+258DB (U+258DB)	f0a5a39b
𥣜	U+258DC (U+258DC)	f0a5a39c
𥣝	U+258DD (U+258DD)	f0a5a39d
𥣞	U+258DE (U+258DE)	f0a5a39e
𥣟	U+258DF (U+258DF)	f0a5a39f
𥣠	U+258E0 (U+258E0)	f0a5a3a0
𥣡	U+258E1 (U+258E1)	f0a5a3a1
𥣢	U+258E2 (U+258E2)	f0a5a3a2
𥣣	U+258E3 (U+258E3)	f0a5a3a3
𥣤	U+258E4 (U+258E4)	f0a5a3a4
𥣥	U+258E5 (U+258E5)	f0a5a3a5
𥣦	U+258E6 (U+258E6)	f0a5a3a6
𥣧	U+258E7 (U+258E7)	f0a5a3a7
𥣨	U+258E8 (U+258E8)	f0a5a3a8
𥣩	U+258E9 (U+258E9)	f0a5a3a9
𥣪	U+258EA (U+258EA)	f0a5a3aa
𥣫	U+258EB (U+258EB)	f0a5a3ab
𥣬	U+258EC (U+258EC)	f0a5a3ac
