𨯠	U+28BE0 (U+28BE0)	f0a8afa0
𨯡	U+28BE1 (U+28BE1)	f0a8afa1
𨯢	U+28BE2 (U+28BE2)	f0a8afa2
𨯣	U+28BE3 (U+28BE3)	f0a8afa3
𨯤	U+28BE4 (U+28BE4)	f0a8afa4
𨯥	U+28BE5 (U+28BE5)	f0a8afa5
𨯦	U+28BE6 (U+28BE6)	f0a8afa6
𨯧	U+28BE7 (U+28BE7)	f0a8afa7
𨯨	U+28BE8 (U+28BE8)	f0a8afa8
𨯩	U+28BE9 (U+28BE9)	f0a8afa9
𨯪	U+28BEA (U+28BEA)	f0a8afaa
𨯫	U+28BEB (U+28BEB)	f0a8afab
𨯬	U+28BEC (U+28BEC)	f0a8afac
𨯭	U+28BED (U+28BED)	f0a8afad
𨯮	U+28BEE (U+28BEE)	f0a8afae
𨯯	U+28BEF (U+28BEF)	f0a8afaf
𨯰	U+28BF0 (U+28BF0)	f0a8afb0
𨯱	U+28BF1 (U+28BF1)	f0a8afb1
𨯲	U+28BF2 (U+28BF2)	f0a8afb2
𨯳	U+28BF3 (U+28BF3)	f0a8afb3
𨯴	U+28BF4 (U+28BF4)	f0a8afb4
𨯵	U+28BF5 (U+28BF5)	f0a8afb5
𨯶	U+28BF6 (U+28BF6)	f0a8afb6
𨯷	U+28BF7 (U+28BF7)	f0a8afb7
𨯸	U+28BF8 (U+28BF8)	f0a8afb8
𨯹	U+28BF9 (U+28BF9)	f0a8afb9
𨯺	U+28BFA (U+28BFA)	f0a8afba
𨯻	U+28BFB (U+28BFB)	f0a8afbb
𨯼	U+28BFC (U+28BFC)	f0a8afbc
𨯽	U+28BFD (U+28BFD)	f0a8afbd
𨯾	U+28BFE (U+28BFE)	f0a8afbe
𨯿	U+28BFF (U+28BFF)	f0a8afbf
𨰀	U+28C00 (U+28C00)	f0a8b080
𨰁	U+28C01 (U+28C01)	f0a8b081
𨰂	U+28C02 (U+28C02)	f0a8b082
𨰃	U+28C03 (U+28C03)	f0a8b083
𨰄	U+28C04 (U+28C04)	f0a8b084
𨰅	U+28C05 (U+28C05)	f0a8b085
𨰆	U+28C06 (U+28C06)	f0a8b086
𨰇	U+28C07 (U+28C07)	f0a8b087
𨰈	U+28C08 (U+28C08)	f0a8b088
𨰉	U+28C09 (U+28C09)	f0a8b089
𨰊	U+28C0A (U+28C0A)	f0a8b08a
𨰋	U+28C0B (U+28C0B)	f0a8b08b
𨰌	U+28C0C (U+28C0C)	f0a8b08c
𨰍	U+28C0D (U+28C0D)	f0a8b08d
𨰎	U+28C0E (U+28C0E)	f0a8b08e
𨰏	U+28C0F (U+28C0F)	f0a8b08f
𨰐	U+28C10 (U+28C10)	f0a8b090
𨰑	U+28C11 (U+28C11)	f0a8b091
𨰒	U+28C12 (U+28C12)	f0a8b092
𨰓	U+28C13 (U+28C13)	f0a8b093
𨰔	U+28C14 (U+28C14)	f0a8b094
𨰕	U+28C15 (U+28C15)	f0a8b095
𨰖	U+28C16 (U+28C16)	f0a8b096
𨰗	U+28C17 (U+28C17)	f0a8b097
