𡏫	U+213EB (U+213EB)	f0a18fab
𡏬	U+213EC (U+213EC)	f0a18fac
𡏭	U+213ED (U+213ED)	f0a18fad
𡏮	U+213EE (U+213EE)	f0a18fae
𡏯	U+213EF (U+213EF)	f0a18faf
𡏰	U+213F0 (U+213F0)	f0a18fb0
𡏱	U+213F1 (U+213F1)	f0a18fb1
𡏲	U+213F2 (U+213F2)	f0a18fb2
𡏳	U+213F3 (U+213F3)	f0a18fb3
𡏴	U+213F4 (U+213F4)	f0a18fb4
𡏵	U+213F5 (U+213F5)	f0a18fb5
𡏶	U+213F6 (U+213F6)	f0a18fb6
𡏷	U+213F7 (U+213F7)	f0a18fb7
𡏸	U+213F8 (U+213F8)	f0a18fb8
𡏹	U+213F9 (U+213F9)	f0a18fb9
𡏺	U+213FA (U+213FA)	f0a18fba
𡏻	U+213FB (U+213FB)	f0a18fbb
𡏼	U+213FC (U+213FC)	f0a18fbc
𡏽	U+213FD (U+213FD)	f0a18fbd
𡏾	U+213FE (U+213FE)	f0a18fbe
𡏿	U+213FF (U+213FF)	f0a18fbf
𡐀	U+21400 (U+21400)	f0a19080
𡐁	U+21401 (U+21401)	f0a19081
𡐂	U+21402 (U+21402)	f0a19082
𡐃	U+21403 (U+21403)	f0a19083
𡐄	U+21404 (U+21404)	f0a19084
𡐅	U+21405 (U+21405)	f0a19085
𡐆	U+21406 (U+21406)	f0a19086
𡐇	U+21407 (U+21407)	f0a19087
𡐈	U+21408 (U+21408)	f0a19088
𡐉	U+21409 (U+21409)	f0a19089
𡐊	U+2140A (U+2140A)	f0a1908a
𡐋	U+2140B (U+2140B)	f0a1908b
𡐌	U+2140C (U+2140C)	f0a1908c
𡐍	U+2140D (U+2140D)	f0a1908d
𡐎	U+2140E (U+2140E)	f0a1908e
𡐏	U+2140F (U+2140F)	f0a1908f
𡐐	U+21410 (U+21410)	f0a19090
𡐑	U+21411 (U+21411)	f0a19091
𡐒	U+21412 (U+21412)	f0a19092
𡐓	U+21413 (U+21413)	f0a19093
𡐔	U+21414 (U+21414)	f0a19094
𡐕	U+21415 (U+21415)	f0a19095
𡐖	U+21416 (U+21416)	f0a19096
𡐗	U+21417 (U+21417)	f0a19097
𡐘	U+21418 (U+21418)	f0a19098
𡐙	U+21419 (U+21419)	f0a19099
𡐚	U+2141A (U+2141A)	f0a1909a
𡐛	U+2141B (U+2141B)	f0a1909b
𡐜	U+2141C (U+2141C)	f0a1909c
𡐝	U+2141D (U+2141D)	f0a1909d
