ⅰ	SMALL ROMAN NUMERAL ONE (U+2170)	e285b0
ⅱ	SMALL ROMAN NUMERAL TWO (U+2171)	e285b1
ⅲ	SMALL ROMAN NUMERAL THREE (U+2172)	e285b2
ⅳ	SMALL ROMAN NUMERAL FOUR (U+2173)	e285b3
ⅴ	SMALL ROMAN NUMERAL FIVE (U+2174)	e285b4
ⅵ	SMALL ROMAN NUMERAL SIX (U+2175)	e285b5
ⅶ	SMALL ROMAN NUMERAL SEVEN (U+2176)	e285b6
ⅷ	SMALL ROMAN NUMERAL EIGHT (U+2177)	e285b7
ⅸ	SMALL ROMAN NUMERAL NINE (U+2178)	e285b8
ⅹ	SMALL ROMAN NUMERAL TEN (U+2179)	e285b9
ⅺ	SMALL ROMAN NUMERAL ELEVEN (U+217A)	e285ba
ⅻ	SMALL ROMAN NUMERAL TWELVE (U+217B)	e285bb
ⅼ	SMALL ROMAN NUMERAL FIFTY (U+217C)	e285bc
ⅽ	SMALL ROMAN NUMERAL ONE HUNDRED (U+217D)	e285bd
ⅾ	SMALL ROMAN NUMERAL FIVE HUNDRED (U+217E)	e285be
ⅿ	SMALL ROMAN NUMERAL ONE THOUSAND (U+217F)	e285bf
ↀ	ROMAN NUMERAL ONE THOUSAND C D (U+2180)	e28680
ↁ	ROMAN NUMERAL FIVE THOUSAND (U+2181)	e28681
ↂ	ROMAN NUMERAL TEN THOUSAND (U+2182)	e28682
Ↄ	ROMAN NUMERAL REVERSED ONE HUNDRED (U+2183)	e28683
ↄ	LATIN SMALL LETTER REVERSED C (U+2184)	e28684
ↅ	ROMAN NUMERAL SIX LATE FORM (U+2185)	e28685
ↆ	ROMAN NUMERAL FIFTY EARLY FORM (U+2186)	e28686
ↇ	ROMAN NUMERAL FIFTY THOUSAND (U+2187)	e28687
ↈ	ROMAN NUMERAL ONE HUNDRED THOUSAND (U+2188)	e28688
↉	VULGAR FRACTION ZERO THIRDS (U+2189)	e28689
←	LEFTWARDS ARROW (U+2190)	e28690
↑	UPWARDS ARROW (U+2191)	e28691
→	RIGHTWARDS ARROW (U+2192)	e28692
↓	DOWNWARDS ARROW (U+2193)	e28693
↔	LEFT RIGHT ARROW (U+2194)	e28694
↕	UP DOWN ARROW (U+2195)	e28695
↖	NORTH WEST ARROW (U+2196)	e28696
↗	NORTH EAST ARROW (U+2197)	e28697
↘	SOUTH EAST ARROW (U+2198)	e28698
↙	SOUTH WEST ARROW (U+2199)	e28699
↚	LEFTWARDS ARROW WITH STROKE (U+219A)	e2869a
↛	RIGHTWARDS ARROW WITH STROKE (U+219B)	e2869b
