𨟫	U+287EB (U+287EB)	f0a89fab
𨟬	U+287EC (U+287EC)	f0a89fac
𨟭	U+287ED (U+287ED)	f0a89fad
𨟮	U+287EE (U+287EE)	f0a89fae
𨟯	U+287EF (U+287EF)	f0a89faf
𨟰	U+287F0 (U+287F0)	f0a89fb0
𨟱	U+287F1 (U+287F1)	f0a89fb1
𨟲	U+287F2 (U+287F2)	f0a89fb2
𨟳	U+287F3 (U+287F3)	f0a89fb3
𨟴	U+287F4 (U+287F4)	f0a89fb4
𨟵	U+287F5 (U+287F5)	f0a89fb5
𨟶	U+287F6 (U+287F6)	f0a89fb6
𨟷	U+287F7 (U+287F7)	f0a89fb7
𨟸	U+287F8 (U+287F8)	f0a89fb8
𨟹	U+287F9 (U+287F9)	f0a89fb9
𨟺	U+287FA (U+287FA)	f0a89fba
𨟻	U+287FB (U+287FB)	f0a89fbb
𨟼	U+287FC (U+287FC)	f0a89fbc
𨟽	U+287FD (U+287FD)	f0a89fbd
𨟾	U+287FE (U+287FE)	f0a89fbe
𨟿	U+287FF (U+287FF)	f0a89fbf
𨠀	U+28800 (U+28800)	f0a8a080
𨠁	U+28801 (U+28801)	f0a8a081
𨠂	U+28802 (U+28802)	f0a8a082
𨠃	U+28803 (U+28803)	f0a8a083
𨠄	U+28804 (U+28804)	f0a8a084
𨠅	U+28805 (U+28805)	f0a8a085
𨠆	U+28806 (U+28806)	f0a8a086
𨠇	U+28807 (U+28807)	f0a8a087
𨠈	U+28808 (U+28808)	f0a8a088
𨠉	U+28809 (U+28809)	f0a8a089
𨠊	U+2880A (U+2880A)	f0a8a08a
𨠋	U+2880B (U+2880B)	f0a8a08b
𨠌	U+2880C (U+2880C)	f0a8a08c
𨠍	U+2880D (U+2880D)	f0a8a08d
𨠎	U+2880E (U+2880E)	f0a8a08e
𨠏	U+2880F (U+2880F)	f0a8a08f
𨠐	U+28810 (U+28810)	f0a8a090
𨠑	U+28811 (U+28811)	f0a8a091
𨠒	U+28812 (U+28812)	f0a8a092
𨠓	U+28813 (U+28813)	f0a8a093
𨠔	U+28814 (U+28814)	f0a8a094
𨠕	U+28815 (U+28815)	f0a8a095
𨠖	U+28816 (U+28816)	f0a8a096
𨠗	U+28817 (U+28817)	f0a8a097
𨠘	U+28818 (U+28818)	f0a8a098
𨠙	U+28819 (U+28819)	f0a8a099
𨠚	U+2881A (U+2881A)	f0a8a09a
𨠛	U+2881B (U+2881B)	f0a8a09b
𨠜	U+2881C (U+2881C)	f0a8a09c
𨠝	U+2881D (U+2881D)	f0a8a09d
𨠞	U+2881E (U+2881E)	f0a8a09e
𨠟	U+2881F (U+2881F)	f0a8a09f
𨠠	U+28820 (U+28820)	f0a8a0a0
𨠡	U+28821 (U+28821)	f0a8a0a1
𨠢	U+28822 (U+28822)	f0a8a0a2
𨠣	U+28823 (U+28823)	f0a8a0a3
𨠤	U+28824 (U+28824)	f0a8a0a4
𨠥	U+28825 (U+28825)	f0a8a0a5
𨠦	U+28826 (U+28826)	f0a8a0a6
𨠧	U+28827 (U+28827)	f0a8a0a7
𨠨	U+28828 (U+28828)	f0a8a0a8
𨠩	U+28829 (U+28829)	f0a8a0a9
𨠪	U+2882A (U+2882A)	f0a8a0aa
𨠫	U+2882B (U+2882B)	f0a8a0ab
𨠬	U+2882C (U+2882C)	f0a8a0ac
𨠭	U+2882D (U+2882D)	f0a8a0ad
𨠮	U+2882E (U+2882E)	f0a8a0ae
𨠯	U+2882F (U+2882F)	f0a8a0af
𨠰	U+28830 (U+28830)	f0a8a0b0
𨠱	U+28831 (U+28831)	f0a8a0b1
𨠲	U+28832 (U+28832)	f0a8a0b2
𨠳	U+28833 (U+28833)	f0a8a0b3
𨠴	U+28834 (U+28834)	f0a8a0b4
𨠵	U+28835 (U+28835)	f0a8a0b5
𨠶	U+28836 (U+28836)	f0a8a0b6
𨠷	U+28837 (U+28837)	f0a8a0b7
𨠸	U+28838 (U+28838)	f0a8a0b8
𨠹	U+28839 (U+28839)	f0a8a0b9
𨠺	U+2883A (U+2883A)	f0a8a0ba
𨠻	U+2883B (U+2883B)	f0a8a0bb
𨠼	U+2883C (U+2883C)	f0a8a0bc
𨠽	U+2883D (U+2883D)	f0a8a0bd
𨠾	U+2883E (U+2883E)	f0a8a0be
𨠿	U+2883F (U+2883F)	f0a8a0bf
𨡀	U+28840 (U+28840)	f0a8a180
𨡁	U+28841 (U+28841)	f0a8a181
𨡂	U+28842 (U+28842)	f0a8a182
𨡃	U+28843 (U+28843)	f0a8a183
𨡄	U+28844 (U+28844)	f0a8a184
𨡅	U+28845 (U+28845)	f0a8a185
𨡆	U+28846 (U+28846)	f0a8a186
𨡇	U+28847 (U+28847)	f0a8a187
𨡈	U+28848 (U+28848)	f0a8a188
𨡉	U+28849 (U+28849)	f0a8a189
𨡊	U+2884A (U+2884A)	f0a8a18a
𨡋	U+2884B (U+2884B)	f0a8a18b
𨡌	U+2884C (U+2884C)	f0a8a18c
𨡍	U+2884D (U+2884D)	f0a8a18d
𨡎	U+2884E (U+2884E)	f0a8a18e
𨡏	U+2884F (U+2884F)	f0a8a18f
𨡐	U+28850 (U+28850)	f0a8a190
𨡑	U+28851 (U+28851)	f0a8a191
𨡒	U+28852 (U+28852)	f0a8a192
𨡓	U+28853 (U+28853)	f0a8a193
𨡔	U+28854 (U+28854)	f0a8a194
𨡕	U+28855 (U+28855)	f0a8a195
𨡖	U+28856 (U+28856)	f0a8a196
𨡗	U+28857 (U+28857)	f0a8a197
𨡘	U+28858 (U+28858)	f0a8a198
𨡙	U+28859 (U+28859)	f0a8a199
𨡚	U+2885A (U+2885A)	f0a8a19a
𨡛	U+2885B (U+2885B)	f0a8a19b
𨡜	U+2885C (U+2885C)	f0a8a19c
𨡝	U+2885D (U+2885D)	f0a8a19d
𨡞	U+2885E (U+2885E)	f0a8a19e
𨡟	U+2885F (U+2885F)	f0a8a19f
𨡠	U+28860 (U+28860)	f0a8a1a0
𨡡	U+28861 (U+28861)	f0a8a1a1
𨡢	U+28862 (U+28862)	f0a8a1a2
𨡣	U+28863 (U+28863)	f0a8a1a3
𨡤	U+28864 (U+28864)	f0a8a1a4
𨡥	U+28865 (U+28865)	f0a8a1a5
𨡦	U+28866 (U+28866)	f0a8a1a6
𨡧	U+28867 (U+28867)	f0a8a1a7
𨡨	U+28868 (U+28868)	f0a8a1a8
𨡩	U+28869 (U+28869)	f0a8a1a9
𨡪	U+2886A (U+2886A)	f0a8a1aa
𨡫	U+2886B (U+2886B)	f0a8a1ab
𨡬	U+2886C (U+2886C)	f0a8a1ac
𨡭	U+2886D (U+2886D)	f0a8a1ad
𨡮	U+2886E (U+2886E)	f0a8a1ae
𨡯	U+2886F (U+2886F)	f0a8a1af
𨡰	U+28870 (U+28870)	f0a8a1b0
𨡱	U+28871 (U+28871)	f0a8a1b1
𨡲	U+28872 (U+28872)	f0a8a1b2
𨡳	U+28873 (U+28873)	f0a8a1b3
𨡴	U+28874 (U+28874)	f0a8a1b4
𨡵	U+28875 (U+28875)	f0a8a1b5
𨡶	U+28876 (U+28876)	f0a8a1b6
𨡷	U+28877 (U+28877)	f0a8a1b7
𨡸	U+28878 (U+28878)	f0a8a1b8
𨡹	U+28879 (U+28879)	f0a8a1b9
𨡺	U+2887A (U+2887A)	f0a8a1ba
𨡻	U+2887B (U+2887B)	f0a8a1bb
𨡼	U+2887C (U+2887C)	f0a8a1bc
𨡽	U+2887D (U+2887D)	f0a8a1bd
𨡾	U+2887E (U+2887E)	f0a8a1be
𨡿	U+2887F (U+2887F)	f0a8a1bf
𨢀	U+28880 (U+28880)	f0a8a280
𨢁	U+28881 (U+28881)	f0a8a281
𨢂	U+28882 (U+28882)	f0a8a282
𨢃	U+28883 (U+28883)	f0a8a283
𨢄	U+28884 (U+28884)	f0a8a284
𨢅	U+28885 (U+28885)	f0a8a285
𨢆	U+28886 (U+28886)	f0a8a286
𨢇	U+28887 (U+28887)	f0a8a287
𨢈	U+28888 (U+28888)	f0a8a288
𨢉	U+28889 (U+28889)	f0a8a289
𨢊	U+2888A (U+2888A)	f0a8a28a
