𧏫	U+273EB (U+273EB)	f0a78fab
𧏬	U+273EC (U+273EC)	f0a78fac
𧏭	U+273ED (U+273ED)	f0a78fad
𧏮	U+273EE (U+273EE)	f0a78fae
𧏯	U+273EF (U+273EF)	f0a78faf
𧏰	U+273F0 (U+273F0)	f0a78fb0
𧏱	U+273F1 (U+273F1)	f0a78fb1
𧏲	U+273F2 (U+273F2)	f0a78fb2
𧏳	U+273F3 (U+273F3)	f0a78fb3
𧏴	U+273F4 (U+273F4)	f0a78fb4
𧏵	U+273F5 (U+273F5)	f0a78fb5
𧏶	U+273F6 (U+273F6)	f0a78fb6
𧏷	U+273F7 (U+273F7)	f0a78fb7
𧏸	U+273F8 (U+273F8)	f0a78fb8
𧏹	U+273F9 (U+273F9)	f0a78fb9
𧏺	U+273FA (U+273FA)	f0a78fba
𧏻	U+273FB (U+273FB)	f0a78fbb
𧏼	U+273FC (U+273FC)	f0a78fbc
𧏽	U+273FD (U+273FD)	f0a78fbd
𧏾	U+273FE (U+273FE)	f0a78fbe
𧏿	U+273FF (U+273FF)	f0a78fbf
𧐀	U+27400 (U+27400)	f0a79080
𧐁	U+27401 (U+27401)	f0a79081
𧐂	U+27402 (U+27402)	f0a79082
𧐃	U+27403 (U+27403)	f0a79083
𧐄	U+27404 (U+27404)	f0a79084
𧐅	maggots, centipedes (U+27405)	f0a79085
𧐆	U+27406 (U+27406)	f0a79086
𧐇	U+27407 (U+27407)	f0a79087
𧐈	U+27408 (U+27408)	f0a79088
𧐉	U+27409 (U+27409)	f0a79089
𧐊	U+2740A (U+2740A)	f0a7908a
𧐋	U+2740B (U+2740B)	f0a7908b
𧐌	U+2740C (U+2740C)	f0a7908c
𧐍	U+2740D (U+2740D)	f0a7908d
𧐎	U+2740E (U+2740E)	f0a7908e
𧐏	U+2740F (U+2740F)	f0a7908f
𧐐	U+27410 (U+27410)	f0a79090
𧐑	U+27411 (U+27411)	f0a79091
𧐒	U+27412 (U+27412)	f0a79092
𧐓	U+27413 (U+27413)	f0a79093
𧐔	U+27414 (U+27414)	f0a79094
𧐕	U+27415 (U+27415)	f0a79095
𧐖	U+27416 (U+27416)	f0a79096
𧐗	U+27417 (U+27417)	f0a79097
𧐘	U+27418 (U+27418)	f0a79098
𧐙	U+27419 (U+27419)	f0a79099
𧐚	U+2741A (U+2741A)	f0a7909a
𧐛	U+2741B (U+2741B)	f0a7909b
𧐜	U+2741C (U+2741C)	f0a7909c
𧐝	U+2741D (U+2741D)	f0a7909d
𧐞	U+2741E (U+2741E)	f0a7909e
𧐟	U+2741F (U+2741F)	f0a7909f
𧐠	U+27420 (U+27420)	f0a790a0
𧐡	U+27421 (U+27421)	f0a790a1
𧐢	an oyster (U+27422)	f0a790a2
𧐣	U+27423 (U+27423)	f0a790a3
𧐤	U+27424 (U+27424)	f0a790a4
𧐥	U+27425 (U+27425)	f0a790a5
𧐦	U+27426 (U+27426)	f0a790a6
𧐧	U+27427 (U+27427)	f0a790a7
𧐨	U+27428 (U+27428)	f0a790a8
𧐩	U+27429 (U+27429)	f0a790a9
𧐪	U+2742A (U+2742A)	f0a790aa
𧐫	U+2742B (U+2742B)	f0a790ab
𧐬	U+2742C (U+2742C)	f0a790ac
𧐭	U+2742D (U+2742D)	f0a790ad
𧐮	U+2742E (U+2742E)	f0a790ae
𧐯	U+2742F (U+2742F)	f0a790af
𧐰	U+27430 (U+27430)	f0a790b0
𧐱	U+27431 (U+27431)	f0a790b1
𧐲	U+27432 (U+27432)	f0a790b2
𧐳	U+27433 (U+27433)	f0a790b3
𧐴	U+27434 (U+27434)	f0a790b4
𧐵	U+27435 (U+27435)	f0a790b5
𧐶	U+27436 (U+27436)	f0a790b6
𧐷	U+27437 (U+27437)	f0a790b7
𧐸	U+27438 (U+27438)	f0a790b8
𧐹	U+27439 (U+27439)	f0a790b9
𧐺	U+2743A (U+2743A)	f0a790ba
𧐻	U+2743B (U+2743B)	f0a790bb
𧐼	U+2743C (U+2743C)	f0a790bc
𧐽	U+2743D (U+2743D)	f0a790bd
𧐾	U+2743E (U+2743E)	f0a790be
𧐿	U+2743F (U+2743F)	f0a790bf
𧑀	U+27440 (U+27440)	f0a79180
𧑁	U+27441 (U+27441)	f0a79181
𧑂	U+27442 (U+27442)	f0a79182
𧑃	U+27443 (U+27443)	f0a79183
𧑄	U+27444 (U+27444)	f0a79184
𧑅	U+27445 (U+27445)	f0a79185
𧑆	U+27446 (U+27446)	f0a79186
𧑇	U+27447 (U+27447)	f0a79187
𧑈	U+27448 (U+27448)	f0a79188
𧑉	U+27449 (U+27449)	f0a79189
𧑊	U+2744A (U+2744A)	f0a7918a
𧑋	U+2744B (U+2744B)	f0a7918b
𧑌	U+2744C (U+2744C)	f0a7918c
𧑍	U+2744D (U+2744D)	f0a7918d
𧑎	U+2744E (U+2744E)	f0a7918e
𧑏	U+2744F (U+2744F)	f0a7918f
𧑐	U+27450 (U+27450)	f0a79190
𧑑	U+27451 (U+27451)	f0a79191
𧑒	U+27452 (U+27452)	f0a79192
𧑓	U+27453 (U+27453)	f0a79193
𧑔	U+27454 (U+27454)	f0a79194
𧑕	U+27455 (U+27455)	f0a79195
𧑖	U+27456 (U+27456)	f0a79196
𧑗	U+27457 (U+27457)	f0a79197
𧑘	U+27458 (U+27458)	f0a79198
𧑙	U+27459 (U+27459)	f0a79199
𧑚	U+2745A (U+2745A)	f0a7919a
𧑛	U+2745B (U+2745B)	f0a7919b
𧑜	U+2745C (U+2745C)	f0a7919c
𧑝	U+2745D (U+2745D)	f0a7919d
𧑞	U+2745E (U+2745E)	f0a7919e
𧑟	U+2745F (U+2745F)	f0a7919f
𧑠	U+27460 (U+27460)	f0a791a0
𧑡	U+27461 (U+27461)	f0a791a1
𧑢	U+27462 (U+27462)	f0a791a2
𧑣	U+27463 (U+27463)	f0a791a3
𧑤	U+27464 (U+27464)	f0a791a4
𧑥	U+27465 (U+27465)	f0a791a5
𧑦	U+27466 (U+27466)	f0a791a6
𧑧	U+27467 (U+27467)	f0a791a7
𧑨	U+27468 (U+27468)	f0a791a8
𧑩	U+27469 (U+27469)	f0a791a9
𧑪	U+2746A (U+2746A)	f0a791aa
𧑫	U+2746B (U+2746B)	f0a791ab
𧑬	U+2746C (U+2746C)	f0a791ac
𧑭	U+2746D (U+2746D)	f0a791ad
𧑮	U+2746E (U+2746E)	f0a791ae
𧑯	U+2746F (U+2746F)	f0a791af
𧑰	U+27470 (U+27470)	f0a791b0
𧑱	U+27471 (U+27471)	f0a791b1
𧑲	U+27472 (U+27472)	f0a791b2
𧑳	U+27473 (U+27473)	f0a791b3
𧑴	U+27474 (U+27474)	f0a791b4
𧑵	U+27475 (U+27475)	f0a791b5
𧑶	U+27476 (U+27476)	f0a791b6
𧑷	U+27477 (U+27477)	f0a791b7
𧑸	U+27478 (U+27478)	f0a791b8
𧑹	U+27479 (U+27479)	f0a791b9
𧑺	U+2747A (U+2747A)	f0a791ba
𧑻	U+2747B (U+2747B)	f0a791bb
𧑼	U+2747C (U+2747C)	f0a791bc
𧑽	U+2747D (U+2747D)	f0a791bd
𧑾	U+2747E (U+2747E)	f0a791be
𧑿	U+2747F (U+2747F)	f0a791bf
𧒀	U+27480 (U+27480)	f0a79280
𧒁	U+27481 (U+27481)	f0a79281
𧒂	U+27482 (U+27482)	f0a79282
𧒃	U+27483 (U+27483)	f0a79283
𧒄	U+27484 (U+27484)	f0a79284
𧒅	U+27485 (U+27485)	f0a79285
𧒆	U+27486 (U+27486)	f0a79286
𧒇	U+27487 (U+27487)	f0a79287
𧒈	U+27488 (U+27488)	f0a79288
𧒉	U+27489 (U+27489)	f0a79289
