荗	U+8357 (U+8357)	e88d97
荘	village, hamlet; villa; surname (U+8358)	e88d98
荙	plantago major (U+8359)	e88d99
荚	pods of leguminous plants; pods (U+835A)	e88d9a
荛	fuel, firewood; stubble; Wikstroemia japonica (U+835B)	e88d9b
荜	species of bean; piper longtum (U+835C)	e88d9c
荝	U+835D (U+835D)	e88d9d
荞	buckwheat (U+835E)	e88d9e
荟	luxuriant, flourishing, abundant (U+835F)	e88d9f
荠	water-chestnuts; caltrop (U+8360)	e88da0
荡	pond, pool; wash away, cleanse (U+8361)	e88da1
荢	U+8362 (U+8362)	e88da2
荣	glory, honor; flourish, prosper (U+8363)	e88da3
荤	meat diet; strong smelling (U+8364)	e88da4
荥	a county in Henan; the rising and dashing of waves (U+8365)	e88da5
荦	brindled ox; brindled in color (U+8366)	e88da6
荧	shine, shimmer; shining, dazzling (U+8367)	e88da7
荨	nettle (U+8368)	e88da8
荩	a kind of weed; faithfulness (U+8369)	e88da9
荪	aromatic grass; iris, flower (U+836A)	e88daa
荫	shade, shelter; protect (U+836B)	e88dab
荬	a plant name (U+836C)	e88dac
荭	herb (U+836D)	e88dad
荮	grass (U+836E)	e88dae
药	leaf of Dahurian angelica plant; medicine (U+836F)	e88daf
荰	U+8370 (U+8370)	e88db0
荱	U+8371 (U+8371)	e88db1
荲	U+8372 (U+8372)	e88db2
荳	beans, peas; bean-shaped (U+8373)	e88db3
荴	U+8374 (U+8374)	e88db4
荵	polemonium (U+8375)	e88db5
荶	U+8376 (U+8376)	e88db6
荷	lotus, water lily, holland (U+8377)	e88db7
荸	water chestnut (U+8378)	e88db8
荹	U+8379 (U+8379)	e88db9
荺	U+837A (U+837A)	e88dba
荻	reed, Miscanthus saccariflorus (U+837B)	e88dbb
荼	bitter vegetable (U+837C)	e88dbc
荽	coriander (U+837D)	e88dbd
荾	U+837E (U+837E)	e88dbe
荿	U+837F (U+837F)	e88dbf
莀	to farm; a farmer; agriculture (U+8380)	e88e80
莁	U+8381 (U+8381)	e88e81
莂	U+8382 (U+8382)	e88e82
莃	U+8383 (U+8383)	e88e83
莄	U+8384 (U+8384)	e88e84
莅	attend, be present; arrive at (U+8385)	e88e85
莆	a kind of legendary tree (U+8386)	e88e86
莇	U+8387 (U+8387)	e88e87
莈	U+8388 (U+8388)	e88e88
莉	white jasmine (U+8389)	e88e89
莊	village, hamlet; villa; surname (U+838A)	e88e8a
莋	U+838B (U+838B)	e88e8b
莌	U+838C (U+838C)	e88e8c
莍	U+838D (U+838D)	e88e8d
莎	kind of sedge grass, used anciently for raincoats (U+838E)	e88e8e
莏	U+838F (U+838F)	e88e8f
莐	U+8390 (U+8390)	e88e90
莑	U+8391 (U+8391)	e88e91
莒	hemp-like plant; taro; herb (U+8392)	e88e92
莓	moss; edible berries (U+8393)	e88e93
莔	U+8394 (U+8394)	e88e94
莕	a water plant, Nymphoides peltalum (U+8395)	e88e95
莖	stem, stalk (U+8396)	e88e96
莗	U+8397 (U+8397)	e88e97
莘	long; numerous; a marsh plant whose root is used for medicine (U+8398)	e88e98
莙	species of water plant (U+8399)	e88e99
莚	bamboo mat; feast, banquet (U+839A)	e88e9a
莛	stalks of grasses, etc. (U+839B)	e88e9b
莜	Avena nuda; a bamboo basket (U+839C)	e88e9c
莝	to chop straw fine for animals (U+839D)	e88e9d
莞	smiling; a kind of aquatic herb, clubrush, Scirpus lacustris (U+839E)	e88e9e
莟	a bud (U+839F)	e88e9f
莠	weeds, tares; undesirable, evil (U+83A0)	e88ea0
莡	U+83A1 (U+83A1)	e88ea1
莢	pods of leguminous plants; pods (U+83A2)	e88ea2
莣	U+83A3 (U+83A3)	e88ea3
莤	U+83A4 (U+83A4)	e88ea4
莥	U+83A5 (U+83A5)	e88ea5
莦	U+83A6 (U+83A6)	e88ea6
莧	edible greens; amaranth (U+83A7)	e88ea7
莨	herb, Scopolia japonica (U+83A8)	e88ea8
莩	membrane lining inside of reed (U+83A9)	e88ea9
莪	artemisia (U+83AA)	e88eaa
莫	do not, is not, can not; negative (U+83AB)	e88eab
莬	U+83AC (U+83AC)	e88eac
莭	U+83AD (U+83AD)	e88ead
莮	U+83AE (U+83AE)	e88eae
莯	U+83AF (U+83AF)	e88eaf
莰	U+83B0 (U+83B0)	e88eb0
莱	goosefoot, weed; fallow field (U+83B1)	e88eb1
莲	lotus, water lily; paradise (U+83B2)	e88eb2
莳	transplant; plant; dill, Anethum graveolens (U+83B3)	e88eb3
莴	lettuce (U+83B4)	e88eb4
莵	dodder; creeper (U+83B5)	e88eb5
莶	vine (U+83B6)	e88eb6
获	obtain, get, receive; seize (U+83B7)	e88eb7
莸	caryopteris divaricata (U+83B8)	e88eb8
莹	luster of gems; bright, lustrous (U+83B9)	e88eb9
莺	oriole, green finch; Sylvia species (various) (U+83BA)	e88eba
莻	late (U+83BB)	e88ebb
莼	an edible water plant-brasenia (U+83BC)	e88ebc
莽	thicket, underbrush; poisonous (U+83BD)	e88ebd
莾	U+83BE (U+83BE)	e88ebe
莿	thorn (U+83BF)	e88ebf
菀	luxuriance of growth (U+83C0)	e88f80
菁	flower of leek family; turnip (U+83C1)	e88f81
菂	U+83C2 (U+83C2)	e88f82
菃	U+83C3 (U+83C3)	e88f83
菄	U+83C4 (U+83C4)	e88f84
菅	coarse grass, themedia forskali (U+83C5)	e88f85
菆	jungle (U+83C6)	e88f86
菇	mushrooms (U+83C7)	e88f87
菈	U+83C8 (U+83C8)	e88f88
菉	the green bamboo; greenish bamboo (U+83C9)	e88f89
菊	chrysanthemum (U+83CA)	e88f8a
菋	U+83CB (U+83CB)	e88f8b
菌	mushroom; germ, microbe (U+83CC)	e88f8c
菍	U+83CD (U+83CD)	e88f8d
菎	beautiful jade; bamboo (U+83CE)	e88f8e
菏	river in Shandong province (U+83CF)	e88f8f
菐	a thicket (U+83D0)	e88f90
菑	to weed grass; land which has been under cultivation for one year (U+83D1)	e88f91
菒	U+83D2 (U+83D2)	e88f92
菓	fruits, nuts, berries (U+83D3)	e88f93
菔	turnip (U+83D4)	e88f94
菕	U+83D5 (U+83D5)	e88f95
菖	iris, sweet flag, calamus (U+83D6)	e88f96
菗	U+83D7 (U+83D7)	e88f97
菘	celery, cabbage (U+83D8)	e88f98
菙	U+83D9 (U+83D9)	e88f99
菚	U+83DA (U+83DA)	e88f9a
菛	U+83DB (U+83DB)	e88f9b
菜	vegetables; dish, order; food (U+83DC)	e88f9c
菝	U+83DD (U+83DD)	e88f9d
菞	U+83DE (U+83DE)	e88f9e
菟	dodder; creeper (U+83DF)	e88f9f
菠	spinach and similar greens (U+83E0)	e88fa0
菡	buds, lotus buds (U+83E1)	e88fa1
菢	to incubate; to brood; to hatch (U+83E2)	e88fa2
菣	U+83E3 (U+83E3)	e88fa3
菤	U+83E4 (U+83E4)	e88fa4
菥	U+83E5 (U+83E5)	e88fa5
菦	U+83E6 (U+83E6)	e88fa6
菧	U+83E7 (U+83E7)	e88fa7
菨	U+83E8 (U+83E8)	e88fa8
菩	herb, aromatic plant (U+83E9)	e88fa9
菪	U+83EA (U+83EA)	e88faa
菫	celery, aconite (U+83EB)	e88fab
菬	U+83EC (U+83EC)	e88fac
菭	U+83ED (U+83ED)	e88fad
菮	U+83EE (U+83EE)	e88fae
華	flowery; illustrious; Chinese (U+83EF)	e88faf
菰	wild rice; Zizania latifolia (U+83F0)	e88fb0
菱	water-chestnut, water caltrop (U+83F1)	e88fb1
菲	fragrant, luxuriant; the Philippines (U+83F2)	e88fb2
菳	U+83F3 (U+83F3)	e88fb3
菴	small Buddhist monastery (U+83F4)	e88fb4
菵	U+83F5 (U+83F5)	e88fb5
菶	species of water plant; flower (U+83F6)	e88fb6
菷	U+83F7 (U+83F7)	e88fb7
菸	to fade; withered or dried leaves; tobacco (used for U+70DF 烟 and U+7159 煙) (U+83F8)	e88fb8
菹	salted or pickled vegetables (U+83F9)	e88fb9
菺	U+83FA (U+83FA)	e88fba
