𦯠	U+26BE0 (U+26BE0)	f0a6afa0
𦯡	U+26BE1 (U+26BE1)	f0a6afa1
𦯢	U+26BE2 (U+26BE2)	f0a6afa2
𦯣	U+26BE3 (U+26BE3)	f0a6afa3
𦯤	U+26BE4 (U+26BE4)	f0a6afa4
𦯥	U+26BE5 (U+26BE5)	f0a6afa5
𦯦	U+26BE6 (U+26BE6)	f0a6afa6
𦯧	U+26BE7 (U+26BE7)	f0a6afa7
𦯨	U+26BE8 (U+26BE8)	f0a6afa8
𦯩	U+26BE9 (U+26BE9)	f0a6afa9
𦯪	U+26BEA (U+26BEA)	f0a6afaa
𦯫	U+26BEB (U+26BEB)	f0a6afab
𦯬	U+26BEC (U+26BEC)	f0a6afac
𦯭	U+26BED (U+26BED)	f0a6afad
𦯮	U+26BEE (U+26BEE)	f0a6afae
𦯯	U+26BEF (U+26BEF)	f0a6afaf
𦯰	U+26BF0 (U+26BF0)	f0a6afb0
𦯱	U+26BF1 (U+26BF1)	f0a6afb1
𦯲	U+26BF2 (U+26BF2)	f0a6afb2
𦯳	U+26BF3 (U+26BF3)	f0a6afb3
𦯴	U+26BF4 (U+26BF4)	f0a6afb4
𦯵	U+26BF5 (U+26BF5)	f0a6afb5
𦯶	U+26BF6 (U+26BF6)	f0a6afb6
𦯷	U+26BF7 (U+26BF7)	f0a6afb7
𦯸	U+26BF8 (U+26BF8)	f0a6afb8
𦯹	U+26BF9 (U+26BF9)	f0a6afb9
𦯺	U+26BFA (U+26BFA)	f0a6afba
𦯻	U+26BFB (U+26BFB)	f0a6afbb
𦯼	U+26BFC (U+26BFC)	f0a6afbc
𦯽	U+26BFD (U+26BFD)	f0a6afbd
𦯾	U+26BFE (U+26BFE)	f0a6afbe
𦯿	U+26BFF (U+26BFF)	f0a6afbf
𦰀	U+26C00 (U+26C00)	f0a6b080
𦰁	U+26C01 (U+26C01)	f0a6b081
𦰂	U+26C02 (U+26C02)	f0a6b082
𦰃	U+26C03 (U+26C03)	f0a6b083
𦰄	U+26C04 (U+26C04)	f0a6b084
𦰅	U+26C05 (U+26C05)	f0a6b085
𦰆	U+26C06 (U+26C06)	f0a6b086
𦰇	U+26C07 (U+26C07)	f0a6b087
𦰈	U+26C08 (U+26C08)	f0a6b088
𦰉	U+26C09 (U+26C09)	f0a6b089
𦰊	U+26C0A (U+26C0A)	f0a6b08a
𦰋	U+26C0B (U+26C0B)	f0a6b08b
𦰌	U+26C0C (U+26C0C)	f0a6b08c
𦰍	U+26C0D (U+26C0D)	f0a6b08d
