ꍪ	YI SYLLABLE CHOX (U+A36A)	ea8daa
ꍫ	YI SYLLABLE CHO (U+A36B)	ea8dab
ꍬ	YI SYLLABLE CHOP (U+A36C)	ea8dac
ꍭ	YI SYLLABLE CHET (U+A36D)	ea8dad
ꍮ	YI SYLLABLE CHEX (U+A36E)	ea8dae
ꍯ	YI SYLLABLE CHE (U+A36F)	ea8daf
ꍰ	YI SYLLABLE CHEP (U+A370)	ea8db0
ꍱ	YI SYLLABLE CHUX (U+A371)	ea8db1
ꍲ	YI SYLLABLE CHU (U+A372)	ea8db2
ꍳ	YI SYLLABLE CHUP (U+A373)	ea8db3
ꍴ	YI SYLLABLE CHURX (U+A374)	ea8db4
ꍵ	YI SYLLABLE CHUR (U+A375)	ea8db5
ꍶ	YI SYLLABLE CHYT (U+A376)	ea8db6
ꍷ	YI SYLLABLE CHYX (U+A377)	ea8db7
ꍸ	YI SYLLABLE CHY (U+A378)	ea8db8
ꍹ	YI SYLLABLE CHYP (U+A379)	ea8db9
ꍺ	YI SYLLABLE CHYRX (U+A37A)	ea8dba
ꍻ	YI SYLLABLE CHYR (U+A37B)	ea8dbb
ꍼ	YI SYLLABLE RRAX (U+A37C)	ea8dbc
ꍽ	YI SYLLABLE RRA (U+A37D)	ea8dbd
ꍾ	YI SYLLABLE RRUOX (U+A37E)	ea8dbe
ꍿ	YI SYLLABLE RRUO (U+A37F)	ea8dbf
ꎀ	YI SYLLABLE RROT (U+A380)	ea8e80
ꎁ	YI SYLLABLE RROX (U+A381)	ea8e81
ꎂ	YI SYLLABLE RRO (U+A382)	ea8e82
ꎃ	YI SYLLABLE RROP (U+A383)	ea8e83
ꎄ	YI SYLLABLE RRET (U+A384)	ea8e84
ꎅ	YI SYLLABLE RREX (U+A385)	ea8e85
ꎆ	YI SYLLABLE RRE (U+A386)	ea8e86
ꎇ	YI SYLLABLE RREP (U+A387)	ea8e87
ꎈ	YI SYLLABLE RRUT (U+A388)	ea8e88
ꎉ	YI SYLLABLE RRUX (U+A389)	ea8e89
ꎊ	YI SYLLABLE RRU (U+A38A)	ea8e8a
ꎋ	YI SYLLABLE RRUP (U+A38B)	ea8e8b
ꎌ	YI SYLLABLE RRURX (U+A38C)	ea8e8c
ꎍ	YI SYLLABLE RRUR (U+A38D)	ea8e8d
ꎎ	YI SYLLABLE RRYT (U+A38E)	ea8e8e
ꎏ	YI SYLLABLE RRYX (U+A38F)	ea8e8f
ꎐ	YI SYLLABLE RRY (U+A390)	ea8e90
ꎑ	YI SYLLABLE RRYP (U+A391)	ea8e91
ꎒ	YI SYLLABLE RRYRX (U+A392)	ea8e92
ꎓ	YI SYLLABLE RRYR (U+A393)	ea8e93
ꎔ	YI SYLLABLE NRAT (U+A394)	ea8e94
ꎕ	YI SYLLABLE NRAX (U+A395)	ea8e95
ꎖ	YI SYLLABLE NRA (U+A396)	ea8e96
ꎗ	YI SYLLABLE NRAP (U+A397)	ea8e97
ꎘ	YI SYLLABLE NROX (U+A398)	ea8e98
ꎙ	YI SYLLABLE NRO (U+A399)	ea8e99
ꎚ	YI SYLLABLE NROP (U+A39A)	ea8e9a
ꎛ	YI SYLLABLE NRET (U+A39B)	ea8e9b
ꎜ	YI SYLLABLE NREX (U+A39C)	ea8e9c
ꎝ	YI SYLLABLE NRE (U+A39D)	ea8e9d
ꎞ	YI SYLLABLE NREP (U+A39E)	ea8e9e
ꎟ	YI SYLLABLE NRUT (U+A39F)	ea8e9f
ꎠ	YI SYLLABLE NRUX (U+A3A0)	ea8ea0
ꎡ	YI SYLLABLE NRU (U+A3A1)	ea8ea1
ꎢ	YI SYLLABLE NRUP (U+A3A2)	ea8ea2
ꎣ	YI SYLLABLE NRURX (U+A3A3)	ea8ea3
ꎤ	YI SYLLABLE NRUR (U+A3A4)	ea8ea4
ꎥ	YI SYLLABLE NRYT (U+A3A5)	ea8ea5
ꎦ	YI SYLLABLE NRYX (U+A3A6)	ea8ea6
ꎧ	YI SYLLABLE NRY (U+A3A7)	ea8ea7
ꎨ	YI SYLLABLE NRYP (U+A3A8)	ea8ea8
ꎩ	YI SYLLABLE NRYRX (U+A3A9)	ea8ea9
ꎪ	YI SYLLABLE NRYR (U+A3AA)	ea8eaa
ꎫ	YI SYLLABLE SHAT (U+A3AB)	ea8eab
ꎬ	YI SYLLABLE SHAX (U+A3AC)	ea8eac
ꎭ	YI SYLLABLE SHA (U+A3AD)	ea8ead
ꎮ	YI SYLLABLE SHAP (U+A3AE)	ea8eae
ꎯ	YI SYLLABLE SHUOX (U+A3AF)	ea8eaf
ꎰ	YI SYLLABLE SHUO (U+A3B0)	ea8eb0
ꎱ	YI SYLLABLE SHUOP (U+A3B1)	ea8eb1
ꎲ	YI SYLLABLE SHOT (U+A3B2)	ea8eb2
ꎳ	YI SYLLABLE SHOX (U+A3B3)	ea8eb3
ꎴ	YI SYLLABLE SHO (U+A3B4)	ea8eb4
ꎵ	YI SYLLABLE SHOP (U+A3B5)	ea8eb5
ꎶ	YI SYLLABLE SHET (U+A3B6)	ea8eb6
ꎷ	YI SYLLABLE SHEX (U+A3B7)	ea8eb7
ꎸ	YI SYLLABLE SHE (U+A3B8)	ea8eb8
ꎹ	YI SYLLABLE SHEP (U+A3B9)	ea8eb9
ꎺ	YI SYLLABLE SHUT (U+A3BA)	ea8eba
ꎻ	YI SYLLABLE SHUX (U+A3BB)	ea8ebb
ꎼ	YI SYLLABLE SHU (U+A3BC)	ea8ebc
ꎽ	YI SYLLABLE SHUP (U+A3BD)	ea8ebd
ꎾ	YI SYLLABLE SHURX (U+A3BE)	ea8ebe
ꎿ	YI SYLLABLE SHUR (U+A3BF)	ea8ebf
ꏀ	YI SYLLABLE SHYT (U+A3C0)	ea8f80
ꏁ	YI SYLLABLE SHYX (U+A3C1)	ea8f81
ꏂ	YI SYLLABLE SHY (U+A3C2)	ea8f82
ꏃ	YI SYLLABLE SHYP (U+A3C3)	ea8f83
ꏄ	YI SYLLABLE SHYRX (U+A3C4)	ea8f84
ꏅ	YI SYLLABLE SHYR (U+A3C5)	ea8f85
ꏆ	YI SYLLABLE RAT (U+A3C6)	ea8f86
ꏇ	YI SYLLABLE RAX (U+A3C7)	ea8f87
ꏈ	YI SYLLABLE RA (U+A3C8)	ea8f88
ꏉ	YI SYLLABLE RAP (U+A3C9)	ea8f89
ꏊ	YI SYLLABLE RUOX (U+A3CA)	ea8f8a
ꏋ	YI SYLLABLE RUO (U+A3CB)	ea8f8b
ꏌ	YI SYLLABLE RUOP (U+A3CC)	ea8f8c
ꏍ	YI SYLLABLE ROT (U+A3CD)	ea8f8d
ꏎ	YI SYLLABLE ROX (U+A3CE)	ea8f8e
ꏏ	YI SYLLABLE RO (U+A3CF)	ea8f8f
ꏐ	YI SYLLABLE ROP (U+A3D0)	ea8f90
ꏑ	YI SYLLABLE REX (U+A3D1)	ea8f91
ꏒ	YI SYLLABLE RE (U+A3D2)	ea8f92
ꏓ	YI SYLLABLE REP (U+A3D3)	ea8f93
ꏔ	YI SYLLABLE RUT (U+A3D4)	ea8f94
ꏕ	YI SYLLABLE RUX (U+A3D5)	ea8f95
ꏖ	YI SYLLABLE RU (U+A3D6)	ea8f96
ꏗ	YI SYLLABLE RUP (U+A3D7)	ea8f97
ꏘ	YI SYLLABLE RURX (U+A3D8)	ea8f98
ꏙ	YI SYLLABLE RUR (U+A3D9)	ea8f99
ꏚ	YI SYLLABLE RYT (U+A3DA)	ea8f9a
ꏛ	YI SYLLABLE RYX (U+A3DB)	ea8f9b
ꏜ	YI SYLLABLE RY (U+A3DC)	ea8f9c
ꏝ	YI SYLLABLE RYP (U+A3DD)	ea8f9d
ꏞ	YI SYLLABLE RYRX (U+A3DE)	ea8f9e
ꏟ	YI SYLLABLE RYR (U+A3DF)	ea8f9f
ꏠ	YI SYLLABLE JIT (U+A3E0)	ea8fa0
ꏡ	YI SYLLABLE JIX (U+A3E1)	ea8fa1
ꏢ	YI SYLLABLE JI (U+A3E2)	ea8fa2
ꏣ	YI SYLLABLE JIP (U+A3E3)	ea8fa3
ꏤ	YI SYLLABLE JIET (U+A3E4)	ea8fa4
ꏥ	YI SYLLABLE JIEX (U+A3E5)	ea8fa5
ꏦ	YI SYLLABLE JIE (U+A3E6)	ea8fa6
ꏧ	YI SYLLABLE JIEP (U+A3E7)	ea8fa7
ꏨ	YI SYLLABLE JUOT (U+A3E8)	ea8fa8
ꏩ	YI SYLLABLE JUOX (U+A3E9)	ea8fa9
ꏪ	YI SYLLABLE JUO (U+A3EA)	ea8faa
ꏫ	YI SYLLABLE JUOP (U+A3EB)	ea8fab
ꏬ	YI SYLLABLE JOT (U+A3EC)	ea8fac
