囕	U+56D5 (U+56D5)	e59b95
夔	one-legged monster; walrus (U+5914)	e5a494
夕	evening, night, dusk; slanted (U+5915)	e5a495
外	out, outside, external; foreign (U+5916)	e5a496
夗	to turn over when asleep (U+5917)	e5a497
夘	4th of Earth Branches; period from 5-7 a.m. (U+5918)	e5a498
夙	early in morning, dawn; previous (U+5919)	e5a499
多	much, many; more than, over (U+591A)	e5a49a
夛	much, many; more than, over (U+591B)	e5a49b
夜	night, dark; in night; by night (U+591C)	e5a49c
夝	U+591D (U+591D)	e5a49d
夞	U+591E (U+591E)	e5a49e
够	enough, adequate (U+591F)	e5a49f
夠	enough, adequate (U+5920)	e5a4a0
夡	U+5921 (U+5921)	e5a4a1
夢	dream; visionary; wishful (U+5922)	e5a4a2
夣	a dream; to dream visionary; stupid (U+5923)	e5a4a3
夤	distant place; remote; deep (U+5924)	e5a4a4
夥	companion; partner; assistant (U+5925)	e5a4a5
夦	U+5926 (U+5926)	e5a4a6
大	big, great, vast, large, high (U+5927)	e5a4a7
夨	U+5928 (U+5928)	e5a4a8
天	sky, heaven; god, celestial (U+5929)	e5a4a9
太	very, too, much; big; extreme (U+592A)	e5a4aa
夫	man, male adult, husband; those (U+592B)	e5a4ab
夬	parted; fork; certain (U+592C)	e5a4ac
夭	young, fresh-looking; die young (U+592D)	e5a4ad
央	center, conclude, run out; beg (U+592E)	e5a4ae
夯	heavy load, burden; lift up (U+592F)	e5a4af
夰	U+5930 (U+5930)	e5a4b0
失	lose; make mistake, neglect (U+5931)	e5a4b1
夲	advance quickly; to go back and forth; origin, source (U+5932)	e5a4b2
夳	U+5933 (U+5933)	e5a4b3
头	head; top; chief, first; boss (U+5934)	e5a4b4
夵	U+5935 (U+5935)	e5a4b5
夶	U+5936 (U+5936)	e5a4b6
夷	ancient barbarian tribes (U+5937)	e5a4b7
夸	extravagant, luxurious; handsome (U+5938)	e5a4b8
夹	be wedged or inserted between (U+5939)	e5a4b9
夺	take by force, rob, snatch (U+593A)	e5a4ba
夻	fish name (U+593B)	e5a4bb
夼	U+593C (U+593C)	e5a4bc
夽	U+593D (U+593D)	e5a4bd
夾	be wedged or inserted between (U+593E)	e5a4be
夿	U+593F (U+593F)	e5a4bf
奀	(Cant.) skinny, tiny; to jerk, dangle (U+5940)	e5a580
奁	lady's vanity case; trousseau (U+5941)	e5a581
奂	be numerous, brilliant (U+5942)	e5a582
奃	U+5943 (U+5943)	e5a583
奄	ere long; remain, tarry; feeble (U+5944)	e5a584
奅	U+5945 (U+5945)	e5a585
奆	U+5946 (U+5946)	e5a586
奇	strange, unusual, uncanny, occult (U+5947)	e5a587
奈	but, how; bear, stand, endure (U+5948)	e5a588
奉	offer; receive; serve; respect (U+5949)	e5a589
奊	U+594A (U+594A)	e5a58a
奋	strive, exert effort; arouse (U+594B)	e5a58b
奌	dot, speck, spot; point, degree (U+594C)	e5a58c
奍	U+594D (U+594D)	e5a58d
奎	stride of man; one of the twenty-eight lunar mansions (U+594E)	e5a58e
奏	memorialize emperor; report (U+594F)	e5a58f
奐	be numerous, brilliant (U+5950)	e5a590
契	deed, contract, bond; engrave (U+5951)	e5a591
奒	U+5952 (U+5952)	e5a592
奓	extravagant (U+5953)	e5a593
奔	run fast, flee; rush about; run (U+5954)	e5a594
奕	in sequence, orderly; abundant (U+5955)	e5a595
奖	prize, reward; give award to (U+5956)	e5a596
套	case, cover, wrapper, envelope (U+5957)	e5a597
奘	large, powerful, stout, thick (U+5958)	e5a598
奙	U+5959 (U+5959)	e5a599
奚	where? what? how? why?; servant (U+595A)	e5a59a
奛	opening, radiant (U+595B)	e5a59b
奜	big (U+595C)	e5a59c
奝	large (U+595D)	e5a59d
奞	the stride made by a man (U+595E)	e5a59e
奟	U+595F (U+595F)	e5a59f
奠	pay respect; settle (U+5960)	e5a5a0
奡	arrogant (U+5961)	e5a5a1
奢	extravagant, wasteful; exaggerate (U+5962)	e5a5a2
奣	U+5963 (U+5963)	e5a5a3
奤	U+5964 (U+5964)	e5a5a4
奥	mysterious, obscure, profound (U+5965)	e5a5a5
奦	U+5966 (U+5966)	e5a5a6
奧	mysterious, obscure, profound (U+5967)	e5a5a7
奨	prize, reward; give award to (U+5968)	e5a5a8
奩	lady's vanity case; trousseau (U+5969)	e5a5a9
奪	take by force, rob, snatch (U+596A)	e5a5aa
奫	deep and broad (expanse of water); abyss (U+596B)	e5a5ab
奬	prize, reward; give award to (U+596C)	e5a5ac
奭	red; anger; ire; surname (U+596D)	e5a5ad
奮	strive, exert effort; arouse (U+596E)	e5a5ae
奯	U+596F (U+596F)	e5a5af
奰	anger (U+5970)	e5a5b0
奱	U+5971 (U+5971)	e5a5b1
奲	U+5972 (U+5972)	e5a5b2
女	woman, girl; feminine; rad. 38 (U+5973)	e5a5b3
奴	slave, servant (U+5974)	e5a5b4
奵	U+5975 (U+5975)	e5a5b5
奶	milk; woman's breasts; nurse (U+5976)	e5a5b6
奷	U+5977 (U+5977)	e5a5b7
奸	crafty, villainous, false (U+5978)	e5a5b8
她	she, her (U+5979)	e5a5b9
奺	U+597A (U+597A)	e5a5ba
奻	U+597B (U+597B)	e5a5bb
奼	beautiful, colorful; girl (U+597C)	e5a5bc
好	good, excellent, fine; well (U+597D)	e5a5bd
奾	U+597E (U+597E)	e5a5be
奿	U+597F (U+597F)	e5a5bf
妀	U+5980 (U+5980)	e5a680
妁	act as go-between (U+5981)	e5a681
如	if, supposing; as if; like, as (U+5982)	e5a682
妃	wife, spouse; imperial concubine (U+5983)	e5a683
妄	absurd, foolish, reckless; false (U+5984)	e5a684
妅	U+5985 (U+5985)	e5a685
妆	to adorn oneself, dress up, use make-up (U+5986)	e5a686
妇	married women; woman; wife (U+5987)	e5a687
妈	mother, mama (U+5988)	e5a688
妉	U+5989 (U+5989)	e5a689
妊	conceive, be pregnant (U+598A)	e5a68a
妋	U+598B (U+598B)	e5a68b
妌	U+598C (U+598C)	e5a68c
妍	beautiful, handsome; seductive (U+598D)	e5a68d
妎	U+598E (U+598E)	e5a68e
妏	U+598F (U+598F)	e5a68f
妐	U+5990 (U+5990)	e5a690
妑	U+5991 (U+5991)	e5a691
妒	jealous, envious (U+5992)	e5a692
妓	prostitute (U+5993)	e5a693
妔	U+5994 (U+5994)	e5a694
妕	U+5995 (U+5995)	e5a695
妖	strange, weird, supernatural (U+5996)	e5a696
妗	wife of mother's brother (U+5997)	e5a697
妘	U+5998 (U+5998)	e5a698
妙	mysterious, subtle; exquisite (U+5999)	e5a699
妚	U+599A (U+599A)	e5a69a
妛	U+599B (U+599B)	e5a69b
妜	U+599C (U+599C)	e5a69c
妝	to adorn oneself, dress up, use make-up (U+599D)	e5a69d
妞	girl (U+599E)	e5a69e
妟	U+599F (U+599F)	e5a69f
妠	(Cant.) to collect, seize, grab (U+59A0)	e5a6a0
妡	U+59A1 (U+59A1)	e5a6a1
妢	U+59A2 (U+59A2)	e5a6a2
妣	one's deceased mother (U+59A3)	e5a6a3
妤	beautiful, fair, handsome (U+59A4)	e5a6a4
妥	satisfactory, appropriate (U+59A5)	e5a6a5
妦	U+59A6 (U+59A6)	e5a6a6
妧	U+59A7 (U+59A7)	e5a6a7
妨	interfere with, impede, obstruct (U+59A8)	e5a6a8
妩	charming, enchanting (U+59A9)	e5a6a9
妪	old woman, hag (U+59AA)	e5a6aa
妫	family name (U+59AB)	e5a6ab
妬	jealous, envious (U+59AC)	e5a6ac
妭	U+59AD (U+59AD)	e5a6ad
妮	maid, servant girl; cute girl (U+59AE)	e5a6ae
妯	wives of one's brothers; sister-i (U+59AF)	e5a6af
妰	U+59B0 (U+59B0)	e5a6b0
妱	U+59B1 (U+59B1)	e5a6b1
妲	concubine of last ruler of the Shang dynasty (U+59B2)	e5a6b2
妳	you (f.) (U+59B3)	e5a6b3
妴	U+59B4 (U+59B4)	e5a6b4
妵	person's name (U+59B5)	e5a6b5
妶	U+59B6 (U+59B6)	e5a6b6
妷	U+59B7 (U+59B7)	e5a6b7
妸	person (U+59B8)	e5a6b8
妹	younger sister (U+59B9)	e5a6b9
妺	wife of the last ruler of the Xia dynasty (U+59BA)	e5a6ba
妻	wife (U+59BB)	e5a6bb
妼	U+59BC (U+59BC)	e5a6bc
妽	U+59BD (U+59BD)	e5a6bd
妾	concubine (U+59BE)	e5a6be
妿	U+59BF (U+59BF)	e5a6bf
姀	U+59C0 (U+59C0)	e5a780
姁	beauty (U+59C1)	e5a781
姂	U+59C2 (U+59C2)	e5a782
姃	U+59C3 (U+59C3)	e5a783
姄	U+59C4 (U+59C4)	e5a784
姅	woman at time of menstruation (U+59C5)	e5a785
姆	child's governess; matron (U+59C6)	e5a786
姇	U+59C7 (U+59C7)	e5a787
姈	U+59C8 (U+59C8)	e5a788
姉	elder sister (U+59C9)	e5a789
姊	elder sister (U+59CA)	e5a78a
始	begin, start; then, only then (U+59CB)	e5a78b
姌	U+59CC (U+59CC)	e5a78c
姍	slander; ridicule; proceed slowly (U+59CD)	e5a78d
姎	U+59CE (U+59CE)	e5a78e
姏	U+59CF (U+59CF)	e5a78f
姐	elder sister, young lady (U+59D0)	e5a790
姑	father's sister; husband's mother (U+59D1)	e5a791
姒	wife of elder brother (U+59D2)	e5a792
姓	one's family name; clan, people (U+59D3)	e5a793
委	appoint, send, commission (U+59D4)	e5a794
姕	U+59D5 (U+59D5)	e5a795
姖	U+59D6 (U+59D6)	e5a796
姗	slander; ridicule; proceed slowly (U+59D7)	e5a797
姘	illicit sexual relations (U+59D8)	e5a798
姙	conceive, be pregnant (U+59D9)	e5a799
姚	handsome, elegant; surname (U+59DA)	e5a79a
姛	U+59DB (U+59DB)	e5a79b
姜	surname; ginger (U+59DC)	e5a79c
姝	a beautiful girl (U+59DD)	e5a79d
姞	concubine (U+59DE)	e5a79e
姟	U+59DF (U+59DF)	e5a79f
姠	U+59E0 (U+59E0)	e5a7a0
姡	U+59E1 (U+59E1)	e5a7a1
姢	beautiful, graceful (U+59E2)	e5a7a2
姣	beautiful, handsome, pretty (U+59E3)	e5a7a3
姤	mate; copulate; good (U+59E4)	e5a7a4
姥	maternal grandmother; midwife (U+59E5)	e5a7a5
姦	adultery, debauchery; debauch (U+59E6)	e5a7a6
姧	U+59E7 (U+59E7)	e5a7a7
姨	mother/wife's sister; concubine (U+59E8)	e5a7a8
姩	(Cant.) breast (U+59E9)	e5a7a9
姪	niece (U+59EA)	e5a7aa
姫	beauty; imperial concubine (U+59EB)	e5a7ab
姬	beauty; imperial concubine (U+59EC)	e5a7ac
姭	U+59ED (U+59ED)	e5a7ad
姮	lady (U+59EE)	e5a7ae
姯	U+59EF (U+59EF)	e5a7af
姰	U+59F0 (U+59F0)	e5a7b0
姱	beautiful, handsome, elegant (U+59F1)	e5a7b1
姲	U+59F2 (U+59F2)	e5a7b2
姳	U+59F3 (U+59F3)	e5a7b3
姴	U+59F4 (U+59F4)	e5a7b4
姵	U+59F5 (U+59F5)	e5a7b5
姶	U+59F6 (U+59F6)	e5a7b6
姷	U+59F7 (U+59F7)	e5a7b7
姸	beautiful (U+59F8)	e5a7b8
姹	beautiful, colorful; girl (U+59F9)	e5a7b9
姺	name of an ancient state (U+59FA)	e5a7ba
姻	relatives by marriage (U+59FB)	e5a7bb
姼	U+59FC (U+59FC)	e5a7bc
姽	good (U+59FD)	e5a7bd
姾	U+59FE (U+59FE)	e5a7be
姿	one's manner, carriage, bearing (U+59FF)	e5a7bf
娀	name of a concubine of Di Ku, father of the mythical Yao (U+5A00)	e5a880
威	pomp, power; powerful; dominate (U+5A01)	e5a881
娂	U+5A02 (U+5A02)	e5a882
娃	baby; doll; pretty girl (U+5A03)	e5a883
娄	surname; a constellation; to wear (U+5A04)	e5a884
娅	mutual term of address used by sons-in-law; a brother-in-law (U+5A05)	e5a885
娆	graceful, charming, fascinating (U+5A06)	e5a886
娇	seductive and loveable; tender (U+5A07)	e5a887
娈	lovely, beautiful; docile, obedie (U+5A08)	e5a888
娉	beautiful, attractive, charming, graceful (U+5A09)	e5a889
娊	U+5A0A (U+5A0A)	e5a88a
娋	U+5A0B (U+5A0B)	e5a88b
娌	brother's wife (U+5A0C)	e5a88c
娍	U+5A0D (U+5A0D)	e5a88d
娎	U+5A0E (U+5A0E)	e5a88e
娏	U+5A0F (U+5A0F)	e5a88f
娐	U+5A10 (U+5A10)	e5a890
娑	dance, frolic; lounge; saunter (U+5A11)	e5a891
娒	matron (U+5A12)	e5a892
娓	comply; complying, agreeable (U+5A13)	e5a893
娔	U+5A14 (U+5A14)	e5a894
娕	U+5A15 (U+5A15)	e5a895
娖	U+5A16 (U+5A16)	e5a896
娗	U+5A17 (U+5A17)	e5a897
娘	mother; young girl; woman; wife (U+5A18)	e5a898
娙	U+5A19 (U+5A19)	e5a899
娚	U+5A1A (U+5A1A)	e5a89a
娛	pleasure, enjoyment, amusement (U+5A1B)	e5a89b
娜	elegant, graceful, delicate (U+5A1C)	e5a89c
娝	U+5A1D (U+5A1D)	e5a89d
娞	U+5A1E (U+5A1E)	e5a89e
娟	beautiful, graceful (U+5A1F)	e5a89f
娠	pregnant (U+5A20)	e5a8a0
娡	U+5A21 (U+5A21)	e5a8a1
娢	U+5A22 (U+5A22)	e5a8a2
娣	younger sister, sister-in-law (U+5A23)	e5a8a3
娤	U+5A24 (U+5A24)	e5a8a4
娥	be beautiful; good; surname (U+5A25)	e5a8a5
娦	U+5A26 (U+5A26)	e5a8a6
娧	U+5A27 (U+5A27)	e5a8a7
娨	U+5A28 (U+5A28)	e5a8a8
娩	give birth child; complaisant (U+5A29)	e5a8a9
娪	U+5A2A (U+5A2A)	e5a8aa
娫	U+5A2B (U+5A2B)	e5a8ab
娬	lovely; attractive (U+5A2C)	e5a8ac
娭	U+5A2D (U+5A2D)	e5a8ad
娮	U+5A2E (U+5A2E)	e5a8ae
娯	pleasure, enjoyment, amusement (U+5A2F)	e5a8af
娰	U+5A30 (U+5A30)	e5a8b0
娱	pleasure, enjoyment, amusement (U+5A31)	e5a8b1
娲	a goddess, the mythological sister and successor to Fuxi (U+5A32)	e5a8b2
娳	U+5A33 (U+5A33)	e5a8b3
娴	elegant, refined; skillful (U+5A34)	e5a8b4
娵	star (U+5A35)	e5a8b5
娶	marry, take wife (U+5A36)	e5a8b6
娷	U+5A37 (U+5A37)	e5a8b7
娸	ugly (U+5A38)	e5a8b8
娹	U+5A39 (U+5A39)	e5a8b9
娺	U+5A3A (U+5A3A)	e5a8ba
娻	U+5A3B (U+5A3B)	e5a8bb
娼	prostitute, harlot (U+5A3C)	e5a8bc
娽	U+5A3D (U+5A3D)	e5a8bd
娾	U+5A3E (U+5A3E)	e5a8be
娿	U+5A3F (U+5A3F)	e5a8bf
婀	be beautiful, be graceful (U+5A40)	e5a980
婁	surname; a constellation; to wear (U+5A41)	e5a981
婂	U+5A42 (U+5A42)	e5a982
婃	U+5A43 (U+5A43)	e5a983
婄	(Cant.) soft, weak; to soak; unreliable (U+5A44)	e5a984
婅	U+5A45 (U+5A45)	e5a985
婆	old woman; grandmother (U+5A46)	e5a986
婇	U+5A47 (U+5A47)	e5a987
婈	U+5A48 (U+5A48)	e5a988
婉	amiable, congenial; restrained (U+5A49)	e5a989
婊	whore, prostitute (U+5A4A)	e5a98a
婋	U+5A4B (U+5A4B)	e5a98b
婌	U+5A4C (U+5A4C)	e5a98c
婍	U+5A4D (U+5A4D)	e5a98d
婎	U+5A4E (U+5A4E)	e5a98e
婏	U+5A4F (U+5A4F)	e5a98f
婐	maid (U+5A50)	e5a990
婑	U+5A51 (U+5A51)	e5a991
婒	U+5A52 (U+5A52)	e5a992
婓	U+5A53 (U+5A53)	e5a993
婔	U+5A54 (U+5A54)	e5a994
婕	handsome (U+5A55)	e5a995
婖	U+5A56 (U+5A56)	e5a996
婗	a new-born child the whimper of an infant (U+5A57)	e5a997
婘	U+5A58 (U+5A58)	e5a998
婙	U+5A59 (U+5A59)	e5a999
婚	get married; marriage, wedding (U+5A5A)	e5a99a
婛	U+5A5B (U+5A5B)	e5a99b
婜	U+5A5C (U+5A5C)	e5a99c
婝	U+5A5D (U+5A5D)	e5a99d
婞	hate (U+5A5E)	e5a99e
婟	U+5A5F (U+5A5F)	e5a99f
婠	U+5A60 (U+5A60)	e5a9a0
婡	U+5A61 (U+5A61)	e5a9a1
婢	servant girl; your servant (U+5A62)	e5a9a2
婣	marriage connections, a bride (U+5A63)	e5a9a3
婤	lovely (U+5A64)	e5a9a4
婥	beautiful (U+5A65)	e5a9a5
婦	married women; woman; wife (U+5A66)	e5a9a6
婧	modest; supple (U+5A67)	e5a9a7
婨	U+5A68 (U+5A68)	e5a9a8
婩	U+5A69 (U+5A69)	e5a9a9
婪	covet; covetous, avaricious (U+5A6A)	e5a9aa
婫	U+5A6B (U+5A6B)	e5a9ab
婬	obscene, licentious, lewd (U+5A6C)	e5a9ac
婭	mutual term of address used by sons-in-law; a brother-in-law (U+5A6D)	e5a9ad
婮	U+5A6E (U+5A6E)	e5a9ae
婯	U+5A6F (U+5A6F)	e5a9af
婰	U+5A70 (U+5A70)	e5a9b0
婱	U+5A71 (U+5A71)	e5a9b1
婲	U+5A72 (U+5A72)	e5a9b2
婳	tranquil (U+5A73)	e5a9b3
婴	baby, infant; bother (U+5A74)	e5a9b4
婵	beautiful, lovely, pretty, graceful (U+5A75)	e5a9b5
婶	wife of father's younger brother (U+5A76)	e5a9b6
婷	pretty; attractive; graceful (U+5A77)	e5a9b7
婸	U+5A78 (U+5A78)	e5a9b8
婹	U+5A79 (U+5A79)	e5a9b9
婺	name of a star (U+5A7A)	e5a9ba
婻	U+5A7B (U+5A7B)	e5a9bb
婼	person (U+5A7C)	e5a9bc
婽	U+5A7D (U+5A7D)	e5a9bd
婾	handsome (U+5A7E)	e5a9be
婿	son-in-law; husband (U+5A7F)	e5a9bf
媀	U+5A80 (U+5A80)	e5aa80
媁	U+5A81 (U+5A81)	e5aa81
媂	U+5A82 (U+5A82)	e5aa82
媃	U+5A83 (U+5A83)	e5aa83
媄	beautiful (U+5A84)	e5aa84
媅	U+5A85 (U+5A85)	e5aa85
媆	young, tender, soft, delicate (U+5A86)	e5aa86
媇	U+5A87 (U+5A87)	e5aa87
媈	U+5A88 (U+5A88)	e5aa88
媉	U+5A89 (U+5A89)	e5aa89
媊	star (U+5A8A)	e5aa8a
媋	U+5A8B (U+5A8B)	e5aa8b
媌	U+5A8C (U+5A8C)	e5aa8c
媍	woman, wife (U+5A8D)	e5aa8d
媎	U+5A8E (U+5A8E)	e5aa8e
媏	U+5A8F (U+5A8F)	e5aa8f
媐	U+5A90 (U+5A90)	e5aa90
媑	U+5A91 (U+5A91)	e5aa91
媒	go-between, matchmaker; medium (U+5A92)	e5aa92
媓	U+5A93 (U+5A93)	e5aa93
媔	U+5A94 (U+5A94)	e5aa94
媕	undecided (U+5A95)	e5aa95
媖	beauty; beautiful (U+5A96)	e5aa96
媗	U+5A97 (U+5A97)	e5aa97
媘	U+5A98 (U+5A98)	e5aa98
媙	U+5A99 (U+5A99)	e5aa99
媚	charming, attractive; flatter (U+5A9A)	e5aa9a
媛	beauty, beautiful woman (U+5A9B)	e5aa9b
媜	U+5A9C (U+5A9C)	e5aa9c
媝	U+5A9D (U+5A9D)	e5aa9d
媞	at ease (U+5A9E)	e5aa9e
媟	lust after, act indecently; lewd (U+5A9F)	e5aa9f
媠	U+5AA0 (U+5AA0)	e5aaa0
媡	U+5AA1 (U+5AA1)	e5aaa1
媢	be jealous of, be envious (U+5AA2)	e5aaa2
媣	U+5AA3 (U+5AA3)	e5aaa3
媤	husband's family (U+5AA4)	e5aaa4
媥	U+5AA5 (U+5AA5)	e5aaa5
媦	U+5AA6 (U+5AA6)	e5aaa6
媧	mythological snail goddess (U+5AA7)	e5aaa7
媨	U+5AA8 (U+5AA8)	e5aaa8
媩	U+5AA9 (U+5AA9)	e5aaa9
媪	old woman; lower-class woman (U+5AAA)	e5aaaa
媫	U+5AAB (U+5AAB)	e5aaab
媬	governess; nurse (U+5AAC)	e5aaac
媭	U+5AAD (U+5AAD)	e5aaad
媮	handsome, cheerful; steal (U+5AAE)	e5aaae
媯	family name (U+5AAF)	e5aaaf
媰	U+5AB0 (U+5AB0)	e5aab0
媱	U+5AB1 (U+5AB1)	e5aab1
媲	marry off, pair, match; compare (U+5AB2)	e5aab2
媳	daughter-in-law (U+5AB3)	e5aab3
媴	U+5AB4 (U+5AB4)	e5aab4
媵	a maid who accompanies bride to her new home; to escort; a concubine (U+5AB5)	e5aab5
媶	U+5AB6 (U+5AB6)	e5aab6
媷	U+5AB7 (U+5AB7)	e5aab7
媸	an ugly woman (U+5AB8)	e5aab8
媹	U+5AB9 (U+5AB9)	e5aab9
媺	beautiful (U+5ABA)	e5aaba
媻	to move (U+5ABB)	e5aabb
媼	old woman; lower-class woman (U+5ABC)	e5aabc
媽	mother, mama (U+5ABD)	e5aabd
媾	marry; be on friendly terms with (U+5ABE)	e5aabe
媿	ashamed, conscience-stricken (U+5ABF)	e5aabf
嫀	U+5AC0 (U+5AC0)	e5ab80
嫁	to marry, give a daughter in marriage (U+5AC1)	e5ab81
嫂	sister-in-law, elder brother's wife (U+5AC2)	e5ab82
嫃	U+5AC3 (U+5AC3)	e5ab83
嫄	an ancient emperor's mother's name, Qiang Yuan, consort to Gu (U+5AC4)	e5ab84
嫅	U+5AC5 (U+5AC5)	e5ab85
嫆	U+5AC6 (U+5AC6)	e5ab86
嫇	U+5AC7 (U+5AC7)	e5ab87
嫈	lady (U+5AC8)	e5ab88
嫉	jealousy; be jealous of (U+5AC9)	e5ab89
嫊	U+5ACA (U+5ACA)	e5ab8a
嫋	slender and delicate (U+5ACB)	e5ab8b
嫌	hate, detest; suspect; criticize (U+5ACC)	e5ab8c
嫍	U+5ACD (U+5ACD)	e5ab8d
嫎	U+5ACE (U+5ACE)	e5ab8e
嫏	the place where the supreme stores his books; library (U+5ACF)	e5ab8f
嫐	frolic, play with; flirt with (U+5AD0)	e5ab90
嫑	U+5AD1 (U+5AD1)	e5ab91
嫒	(your) daughter (U+5AD2)	e5ab92
嫓	U+5AD3 (U+5AD3)	e5ab93
嫔	court lady; palace maid (U+5AD4)	e5ab94
