囕	U+56D5 (U+56D5)	e59b95
坙	U+5759 (U+5759)	e59d99
坚	hard, strong, firm; resolute (U+575A)	e59d9a
坛	altar; arena, examination hall (U+575B)	e59d9b
坜	a hole, pit (U+575C)	e59d9c
坝	embankment; dam (U+575D)	e59d9d
坞	entrenchment, bank, low wall (U+575E)	e59d9e
坟	grave, mound; bulge; bulging (U+575F)	e59d9f
坠	fall down, drop, sink, go to ruin (U+5760)	e59da0
坡	slope, bank, hillside (U+5761)	e59da1
坢	U+5762 (U+5762)	e59da2
坣	U+5763 (U+5763)	e59da3
坤	earth; feminine, female (U+5764)	e59da4
坥	U+5765 (U+5765)	e59da5
坦	flat, smooth; self-possessed (U+5766)	e59da6
坧	U+5767 (U+5767)	e59da7
坨	a lump, heap (U+5768)	e59da8
坩	earthenware, earthenware vessel (U+5769)	e59da9
坪	level ground; Japanese measure (U+576A)	e59daa
坫	a stand on which to replace goblets after drinking (U+576B)	e59dab
坬	U+576C (U+576C)	e59dac
坭	mud, mire; to paste, to plaster (U+576D)	e59dad
坮	platform; unit; term of address (U+576E)	e59dae
坯	dam, embankment; weir (U+576F)	e59daf
坰	wilds (U+5770)	e59db0
坱	dust (U+5771)	e59db1
坲	U+5772 (U+5772)	e59db2
坳	a hollow in the ground, a cavity, depression; undulating, depressed (U+5773)	e59db3
坴	a clod of earth; land (U+5774)	e59db4
坵	earthenware, earthenware vessel (U+5775)	e59db5
坶	U+5776 (U+5776)	e59db6
坷	clod of earth, lump of soil (U+5777)	e59db7
坸	U+5778 (U+5778)	e59db8
坹	U+5779 (U+5779)	e59db9
坺	(Cant.) classifier for soft masses (U+577A)	e59dba
坻	an islet, a rock in a river; an embankment; to stop (U+577B)	e59dbb
坼	split, tear, open (U+577C)	e59dbc
坽	U+577D (U+577D)	e59dbd
坾	U+577E (U+577E)	e59dbe
坿	mound; used in place names (U+577F)	e59dbf
垀	U+5780 (U+5780)	e59e80
垁	U+5781 (U+5781)	e59e81
垂	let down; suspend, hand; down (U+5782)	e59e82
垃	garbage, refuse, waste (U+5783)	e59e83
垄	grave, mound; ridge in field (U+5784)	e59e84
垅	mound, grave; ridge in field (U+5785)	e59e85
垆	black clods of earth; shop, hut (U+5786)	e59e86
垇	U+5787 (U+5787)	e59e87
垈	used in place names; Japanese -nuta; Korean -dae (U+5788)	e59e88
垉	U+5789 (U+5789)	e59e89
垊	U+578A (U+578A)	e59e8a
型	pattern, model, type; law; mold (U+578B)	e59e8b
垌	a field; used in place names (U+578C)	e59e8c
垍	U+578D (U+578D)	e59e8d
垎	U+578E (U+578E)	e59e8e
垏	U+578F (U+578F)	e59e8f
垐	U+5790 (U+5790)	e59e90
垑	U+5791 (U+5791)	e59e91
垒	rampart, military wall (U+5792)	e59e92
垓	border, boundary, frontier (U+5793)	e59e93
垔	to restrain; to dam a stream and change its direction; a mound (U+5794)	e59e94
垕	used in place names (U+5795)	e59e95
垖	U+5796 (U+5796)	e59e96
垗	sacrifice (U+5797)	e59e97
垘	U+5798 (U+5798)	e59e98
垙	U+5799 (U+5799)	e59e99
垚	mound, roundish mass (U+579A)	e59e9a
垛	heap, pile; pile up, heap up (U+579B)	e59e9b
垜	heap; buttress; battlements (U+579C)	e59e9c
垝	dilapidated, ruined (U+579D)	e59e9d
垞	small mound; place name; hillock (U+579E)	e59e9e
垟	U+579F (U+579F)	e59e9f
垠	boundary, bank of stream or river (U+57A0)	e59ea0
垡	plow soil; place name (U+57A1)	e59ea1
垢	dirt, filth, stains; dirty (U+57A2)	e59ea2
垣	low wall (U+57A3)	e59ea3
垤	ant-hill, small mound; hill (U+57A4)	e59ea4
垥	U+57A5 (U+57A5)	e59ea5
垦	cultivate, reclaim, to farm land (U+57A6)	e59ea6
垧	variable unit of land measure (U+57A7)	e59ea7
垨	U+57A8 (U+57A8)	e59ea8
垩	holy, sacred, sage; simplification of 堊 chalk; daub with chalk (U+57A9)	e59ea9
垪	U+57AA (U+57AA)	e59eaa
垫	advance money, pay for another (U+57AB)	e59eab
垬	U+57AC (U+57AC)	e59eac
垭	character used in place names (U+57AD)	e59ead
垮	be defeated, fail, collapse (U+57AE)	e59eae
垯	U+57AF (U+57AF)	e59eaf
垰	U+57B0 (U+57B0)	e59eb0
垱	U+57B1 (U+57B1)	e59eb1
垲	high and dry place (U+57B2)	e59eb2
垳	U+57B3 (U+57B3)	e59eb3
垴	small, head shaped hill, used in place names (U+57B4)	e59eb4
垵	cover with earth; a pit; a hole (U+57B5)	e59eb5
垶	U+57B6 (U+57B6)	e59eb6
垷	U+57B7 (U+57B7)	e59eb7
垸	a dyke, embankment (U+57B8)	e59eb8
垹	U+57B9 (U+57B9)	e59eb9
垺	U+57BA (U+57BA)	e59eba
垻	an embankment; a slope over which boat pass (U+57BB)	e59ebb
垼	U+57BC (U+57BC)	e59ebc
垽	(Cant.) sediment, precipitate (U+57BD)	e59ebd
垾	U+57BE (U+57BE)	e59ebe
垿	U+57BF (U+57BF)	e59ebf
埀	let down; suspend, hand; down (U+57C0)	e59f80
埁	U+57C1 (U+57C1)	e59f81
埂	ditches for irrigation; hole (U+57C2)	e59f82
埃	fine dust, dirt (U+57C3)	e59f83
埄	whirling of dust in the wind (U+57C4)	e59f84
埅	U+57C5 (U+57C5)	e59f85
埆	stony (U+57C6)	e59f86
埇	name of bridge (U+57C7)	e59f87
埈	high, steep, towering; stern (U+57C8)	e59f88
埉	U+57C9 (U+57C9)	e59f89
埊	U+57CA (U+57CA)	e59f8a
埋	bury, secrete, conceal (U+57CB)	e59f8b
埌	waste (U+57CC)	e59f8c
埍	U+57CD (U+57CD)	e59f8d
城	castle; city, town; municipality (U+57CE)	e59f8e
埏	a boundary, a limit (U+57CF)	e59f8f
埐	U+57D0 (U+57D0)	e59f90
埑	U+57D1 (U+57D1)	e59f91
埒	enclosure, dike, embankment (U+57D2)	e59f92
埓	enclosure, dike, embankment (U+57D3)	e59f93
埔	plain, arena; port, market (U+57D4)	e59f94
埕	a large, pear-shaped earthenware jar (U+57D5)	e59f95
埖	U+57D6 (U+57D6)	e59f96
埗	(same as U+5E70 埠) a wharf, dock, jetty; a trading center, port; place name (e.g., 深水埗 in Hong Kong) (U+57D7)	e59f97
埘	roost (U+57D8)	e59f98
埙	instrument (U+57D9)	e59f99
埚	crucible (U+57DA)	e59f9a
埛	U+57DB (U+57DB)	e59f9b
埜	open country, field; wilderness (U+57DC)	e59f9c
埝	bank, dike; purtuberance from (U+57DD)	e59f9d
埞	(Cant.) place (U+57DE)	e59f9e
域	district, region, boundary; land (U+57DF)	e59f9f
埠	port city (U+57E0)	e59fa0
埡	character used in place names (U+57E1)	e59fa1
埢	U+57E2 (U+57E2)	e59fa2
埣	U+57E3 (U+57E3)	e59fa3
埤	add, increase, attach; low fence (U+57E4)	e59fa4
埥	U+57E5 (U+57E5)	e59fa5
埦	a bowl (U+57E6)	e59fa6
埧	dam (U+57E7)	e59fa7
埨	U+57E8 (U+57E8)	e59fa8
埩	U+57E9 (U+57E9)	e59fa9
埪	U+57EA (U+57EA)	e59faa
埫	U+57EB (U+57EB)	e59fab
埬	U+57EC (U+57EC)	e59fac
埭	a dam, a jock; inclined plane on a canal, where boats can be hauled up or down (U+57ED)	e59fad
埮	U+57EE (U+57EE)	e59fae
埯	cover with earth; a pit; a hole (U+57EF)	e59faf
埰	fief (U+57F0)	e59fb0
埱	U+57F1 (U+57F1)	e59fb1
埲	(Cant.) classifier for walls (U+57F2)	e59fb2
埳	a pit, a hole, a snare, a danger; a crisis; a mortar (U+57F3)	e59fb3
埴	soil with large clay content (U+57F4)	e59fb4
埵	hardened dirt or clay; cluster (U+57F5)	e59fb5
埶	art (U+57F6)	e59fb6
執	hold in hand; keep; carry out (U+57F7)	e59fb7
埸	a border; a limit; a dike; a frontier; a boundary (U+57F8)	e59fb8
培	bank up with dirt; cultivate (U+57F9)	e59fb9
基	foundation, base (U+57FA)	e59fba
埻	U+57FB (U+57FB)	e59fbb
埼	headland (U+57FC)	e59fbc
埽	broom; to sweep, clear away (U+57FD)	e59fbd
埾	U+57FE (U+57FE)	e59fbe
埿	U+57FF (U+57FF)	e59fbf
