鍡	U+9361 (U+9361)	e98da1
鍢	U+9362 (U+9362)	e98da2
鍣	U+9363 (U+9363)	e98da3
鍤	spade, shovel; marking pin (U+9364)	e98da4
鍥	sickle; cut, carve, engrave (U+9365)	e98da5
鍦	U+9366 (U+9366)	e98da6
鍧	U+9367 (U+9367)	e98da7
鍨	U+9368 (U+9368)	e98da8
鍩	nobelium (U+9369)	e98da9
鍪	an iron pan; a metal cap (U+936A)	e98daa
鍫	shovel (U+936B)	e98dab
鍬	shovel (U+936C)	e98dac
鍭	arrow (U+936D)	e98dad
鍮	brass (U+936E)	e98dae
鍯	U+936F (U+936F)	e98daf
鍰	measure; money, coins (U+9370)	e98db0
鍱	thin plates of metal (U+9371)	e98db1
鍲	U+9372 (U+9372)	e98db2
鍳	U+9373 (U+9373)	e98db3
鍴	U+9374 (U+9374)	e98db4
鍵	door bolt, lock bolt; key (U+9375)	e98db5
鍶	strontium; an iron utensil (U+9376)	e98db6
鍷	U+9377 (U+9377)	e98db7
鍸	food, gruel (U+9378)	e98db8
鍹	U+9379 (U+9379)	e98db9
鍺	germanium; metal flashing on the axle of a cart (U+937A)	e98dba
鍻	U+937B (U+937B)	e98dbb
鍼	needle, pin, tack; prick; inject (U+937C)	e98dbc
鍽	U+937D (U+937D)	e98dbd
鍾	cup, glass, goblet; surname (U+937E)	e98dbe
鍿	U+937F (U+937F)	e98dbf
鎀	U+9380 (U+9380)	e98e80
鎁	U+9381 (U+9381)	e98e81
鎂	magnesium (U+9382)	e98e82
鎃	U+9383 (U+9383)	e98e83
鎄	iridium einsteinium (U+9384)	e98e84
鎅	(Cant.) to saw; to cut (U+9385)	e98e85
鎆	U+9386 (U+9386)	e98e86
鎇	americium (U+9387)	e98e87
鎈	U+9388 (U+9388)	e98e88
鎉	thallium (U+9389)	e98e89
鎊	pound sterling; to scrape (U+938A)	e98e8a
鎋	the linch-pin of a wheel to govern or control the noise of a barrow (U+938B)	e98e8b
鎌	sickle (U+938C)	e98e8c
鎍	chain; wire (U+938D)	e98e8d
鎎	U+938E (U+938E)	e98e8e
鎏	pure gold (U+938F)	e98e8f
鎐	family name; wine cup (U+9390)	e98e90
鎑	U+9391 (U+9391)	e98e91
鎒	to hoe; to weed (U+9392)	e98e92
鎓	U+9393 (U+9393)	e98e93
鎔	fuse, melt, smelt; mold (U+9394)	e98e94
鎕	U+9395 (U+9395)	e98e95
鎖	lock, padlock; shackles, chains (U+9396)	e98e96
鎗	rifle, small arms, hand gun (U+9397)	e98e97
鎘	cadmium (U+9398)	e98e98
鎙	large spear; chess board (U+9399)	e98e99
鎚	hammer, mallet; club (U+939A)	e98e9a
鎛	large bell; hoe, spade (U+939B)	e98e9b
鎜	U+939C (U+939C)	e98e9c
鎝	technetium (U+939D)	e98e9d
鎞	plowshare; barb, lancet (U+939E)	e98e9e
鎟	U+939F (U+939F)	e98e9f
鎠	U+93A0 (U+93A0)	e98ea0
鎡	hoe; mattock (U+93A1)	e98ea1
鎢	tungsten (wolfram) (U+93A2)	e98ea2
鎣	polish (U+93A3)	e98ea3
鎤	sound of a bell; small bell (U+93A4)	e98ea4
鎥	U+93A5 (U+93A5)	e98ea5
鎦	distil; lutetium; surname (U+93A6)	e98ea6
鎧	armor, chain mail (U+93A7)	e98ea7
鎨	U+93A8 (U+93A8)	e98ea8
鎩	moult samarium (U+93A9)	e98ea9
鎪	to engrave (metal of wood) (U+93AA)	e98eaa
鎫	ornament over the horse's head (U+93AB)	e98eab
鎬	stove; bright (U+93AC)	e98eac
鎭	town, market place; suppress (U+93AD)	e98ead
鎮	town, market place; suppress (U+93AE)	e98eae
鎯	large hammer (U+93AF)	e98eaf
鎰	measure of weight for gold (U+93B0)	e98eb0
鎱	U+93B1 (U+93B1)	e98eb1
鎲	U+93B2 (U+93B2)	e98eb2
鎳	nickel (U+93B3)	e98eb3
鎴	U+93B4 (U+93B4)	e98eb4
鎵	gallium (U+93B5)	e98eb5
鎶	U+93B6 (U+93B6)	e98eb6
鎷	U+93B7 (U+93B7)	e98eb7
鎸	engraving tool; carve, engrave (U+93B8)	e98eb8
鎹	a clamp (U+93B9)	e98eb9
鎺	U+93BA (U+93BA)	e98eba
鎻	lock, padlock; shackles, chains (U+93BB)	e98ebb
鎼	U+93BC (U+93BC)	e98ebc
鎽	U+93BD (U+93BD)	e98ebd
鎾	U+93BE (U+93BE)	e98ebe
鎿	neptunium (U+93BF)	e98ebf
鏀	U+93C0 (U+93C0)	e98f80
鏁	variant of 鎖 U+9396, a lock, padlock; shackles, chains (U+93C1)	e98f81
鏂	U+93C2 (U+93C2)	e98f82
鏃	arrowhead, barb; swift, quick (U+93C3)	e98f83
鏄	U+93C4 (U+93C4)	e98f84
鏅	U+93C5 (U+93C5)	e98f85
鏆	U+93C6 (U+93C6)	e98f86
鏇	lathe (U+93C7)	e98f87
鏈	chain, wire, cable; chain, shack (U+93C8)	e98f88
鏉	U+93C9 (U+93C9)	e98f89
鏊	a flat, iron cooking-plate for cakes (U+93CA)	e98f8a
鏋	U+93CB (U+93CB)	e98f8b
鏌	sword (U+93CC)	e98f8c
鏍	U+93CD (U+93CD)	e98f8d
鏎	U+93CE (U+93CE)	e98f8e
鏏	U+93CF (U+93CF)	e98f8f
鏐	pure gold (U+93D0)	e98f90
鏑	dysprosium; the barb of an arrow; the head of a javelin (U+93D1)	e98f91
鏒	U+93D2 (U+93D2)	e98f92
鏓	U+93D3 (U+93D3)	e98f93
鏔	U+93D4 (U+93D4)	e98f94
鏕	U+93D5 (U+93D5)	e98f95
鏖	to fight to the end, engage in a fierce battle (U+93D6)	e98f96
鏗	strike, beat, stroke; jingling (U+93D7)	e98f97
鏘	tinkle, clang, jingle (U+93D8)	e98f98
鏙	U+93D9 (U+93D9)	e98f99
鏚	axe (U+93DA)	e98f9a
鏛	to polish; iron rim on a wagon wheel (U+93DB)	e98f9b
鏜	boring tool (U+93DC)	e98f9c
鏝	trowel (U+93DD)	e98f9d
鏞	a large bell used as a musical instrument (U+93DE)	e98f9e
鏟	spade, shovel, trowel, scoop (U+93DF)	e98f9f
鏠	U+93E0 (U+93E0)	e98fa0
鏡	mirror; lens; glass; glasses (U+93E1)	e98fa1
鏢	dart, spear, harpoon; escort (U+93E2)	e98fa2
鏣	U+93E3 (U+93E3)	e98fa3
鏤	carve, inlay, engrave, tattoo (U+93E4)	e98fa4
鏥	rust, corrosion (U+93E5)	e98fa5
鏦	a short spear (U+93E6)	e98fa6
鏧	U+93E7 (U+93E7)	e98fa7
鏨	engraving tool, chisel (U+93E8)	e98fa8
鏩	U+93E9 (U+93E9)	e98fa9
鏪	U+93EA (U+93EA)	e98faa
鏫	U+93EB (U+93EB)	e98fab
鏬	U+93EC (U+93EC)	e98fac
鏭	U+93ED (U+93ED)	e98fad
鏮	U+93EE (U+93EE)	e98fae
鏯	U+93EF (U+93EF)	e98faf
鏰	coin, money (U+93F0)	e98fb0
鏱	U+93F1 (U+93F1)	e98fb1
鏲	U+93F2 (U+93F2)	e98fb2
鏳	U+93F3 (U+93F3)	e98fb3
鏴	to plug a hole (U+93F4)	e98fb4
鏵	spade, shovel, plowshare (U+93F5)	e98fb5
鏶	U+93F6 (U+93F6)	e98fb6
鏷	protactinium (U+93F7)	e98fb7
鏸	U+93F8 (U+93F8)	e98fb8
鏹	coins, money, wealth; (Cant.) 鏹水, sulfuric acid (U+93F9)	e98fb9
鏺	U+93FA (U+93FA)	e98fba
鏻	phosphonium (U+93FB)	e98fbb
鏼	U+93FC (U+93FC)	e98fbc
鏽	rust, corrode (U+93FD)	e98fbd
鏾	the trigger of a crossbow; crossbow (U+93FE)	e98fbe
鏿	U+93FF (U+93FF)	e98fbf
鐀	a cupboard; a press; a wardrobe shop-counter (U+9400)	e99080
鐁	U+9401 (U+9401)	e99081
鐂	U+9402 (U+9402)	e99082
鐃	cymbals; hand bell; disturb (U+9403)	e99083
鐄	bell (U+9404)	e99084
鐅	U+9405 (U+9405)	e99085
鐆	U+9406 (U+9406)	e99086
鐇	vanadium (U+9407)	e99087
鐈	U+9408 (U+9408)	e99088
鐉	U+9409 (U+9409)	e99089
鐊	U+940A (U+940A)	e9908a
鐋	gong (U+940B)	e9908b
鐌	U+940C (U+940C)	e9908c
鐍	hasp of a lock (U+940D)	e9908d
鐎	U+940E (U+940E)	e9908e
鐏	cap (U+940F)	e9908f
鐐	fetters (U+9410)	e99090
